Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35597,1.025,-0.108,0.421,17.221,-145.252,3.301,0,0
35644,1.035,-0.061,0.438,-4.937,110.16,-44.45,0,0
35690,0.379,-0.045,0.731,-6.58,215.153,-70.198,0,0
35737,-0.126,-0.04,0.911,3.355,224.817,-66.718,0,0
35783,-0.529,0.087,1.139,4.739,147.038,-35.023,0,0
35829,-0.846,0.144,1.222,-10.088,3.191,-0.313,0,0
35875,-0.653,0.063,1.117,-25.634,-162.336,50.557,0,0
35926,-0.108,-0.19,0.864,-17.305,-250.137,87.74,0,0
35972,1.151,-0.306,0.197,18.58,-224.519,33.802,0,0
36018,1.635,-0.008,0.2,11.58,76.084,-20.908,0,0
36065,0.653,-0.003,0.494,-21.878,250.13,-59.076,0,0
36111,-0.538,-0.058,1.127,-12.203,250.13,-30.412,0,0
36157,-0.844,-0.082,1.435,-5.316,6.026,-9.531,0,0
36204,-0.089,0.002,1.015,-2.578,-127.198,-3.439,0,0
36250,0.418,-0.061,0.813,-4.639,-61.481,12.107,0,0
36297,0.318,-0.056,0.965,-3.233,29.442,11.137,0,0
36364,0.175,-0.062,1.025,2.558,25.12,-5.9,0,0
36410,0.186,-0.019,0.943,0.759,41.13,-17.679,0,0
36456,0.269,-0.042,0.909,-1.262,76.45,-22.076,0,0
36503,0.267,-0.059,0.996,3.404,126.908,-37.679,0,0
36549,-0.271,0.009,1.151,17.374,165.305,-55.031,0,0
36596,-1.177,0.095,1.345,20.702,37.931,-22.305,0,0
36642,-1.755,-0.017,1.328,-19.695,-250.137,50.153,0,0
36689,-0.853,-0.351,0.336,-6.615,-250.137,90.321,0,0
36736,1.091,-0.456,-0.523,54.382,-250.137,65.45,0,0
36786,2.0,0.168,-0.505,16.435,103.824,-17.916,0,0
36832,1.013,-0.033,0.057,-51.954,250.13,-85.45,0,0
36879,-0.355,-0.287,0.321,-37.061,250.13,-103.886,0,0
36925,-1.685,0.081,1.091,-6.664,250.13,-24.931,0,0
36972,-2.0,-0.058,1.712,-63.679,-184.221,26.252,0,0
37019,-1.206,-0.507,0.624,-7.873,-250.137,80.588,0,0
37065,1.579,-0.762,-1.07,101.061,-250.137,-8.763,0,0
37112,2.0,0.461,-0.487,4.057,178.008,-26.557,0,0
37158,0.452,-0.097,0.334,-78.931,250.13,-69.901,0,0
37226,-1.145,-0.445,0.878,-3.244,250.13,-49.511,0,0
37273,-1.552,-0.055,1.421,-25.344,-163.496,32.802,0,0
37319,-0.78,-0.423,0.842,3.729,-250.137,99.053,0,0
37366,1.107,-0.753,-0.294,89.603,-250.137,47.779,0,0
37412,2.0,0.442,-0.35,39.153,14.452,-20.145,0,0
37459,1.125,0.083,0.244,-64.824,250.13,-81.168,0,0
37507,-0.308,-0.24,0.543,-47.641,250.13,-91.496,0,0
37553,-1.528,-0.15,1.242,-7.385,226.756,-24.885,0,0
37600,-1.702,-0.203,1.41,-35.687,-218.87,50.977,0,0
37650,-0.281,-0.509,0.416,21.427,-250.137,90.878,0,0
37697,2.0,-0.079,-0.302,87.794,-250.137,25.649,0,0
37743,2.0,0.288,0.001,-23.168,180.305,-29.534,0,0
37790,0.631,-0.165,0.595,-60.42,250.13,-84.443,0,0
37837,-0.507,-0.361,0.783,-14.072,250.13,-90.038,0,0
37883,-1.35,0.165,1.415,-0.212,147.969,-8.729,0,0
37931,-1.351,-0.237,1.341,-26.962,-203.0,72.023,0,0
38034,1.661,-0.125,-0.042,91.038,-250.137,20.588,0,0
38081,1.559,0.183,0.188,-32.664,201.84,-46.183,0,0
38149,0.15,-0.194,0.703,-52.481,250.13,-73.038,0,0
38196,-0.979,-0.211,1.355,2.0,91.046,-19.198,0,0
38242,-0.504,-0.064,1.099,4.223,-120.595,-2.069,0,0
38289,0.268,-0.11,0.752,3.852,-122.282,15.336,0,0
38336,0.462,-0.015,0.844,4.14,-11.472,18.718,0,0
38383,0.269,-0.031,0.99,-6.234,44.58,5.728,0,0
38429,0.095,-0.064,1.073,-3.612,29.512,-11.253,0,0
38476,0.099,-0.063,1.025,-4.09,10.187,-11.716,0,0
38523,0.077,-0.091,1.023,-5.154,4.684,-4.835,0,0
38574,0.052,-0.118,1.028,0.863,-9.86,2.808,0,0
38620,0.139,-0.057,0.978,2.368,-9.495,2.42,0,0
38667,0.145,-0.065,0.985,2.161,0.993,1.201,0,0
38714,0.103,-0.084,1.006,0.878,0.698,-0.405,0,0
38760,0.101,-0.087,1.003,1.619,-0.183,1.323,0,0
38807,0.103,-0.074,1.0,3.724,-0.647,5.226,0,0
38854,0.162,-0.105,0.977,5.994,7.744,6.115,0,0
38901,0.177,-0.111,0.997,12.046,44.137,13.847,0,0
38947,0.318,-0.116,0.929,25.122,84.702,17.145,0,0
38994,0.291,-0.037,0.785,33.252,177.198,7.649,0,0
39045,-0.06,0.117,0.695,23.26,244.779,10.916,0,0
39092,-0.519,0.054,0.694,7.89,222.824,13.985,0,0
39139,-0.865,-0.003,0.784,4.17,154.282,3.169,0,0
39186,-1.14,-0.036,0.909,-1.132,15.842,-21.137,0,0
39233,-0.667,0.036,0.721,-9.677,-44.779,-28.832,0,0
39280,-0.572,-0.003,0.733,-5.761,-18.595,-14.847,0,0
39327,-0.594,-0.025,0.764,-0.491,2.944,-10.806,0,0
39374,-0.62,-0.009,0.801,0.422,11.736,-7.595,0,0
39421,-0.648,-0.017,0.798,3.425,3.322,-4.896,0,0
39489,-0.574,-0.031,0.737,1.312,1.946,-3.179,0,0
39536,-0.619,-0.046,0.776,-0.83,0.888,-5.112,0,0
39583,-0.612,-0.019,0.773,2.954,-9.235,-6.65,0,0
39630,-0.597,-0.028,0.757,-1.765,-9.398,-4.264,0,0
39677,-0.604,-0.049,0.798,-1.896,-14.599,-2.776,0,0
39725,-0.572,-0.034,0.781,0.657,-14.238,-5.643,0,0
39772,-0.57,-0.05,0.793,-1.733,-10.779,-1.915,0,0
39819,-0.555,-0.037,0.809,-2.292,-7.284,-2.985,0,0
39866,-0.565,-0.042,0.813,0.851,-12.34,-1.694,0,0
39916,-0.559,-0.008,0.835,-0.137,-12.961,-2.561,0,0
39963,-0.724,-0.025,0.964,0.935,-45.252,-5.045,0,0
40010,-1.03,-0.05,1.097,7.637,-156.275,-3.24,0,0
40057,-0.931,-0.008,0.899,0.232,-250.137,-12.46,0,0
