Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
45865,-0.23,-0.032,0.992,8.495,1.109,1.333,48,0
45949,-0.236,-0.045,1.015,-3.42,-0.991,-0.916,46,0
46033,-0.222,0.098,0.998,-1.423,-0.334,2.45,51,0
46117,-0.236,-0.0,0.978,2.966,0.561,0.661,48,0
46200,-0.229,-0.03,1.013,5.096,0.524,1.292,49,0
46284,-0.231,0.058,0.979,3.072,-0.055,0.299,50,0
46368,-0.225,-0.024,1.001,4.193,0.429,1.402,50,0
46452,-0.231,0.054,0.999,1.828,1.193,0.669,50,0
46538,-0.213,-0.037,0.985,-2.155,0.038,-0.227,46,0
46622,-0.213,0.036,0.975,3.942,1.971,0.977,49,0
46706,-0.241,0.026,0.948,8.342,-0.726,-4.153,50,0
46790,-0.238,0.037,0.908,84.069,13.17,-9.132,50,0
46879,-0.242,0.083,0.581,250.13,32.672,-4.631,0,136
46966,-0.408,0.42,0.288,250.13,66.87,-30.061,155,133
47051,-0.783,1.222,-0.663,250.13,34.802,-34.731,138,123
47138,-0.457,2.0,-0.399,-141.115,-28.624,-123.504,157,138
47225,-0.647,0.613,0.388,2.127,13.998,-28.817,171,120
47315,-0.538,0.817,0.048,66.718,-28.053,-27.742,171,138
47406,-0.652,0.752,-0.091,14.446,-15.245,-65.878,0,139
47499,-0.843,0.467,-0.049,-99.626,-6.072,-106.748,0,0
47591,-0.934,0.306,0.045,-58.924,21.924,-106.458,0,0
47684,-1.0,0.349,0.031,-39.626,36.672,-70.725,0,0
47777,-0.98,0.267,0.097,-46.634,33.817,-34.962,0,0
47870,-0.878,0.299,0.228,51.618,16.81,13.588,0,0
47964,-0.84,0.431,0.106,-28.74,11.851,3.024,0,0
48059,-1.067,0.083,0.158,-11.396,-12.042,-3.353,0,0
48152,-0.656,0.443,0.082,193.061,0.371,43.924,0,0
48245,0.204,0.732,0.351,58.641,99.702,-144.74,0,0
48337,0.776,0.324,0.153,-250.137,22.878,6.595,0,181
48428,-2.0,-0.985,-2.0,250.13,-205.298,168.45,178,178
48518,-2.0,-2.0,-0.83,-250.137,237.664,-226.901,185,153
48606,-2.0,-0.839,-0.788,250.13,-0.512,-199.107,173,142
48699,-2.0,1.147,-0.575,-46.496,-77.298,-217.725,188,0
48791,0.078,0.547,-0.077,250.13,-30.985,21.229,188,0
48886,-0.072,-0.397,-0.021,-110.069,43.046,44.679,178,0
48977,-0.793,-0.436,-0.249,46.29,48.771,87.305,169,0
49069,-0.723,0.059,-0.379,83.878,59.695,55.87,161,0
49159,-0.647,-0.91,0.14,103.588,-7.907,-107.718,153,0
49249,-1.687,-0.22,-0.435,-72.641,29.595,23.939,147,0
49339,-1.075,-0.51,-0.159,-23.595,-0.726,96.45,141,0
49430,-0.49,-0.544,-0.288,157.786,-36.382,81.267,160,0
