Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
284990,-0.362,-0.107,0.885,24.3,-3.677,-35.397,0,0
285075,-0.391,-0.149,0.853,-0.816,-6.224,-23.307,55,0
285161,-0.365,-0.177,0.822,-2.075,-5.052,-16.497,53,0
285246,-0.369,-0.183,0.854,17.704,3.402,-1.097,51,0
285332,-0.353,-0.181,0.914,9.397,6.616,8.698,51,0
285417,-0.312,-0.223,0.927,16.267,14.732,28.163,53,0
285503,-0.293,-0.268,0.893,16.103,19.106,34.13,58,0
285592,-0.228,-0.052,0.701,100.305,72.748,40.237,58,0
285686,-0.282,-0.127,0.617,165.076,142.634,29.145,0,196
285779,-0.921,0.524,0.026,226.305,164.588,-37.603,0,192
285874,-1.125,0.986,-0.328,153.076,142.237,-38.588,0,198
285968,-1.087,0.454,-0.19,-81.16,94.069,-41.015,0,195
286062,-1.124,0.379,-0.157,-35.107,68.389,28.618,0,195
286155,-0.937,0.287,-0.187,-69.947,33.023,28.924,0,179
286248,-0.952,0.354,-0.293,-28.733,28.123,-6.256,0,174
286341,-0.896,0.298,-0.209,-51.344,-20.193,-32.405,0,167
286437,-1.108,0.418,-0.177,-42.809,-30.031,-19.37,0,162
286528,-0.934,0.378,-0.032,-13.648,-25.894,7.2,0,157
286620,-0.814,0.621,-0.121,-14.848,-32.267,-5.3,0,153
286717,-0.78,0.486,0.003,30.876,-5.673,-57.641,0,146
286808,-0.848,0.529,-0.047,-39.427,7.203,-41.634,0,141
286898,-0.905,0.334,-0.003,-56.847,22.257,-17.446,0,134
286987,-0.953,0.239,-0.002,-59.908,19.331,31.737,0,142
287079,-0.933,0.145,0.016,-24.026,3.846,17.204,0,176
287172,-0.924,0.224,0.047,15.969,6.406,11.522,0,149
287264,-0.978,0.323,-0.056,2.133,0.505,6.067,0,172
287354,-1.008,0.24,-0.142,8.76,-8.566,-13.617,0,148
287446,-0.967,0.398,-0.206,9.396,-5.849,-13.914,0,159
287537,-0.951,0.31,-0.154,-4.8,-3.945,-12.317,0,164
287629,-0.944,0.339,-0.133,24.353,-5.033,3.761,0,174
287720,-0.947,0.355,-0.115,9.902,0.481,-5.375,0,167
287812,-0.995,0.29,-0.094,-27.45,-0.994,-17.335,0,172
287904,-0.972,0.337,-0.024,-23.565,4.733,8.371,0,182
288000,-1.035,0.296,-0.112,-23.313,14.896,-31.351,0,187
288093,-1.376,0.162,-0.353,-51.16,19.826,-21.475,0,0
288187,-0.351,-0.086,-0.021,-24.45,-31.145,-51.87,0,0
288280,-0.687,-0.107,0.254,35.069,-85.809,-51.282,0,0
288373,-1.291,0.169,0.274,33.473,50.779,-108.191,0,0
288466,-1.309,-0.382,-0.12,-233.473,36.359,-45.985,0,0
288561,-1.052,-0.787,0.051,6.343,-12.046,33.252,0,0
288654,-0.852,-0.245,-0.137,87.351,0.359,70.679,0,0
288747,-0.65,-0.086,0.063,4.448,-0.984,37.824,0,0
288843,-0.712,0.166,0.026,30.336,40.084,35.092,0,0
288931,-1.441,0.272,-0.238,-9.328,12.178,49.214,0,101
289019,-1.343,0.007,-0.237,-35.046,-32.382,114.695,0,110
289113,-1.182,0.073,-0.263,6.649,-29.321,132.214,0,0
289204,-0.839,0.241,-0.174,14.36,-14.939,90.71,0,153
289293,-0.748,0.433,-0.112,1.873,-12.467,32.924,0,115
289382,-0.887,0.475,-0.11,-34.867,-48.239,-47.12,5,36
289470,-0.901,0.493,-0.061,22.047,-12.455,-28.221,0,120
289564,-0.912,0.494,-0.033,8.754,-16.435,-78.359,0,155
289654,-0.933,0.318,0.011,33.483,12.559,-110.145,0,141
289745,-0.969,0.355,-0.016,-35.172,4.842,-82.282,0,143
289836,-0.944,0.11,0.094,-24.015,-10.63,-11.562,0,146
289927,-0.896,0.166,0.061,54.137,-16.76,37.13,0,149
290017,-0.836,0.332,0.032,28.515,2.806,38.771,0,154
290109,-0.851,0.291,0.083,-17.505,11.874,20.776,0,160
290201,-0.859,0.306,0.101,-3.09,18.905,5.903,0,177
290294,-0.929,0.354,0.059,-13.984,14.357,-31.664,0,0
290391,-1.01,0.342,0.03,-32.863,19.19,-50.672,0,0
290485,-1.145,0.334,-0.041,-26.527,-0.143,-37.069,0,0
290578,-1.046,0.198,-0.035,-62.42,-16.721,50.42,195,0
290671,-1.111,0.181,-0.111,-25.267,-44.588,82.405,183,0
290763,-0.765,0.276,-0.105,5.812,-21.729,92.679,171,0
290850,-0.752,0.413,-0.164,-39.412,3.838,40.183,161,133
290940,-0.948,0.273,-0.099,-67.328,1.152,-21.298,0,140
291032,-1.042,0.323,0.013,-42.672,30.557,-16.555,193,146
291122,-0.956,0.388,0.104,-33.321,42.863,-66.855,186,151
291217,-0.891,0.409,0.289,-79.863,38.534,-43.954,179,0
291308,-1.046,0.231,0.148,-45.412,30.794,3.447,172,182
291399,-0.887,0.352,0.096,-54.733,28.015,21.565,165,186
291490,-0.851,0.383,0.093,-77.855,28.42,10.457,157,190
291574,-0.888,0.456,-0.037,-150.924,37.542,-7.604,149,91
291662,-0.868,0.303,-0.058,-200.008,29.626,-37.115,0,97
291750,-0.997,0.294,-0.126,-174.13,12.095,-42.382,0,104
291838,-1.007,0.182,-0.247,-137.763,-31.466,-10.188,0,96
291930,-1.126,0.276,-0.535,-157.45,-30.334,48.595,0,92
292016,-1.14,0.1,-0.37,-86.603,2.499,66.008,0,72
292103,-0.786,0.324,-0.259,34.023,37.031,73.794,0,75
292190,-0.819,0.479,-0.267,-39.71,70.313,1.491,0,80
292277,-1.107,0.377,-0.234,-167.817,70.29,20.296,0,88
292365,-1.072,0.045,0.003,-139.191,33.374,24.366,0,93
292453,-0.988,0.249,0.031,-21.901,20.535,28.221,0,100
292541,-0.832,0.279,0.045,-50.336,0.566,0.13,0,104
292630,-1.057,0.221,0.082,-47.076,-1.121,-8.564,0,108
292722,-0.933,0.215,0.08,-26.279,-5.619,-38.438,0,111
292810,-0.905,0.252,0.091,-20.419,-0.107,-34.711,0,111
292899,-0.844,0.283,0.097,3.393,5.824,-41.069,0,112
292988,-0.885,0.369,0.108,18.679,13.488,-61.321,0,113
293078,-0.968,0.246,0.129,9.366,-1.644,-57.603,0,114
293167,-0.889,0.38,0.092,29.355,6.451,-29.992,0,117
293256,-1.194,0.469,-0.042,11.484,11.441,3.719,0,124
293346,-0.854,0.317,-0.018,-60.344,2.92,46.137,0,133
293440,-1.079,0.433,-0.169,-61.779,8.624,83.954,0,146
293528,-0.849,0.275,-0.172,-64.008,-7.427,101.863,0,90
293616,-0.816,0.511,-0.187,-68.664,25.923,81.13,0,90
293703,-0.829,0.588,-0.11,-83.0,24.214,65.183,0,93
293797,-0.894,0.549,-0.004,-62.107,21.412,41.496,0,0
293888,-0.926,0.427,0.089,-24.443,-3.012,-14.573,0,130
293978,-0.88,0.302,0.053,54.282,13.471,-65.351,0,133
294068,-1.091,0.27,-0.064,-14.47,7.951,-89.908,0,138
294163,-0.949,0.121,0.073,15.446,4.233,-77.344,0,0
294260,-0.772,0.288,0.035,78.046,4.862,-68.359,0,0
294354,-0.811,0.391,0.072,-5.137,3.951,-79.443,0,0
294449,-0.999,0.241,0.126,-25.1,-3.449,-49.893,0,0
294543,-1.182,0.257,0.102,39.3,-7.091,60.072,0,0
294637,-1.194,0.342,-0.081,52.205,-27.282,82.305,0,0
294731,-1.122,0.208,-0.089,-48.13,-19.136,168.061,0,0
294825,-0.92,0.214,-0.102,-68.832,-12.136,134.863,0,0
294921,-0.777,0.112,-0.001,-56.718,-15.223,56.466,0,0
295015,-0.834,0.286,-0.012,39.481,1.7,-43.847,0,0
295112,-1.275,0.575,0.028,56.847,0.123,-144.45,0,0
295206,-1.079,0.258,0.487,0.003,43.45,-128.168,0,0
295300,-0.87,0.345,0.567,-48.802,3.806,-90.038,178,0
295393,-0.79,0.449,0.416,-16.713,-15.41,-51.76,175,0
295485,-0.289,0.516,0.417,-72.496,23.427,26.71,164,0
295577,0.236,0.406,-0.081,-193.901,48.359,-31.786,161,0
295669,-2.0,0.053,-0.852,116.557,-154.504,71.405,157,0
295755,-2.0,0.785,-1.244,-22.786,103.137,250.13,52,0
295840,-1.65,0.25,-0.487,-53.282,105.458,100.466,38,0
295929,-0.985,0.37,-0.057,78.412,64.336,-137.26,36,0
296020,-1.555,0.687,-0.453,140.573,17.89,-209.183,145,0
296113,-1.5,0.472,-0.467,151.756,-29.252,-203.534,151,0
296205,-0.936,0.116,-0.32,-38.892,-29.838,-83.298,154,0
296296,-0.279,0.065,-0.045,77.039,13.165,81.334,154,0
296387,-0.599,-0.34,-0.17,85.893,-55.748,58.084,126,0
296477,-1.15,-0.222,-0.597,147.977,-1.199,89.947,117,0
296566,-0.891,0.103,-0.301,37.389,40.687,42.206,110,0
296658,-0.358,0.158,0.012,16.377,29.756,33.615,105,0
296748,-0.518,0.203,0.006,43.964,46.827,24.252,101,0
296837,-1.792,-0.241,-0.375,128.985,-44.901,11.776,94,0
296925,-1.189,0.031,-0.416,98.672,-23.422,71.489,88,0
297013,-0.844,-0.084,-0.267,-50.843,-37.588,26.458,82,0
297101,-0.537,-0.241,-0.185,97.405,-50.977,11.946,82,0
297188,-1.242,-0.092,-0.322,146.542,-65.092,38.71,79,0
297272,-1.248,-0.033,-0.067,143.473,-55.634,8.148,63,145
297362,-0.776,0.199,0.036,125.664,-50.885,27.196,60,0
297448,-0.729,0.178,0.009,204.031,-57.473,-14.21,72,164
297528,-0.776,0.393,-0.121,221.565,-51.069,-9.933,80,76
297609,-0.995,0.506,-0.193,170.985,-38.634,3.705,88,67
297696,-0.877,0.441,-0.095,166.634,-33.084,2.876,0,60
297782,-0.767,0.602,-0.095,140.412,12.397,-28.275,0,53
297869,-1.039,0.646,-0.063,54.87,-6.932,-46.84,0,49
297955,-1.008,0.435,0.008,42.626,-0.039,9.327,0,48
298041,-1.054,0.469,-0.099,61.962,-13.902,42.13,0,51
298131,-0.884,0.446,-0.083,42.534,-42.307,52.351,5,17
298223,-0.851,0.511,-0.113,34.254,5.925,39.618,0,64
298309,-0.907,0.359,-0.092,-40.336,-15.895,26.328,0,70
298395,-0.998,0.201,-0.054,-22.237,-27.217,4.943,0,61
298481,-1.034,0.212,-0.018,59.176,-42.107,-62.626,0,63
298567,-0.878,0.277,-0.006,46.137,4.682,-35.084,0,78
298654,-0.836,0.177,0.04,33.478,-5.519,-57.656,0,82
298742,-0.776,0.232,0.031,69.886,7.577,-33.985,0,104
298830,-0.879,0.375,0.087,30.351,25.344,-50.763,0,108
298923,-1.028,0.421,0.132,38.029,32.748,-47.466,0,114
299012,-1.066,0.184,-0.083,-37.412,48.29,-18.607,0,122
299097,-1.224,-0.012,-0.579,-88.603,86.069,-40.405,113,131
299172,-1.033,-0.09,-0.739,-152.412,81.061,-13.986,15,78
299259,-1.033,-0.259,-0.591,53.756,51.168,8.721,0,82
299354,-1.193,0.182,-0.915,250.13,-42.275,48.489,0,0
299447,0.461,0.99,-0.104,137.824,-76.382,30.29,0,0
299541,-0.218,0.031,-0.017,-133.55,-82.824,27.969,0,200
299637,-1.452,-0.254,-0.012,-83.237,-100.748,12.369,0,0
299731,-0.754,-1.144,0.215,-84.443,118.939,-28.858,0,0
299812,-0.943,-0.283,-0.267,101.198,138.565,6.522,38,148
299907,-1.465,-0.003,-0.548,-36.786,20.329,74.328,0,0
299981,-0.972,-0.251,-0.645,-87.107,-18.865,55.008,35,30
300065,-1.432,-0.217,-0.455,82.641,9.803,-7.986,0,36
300150,-1.662,0.096,-0.698,227.26,-32.808,-56.313,0,42
300243,-1.04,0.271,-0.476,-72.115,-28.55,-137.824,196,0
300337,-0.28,-0.44,0.121,-54.733,-35.29,-63.588,183,0
300434,-0.765,-0.177,-0.185,-25.192,-39.366,78.031,0,0
300525,-1.384,-0.579,-0.242,-27.87,-35.893,100.374,159,0
300617,-0.816,0.356,-0.101,42.687,44.794,69.046,0,181
300710,-0.621,0.438,0.004,-23.262,-38.802,98.702,188,199
300804,-0.815,0.729,-0.251,14.157,27.732,159.74,184,0
