Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
228384,0.574,-0.324,-0.763,-5.673,-16.447,1.07,143,123
228440,0.564,-0.38,-0.752,-0.143,-7.562,4.992,143,122
228498,0.554,-0.317,-0.798,0.44,-10.116,3.588,143,164
228555,0.544,-0.379,-0.763,-2.881,-19.471,-2.422,143,161
228615,0.56,-0.382,-0.779,-2.672,1.67,4.134,143,136
228671,0.542,-0.338,-0.788,9.231,0.68,3.097,143,135
228727,0.531,-0.384,-0.779,-7.547,-5.409,-1.323,143,135
228784,0.526,-0.353,-0.798,1.948,-2.486,-0.263,143,135
228840,0.556,-0.378,-0.788,-4.093,-3.261,-3.874,142,135
228896,0.544,-0.37,-0.774,-2.074,-1.041,-3.767,142,135
228953,0.542,-0.372,-0.765,2.252,1.456,-2.597,142,136
229011,0.559,-0.36,-0.771,7.051,10.509,3.567,143,160
229072,0.568,-0.376,-0.783,23.116,31.042,11.32,143,163
229128,0.639,-0.469,-0.781,-12.29,-30.065,-33.406,143,122
229188,0.674,-0.42,-0.854,20.176,35.046,-19.0,143,0
229239,0.675,-0.518,-0.738,37.824,64.763,-33.763,35,157
229297,0.715,-0.297,-0.795,26.267,74.977,-41.099,143,156
229353,0.651,-0.56,-0.636,108.191,94.198,-34.427,144,129
229409,0.788,-0.087,-0.567,-29.374,98.069,-54.122,145,129
229466,0.82,-0.664,-0.245,74.176,109.092,-20.641,145,125
229521,0.867,-0.103,-0.281,10.556,98.656,-30.534,145,106
229578,0.836,-0.277,-0.108,50.321,78.099,-26.145,146,83
229633,0.933,0.034,-0.058,-48.466,60.802,-36.16,146,104
229687,0.904,-0.271,0.146,-27.542,45.908,-19.87,146,81
229740,0.902,-0.287,-0.075,-24.809,31.107,-26.836,145,80
229793,0.943,-0.278,0.156,-2.395,27.619,2.468,145,83
229853,0.967,-0.258,-0.026,-0.033,-5.811,-5.95,145,79
229905,0.98,-0.451,-0.048,-25.044,-6.834,-11.818,144,75
229957,0.976,-0.153,-0.041,-19.71,3.938,5.939,144,82
230012,0.985,-0.257,-0.031,-34.832,2.466,3.536,144,82
230065,0.989,-0.307,-0.059,-15.803,2.956,-1.289,144,80
230117,0.967,-0.237,0.068,15.985,1.088,11.341,143,84
230170,0.96,-0.235,0.149,20.194,2.499,14.979,144,87
230222,0.99,-0.165,0.021,-3.479,0.896,6.708,144,83
230275,0.994,-0.268,-0.102,-23.786,-0.092,-7.451,143,77
230327,0.961,-0.224,0.089,3.63,2.647,3.366,143,86
230373,0.976,-0.245,0.289,22.307,4.542,5.285,17,93
230418,0.975,-0.231,0.023,-7.077,-0.026,2.806,16,84
230472,0.978,-0.235,0.153,3.362,3.019,10.921,143,88
230518,0.963,-0.261,0.104,3.775,0.636,11.25,16,87
230563,1.0,-0.24,-0.026,4.111,0.754,11.48,19,84
230608,0.993,-0.251,0.16,3.071,2.888,8.402,16,84
230653,0.975,-0.26,0.005,-2.298,1.009,3.787,16,84
230699,0.974,-0.225,-0.137,-19.305,-1.445,-3.304,17,85
230745,0.969,-0.267,-0.007,-12.702,-1.172,4.55,17,85
230790,0.963,-0.289,0.103,11.134,0.437,8.458,16,85
230835,0.977,-0.245,-0.043,6.232,-3.996,4.169,17,85
230883,0.979,-0.252,-0.018,-7.836,-7.489,-5.032,17,85
230928,0.971,-0.257,-0.022,-17.19,-6.098,-3.692,16,86
230974,0.966,-0.266,-0.025,-9.692,-1.409,2.362,17,86
231062,0.973,-0.335,-0.024,-26.34,-2.413,-7.311,10,86
231107,0.948,-0.276,-0.041,17.881,3.946,4.575,10,86
231153,0.961,-0.26,-0.031,-15.969,-1.391,1.314,12,87
231198,0.976,-0.295,-0.018,-12.31,-1.251,-0.547,17,88
231251,0.977,-0.275,-0.02,-5.712,0.363,0.673,141,89
231297,0.972,-0.281,-0.021,-7.482,-1.261,-3.465,11,88
231345,0.951,-0.262,-0.028,0.785,0.978,1.858,11,88
231390,0.974,-0.293,-0.02,-8.452,0.477,-1.446,10,88
231435,0.963,-0.335,-0.046,-0.043,0.027,-3.605,10,88
231480,0.953,-0.288,0.155,11.106,1.358,6.967,10,87
231526,0.965,-0.341,0.192,8.393,2.647,11.49,12,88
231571,0.931,-0.366,-0.114,-12.861,-2.49,-26.859,17,86
231624,0.93,-0.4,-0.004,-9.838,-1.741,-19.809,143,85
231669,0.922,-0.411,0.165,4.433,3.458,-30.962,17,84
231716,0.916,-0.398,-0.025,-1.611,-5.789,-39.603,19,106
231774,0.927,-0.34,-0.038,-10.503,-8.282,-52.885,147,103
231828,0.912,-0.333,-0.037,-7.299,-1.085,-66.779,150,100
231876,0.864,-0.258,-0.072,-16.893,23.63,-84.756,38,99
231930,0.764,-0.21,-0.096,-33.084,2.759,-93.206,158,109
231980,0.835,0.081,-0.068,-45.603,25.634,-121.214,50,104
232029,0.749,0.114,-0.033,-62.817,45.473,-152.282,60,98
232085,0.691,0.365,0.062,-71.015,56.672,-146.55,0,91
232141,0.557,0.557,0.015,-45.954,48.748,-140.191,0,85
232201,0.563,0.885,0.258,50.209,26.611,-86.351,0,88
232258,0.672,0.918,0.31,-26.321,30.962,-81.252,0,105
232321,0.566,0.944,0.374,-69.366,48.191,-102.756,0,0
232383,0.498,1.081,0.544,-54.855,50.412,-99.038,0,0
232446,0.594,1.104,0.459,-101.656,44.206,-57.992,0,0
232509,0.27,0.661,0.63,-73.511,36.573,-34.58,0,0
232566,0.478,0.771,0.641,-56.588,43.183,-41.275,0,96
232623,0.334,0.779,0.641,-6.374,43.901,-47.45,0,94
232685,0.177,0.931,0.694,-26.527,38.015,-35.397,0,0
232752,0.194,0.759,0.783,15.99,32.82,11.789,0,0
232814,0.259,0.863,0.668,-18.799,21.023,-34.512,0,0
232877,0.213,0.676,0.706,15.046,29.672,0.164,0,0
232940,0.116,0.639,0.725,4.373,26.962,-25.168,0,0
233003,0.037,0.724,0.685,-16.942,23.527,-23.183,0,0
233059,0.04,0.734,0.707,-20.382,-23.811,-56.743,87,0
233115,0.068,0.672,0.754,2.383,20.706,-9.581,86,0
233170,0.035,0.765,0.701,-2.8,5.19,-25.252,59,0
233225,-0.002,0.8,0.634,24.434,51.437,-24.26,60,0
233283,-0.035,0.72,0.691,20.74,25.336,-5.131,60,0
233339,-0.052,1.456,1.043,-73.939,-8.915,-10.522,88,0
233396,-0.026,0.536,0.706,54.534,-4.497,1.602,89,0
233452,-0.08,0.961,0.48,7.644,-6.366,5.021,89,0
233516,-0.032,0.561,0.891,-31.916,-4.602,-11.061,0,0
233578,-0.049,0.71,0.667,35.374,2.473,19.601,0,0
233641,0.017,0.786,0.698,16.191,-12.937,-4.552,0,0
233704,-0.021,0.792,0.657,14.687,-4.938,1.818,0,0
233767,-0.008,0.78,0.65,8.877,-0.298,-0.27,0,0
233876,-0.018,0.792,0.657,10.954,5.522,1.771,0,0
