Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
108038,0.218,0.672,0.718,15.198,4.664,-8.130,27.0,84.0
108081,0.266,0.700,0.642,48.901,-6.824,-5.618,27.0,83.0
108125,0.341,0.795,0.496,47.588,-8.000,-10.328,26.0,84.0
108168,0.360,0.845,0.463,4.969,-0.321,-17.267,26.0,83.0
108211,0.244,0.690,0.574,12.076,6.008,-10.626,28.0,83.0
108255,0.258,0.807,0.562,48.641,8.740,1.649,27.0,82.0
108298,0.207,0.898,0.590,19.603,7.618,0.366,26.0,82.0
108344,0.164,0.779,0.628,32.916,7.031,6.405,26.0,82.0
108387,0.231,0.852,0.572,55.725,4.679,13.626,30.0,81.0
108431,0.246,0.896,0.492,33.107,-0.534,4.321,29.0,80.0
108474,0.242,0.860,0.538,6.939,-4.931,-0.038,30.0,81.0
108518,0.232,0.735,0.594,30.397,-6.718,6.137,38.0,81.0
108562,0.308,0.873,0.592,45.130,-8.511,14.756,30.0,81.0
108605,0.324,0.900,0.564,38.359,-9.412,26.550,30.0,82.0
108649,0.437,0.925,0.560,30.267,-10.176,32.656,34.0,83.0
108694,0.435,0.950,0.496,4.046,-4.939,39.603,30.0,102.0
108738,0.434,0.892,0.512,-16.863,2.985,43.924,30.0,85.0
108782,0.439,0.843,0.473,-13.229,11.168,48.870,30.0,52.0
108833,0.427,0.783,0.463,-5.786,8.763,44.191,184.0,51.0
108883,0.418,0.725,0.408,17.817,4.794,37.779,177.0,51.0
108934,0.406,0.740,0.372,18.786,1.885,31.260,175.0,50.0
108984,0.445,0.746,0.408,24.260,0.298,21.053,192.0,37.0
109032,0.446,0.752,0.528,13.145,-9.198,25.099,159.0,37.0
109081,0.524,0.832,0.442,39.443,-10.740,31.504,158.0,51.0
109130,0.529,0.903,0.378,13.527,-9.626,31.130,160.0,42.0
109185,0.518,0.766,0.404,-24.725,-6.641,26.427,198.0,38.0
109235,0.511,0.709,0.462,-10.885,-3.489,24.603,0.0,30.0
109289,0.528,0.676,0.447,5.214,-5.588,21.321,0.0,28.0
109339,0.545,0.656,0.460,-8.511,-8.924,15.366,0.0,26.0
109393,0.578,0.656,0.476,4.221,-9.695,9.939,0.0,30.0
109444,0.602,0.678,0.480,5.641,-9.893,13.756,0.0,29.0
109497,0.688,0.705,0.494,-1.405,-9.947,20.275,0.0,26.0
109548,0.667,0.624,0.468,-7.244,-7.336,21.603,0.0,30.0
109602,0.668,0.648,0.468,-4.008,0.237,22.481,0.0,30.0
109652,0.677,0.567,0.504,-3.939,-2.969,23.092,0.0,33.0
109707,0.708,0.561,0.510,-7.809,-5.290,21.954,0.0,43.0
109758,0.699,0.552,0.493,6.221,-7.183,20.099,0.0,36.0
109809,0.738,0.511,0.516,0.832,-9.183,18.099,0.0,46.0
109860,0.727,0.581,0.454,3.931,-4.710,16.626,0.0,46.0
109912,0.738,0.524,0.472,-8.809,-2.206,17.977,0.0,43.0
109963,0.782,0.429,0.497,3.985,-0.031,16.908,0.0,46.0
110015,0.746,0.480,0.476,14.023,-2.298,18.046,0.0,51.0
110066,0.788,0.493,0.469,5.382,0.313,19.916,0.0,47.0
110118,0.765,0.435,0.500,0.924,-2.176,16.534,0.0,46.0
110173,0.824,0.433,0.509,3.092,-0.313,18.924,0.0,57.0
110225,0.826,0.458,0.527,9.763,0.198,19.282,0.0,57.0
110276,0.808,0.439,0.486,-0.519,-0.107,21.794,0.0,29.0
110327,0.831,0.354,0.510,-2.298,3.382,20.084,0.0,57.0
110384,0.740,0.378,0.425,4.573,10.458,17.466,0.0,60.0
110439,0.621,0.275,0.401,0.794,9.779,9.313,0.0,99.0
110536,0.579,0.296,0.412,33.565,1.969,-3.206,0.0,100.0
110588,0.641,0.316,0.405,35.305,0.588,-10.252,0.0,57.0
110641,0.647,0.305,0.413,46.824,-2.794,-20.191,0.0,52.0
110695,0.670,0.420,0.388,57.405,6.412,-35.389,0.0,50.0
110750,0.715,0.435,0.399,61.771,5.779,-42.466,0.0,48.0
110801,0.691,0.613,0.435,51.786,8.840,-46.634,0.0,38.0
110857,0.758,0.534,0.441,72.977,9.397,-52.702,0.0,43.0
110907,0.658,0.749,0.361,54.015,10.099,-50.153,0.0,27.0
110961,0.772,0.740,0.434,65.275,17.458,-54.115,0.0,29.0
111012,0.755,0.878,0.466,28.901,9.992,-40.786,0.0,23.0
111067,0.675,0.833,0.427,46.626,10.824,-30.000,0.0,36.0
111119,0.620,0.901,0.409,27.336,-3.267,-14.664,182.0,62.0
111171,0.626,0.825,0.336,27.542,-1.176,-9.740,170.0,36.0
111219,0.589,0.813,0.294,27.817,4.305,-6.992,171.0,17.0
111267,0.626,0.840,0.307,28.191,10.053,-7.618,153.0,16.0
111316,0.576,0.847,0.306,21.298,9.351,-4.351,152.0,51.0
111366,0.540,0.825,0.286,21.420,8.214,-1.527,152.0,52.0
111413,0.555,0.801,0.287,27.695,7.542,0.023,153.0,16.0
111471,0.520,0.849,0.241,41.137,10.298,4.389,153.0,0.0
111528,0.523,0.834,0.263,33.046,9.542,9.817,154.0,0.0
111587,0.536,0.867,0.215,38.794,12.229,19.015,155.0,0.0
111638,0.531,0.830,0.212,36.939,11.069,12.267,163.0,16.0
111697,0.552,0.839,0.198,38.168,11.847,12.382,171.0,0.0
111747,0.567,0.873,0.155,29.573,17.504,11.099,171.0,21.0
111805,0.590,0.866,0.177,27.313,18.511,14.565,172.0,0.0
111864,0.603,0.853,0.187,21.756,20.137,18.214,167.0,0.0
111911,0.612,0.796,0.184,25.092,20.374,20.687,154.0,17.0
111970,0.640,0.751,0.190,29.954,18.321,12.855,154.0,0.0
112028,0.563,0.706,0.161,50.244,19.153,3.443,154.0,0.0
112087,0.551,0.848,0.091,54.779,18.496,-6.374,154.0,0.0
112137,0.473,0.876,0.154,45.840,5.595,-17.244,155.0,16.0
112185,0.536,0.986,0.097,38.710,4.053,-20.977,154.0,16.0
112243,0.485,0.932,0.157,11.214,1.802,-19.573,154.0,0.0
112290,0.423,0.961,0.129,2.107,-15.840,-18.344,154.0,16.0
112338,0.420,0.973,0.085,-19.191,-31.878,-12.977,154.0,16.0
112386,0.394,0.859,0.020,-29.718,-44.565,-8.321,154.0,16.0
112434,0.461,0.970,-0.117,-45.573,-52.786,-10.069,154.0,16.0
112481,0.563,0.825,-0.059,-90.672,-38.145,-10.099,154.0,16.0
112529,0.591,0.688,0.106,-46.290,1.947,-13.038,155.0,17.0
112580,0.525,0.750,0.260,-6.435,27.198,-13.527,156.0,16.0
112627,0.489,0.824,0.280,18.282,17.046,-15.626,155.0,9.0
112675,0.487,0.976,0.317,0.351,12.435,-17.687,156.0,8.0
112722,0.502,0.759,0.388,3.145,6.008,-14.588,156.0,10.0
112770,0.494,0.912,0.316,50.168,13.443,-8.847,156.0,7.0
112817,0.432,0.985,0.230,22.023,11.450,-8.985,157.0,6.0
112864,0.435,0.938,0.279,15.198,16.183,-0.359,157.0,6.0
112911,0.420,0.908,0.289,-3.809,5.366,5.878,157.0,6.0
112959,0.442,0.852,0.384,18.252,-2.374,11.672,157.0,6.0
113009,0.386,0.897,0.265,22.450,-6.298,13.962,157.0,9.0
