Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
51655,0.086,0.095,1.002,-1.627,-2.58,-3.969,44,2
51706,0.097,0.123,1.01,-12.291,-12.267,-11.099,13,5
51758,0.073,0.089,1.031,6.104,-1.767,-2.052,43,1
51807,0.046,0.101,0.999,11.931,-5.127,-1.096,44,169
51856,0.083,0.172,0.97,2.667,-6.389,-2.532,43,168
51906,0.03,0.041,1.041,17.107,-9.181,-3.62,42,0
51955,0.123,0.204,0.987,3.721,-9.779,-6.407,16,0
52006,0.05,0.015,1.031,30.168,-6.84,-5.588,43,0
52059,0.017,0.256,0.967,71.008,-10.489,6.725,16,2
52113,0.012,0.035,0.954,116.588,1.145,9.008,44,2
52164,0.135,0.781,0.752,112.786,3.992,32.611,45,0
52219,0.06,0.375,0.866,33.435,2.565,-9.847,44,0
52271,0.069,0.357,0.956,73.031,-1.267,-9.763,47,2
52326,0.057,0.511,0.829,108.931,-8.992,-28.954,58,0
52378,0.031,0.719,0.842,41.817,-12.008,-34.725,56,1
52425,0.185,0.792,0.837,15.664,3.0,-43.557,79,98
52476,0.048,0.552,0.896,-14.687,11.443,-44.443,47,0
52530,-0.014,0.485,0.789,68.519,2.878,-28.099,31,0
52585,0.014,0.98,0.656,52.794,-4.119,-22.206,58,0
52628,-0.022,0.642,0.736,-32.844,-8.336,-25.244,61,26
52668,-0.015,0.769,0.722,37.626,-10.229,-17.466,36,25
52710,0.012,0.811,0.708,25.374,-9.008,-8.252,50,24
52751,-0.024,0.759,0.662,20.084,-6.992,-19.052,10,8
52792,0.006,0.832,0.631,17.015,1.29,2.611,48,24
52834,-0.019,0.748,0.617,-16.939,8.122,-8.748,48,27
52879,-0.026,0.738,0.734,6.556,5.084,-1.724,108,27
52922,-0.023,0.823,0.688,14.255,2.29,0.845,36,28
52967,-0.056,0.835,0.629,-24.511,1.412,-3.984,37,95
53009,-0.045,0.547,0.749,-18.313,5.557,-7.644,60,26
53061,-0.03,0.767,0.672,8.261,4.679,1.549,59,0
53115,-0.142,0.604,0.727,-23.809,2.191,-11.847,36,0
53169,-0.044,0.739,0.735,-4.115,0.191,1.888,62,2
53223,-0.045,0.719,0.741,-6.995,1.359,-5.266,36,0
53275,-0.05,0.672,0.754,-29.71,1.176,-5.423,58,0
53330,-0.045,0.621,0.776,0.226,7.29,-5.273,49,0
53385,-0.088,0.676,0.821,-13.176,0.695,-2.992,47,0
53440,-0.165,0.593,0.714,4.141,-6.077,-14.364,43,0
53491,-0.079,0.647,0.799,-3.423,-0.593,-5.563,47,0
53542,-0.135,0.607,0.733,-5.602,-1.797,-12.899,46,0
53595,-0.108,0.665,0.757,-4.845,1.351,-8.755,46,0
53644,-0.119,0.662,0.748,-5.701,-5.468,-7.89,22,0
53694,-0.096,0.567,0.837,-5.521,-6.98,-6.988,23,0
53746,-0.063,0.728,0.749,7.564,0.321,-1.362,58,1
53797,-0.021,0.754,0.823,9.336,-0.055,5.054,47,2
53853,-0.098,0.714,0.756,-2.855,-3.981,-10.603,58,0
53909,-0.125,0.602,0.728,-10.643,-4.434,-10.579,58,0
53960,-0.079,0.613,0.794,-3.764,-1.386,-5.02,45,0
54014,-0.111,0.634,0.756,-3.016,0.588,-8.296,21,0
54065,-0.1,0.645,0.789,4.263,-1.186,-9.229,20,0
54114,-0.146,0.632,0.738,7.548,-6.557,-4.919,18,0
54208,-0.04,0.732,0.824,-12.053,2.743,0.198,38,1
54258,-0.087,0.649,0.799,-5.509,-0.973,-1.52,18,0
54309,-0.149,0.752,0.747,-10.595,2.931,-6.96,49,0
