Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
311270,0.963,0.376,0.289,44.198,11.191,7.294,0,50
311324,0.947,0.085,0.296,-5.105,-2.465,-3.719,0,50
311378,0.95,0.281,0.305,26.138,12.076,12.69,0,50
311433,0.941,0.217,0.285,11.265,8.583,12.419,0,50
311486,0.948,0.286,0.3,22.153,16.237,26.403,0,50
311540,0.956,-0.063,0.314,-11.659,-5.611,-6.994,0,50
311595,0.971,0.129,0.301,18.357,6.852,10.397,0,50
311651,0.961,-0.017,0.322,0.033,-4.797,-3.279,0,51
311705,0.942,0.12,0.293,5.882,15.038,4.11,0,51
311759,0.922,-0.079,0.335,-18.969,15.466,-19.651,0,51
311814,0.89,0.216,0.391,-21.122,17.137,44.612,0,52
311868,0.916,0.275,0.44,24.194,26.695,30.527,0,53
311922,0.912,-0.025,0.415,9.579,3.367,42.756,0,53
311976,0.886,0.107,0.367,-4.977,6.261,48.565,0,54
312032,0.836,-0.109,0.296,-40.359,14.336,67.847,0,56
312086,0.753,0.005,0.223,-73.427,36.336,99.42,0,57
312143,0.601,-0.173,0.265,-155.099,25.321,132.382,0,61
312199,0.662,-0.442,0.26,-138.519,14.634,155.687,0,65
312247,0.505,-0.669,0.255,-107.687,8.092,175.389,30,100
312296,0.606,-0.897,0.105,-94.985,-5.115,178.534,71,99
312345,0.531,-1.221,0.166,-43.496,-10.336,147.366,64,100
312394,0.415,-1.177,0.108,29.118,-2.366,130.611,59,102
312444,0.271,-1.184,0.024,-19.725,-8.908,85.092,64,104
312494,0.499,-1.798,0.047,-26.366,-14.786,-205.171,62,104
312543,0.392,-1.727,0.145,58.214,8.426,-127.359,62,102
312591,0.37,-1.392,0.17,125.115,13.092,-181.45,86,99
312648,0.336,-0.923,0.194,132.893,7.979,-217.397,0,97
312704,0.403,-0.709,0.239,150.405,2.213,-218.603,0,65
312758,0.429,-0.346,0.194,178.466,1.193,-190.252,0,59
312813,0.562,-0.089,0.18,152.519,-4.267,-164.817,0,55
312867,0.77,0.115,0.222,76.443,0.703,-156.924,0,50
312922,0.818,0.392,0.236,40.504,18.626,-151.183,0,47
312975,0.755,0.446,0.262,-14.519,29.527,-154.496,0,44
313028,0.741,0.397,0.475,9.788,34.427,-157.015,127,41
313076,0.571,0.652,0.48,62.137,30.191,-147.626,111,34
313125,0.416,0.736,0.52,172.939,13.939,-54.672,109,50
313174,0.655,1.897,0.087,88.474,21.977,86.366,105,42
313223,0.613,0.968,0.434,-109.672,9.234,116.794,108,42
313276,0.628,0.555,0.557,-43.435,14.822,150.58,0,48
313330,0.559,0.566,0.318,-25.733,-14.901,195.939,0,48
313385,0.552,0.277,0.236,-110.313,-10.328,218.115,0,52
313441,0.365,-0.03,0.192,-139.855,-8.969,250.13,5,18
313499,0.314,-0.364,0.09,-211.198,-26.176,250.13,0,68
313556,0.383,-1.124,0.097,-175.756,-57.412,250.13,0,96
313607,0.413,-1.309,-0.023,-66.542,-45.0,223.16,70,99
313656,0.432,-1.699,-0.135,-29.359,-16.794,140.863,60,101
313705,0.269,-1.747,-0.184,-13.298,14.588,-11.037,57,102
313754,0.246,-1.739,-0.017,59.679,23.611,-104.794,63,100
313804,0.218,-1.34,0.016,138.321,26.656,-176.038,73,97
