Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
331293,0.521,0.408,0.666,-22.817,20.198,-195.74,45,0
331359,-0.057,0.635,0.783,47.107,20.641,-187.489,0,0
331423,0.15,1.057,0.552,-17.458,13.113,-82.893,0,0
331489,0.287,0.955,0.706,-3.724,-3.141,-21.244,0,0
331549,0.258,0.822,0.776,-29.351,20.398,4.995,0,109
331613,0.172,0.801,0.729,-33.947,-8.113,-47.526,0,108
331672,0.15,0.587,0.739,-34.237,17.046,40.908,0,107
331732,0.107,0.616,0.575,-39.748,20.885,-23.275,0,106
331793,0.151,0.518,0.544,-17.282,70.443,-33.885,0,106
331849,-0.227,0.862,0.396,-141.878,131.061,-26.542,0,51
331907,-0.456,0.476,0.853,-103.122,109.527,42.832,0,57
331967,-0.281,0.664,0.98,-32.435,86.992,102.725,0,112
332024,-0.306,0.552,0.973,-40.649,64.977,120.763,48,0
332081,-0.252,0.627,0.95,-55.74,55.847,133.901,47,0
332140,-0.227,0.718,0.959,-47.931,55.824,161.313,41,0
332196,-0.263,0.474,1.045,-92.527,32.885,183.939,37,0
332247,-0.24,0.336,1.084,-70.962,9.328,180.687,32,90
332302,-0.218,0.331,0.994,-47.733,-19.26,170.58,32,0
332357,-0.099,0.152,0.999,-4.415,-41.351,129.092,24,0
332413,-0.14,0.604,1.101,36.481,-19.725,108.977,33,0
332469,-0.149,0.533,0.999,34.153,2.469,101.275,27,0
332524,-0.103,0.385,0.779,10.371,21.065,69.489,27,0
332579,0.112,-0.035,0.793,-54.221,22.153,-21.382,23,0
332639,-0.088,0.032,0.769,-29.326,59.595,-103.611,29,0
332694,-0.478,0.673,0.964,13.973,56.26,-76.824,30,0
332761,-0.318,0.552,0.986,-36.311,28.527,-32.206,5,5
332816,-0.212,0.435,0.906,-19.534,21.0,-6.244,30,0
332872,-0.293,0.369,1.083,-7.815,-0.004,7.258,32,0
332928,-0.146,0.288,0.87,1.453,-18.374,-5.853,29,0
332984,-0.197,0.38,1.008,-10.579,-13.779,-0.842,34,0
333049,-0.161,0.443,1.028,2.494,7.66,9.113,0,0
333118,-0.391,0.472,1.001,-27.458,-23.649,-18.852,0,0
333173,-0.531,0.123,0.792,-44.786,-19.069,30.756,30,0
333230,-0.298,0.203,1.01,-20.725,-33.511,47.794,30,0
333285,-0.12,0.182,0.989,-5.721,-35.443,33.725,22,0
