Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
118173,-0.057,0.213,1.025,8.084,-4.586,-11.394,24,0
118241,-0.069,0.28,0.973,-7.704,-7.316,-16.965,0,0
118306,-0.036,0.225,0.995,-2.885,-5.367,-11.589,0,0
118371,-0.07,0.169,0.988,15.542,-8.469,-19.817,0,0
118426,-0.079,0.305,0.976,16.092,-10.672,-19.061,37,0
118492,-0.063,0.319,1.014,-17.824,-7.878,-19.031,0,0
118547,-0.076,0.214,0.981,0.38,-2.668,-12.081,29,0
118602,-0.057,0.248,1.022,-8.759,0.067,-7.88,30,0
118667,-0.114,0.201,0.959,-6.099,-1.415,-21.217,0,0
118734,-0.078,0.211,0.99,-2.943,-0.237,-20.328,0,0
118800,-0.093,0.274,1.001,-0.28,-2.749,-22.595,0,0
118864,-0.124,0.233,0.971,-6.798,-5.34,-24.824,0,0
118930,-0.08,0.261,0.973,1.479,-1.643,-26.336,0,0
118985,-0.092,0.272,1.023,3.096,-3.075,-26.252,29,0
119041,-0.088,0.278,1.007,3.889,-1.348,-25.55,43,0
119096,-0.12,0.176,1.025,11.145,-4.127,-27.427,30,0
119151,-0.079,0.346,0.993,4.53,-0.858,-21.191,30,0
119207,-0.093,0.337,0.973,-1.675,0.166,-13.539,30,0
119260,0.041,0.216,1.179,-8.455,5.046,-7.981,30,96
119309,0.027,0.393,0.979,0.928,-1.709,22.802,30,95
119358,0.129,0.197,1.164,-33.153,-29.878,20.356,30,95
119413,0.203,0.255,1.042,19.237,-50.733,37.74,32,0
119469,0.343,0.272,0.864,-53.649,-25.748,20.612,37,0
119525,0.035,-0.01,1.037,-36.26,21.733,14.54,44,0
119581,-0.027,0.206,0.887,-3.793,41.191,6.11,45,0
119646,-0.218,0.126,0.909,-26.069,39.267,-23.191,0,0
119711,-0.328,0.107,0.944,-7.422,35.466,-31.366,0,0
119770,-0.443,0.085,0.905,26.244,25.992,-23.252,29,0
119826,-0.466,0.206,0.928,8.099,20.84,-25.137,36,0
119890,-0.439,0.118,0.98,-11.39,9.656,-5.373,0,0
119956,-0.367,0.083,0.925,15.046,-3.61,-1.436,0,0
120020,-0.418,0.099,0.934,-3.145,-11.774,-5.059,0,0
120086,-0.335,0.123,0.906,12.962,-8.229,-0.392,0,0
120151,-0.346,0.131,0.948,18.595,-11.611,2.799,0,0
120216,-0.297,0.191,0.99,13.634,-8.214,9.105,0,0
120282,-0.255,0.215,0.919,-13.019,-8.359,7.933,0,0
120346,-0.236,0.217,1.009,7.561,-9.435,24.355,0,0
120410,-0.215,0.233,0.984,11.282,-11.824,20.562,0,0
120474,-0.195,0.184,0.927,18.237,-16.756,9.295,0,0
120540,-0.213,0.267,1.035,13.473,-12.45,19.092,0,0
120605,-0.184,0.273,0.955,-23.36,-16.045,1.728,0,0
120670,-0.184,0.231,0.975,-19.588,-7.14,10.84,0,0
120735,-0.101,0.226,0.982,-14.74,-4.057,16.474,0,0
120801,-0.178,0.21,0.95,2.687,-8.58,8.135,0,0
120865,-0.108,0.288,1.004,13.41,-11.924,23.462,0,0
120931,-0.075,0.311,1.042,0.803,-8.168,18.711,0,0
120999,-0.07,0.249,0.99,-9.382,-3.92,16.098,0,0
121056,-0.148,0.21,0.954,-13.45,-8.51,-1.43,46,0
121112,-0.136,0.181,0.941,-13.595,-5.606,0.47,41,0
121178,-0.127,0.215,1.02,1.51,-0.913,15.388,0,0
121277,-0.074,0.248,0.996,-8.273,0.921,18.199,43,0
121333,-0.043,0.233,0.995,-0.664,0.194,14.844,41,0
121399,-0.036,0.232,0.993,-1.233,-1.103,8.001,0,0
121463,-0.056,0.249,1.028,-6.822,1.17,10.26,0,0
121520,-0.101,0.2,0.962,-17.824,2.295,10.175,30,0
121578,-0.092,0.183,0.99,-4.925,3.259,12.971,30,0
121644,-0.077,0.201,1.004,-5.423,4.593,16.224,0,0
121700,-0.071,0.243,1.022,0.39,5.808,22.809,38,0
121764,-0.121,0.244,0.988,-10.796,7.527,21.975,0,0
121830,-0.114,0.213,0.965,-14.552,7.588,26.939,0,0
121895,-0.055,0.19,1.003,-16.351,4.155,36.554,0,0
121952,-0.111,0.215,1.048,5.148,1.171,35.184,32,0
122007,-0.142,0.171,0.96,-7.409,-2.546,7.118,29,0
122062,-0.127,0.204,1.015,-14.718,-1.064,19.427,30,0
122122,-0.125,0.132,1.004,-5.468,2.2,18.864,30,0
122187,-0.111,0.257,0.997,-4.825,4.026,30.695,0,0
122243,-0.12,0.154,0.984,-19.115,4.473,33.947,26,0
122298,-0.098,0.216,1.004,5.241,6.969,47.351,18,0
122352,-0.126,0.238,0.944,-36.496,5.275,50.893,19,0
122407,-0.091,-0.04,1.039,-29.969,-8.511,28.389,16,0
122463,-0.055,-0.004,1.048,1.815,-26.55,1.458,17,0
122528,-0.077,0.003,1.076,42.16,-34.947,-9.033,0,0
122584,0.032,0.316,0.977,28.992,-38.496,-8.302,27,0
122643,0.069,0.275,0.95,7.189,-21.55,6.193,30,0
122698,0.031,0.176,0.983,2.719,8.191,13.115,29,0
122764,-0.092,0.334,0.982,18.87,21.611,27.427,0,0
122829,-0.06,0.319,1.037,1.111,4.771,32.063,0,0
122895,-0.051,0.233,0.945,2.858,1.706,11.429,0,0
122950,-0.152,0.174,0.978,-4.638,9.29,7.612,30,0
123016,-0.183,0.319,0.914,12.947,12.611,-0.761,0,0
123072,-0.182,0.262,1.051,-7.503,-0.658,7.345,31,0
123138,-0.041,0.251,0.997,10.789,-0.673,10.874,0,0
123196,-0.061,0.334,0.978,4.915,2.734,9.334,30,0
123252,-0.092,0.201,1.018,-1.629,-3.718,4.236,30,0
123308,-0.059,0.247,0.975,23.229,0.999,6.087,30,0
123364,-0.054,0.41,0.983,13.962,-5.081,-1.225,30,0
123419,0.02,0.365,0.928,-31.336,-7.969,-14.677,31,0
123486,-0.014,0.159,0.972,-21.768,-7.726,-11.896,0,0
123541,-0.158,0.44,0.901,-15.366,-5.51,-7.431,30,0
123607,-0.19,0.342,0.974,-18.74,0.381,8.958,0,0
123672,-0.151,0.208,0.973,-32.939,-1.539,11.984,0,0
123731,-0.156,0.155,1.018,1.81,-3.997,4.851,37,0
123788,-0.076,0.31,1.001,17.076,-6.4,12.522,37,0
123854,-0.09,0.38,0.932,12.94,-4.923,21.763,0,0
123910,-0.106,0.265,0.936,-32.969,-0.945,16.192,30,0
123975,-0.053,0.184,0.961,-6.342,8.771,36.885,0,0
124032,0.052,0.19,0.963,-20.115,10.115,12.454,25,0
124087,0.094,-0.002,0.998,-13.145,-1.471,-16.756,24,0
124143,-0.2,-0.046,1.17,72.863,-8.55,-28.382,30,0
124198,-0.168,0.54,0.899,49.336,-11.885,-20.0,29,0
124306,-0.144,0.429,0.904,-33.542,-3.265,10.615,30,0
124361,-0.037,0.196,0.979,-62.191,-2.887,10.767,30,0
124416,-0.115,0.062,1.044,-25.344,-5.904,-2.763,32,0
124471,-0.286,0.239,1.128,-5.891,-4.425,26.351,30,0
124535,-0.063,0.367,0.859,-3.345,17.71,59.382,0,0
124591,0.254,-0.187,1.073,-6.043,-2.877,-0.236,22,0
124645,0.062,0.122,0.955,45.962,-32.084,-52.13,28,0
124700,-0.358,0.328,0.952,21.939,-3.166,-32.183,25,0
