Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
210509,-0.331,0.229,0.745,83.672,45.015,-29.977,66,102
210597,-0.461,0.313,0.653,175.206,76.191,-45.527,66,106
210688,-0.642,0.428,0.649,142.275,79.389,-55.985,66,126
210776,-0.753,0.575,0.336,189.855,53.229,-64.313,192,99
210863,-0.829,0.742,-0.056,213.145,33.557,-33.55,131,151
210950,-0.775,0.86,-0.05,77.244,-12.504,-52.45,133,148
211041,-0.837,0.655,-0.051,-3.491,-3.609,-63.321,134,0
211134,-0.952,0.521,-0.062,-4.435,1.124,-42.26,134,0
211224,-0.957,0.46,-0.043,-13.814,4.895,-18.443,135,0
211315,-0.923,0.321,-0.04,6.275,5.671,-2.879,134,0
211405,-0.933,0.432,-0.104,-6.988,-2.029,-2.579,134,0
211495,-0.923,0.302,-0.059,-18.561,0.83,-3.746,133,0
211587,-0.892,0.41,-0.057,-10.427,2.307,-0.356,135,0
211677,-0.937,0.372,-0.064,-8.002,0.502,0.096,134,0
211767,-0.913,0.345,-0.051,1.572,-2.727,-2.375,134,0
211864,-0.893,0.398,-0.059,-1.122,-0.683,-1.633,136,0
211956,-0.912,0.381,-0.056,-7.288,-2.502,-1.8,134,0
212045,-0.91,0.37,-0.052,-2.558,-2.705,-3.45,135,0
212135,-0.941,0.347,-0.058,-4.588,-2.615,-1.995,134,0
212225,-0.889,0.385,-0.0,3.713,0.404,4.683,136,0
212315,-0.918,0.358,-0.054,-5.546,-1.705,1.986,135,0
212404,-0.931,0.352,-0.039,-14.768,-1.427,-1.936,135,0
212493,-0.915,0.388,-0.02,-4.606,-0.508,-1.244,135,0
212583,-0.924,0.347,-0.025,-11.09,-0.673,-0.215,135,0
212675,-0.93,0.349,-0.057,-3.673,-1.785,0.866,134,0
212765,-0.908,0.345,-0.007,1.409,-0.218,3.644,134,0
212854,-0.939,0.36,-0.047,1.459,-2.13,2.416,135,0
212943,-0.88,0.389,0.006,-0.564,0.352,1.577,136,0
213033,-0.931,0.345,-0.037,0.032,-1.263,1.15,134,0
213123,-0.956,0.295,-0.054,10.297,-0.75,0.665,134,0
213213,-0.9,0.405,-0.019,3.673,-0.655,0.596,136,0
213302,-0.903,0.387,-0.014,-2.134,-0.161,1.996,136,0
213392,-0.932,0.348,-0.038,-0.813,-0.249,0.614,135,0
213484,-0.931,0.361,-0.048,-0.965,-1.817,2.343,135,0
213573,-0.935,0.323,-0.053,1.264,-2.09,0.629,134,0
213663,-0.931,0.342,-0.041,-2.529,-1.778,-1.33,135,0
213753,-0.889,0.405,-0.01,0.994,0.397,1.509,136,0
213842,-0.916,0.353,-0.025,0.577,-0.369,0.863,135,0
213933,-0.899,0.392,-0.05,-0.347,-0.764,1.268,136,0
214022,-0.926,0.342,-0.024,1.458,-0.415,1.22,135,0
214112,-0.889,0.386,-0.016,-4.704,-0.073,0.222,136,0
214201,-0.957,0.335,-0.085,-4.219,-2.023,0.454,134,0
214294,-0.888,0.374,0.009,1.41,0.142,4.103,136,0
214383,-0.944,0.318,-0.046,3.834,-1.114,1.018,134,0
214473,-0.942,0.347,-0.05,-8.081,-1.394,-1.297,134,0
214563,-0.923,0.371,-0.05,1.348,-1.267,0.843,135,0
214652,-0.949,0.329,-0.047,-2.234,-1.508,-0.383,134,0
214743,-0.919,0.351,-0.037,-0.534,-0.913,2.049,135,0
214832,-0.932,0.346,-0.06,-2.965,-1.339,1.135,134,0
214922,-0.958,0.312,-0.085,-0.175,-2.221,0.093,134,0
215012,-0.891,0.377,-0.003,1.63,0.148,1.792,136,0
215104,-0.942,0.342,-0.071,-3.287,-1.866,-0.389,134,0
215194,-0.924,0.352,-0.048,-1.5,-1.345,-0.055,136,0
215284,-0.909,0.365,-0.016,1.68,-0.281,1.29,137,0
215374,-0.917,0.352,-0.047,-4.9,-0.497,1.221,136,0
215463,-0.903,0.379,-0.017,1.965,-0.631,1.96,136,0
215554,-0.914,0.359,-0.014,0.043,-0.254,3.112,137,0
215644,-0.9,0.397,-0.021,-3.182,0.28,2.032,137,0
215734,-0.934,0.334,-0.036,0.287,-1.135,0.069,136,0
215823,-0.931,0.343,-0.043,-3.16,-1.013,-0.263,136,0
215916,-0.928,0.367,-0.049,-1.711,-0.511,1.05,136,0
216006,-0.925,0.362,-0.031,-0.486,-0.594,0.808,136,0
216096,-0.904,0.366,-0.018,-2.735,0.132,0.913,136,0
216181,-0.947,0.341,-0.062,-1.949,-1.797,0.844,66,0
216266,-0.901,0.389,-0.007,2.171,-0.292,1.502,66,0
216356,-0.909,0.373,-0.021,-2.009,-1.017,0.439,136,0
216446,-0.876,0.416,-0.052,1.815,-0.095,1.628,138,0
216536,-0.936,0.336,-0.053,-6.996,-0.837,0.445,135,0
216626,-0.941,0.33,-0.048,-3.754,-1.117,1.16,135,0
216719,-0.912,0.372,-0.013,-1.953,-0.928,1.038,136,0
216809,-0.896,0.375,-0.005,1.311,-0.456,1.694,137,0
216899,-0.91,0.37,-0.024,-0.804,-0.943,0.084,136,0
216989,-0.918,0.363,-0.021,-2.431,-0.83,1.1,136,0
217079,-0.908,0.37,-0.017,-1.334,-0.182,2.92,136,0
217169,-0.907,0.36,-0.005,-0.737,-0.62,2.018,137,0
217260,-0.947,0.327,-0.047,-2.136,-1.915,-0.203,135,0
217349,-0.861,0.415,0.029,0.52,1.17,0.65,138,0
217439,-0.912,0.358,-0.022,0.228,-0.491,0.35,136,0
217532,-0.941,0.346,-0.041,-1.46,-0.624,0.242,136,0
217622,-0.908,0.358,-0.022,0.503,-1.029,0.89,136,0
217712,-0.942,0.334,-0.052,-2.814,-0.168,1.54,135,0
217802,-0.924,0.345,-0.027,1.446,-1.014,0.286,136,0
217892,-0.956,0.31,-0.053,-2.647,-1.717,-0.548,135,0
217982,-0.904,0.371,-0.021,-0.715,-1.055,-0.282,136,0
218073,-0.956,0.33,-0.049,-1.546,-1.686,-0.304,135,0
218163,-0.916,0.368,-0.009,-0.875,-0.202,2.277,137,0
218256,-0.941,0.338,-0.045,-3.215,-1.099,1.72,135,0
218346,-0.926,0.346,-0.038,-2.63,-0.835,1.888,135,0
218436,-0.898,0.373,-0.002,1.111,-0.303,3.245,136,0
218526,-0.952,0.324,-0.047,-2.997,-1.431,0.81,134,0
218617,-0.964,0.314,-0.069,-3.828,-1.207,0.701,134,0
218707,-0.918,0.343,-0.014,-0.997,-0.862,1.501,135,0
218798,-0.928,0.342,-0.031,-3.366,-0.667,-0.175,135,0
218888,-0.937,0.345,-0.036,-1.672,-0.53,0.173,135,0
218978,-0.935,0.351,-0.034,-0.669,-1.094,-0.861,135,0
219071,-0.945,0.345,-0.049,-2.577,-1.959,-0.006,134,0
219161,-0.935,0.344,-0.027,-2.671,-1.849,-0.245,135,0
219251,-0.949,0.324,-0.051,-1.151,-3.246,0.075,133,0
219341,-0.93,0.347,-0.021,0.147,-1.319,0.88,134,0
219431,-0.942,0.332,-0.027,-2.085,-1.574,0.621,134,0
219522,-0.909,0.359,-0.014,0.266,-0.454,2.42,134,0
219613,-0.924,0.329,-0.023,0.465,-1.116,-0.094,134,0
219703,-0.941,0.339,-0.03,-4.12,-0.661,-1.401,134,0
219803,-0.951,0.334,-0.042,-2.3,-1.305,-0.952,133,0
219891,-0.987,0.289,-0.08,-3.159,-2.319,-1.639,66,39
219981,-0.933,0.332,-0.031,-2.462,-1.001,1.563,134,0
220071,-0.935,0.338,-0.028,-0.689,-0.734,2.31,134,0
220161,-0.897,0.364,0.004,-1.003,0.393,3.622,135,0
220251,-0.915,0.356,-0.013,0.299,-0.327,2.426,134,0
220341,-0.911,0.358,0.002,0.221,-0.392,2.157,135,0
220430,-0.928,0.34,-0.035,-0.885,-1.102,0.774,135,0
220516,-0.912,0.362,-0.011,0.125,-0.5,1.08,135,129
220602,-0.922,0.348,-0.032,-0.614,-0.368,0.005,135,129
220690,-0.949,0.322,-0.052,-0.089,-0.455,-0.241,134,128
220776,-0.931,0.347,-0.03,-1.314,-0.279,0.865,135,128
220865,-0.965,0.318,-0.059,-0.054,-2.018,-0.619,134,0
220955,-0.907,0.354,-0.014,-1.173,-0.622,1.389,135,0
221045,-0.91,0.369,-0.027,-1.6,0.047,1.303,135,0
221134,-0.928,0.344,-0.039,-0.029,-0.68,1.153,135,0
221224,-0.94,0.339,-0.041,-1.729,-0.901,0.344,135,0
221315,-0.949,0.331,-0.055,-2.18,-1.103,1.737,134,0
221405,-0.924,0.353,-0.023,-0.566,-0.68,2.254,135,0
221497,-0.968,0.296,-0.072,-4.525,-1.547,-1.316,134,0
221583,-0.905,0.376,-0.015,-0.075,0.06,1.908,136,128
221673,-0.925,0.344,-0.037,-0.931,-0.8,1.285,135,0
221763,-0.904,0.368,-0.006,-1.887,-0.654,2.716,135,0
221852,-0.939,0.332,-0.061,-2.589,-1.862,1.077,134,0
221942,-0.892,0.371,-0.014,0.819,-0.32,2.705,136,0
222032,-0.941,0.325,-0.051,-2.883,-1.07,0.521,134,0
222123,-0.944,0.339,-0.049,-2.128,-0.875,0.454,135,0
222216,-0.897,0.373,-0.007,0.83,0.043,1.269,136,0
222301,-0.949,0.329,-0.051,-1.495,-1.136,0.215,134,129
222391,-0.91,0.358,-0.015,-1.013,-0.293,1.172,135,0
222477,-0.945,0.326,-0.059,-0.824,-0.889,-0.043,134,128
222567,-0.959,0.309,-0.054,-2.691,-0.816,-1.639,134,0
222653,-0.903,0.382,0.005,0.108,0.292,1.372,136,128
222743,-0.911,0.367,-0.002,0.801,-0.451,1.194,136,0
222833,-0.944,0.316,-0.058,-1.654,-1.798,0.49,134,0
222923,-0.925,0.348,-0.031,-0.635,-0.768,2.195,135,0
223016,-0.903,0.362,-0.009,0.035,-0.644,2.586,136,0
223107,-0.916,0.351,-0.021,-0.553,-0.632,1.473,135,0
223197,-0.909,0.357,-0.019,-1.373,-0.192,0.858,135,0
223287,-0.909,0.366,-0.029,0.59,-0.514,1.268,135,0
223377,-0.938,0.335,-0.038,-1.344,-1.286,-0.594,135,0
223467,-0.927,0.35,-0.036,-2.961,-0.752,0.08,135,0
223557,-0.962,0.319,-0.064,-1.566,-1.832,0.048,134,0
223647,-0.885,0.385,0.016,1.014,0.074,2.425,137,0
223737,-0.94,0.323,-0.048,-2.728,-1.465,1.212,135,0
223831,-0.948,0.326,-0.05,-2.127,-1.321,-0.524,135,0
223921,-0.907,0.353,-0.012,-0.168,-0.217,1.577,136,0
224011,-0.97,0.297,-0.079,-4.143,-1.645,-0.831,134,0
224101,-0.919,0.351,-0.023,-2.023,-0.694,0.615,135,0
224191,-0.964,0.318,-0.069,-4.139,-1.575,0.173,134,0
224281,-0.932,0.341,-0.033,-1.162,-0.939,1.846,135,0
224371,-0.957,0.303,-0.051,-3.308,-1.191,0.306,134,0
224461,-0.9,0.371,-0.011,-0.945,0.204,0.805,136,0
224551,-0.89,0.378,0.005,-0.312,0.227,2.308,136,0
224645,-0.932,0.339,-0.043,-1.766,-1.361,1.554,135,0
224735,-0.929,0.33,-0.031,-1.428,-1.001,1.222,135,0
224826,-0.968,0.315,-0.075,-3.798,-1.692,-0.711,134,0
224916,-0.921,0.353,-0.026,-0.386,-0.929,3.772,135,0
225006,-0.932,0.337,-0.032,-2.706,-0.701,2.903,134,0
225096,-0.928,0.342,-0.035,-1.072,-1.33,0.942,135,0
225186,-0.913,0.372,-0.009,0.293,-0.976,0.805,135,0
