Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
270472,-0.82,0.55,0.246,8.438,13.713,3.106,142,103
270557,-0.834,0.331,0.343,38.115,36.356,1.554,141,106
270642,-0.844,0.362,0.243,83.053,45.163,4.146,142,107
270728,-0.834,0.454,0.141,58.763,17.147,-10.77,142,103
270815,-0.896,0.528,0.056,86.74,23.01,-6.801,143,136
270901,-0.882,0.486,-0.034,58.153,13.066,-25.229,58,0
270987,-0.933,0.456,-0.079,31.985,10.742,-45.931,58,0
271082,-0.968,0.426,-0.131,-39.611,-3.769,-53.695,57,0
271166,-0.959,0.399,-0.051,-68.542,2.158,-35.443,55,0
271245,-0.892,0.392,-0.044,-67.053,-4.68,-16.868,54,101
271324,-0.879,0.43,-0.025,-89.595,-3.331,-1.093,51,105
271409,-0.966,0.417,-0.129,-111.267,-9.78,-4.431,135,109
271496,-1.033,0.396,-0.156,-116.336,15.303,60.145,128,161
271583,-0.999,0.567,-0.172,-106.183,26.092,126.344,122,175
271671,-0.894,0.571,-0.034,-117.244,46.153,144.466,186,111
271762,-0.845,0.538,-0.039,-118.656,58.611,129.321,181,135
271847,-0.746,0.634,0.097,-75.168,54.74,115.55,143,104
271931,-0.65,0.735,0.131,-41.985,58.939,100.336,136,107
272015,-0.509,0.668,0.077,-14.602,67.389,77.473,133,104
272099,-0.557,0.728,0.243,-21.302,28.802,50.58,132,104
272182,-0.555,0.844,0.373,31.313,-42.924,34.412,131,80
272265,-0.56,0.838,0.29,53.008,-109.725,-1.968,131,77
272349,-0.671,0.832,0.127,72.397,-157.595,-6.562,132,105
272431,-0.633,0.917,-0.16,62.573,-175.58,-43.534,133,73
272518,-0.529,0.964,-0.251,26.107,-165.069,-61.588,134,104
272603,-0.521,0.856,-0.276,77.137,-146.214,-73.168,136,105
272688,-0.506,0.757,-0.397,131.481,-133.733,-73.779,142,103
272775,-0.507,0.8,-0.417,79.351,-106.588,-84.611,199,100
272868,-0.629,0.756,-0.337,78.595,-64.588,-96.954,183,0
272961,-0.702,0.631,-0.212,50.779,-44.42,-110.008,194,0
273050,-0.927,0.547,-0.179,34.038,-35.389,-123.107,131,0
273140,-1.035,0.442,-0.073,-17.791,-28.307,-87.557,134,0
273233,-1.023,0.43,0.045,-12.955,1.599,-15.925,136,0
273323,-0.973,0.421,0.05,-13.764,1.348,30.188,135,0
273413,-0.943,0.419,-0.021,-45.206,6.635,35.847,132,0
273502,-0.873,0.497,-0.118,-76.275,24.601,57.71,128,0
273593,-0.886,0.631,-0.314,-132.809,42.573,60.771,152,0
273683,-0.939,0.586,-0.391,-154.183,77.267,97.023,142,0
273768,-0.914,0.735,-0.43,-154.229,105.908,134.718,131,113
273854,-0.798,0.688,-0.33,-126.763,107.237,143.824,172,100
