Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33575,-0.293,0.139,0.947,3.249,0.19,-1.306,0,0
33636,-0.296,0.145,0.953,-3.403,-0.908,-2.657,0,0
33696,-0.269,0.133,0.946,-0.229,-0.443,-0.763,0,0
33756,-0.304,0.158,0.935,-1.812,0.553,-3.341,0,0
33816,-0.292,0.128,0.946,1.202,-0.182,-1.876,0,0
33875,-0.305,0.203,0.919,-5.465,0.87,-2.471,0,0
33936,-0.29,0.105,0.955,8.719,0.878,0.988,0,0
33996,-0.29,0.157,0.938,-5.453,0.603,-2.574,0,0
34059,-0.283,0.142,0.936,8.256,2.557,-0.517,0,0
34119,-0.311,0.164,0.91,3.69,5.498,-3.535,0,0
34179,-0.283,0.135,0.873,16.343,12.759,-5.045,0,0
34234,-0.276,0.115,0.824,35.046,33.611,-14.133,0,117
34289,-0.348,0.151,0.787,35.305,47.214,-21.61,0,116
34344,-0.306,-0.042,0.786,106.634,76.458,-28.16,0,108
34400,-0.464,0.099,0.591,191.603,105.305,-47.038,0,105
34454,-0.771,0.737,0.332,142.443,101.84,-67.527,0,107
34509,-0.822,0.464,0.469,35.992,101.931,-81.16,0,102
34567,-0.913,0.29,0.448,56.176,93.618,-79.58,0,100
34627,-0.96,0.296,0.32,110.084,81.336,-96.603,0,0
34688,-1.062,0.276,0.15,116.733,75.397,-100.023,0,0
34747,-1.159,0.239,0.063,97.458,60.328,-76.863,0,0
34807,-1.117,0.1,0.097,96.695,43.099,-50.924,0,0
34868,-1.012,0.11,0.061,151.618,28.802,-31.053,0,0
34928,-0.998,0.358,-0.177,163.275,18.992,-18.031,0,0
34989,-1.009,0.536,-0.16,29.695,5.984,-24.702,0,0
35049,-0.959,0.183,-0.025,9.046,14.161,-14.744,0,0
35112,-0.962,0.163,-0.006,23.395,-0.026,13.282,0,0
35172,-0.988,0.2,-0.204,68.504,-4.819,30.954,0,0
35232,-0.979,0.268,-0.14,25.291,-1.921,59.382,0,0
35293,-0.897,0.443,-0.189,-36.718,7.061,52.893,0,0
35353,-0.907,0.242,-0.151,-89.832,11.654,27.42,0,0
35414,-0.953,0.091,-0.106,-61.649,19.912,22.628,0,0
35474,-0.93,0.296,-0.197,-47.031,14.528,20.057,0,0
35534,-0.879,0.359,-0.174,-94.863,16.261,5.253,0,0
35595,-0.9,0.321,-0.122,-101.771,33.321,-16.324,0,0
