Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
91608,-0.19,-0.317,0.952,2.016,-7.116,4.737,3,6
91644,-0.149,-0.313,0.958,-0.941,-8.252,3.318,3,6
91682,-0.2,-0.319,0.932,0.969,-8.179,-0.338,4,7
91720,-0.165,-0.33,0.942,-5.44,-4.071,3.517,3,6
91757,-0.172,-0.327,0.96,-0.61,-5.77,0.371,3,5
91795,-0.153,-0.24,0.953,2.44,-5.612,-0.566,3,4
91833,-0.138,-0.218,0.929,-5.932,-2.235,-1.017,3,5
91870,-0.179,-0.308,0.955,-7.515,-2.866,0.358,3,5
91911,-0.153,-0.27,0.957,-4.836,-4.158,0.741,4,4
91948,-0.155,-0.221,0.921,-12.343,-3.639,-0.398,4,5
91985,-0.151,-0.323,0.953,-20.947,-5.813,0.591,3,4
92023,-0.145,-0.332,0.956,-2.245,-2.688,-0.556,3,5
92061,-0.166,-0.299,0.932,1.672,-2.666,-1.803,4,4
92098,-0.143,-0.247,0.928,-3.57,-2.019,-7.185,3,4
92136,-0.18,-0.31,0.969,-12.987,-0.705,-5.102,3,3
92174,-0.142,-0.403,1.007,11.231,-3.01,2.377,2,5
92211,-0.138,-0.332,0.966,28.947,-0.671,4.27,3,5
92252,-0.153,-0.221,0.9,-8.349,-4.921,-8.091,2,3
92290,-0.145,-0.319,1.0,-3.591,-4.328,-8.519,3,3
92326,-0.163,-0.293,0.987,6.359,-3.681,-5.656,2,4
92364,-0.14,-0.293,0.985,14.64,-7.178,-5.411,2,3
92402,-0.144,-0.196,0.947,12.219,-2.515,-7.185,3,4
92439,-0.167,-0.248,0.968,1.919,-6.066,-10.555,3,4
92477,-0.103,-0.221,0.989,3.349,-1.921,-11.017,3,3
92515,-0.145,-0.226,0.979,0.386,-2.777,-10.289,3,3
92553,-0.136,-0.21,0.976,5.275,-5.337,-9.45,3,4
92593,-0.118,-0.248,0.986,13.85,-4.482,-7.876,3,3
92631,-0.057,-0.12,0.965,14.373,-3.226,-12.003,2,3
92668,-0.114,-0.137,0.925,7.258,-2.034,-7.756,2,2
92705,-0.062,-0.16,0.969,-13.366,0.2,-15.502,2,3
92743,-0.191,-0.3,1.006,-13.432,0.064,-13.479,3,3
92781,-0.122,-0.267,1.046,24.489,0.436,-2.499,3,2
92819,-0.129,-0.192,1.021,36.069,2.175,2.924,3,3
92856,-0.134,-0.143,1.01,38.038,0.8,4.359,3,2
92894,-0.13,-0.089,0.997,33.847,0.495,5.719,3,3
92935,-0.094,0.01,0.98,27.138,1.14,4.781,3,3
92973,-0.137,-0.051,0.967,-9.395,-0.059,1.754,3,3
93009,-0.089,-0.035,1.039,-12.381,1.24,1.176,4,3
93047,-0.113,-0.113,1.045,-3.708,0.812,1.452,4,4
93085,-0.182,-0.119,0.987,4.032,0.312,3.864,4,3
93123,-0.121,-0.065,1.003,10.791,0.005,5.125,4,4
93161,-0.117,-0.044,0.978,3.324,-1.155,0.699,4,4
93199,-0.134,-0.019,0.979,-11.796,-3.211,-5.056,4,3
93237,-0.132,-0.086,1.029,-11.192,-4.641,-5.939,4,3
93275,-0.123,-0.059,0.999,-1.207,-2.851,-2.165,4,3
93316,-0.12,-0.043,0.993,-3.441,-1.9,-4.74,4,2
93353,-0.125,-0.079,0.995,-8.613,-2.564,-3.648,4,2
93391,-0.123,-0.021,0.977,-15.194,-1.323,-4.279,4,2
93429,-0.133,-0.12,1.016,-20.631,-1.198,-3.066,3,2
93467,-0.114,-0.132,1.029,-11.219,-2.134,-2.11,4,2
93548,-0.113,-0.136,1.003,-21.27,-6.31,-3.737,4,2
93586,-0.12,-0.178,1.025,-4.341,-5.47,-3.898,3,2
93624,-0.144,-0.111,0.986,2.939,-7.169,-3.992,4,2
93662,-0.098,-0.103,1.001,-4.12,-7.225,-7.566,4,2
93703,-0.123,-0.08,1.002,-4.185,-4.059,-6.425,4,3
93741,-0.106,-0.117,1.01,-4.405,-4.071,-2.849,4,3
93778,-0.105,-0.095,1.0,1.077,-0.253,0.206,4,3
93816,-0.115,-0.069,0.991,-0.423,2.71,5.078,4,3
93854,-0.132,-0.07,0.983,-0.126,4.125,6.915,4,3
93892,-0.112,-0.081,0.974,-5.711,5.673,7.418,4,2
93941,-0.091,-0.11,1.006,1.185,8.036,5.945,0,3
93979,-0.121,-0.079,0.964,4.962,9.554,5.72,6,3
94017,-0.1,-0.119,0.992,-2.566,5.819,0.791,6,3
94058,-0.128,-0.16,1.04,17.85,6.71,-3.375,5,3
94096,-0.169,-0.136,1.047,34.969,0.758,-2.963,4,2
94145,-0.145,0.043,0.996,35.916,-4.505,-8.176,0,3
94184,-0.136,0.067,0.968,4.549,-11.922,-22.481,8,4
94233,-0.122,0.062,0.938,-41.565,-13.444,-35.328,0,7
94272,-0.099,-0.163,1.071,-20.669,-10.728,-36.145,4,7
94310,-0.123,-0.1,1.004,26.053,-7.337,-27.847,6,6
94349,-0.099,0.022,0.959,23.412,-4.593,-23.046,5,10
94387,-0.055,0.003,0.986,9.072,-1.097,-26.176,5,6
94430,-0.108,0.002,1.004,9.194,4.936,-26.046,17,6
94479,-0.11,-0.005,1.011,-0.629,6.193,-25.985,0,9
94518,-0.124,-0.045,1.025,12.95,6.709,-29.702,5,22
94557,-0.173,0.039,0.999,8.652,2.93,-28.733,6,9
94596,-0.135,0.024,1.022,5.432,-0.361,-29.771,6,15
94635,-0.139,0.024,1.028,13.448,-1.764,-30.763,9,16
94681,-0.148,0.054,1.018,14.646,-3.23,-28.092,9,140
94728,-0.136,0.041,1.029,4.341,-9.678,-26.824,11,139
94774,-0.123,0.051,0.995,6.892,-10.861,-26.206,11,138
94824,-0.131,0.056,0.968,9.581,-5.0,-29.573,17,137
94870,-0.124,0.059,0.95,21.864,-0.091,-38.573,16,137
94927,-0.167,0.037,0.913,23.223,3.604,-46.771,0,137
94985,-0.161,-0.003,0.836,58.237,18.613,-69.092,0,139
95033,-0.229,-0.036,0.739,117.916,52.153,-104.534,32,140
95092,-0.508,-0.124,0.739,232.252,67.542,-119.527,0,177
95150,-0.687,0.44,0.402,250.13,28.344,-121.359,0,132
95211,-0.617,0.851,0.475,191.069,13.831,-155.969,0,0
95271,-0.629,0.675,0.397,134.519,25.374,-167.611,0,0
95331,-0.809,0.598,0.309,107.527,44.809,-170.244,193,116
95391,-0.898,0.446,0.237,136.58,43.405,-168.603,193,0
95453,-1.043,0.375,0.039,170.924,40.397,-161.771,198,0
95513,-1.201,0.458,-0.135,153.786,36.427,-148.206,0,0
95575,-1.255,0.38,-0.077,106.42,20.737,-107.634,0,0
95632,-1.144,0.301,0.014,78.901,3.145,-35.847,141,0
95690,-1.007,0.16,0.093,91.55,-12.022,7.858,142,0
95748,-0.964,0.276,0.049,100.924,-22.56,39.046,143,0
95806,-0.922,0.434,0.017,59.053,-3.894,49.397,143,0
95866,-0.994,0.291,0.066,-27.713,-9.605,48.275,142,0
95968,-0.923,0.195,0.079,44.13,-6.438,39.466,142,0
96025,-0.887,0.246,0.019,57.679,-0.929,36.137,141,0
96082,-0.929,0.288,-0.149,64.0,4.098,36.099,141,0
96141,-0.917,0.232,-0.119,50.924,14.367,1.281,141,0
96198,-0.914,0.449,-0.071,-3.979,6.915,6.633,141,0
96256,-0.937,0.259,-0.05,40.916,6.059,-5.938,140,0
96315,-0.866,0.471,-0.127,52.992,-1.751,25.051,173,0
96373,-0.94,0.394,-0.097,-54.969,6.604,-17.003,141,0
96434,-0.921,0.316,-0.041,2.837,-3.345,-5.159,140,0
96492,-0.95,0.307,-0.062,33.336,-4.585,0.075,140,0
96549,-0.912,0.348,-0.119,6.845,-10.821,-19.693,141,0
96608,-0.964,0.194,-0.095,-29.946,-6.413,-25.023,140,0
96665,-0.928,0.316,-0.18,-10.571,4.785,-29.0,140,0
96722,-1.0,0.126,-0.111,-46.855,9.279,-34.573,140,0
96781,-0.926,0.207,-0.106,-17.544,7.408,-47.763,140,0
96838,-0.982,0.12,-0.089,-17.017,0.692,-33.542,141,0
96900,-1.028,0.118,-0.08,-30.0,-0.769,-40.618,141,0
96958,-0.98,0.184,-0.077,-1.566,0.249,-25.29,142,0
97016,-1.025,0.062,-0.026,-10.629,1.941,-6.285,143,0
97074,-1.012,0.167,-0.088,29.649,-11.351,-8.132,143,0
97132,-0.948,0.198,-0.081,-36.481,-7.271,-15.522,144,0
