Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
161635,-0.963,0.130,0.103,129.954,121.099,-149.031,0.0,0.0
161700,-0.980,0.365,0.013,42.153,102.084,-143.176,0.0,0.0
161766,-1.010,0.118,0.215,-0.985,89.160,-118.008,0.0,0.0
161820,-1.054,0.127,0.264,28.458,62.794,-69.802,16.0,0.0
161886,-1.204,0.138,0.246,41.267,28.969,-32.985,0.0,0.0
161951,-1.300,0.268,0.148,26.992,-4.038,26.985,0.0,0.0
162017,-1.364,0.153,0.021,-30.672,-54.168,91.527,0.0,0.0
162072,-1.596,0.096,-0.187,-75.420,-109.435,178.718,19.0,0.0
162138,-1.515,0.091,-0.184,-94.634,-130.702,207.969,0.0,0.0
162206,-0.829,0.140,-0.058,-92.847,-130.939,197.565,0.0,0.0
162272,-0.517,0.233,-0.032,-71.740,-109.260,134.977,0.0,0.0
162337,-0.672,0.332,-0.022,-48.878,-68.443,59.794,0.0,0.0
162403,-0.937,0.354,-0.022,-58.649,-21.832,12.015,0.0,0.0
162468,-1.236,0.226,-0.022,-64.588,22.481,-38.611,0.0,0.0
162534,-1.243,0.020,-0.013,-11.588,58.160,-38.565,0.0,0.0
162599,-1.156,0.142,-0.081,9.481,102.710,-40.679,0.0,0.0
162665,-1.280,0.069,0.102,13.809,96.573,-92.252,0.0,0.0
162731,-0.986,-0.032,0.184,148.626,102.901,-108.664,0.0,0.0
162799,-0.739,0.314,0.027,167.198,100.405,-123.687,0.0,0.0
162865,-0.909,0.428,0.061,30.885,92.321,-143.710,0.0,0.0
162930,-1.162,0.094,0.230,-18.595,78.908,-111.695,0.0,0.0
162985,-1.219,0.019,0.305,70.466,34.405,-35.565,17.0,0.0
163041,-1.214,0.254,0.192,91.427,1.977,12.603,17.0,0.0
163096,-1.282,0.399,0.097,26.656,-21.405,44.595,17.0,0.0
163150,-1.378,0.221,0.026,-52.183,-61.435,95.092,17.0,0.0
163217,-1.717,0.139,-0.115,-91.351,-103.794,140.038,0.0,0.0
163282,-1.281,0.054,-0.084,-61.687,-127.748,182.725,0.0,0.0
163351,-0.781,0.279,-0.123,-66.878,-108.496,192.321,0.0,0.0
163417,-0.740,0.310,-0.096,-122.015,-90.427,140.290,0.0,0.0
163483,-0.826,0.242,-0.061,-135.985,-68.450,95.649,0.0,0.0
163548,-0.926,0.212,0.064,-78.855,-28.832,46.947,195.0,0.0
163614,-1.038,0.170,0.051,-12.725,17.099,-13.794,0.0,0.0
163679,-1.074,0.133,0.041,40.832,64.931,-57.267,190.0,0.0
163744,-1.083,0.216,0.048,51.344,114.916,-92.748,190.0,0.0
163809,-1.235,0.112,0.094,43.023,117.321,-131.275,189.0,0.0
163878,-0.987,0.016,0.166,129.160,126.221,-149.252,0.0,0.0
163944,-0.933,0.288,0.062,118.710,114.695,-146.092,0.0,0.0
