Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
48376,-0.957,0.182,0.252,-9.349,22.649,55.901,0,122
48432,-1.197,0.281,0.19,-7.082,17.384,73.695,0,128
48488,-1.214,0.018,0.074,-6.897,-43.641,110.038,0,136
48545,-1.116,0.099,0.069,48.023,-49.695,155.954,0,144
48604,-1.113,0.518,-0.074,-19.779,-39.817,159.427,0,168
48657,-1.125,0.275,-0.075,-89.176,-18.74,127.336,0,73
48720,-1.018,0.325,-0.036,-92.595,-12.12,116.412,0,0
48784,-0.928,0.221,0.039,-75.595,-33.191,79.878,0,0
48844,-0.803,0.278,0.127,-17.743,-28.733,70.435,0,0
48904,-0.795,0.292,0.157,-0.342,-30.305,41.641,0,0
48964,-0.936,0.441,0.084,-2.997,-18.009,-2.091,0,0
49025,-0.942,0.328,0.122,-27.033,-3.767,-34.046,0,0
49085,-1.142,0.215,0.046,-15.281,9.791,-70.466,0,0
49144,-0.923,0.161,0.015,46.489,19.672,-83.015,0,0
49201,-0.899,0.179,0.021,71.267,28.389,-97.725,0,122
49256,-1.04,0.165,0.027,80.031,26.763,-110.573,0,117
49314,-0.986,0.232,0.038,112.886,23.634,-111.573,0,113
49370,-0.879,0.434,-0.02,114.832,22.656,-107.382,0,113
49425,-0.927,0.366,0.064,85.511,28.824,-99.893,0,113
49480,-0.906,0.347,0.131,45.824,37.366,-85.359,0,116
49541,-0.925,0.341,0.203,16.798,30.733,-72.374,0,0
49601,-1.043,0.315,0.234,23.832,25.962,-52.076,0,0
49661,-1.05,0.388,0.14,22.863,17.304,-2.318,0,0
49718,-1.485,0.458,0.0,-25.643,6.437,46.092,0,133
49775,-1.338,0.161,-0.028,-57.26,-40.168,142.649,0,144
49839,-1.39,0.205,-0.133,-62.153,-51.611,219.496,0,0
49896,-1.175,0.322,-0.177,-107.817,-43.924,216.794,0,157
49956,-0.855,0.277,-0.096,-143.886,-38.0,172.756,0,0
50017,-0.701,0.27,-0.06,-127.42,-30.626,105.489,0,0
50078,-0.716,0.234,0.009,-80.504,-14.346,45.351,0,0
50138,-0.802,0.238,-0.006,-37.901,-6.802,16.858,0,0
50193,-0.998,0.299,0.003,-21.565,8.96,-32.336,104,0
50253,-1.04,0.228,0.047,-1.087,22.473,-57.977,0,0
50314,-1.139,0.17,0.071,50.802,48.557,-100.687,0,0
50377,-1.025,0.282,0.064,62.389,80.42,-116.267,0,0
50438,-1.217,0.227,0.067,12.262,67.977,-137.931,0,0
50498,-1.055,0.039,0.184,53.191,50.962,-123.321,0,0
50558,-0.877,0.232,0.118,90.634,59.298,-104.611,0,0
50619,-0.87,0.365,0.062,-4.541,41.282,-96.099,0,0
50679,-0.931,0.237,0.23,-10.375,35.031,-66.298,0,0
50740,-1.064,0.254,0.232,3.57,18.0,-38.214,0,0
50800,-1.042,0.296,0.178,7.116,4.718,17.97,0,0
50850,-1.191,0.367,0.118,-13.822,-12.497,35.893,18,0
50904,-1.595,0.309,-0.082,-53.221,-41.023,61.489,16,0
50953,-1.556,0.058,-0.189,-47.092,-80.817,138.771,16,0
51013,-1.388,0.181,-0.296,-63.931,-79.847,218.824,199,0
51073,-0.994,0.317,-0.219,-127.305,-62.87,219.702,165,0
51130,-0.773,0.249,-0.083,-138.534,-53.618,169.893,158,0
51184,-0.615,0.198,-0.021,-91.55,-47.473,104.13,151,125
51237,-0.63,0.242,0.012,-43.099,-26.45,54.038,147,127
51333,-0.929,0.319,-0.003,-6.814,16.611,-28.595,138,126
51388,-1.007,0.214,0.045,-8.137,31.74,-58.527,135,104
51438,-1.248,0.107,0.066,52.237,43.443,-88.71,132,94
51494,-1.015,0.147,-0.005,136.71,80.809,-110.168,131,0
51548,-1.191,0.465,-0.112,88.13,88.191,-116.115,131,140
51602,-1.304,0.266,-0.025,37.939,51.221,-133.321,131,140
51658,-0.982,-0.005,0.276,134.664,56.786,-110.382,132,0
51719,-0.902,0.405,-0.034,47.481,55.863,-92.794,0,0
51780,-0.748,0.222,0.169,0.811,40.939,-65.87,0,0
51841,-1.071,0.34,0.111,67.153,33.29,-26.053,0,0
51904,-1.152,0.464,0.166,40.733,-8.71,60.473,0,0
51964,-1.46,0.43,0.058,40.611,-36.107,131.565,0,0
52025,-1.456,0.583,-0.176,36.084,-60.115,198.237,0,0
52080,-1.095,0.666,-0.253,-90.557,-55.397,209.214,0,103
52131,-0.793,0.46,0.003,-116.198,-47.992,167.985,163,55
52180,-0.684,0.48,-0.004,-64.031,-39.13,138.687,156,50
52230,-0.455,0.462,0.024,-84.038,-38.42,108.992,152,51
52279,-0.494,0.404,0.045,-85.237,-45.511,50.748,149,40
52330,-0.543,0.292,0.169,-34.695,-38.702,20.649,148,31
52380,-0.731,0.3,0.129,24.893,-30.221,-24.916,0,33
52431,-0.814,0.428,0.085,58.252,-8.618,-52.382,0,35
52483,-0.911,0.503,-0.001,31.832,3.118,-101.359,0,35
52535,-1.249,0.347,-0.012,-2.636,28.725,-134.817,0,36
52586,-1.184,0.18,-0.027,46.916,44.527,-147.053,0,37
52637,-1.218,0.206,-0.082,68.489,54.58,-131.412,0,41
52695,-1.314,0.27,-0.082,88.168,49.565,-133.74,145,0
52753,-1.143,0.214,-0.048,118.137,47.42,-120.053,146,0
52816,-0.867,0.336,-0.013,115.557,47.962,-99.656,0,0
52878,-0.806,0.316,0.024,81.992,35.977,-77.573,0,0
52938,-0.828,0.384,0.048,60.382,40.595,-66.763,0,0
52999,-1.066,0.316,0.074,45.565,35.878,-56.626,0,0
53054,-1.051,0.281,0.141,54.893,27.336,-8.578,97,0
53114,-1.209,0.206,0.166,66.733,8.661,47.267,0,0
53171,-1.406,0.139,0.065,50.443,-35.557,133.321,125,0
53227,-1.705,-0.067,0.087,42.275,-82.031,250.13,113,0
53273,-1.731,0.236,-0.052,6.144,-102.16,250.13,104,49
53323,-1.201,0.274,0.032,-59.443,-114.298,250.13,100,57
53377,-0.748,0.134,0.124,-70.763,-113.107,194.0,177,77
53425,-0.456,0.118,0.177,-33.075,-99.252,117.244,99,83
53477,-0.372,0.209,0.134,-0.859,-89.168,46.718,168,87
53531,-0.386,0.236,0.139,26.45,-74.267,-30.305,0,90
53584,-0.541,0.324,0.131,64.71,-47.221,-101.443,169,97
53633,-0.831,0.402,0.052,80.992,-24.504,-156.656,93,90
53682,-1.139,0.327,-0.001,95.511,-11.271,-193.84,95,87
53735,-1.297,0.236,-0.065,153.672,-3.996,-228.168,0,73
53790,-1.42,0.269,-0.173,169.0,9.621,-192.45,159,81
53841,-1.518,0.41,-0.245,105.672,8.36,-177.313,94,142
53893,-1.283,0.178,-0.098,84.237,1.825,-139.84,96,137
53944,-0.961,0.153,-0.053,157.42,14.095,-91.954,99,134
53996,-0.765,0.298,-0.091,170.771,2.283,-53.557,101,134
54093,-0.681,0.415,-0.062,129.527,13.531,-47.275,103,189
54149,-0.75,0.318,-0.057,111.565,27.489,-36.031,103,0
54204,-0.963,0.304,-0.093,117.794,43.527,11.095,101,0
54261,-1.297,0.38,-0.0,95.939,55.198,35.87,63,0
54317,-1.482,-0.112,0.133,68.267,-2.193,138.267,57,0
54368,-1.685,0.02,0.199,116.099,-13.258,250.13,79,137
54417,-1.677,0.296,0.098,62.244,-54.557,250.13,71,130
54474,-1.179,0.207,0.177,-32.861,-106.847,225.962,130,0
54528,-0.811,0.052,0.158,26.947,-131.664,146.45,129,142
54582,-0.517,0.137,0.046,103.573,-131.931,67.137,179,97
