Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
351797,-0.297,0.381,0.187,-28.504,-1.438,20.74,148,50
351854,-0.427,0.451,0.178,-6.977,8.533,-14.246,150,50
351911,-0.28,0.296,0.226,-10.527,19.535,-14.714,0,62
351969,-0.35,0.392,0.277,-13.046,31.275,-58.351,0,57
352026,-0.827,0.163,0.315,-43.053,46.092,-103.145,0,62
352084,-2.0,0.473,0.718,177.214,79.496,-205.58,0,77
352142,-2.0,0.581,0.102,212.145,110.038,-250.137,0,57
352199,-2.0,0.6,0.005,-38.519,96.382,-250.137,0,56
352257,-1.5,-0.136,0.286,-0.062,126.916,-243.977,0,57
352314,-1.061,0.212,0.075,51.542,77.45,-139.397,0,59
352370,-0.384,0.234,0.224,29.341,45.092,-33.534,123,64
352429,-0.463,0.318,0.168,-10.13,31.649,13.242,0,73
352478,-0.49,0.188,0.146,-48.573,18.437,31.824,66,57
352531,-0.788,0.083,0.181,-1.667,6.757,52.458,123,61
352578,-0.593,0.156,0.16,51.718,-10.893,92.603,23,57
352624,-0.273,0.35,0.283,45.769,-21.87,105.908,22,57
352671,-0.04,0.389,0.307,3.35,-19.573,89.183,20,57
352729,-1.18,0.437,0.165,25.193,0.91,55.527,0,55
352786,-2.0,0.391,-0.745,-27.718,-43.389,30.038,0,57
352845,-2.0,-0.379,-0.324,-54.298,-107.824,250.13,0,50
352905,-1.405,0.235,-0.209,-6.733,-80.336,250.13,0,74
352963,-0.999,0.428,-0.195,-78.809,-45.168,214.336,0,77
353020,-0.501,0.121,-0.066,-116.183,-33.756,130.985,0,57
353078,-0.196,0.008,0.047,-79.809,-22.435,89.878,0,57
353135,-0.079,0.095,0.076,-31.176,0.013,54.977,0,51
353192,-0.128,0.334,0.097,-43.053,7.855,29.771,0,57
353249,-0.314,0.472,0.139,-51.038,6.913,-9.667,0,43
353309,-0.428,0.525,0.246,-14.969,10.666,-29.672,0,59
353366,-0.306,0.466,0.265,10.107,30.758,-50.443,0,42
353423,-0.261,0.392,0.241,-26.641,32.107,-80.71,0,56
353480,-0.703,0.218,0.396,-45.397,37.443,-108.992,0,57
353538,-2.0,0.191,0.552,172.046,92.015,-235.947,0,57
353595,-2.0,0.002,-0.064,168.351,144.389,-250.137,0,59
353652,-1.863,0.669,-0.072,-96.824,83.634,-250.137,0,46
353710,-1.224,-0.258,0.304,-39.962,111.267,-242.824,0,55
353767,-1.017,0.035,0.054,169.305,88.229,-123.649,0,50
353828,-0.485,0.41,0.044,119.878,37.245,-39.122,0,63
353882,-0.422,0.365,0.1,19.479,26.181,21.776,121,74
353939,-0.574,0.342,0.155,-46.237,18.954,58.145,0,59
353987,-0.615,0.178,0.296,-84.794,-1.023,68.527,23,57
354033,-0.394,0.065,0.464,-11.779,-33.824,82.916,25,50
354091,-0.249,0.289,0.448,85.542,-43.969,79.641,0,50
354148,-0.581,0.586,0.178,94.092,-34.336,62.168,0,57
354205,-2.0,1.138,-0.641,-20.771,-7.362,1.763,0,58
354267,-2.0,-0.42,-0.152,-250.137,-99.847,250.13,0,58
354324,-2.0,0.028,-0.152,-13.626,-95.908,250.13,0,57
354381,-0.839,0.406,-0.107,-6.366,-61.824,211.832,0,58
354442,-0.383,0.295,-0.036,-81.809,-24.321,146.435,0,96
354500,-0.203,0.122,-0.006,-130.145,-1.897,120.008,0,77
354558,-0.176,0.043,-0.037,-124.305,-0.51,106.191,0,57
354663,-0.214,0.385,0.072,-66.122,45.298,-5.685,0,126
354722,-0.859,0.51,0.22,-41.153,122.672,-110.42,0,82
354781,-1.581,0.632,0.271,-7.479,204.603,-244.084,0,83
354843,-1.87,0.243,0.109,-119.42,175.313,-204.71,0,83
354903,-1.413,0.082,0.289,-90.427,137.321,-179.206,0,84
354962,-1.137,0.228,0.243,-44.427,106.763,-165.733,0,86
355011,-0.834,0.301,0.228,-106.321,52.328,-127.595,16,89
355065,-0.728,0.176,0.35,-119.87,16.942,-88.198,103,95
355116,-0.831,0.233,0.266,-95.817,-21.634,-40.183,16,102
355166,-1.076,0.158,0.158,-61.321,-62.847,-1.036,16,111
355216,-1.929,0.082,-0.301,12.234,-115.252,82.863,16,122
355271,-1.997,0.51,-0.91,-58.763,-138.282,220.84,16,135
355335,-1.806,0.353,-0.668,-156.634,-90.198,250.13,0,156
355399,-1.031,0.265,-0.424,-132.779,-40.969,244.053,189,190
355461,-0.566,0.254,-0.26,-152.069,-33.321,218.153,0,119
355522,-0.52,0.221,-0.191,-151.565,-29.55,166.664,0,114
355584,-0.832,0.391,-0.188,-82.702,-14.573,90.809,0,116
355645,-0.887,0.397,-0.077,-31.725,23.036,23.802,0,120
355712,-0.924,0.485,0.107,6.615,71.42,-74.809,0,124
355772,-0.882,0.348,0.231,-49.275,112.573,-138.504,0,124
355830,-0.958,0.106,0.342,-107.183,125.443,-127.13,0,124
355891,-1.358,-0.027,0.295,-65.634,111.351,-147.626,0,123
355951,-1.265,0.042,0.238,11.638,92.779,-130.962,0,123
356012,-1.081,0.239,0.12,3.429,61.046,-117.427,0,123
356072,-0.826,0.28,0.175,-41.481,33.794,-86.809,0,125
356133,-0.747,0.197,0.168,-68.534,18.473,-50.908,0,129
356194,-0.846,0.213,0.105,-80.145,-6.344,-21.852,0,134
356250,-0.958,0.108,0.082,-48.458,-28.954,30.977,108,141
356316,-1.047,0.214,-0.034,4.459,-30.0,77.878,0,146
356377,-1.225,0.393,-0.185,-43.214,-19.893,109.336,0,154
356441,-1.628,0.291,-0.349,-141.695,-34.473,139.664,0,164
356501,-1.714,0.119,-0.319,-147.069,-58.58,148.611,147,176
356562,-1.242,-0.009,-0.107,-75.489,-63.374,173.763,140,188
356624,-0.728,0.251,-0.113,-41.008,-41.153,161.359,138,0
356681,-0.684,0.298,-0.133,-59.382,-38.489,109.969,0,60
356738,-0.631,0.274,-0.011,-36.786,-38.061,75.481,0,57
356798,-0.587,0.347,-0.004,-19.069,-32.641,36.588,0,58
356855,-0.557,0.293,0.059,-12.718,-22.947,9.469,0,67
356912,-0.585,0.3,0.087,6.451,-7.484,-18.014,0,57
356969,-0.507,0.263,0.148,13.652,5.971,-46.595,0,64
357026,-0.524,0.288,0.192,25.766,8.958,-106.351,0,64
357084,-0.89,0.249,0.303,50.924,28.174,-143.42,0,65
357141,-1.568,0.492,0.426,103.351,70.076,-234.267,0,64
357198,-1.916,0.296,0.174,77.824,98.618,-219.656,0,60
357255,-1.576,0.248,0.184,3.284,64.344,-192.282,0,59
