Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
140668,-1.128,0.145,-0.265,80.13,55.45,-155.962,141,41
140731,-1.283,0.178,-0.029,101.733,42.626,-154.359,149,0
140793,-0.686,0.551,0.301,142.977,35.13,-132.649,158,0
140853,-0.666,0.404,-0.037,84.198,35.985,-100.55,113,0
140916,-0.515,0.301,0.115,12.042,31.099,-60.313,116,0
140977,-0.968,0.284,0.237,-73.041,35.366,-43.397,115,0
141037,-1.148,0.159,0.315,16.519,21.893,-41.427,119,0
141096,-1.356,0.189,0.188,83.511,37.4,69.047,109,0
141156,-1.506,0.506,-0.137,5.885,-11.004,59.687,105,0
141215,-1.41,0.235,-0.186,-139.748,-34.641,139.191,99,0
141279,-1.211,0.106,-0.138,-112.611,-43.015,171.389,170,0
141332,-0.744,0.148,-0.137,-88.321,-38.351,166.038,144,49
141388,-0.532,0.301,-0.103,-97.076,-36.023,146.466,151,58
141443,-0.634,0.134,-0.068,-84.542,-33.557,120.458,149,54
141498,-0.801,0.377,-0.067,-59.099,-29.328,83.397,183,44
141554,-1.217,0.289,-0.128,-28.383,-18.727,1.696,200,57
141612,-1.392,0.436,-0.091,29.089,32.813,-59.733,196,62
141667,-1.22,0.226,-0.09,6.841,45.183,-116.176,174,60
141720,-1.17,0.054,-0.101,24.702,48.962,-118.099,132,50
141772,-1.229,0.057,0.131,118.977,29.198,-133.534,132,45
141835,-1.056,0.217,0.044,167.076,26.481,-135.176,156,0
141901,-0.667,0.435,0.052,87.786,34.71,-127.252,182,0
141966,-0.572,0.318,0.168,-8.326,35.985,-102.901,185,0
142030,-0.817,0.192,0.201,-32.888,32.908,-64.26,0,0
142096,-1.059,0.134,0.234,30.008,-2.097,-28.802,0,0
142155,-1.647,0.191,-0.046,56.053,7.495,-12.444,109,0
142215,-1.455,0.3,-0.135,-11.876,-3.898,97.84,102,0
142274,-1.44,0.108,-0.151,-97.229,-42.237,165.588,99,0
142338,-1.053,0.048,-0.086,-55.053,-46.664,167.985,164,0
142403,-0.613,-0.028,-0.065,-53.328,-35.359,151.13,158,0
142458,-0.384,0.208,0.001,-85.374,-21.458,133.809,153,65
142514,-0.6,0.245,-0.042,-84.565,-10.13,100.496,160,67
142567,-0.947,0.364,-0.064,-49.137,9.038,37.641,154,36
142620,-1.31,0.353,-0.071,-12.64,0.402,-55.977,156,43
142672,-1.437,0.301,-0.104,25.504,24.824,-135.557,129,44
142725,-1.24,0.147,0.0,43.344,34.618,-151.878,130,36
142777,-1.219,0.119,0.009,71.542,36.679,-131.519,149,38
142842,-1.158,0.129,-0.029,85.901,4.39,-116.0,146,0
142905,-0.807,0.043,-0.124,95.886,-18.715,-85.679,150,0
142969,-0.595,0.298,0.042,71.046,23.305,-61.802,0,0
143035,-0.596,0.472,0.317,12.565,66.409,-43.298,0,0
143100,-0.798,0.289,0.243,8.72,27.954,-47.015,0,0
143165,-0.999,0.194,0.219,7.532,33.267,-38.237,0,0
143230,-1.532,0.145,-0.099,13.45,27.504,-38.549,0,0
143295,-1.431,0.143,-0.152,-68.55,-30.975,71.595,0,0
143352,-1.174,0.116,-0.083,-62.855,-36.954,133.504,0,56
143413,-1.194,0.309,-0.176,-47.115,-28.107,137.351,0,50
143469,-0.722,0.307,-0.153,-102.145,-25.87,127.405,0,59
143526,-0.522,0.14,-0.051,-119.611,-23.29,106.779,0,54
143585,-0.512,0.319,0.165,-92.053,8.43,73.626,0,67
143681,-0.892,0.606,-0.031,-65.076,18.087,39.901,115,82
143732,-1.093,0.674,-0.13,-68.557,21.122,-47.573,110,40
143782,-1.111,0.616,0.232,-60.008,34.366,-29.122,103,38
143834,-1.211,0.63,0.054,-60.153,53.992,-67.0,99,41
143884,-0.929,0.547,-0.02,-85.153,68.58,-88.107,96,42
143937,-1.054,0.49,-0.122,-165.168,56.557,-69.069,95,49
143988,-1.136,0.303,-0.032,-206.221,21.489,-43.863,106,53
144039,-1.077,0.15,0.03,-159.893,5.953,-9.293,95,59
144099,-0.784,0.331,0.068,-108.71,23.801,21.5,94,0
144158,-0.742,0.49,-0.107,-158.588,37.658,2.818,93,0
