Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
389763,-1.064,0.166,0.03,25.906,44.857,-51.939,1,0
389822,-1.198,0.076,-0.036,55.557,58.0,-88.0,0,95
389889,-1.147,0.302,-0.06,43.977,83.878,-118.305,1,0
389952,-1.31,0.108,0.069,43.908,74.168,-145.366,0,155
390017,-1.091,0.089,0.114,150.0,75.008,-141.977,0,92
390079,-0.834,0.455,-0.006,111.588,65.962,-138.168,1,152
390144,-0.813,0.305,0.103,22.707,48.794,-119.931,1,152
390206,-0.983,0.194,0.183,25.002,41.008,-80.374,0,153
390258,-0.967,0.182,0.184,38.855,5.426,-34.221,16,157
390323,-1.07,0.437,0.292,37.198,49.068,101.176,1,0
390387,-1.396,0.368,0.032,39.834,5.66,36.557,2,0
390452,-1.493,0.23,-0.091,-37.359,-39.504,107.611,0,0
390517,-1.844,0.087,-0.321,-121.901,-75.824,204.969,0,0
390582,-1.26,0.041,-0.129,-108.382,-79.893,246.649,0,0
390647,-0.656,0.179,-0.051,-74.412,-72.328,215.168,0,0
390715,-0.382,0.279,-0.027,-83.267,-61.504,151.038,1,0
390780,-0.464,0.258,0.034,-70.908,-41.924,74.832,0,0
390845,-0.671,0.383,0.049,7.675,6.836,32.558,1,0
390909,-1.095,0.233,-0.028,3.48,22.265,-97.023,0,0
390975,-1.134,0.096,-0.034,44.802,62.511,-120.427,0,0
391040,-1.258,0.199,-0.071,64.038,91.198,-144.634,0,0
391105,-1.41,0.064,0.045,84.992,69.863,-159.153,3,0
391170,-1.067,0.187,0.064,140.779,77.252,-134.496,0,0
391235,-0.673,0.557,-0.077,52.756,56.344,-128.901,3,0
391303,-0.83,0.135,0.237,20.807,37.45,-106.176,1,0
391357,-0.954,0.298,0.245,64.687,27.076,-60.023,17,0
391422,-1.069,0.334,0.131,50.405,8.306,-31.771,0,0
