Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
200014,-1.311,0.185,-0.09,-50.679,-100.267,164.069,0,0
200080,-0.912,0.15,-0.052,-53.763,-88.359,166.87,0,0
200144,-0.637,0.239,-0.028,-65.954,-69.42,143.977,0,0
200210,-0.564,0.244,-0.007,-79.55,-49.183,92.046,0,0
200275,-0.655,0.226,0.047,-58.557,-28.766,30.641,0,0
200343,-0.841,0.248,0.107,-1.145,26.198,-57.176,0,0
200409,-1.182,0.2,0.054,40.695,59.84,-103.763,0,0
200474,-1.131,0.176,-0.0,59.412,86.855,-120.168,0,0
200539,-1.339,0.216,0.022,35.656,87.84,-119.038,0,0
200604,-1.211,0.073,0.121,70.786,80.962,-122.107,0,0
200670,-0.95,0.215,0.101,104.992,80.916,-103.817,0,0
200735,-0.826,0.296,0.101,40.634,58.618,-95.939,0,0
200800,-0.948,0.163,0.194,34.771,47.58,-76.168,0,0
200855,-0.976,0.179,0.22,55.649,28.275,-40.458,17,0
200923,-1.06,0.29,0.162,36.405,8.879,-21.092,0,0
200978,-1.277,0.269,0.128,10.047,-8.987,21.704,16,0
201032,-1.382,0.198,0.031,3.063,-36.099,68.176,16,0
201098,-1.435,0.132,-0.028,-37.22,-62.313,144.305,0,0
201163,-1.58,0.197,-0.136,-95.412,-87.145,189.359,0,0
201229,-1.125,0.073,-0.054,-116.099,-103.382,184.595,0,0
201294,-0.672,0.155,0.003,-59.176,-85.237,149.763,0,0
201360,-0.597,0.307,-0.041,-46.931,-59.412,89.511,0,0
201428,-0.685,0.313,-0.018,-55.634,-30.809,39.511,0,0
201493,-0.869,0.334,0.055,-38.565,11.99,-10.351,0,0
201559,-1.13,0.209,0.048,-25.864,35.817,-64.748,0,0
201624,-1.106,0.11,0.086,30.695,65.695,-91.74,0,0
201690,-1.137,0.194,0.072,63.916,86.489,-102.023,0,0
201755,-1.181,0.135,0.115,60.863,78.641,-115.718,0,0
201821,-0.959,0.154,0.154,109.443,81.725,-118.221,0,0
201885,-0.888,0.272,0.082,76.183,68.809,-110.42,0,0
201951,-0.962,0.204,0.174,42.511,56.366,-93.763,0,0
202019,-0.925,0.199,0.203,49.008,40.962,-58.611,0,0
202085,-1.03,0.311,0.188,29.832,30.678,-32.931,0,0
202150,-1.31,0.254,0.151,5.588,-1.222,-9.707,0,0
202205,-1.351,0.166,0.054,-17.68,-30.931,80.267,16,0
202260,-1.38,0.247,0.04,-67.107,-63.901,143.595,17,0
202326,-1.573,0.432,-0.126,-146.863,-93.962,150.061,0,0
202391,-1.407,0.132,0.047,-158.87,-141.817,155.145,0,0
202457,-0.991,0.229,0.21,-66.733,-156.634,160.282,0,0
202522,-0.814,0.529,0.155,-69.573,-154.061,129.908,0,0
202591,-0.795,0.58,0.337,-123.824,-155.992,99.84,0,0
202657,-0.78,0.523,0.571,-141.557,-159.321,63.344,0,0
202723,-0.449,0.311,0.782,-81.511,-146.969,75.779,0,0
202788,-0.197,0.271,0.759,-156.847,-122.046,54.107,0,0
202854,-0.192,-0.089,0.929,-49.511,-86.527,52.26,0,0
202919,-0.086,-0.066,0.854,-45.786,-53.649,31.267,0,0
202985,0.245,-0.1,0.745,-18.051,-23.411,24.574,0,0
203051,0.251,-0.155,0.742,-22.928,-7.241,11.059,0,0
203116,0.243,-0.101,0.765,-10.686,-5.917,2.109,0,0
203185,0.358,-0.109,0.84,-9.781,-5.612,4.06,0,0
203293,0.312,-0.171,1.038,-15.029,-13.937,10.022,0,0
203359,0.389,-0.097,1.124,6.491,-6.1,12.974,0,0
203424,0.274,-0.008,1.155,-8.372,0.548,7.455,0,0
203490,0.201,0.054,1.106,13.407,16.735,17.565,0,0
203555,0.221,-0.03,0.929,11.847,21.757,23.682,191,0
203620,0.219,-0.064,0.81,-3.944,16.466,20.588,190,0
203685,0.177,-0.037,0.83,-6.59,9.419,10.018,0,0
203751,0.224,-0.085,0.875,-3.6,-1.314,-0.121,0,0
203820,0.199,-0.1,0.997,-5.631,0.472,-6.766,0,0
203885,0.206,-0.123,1.024,7.947,12.608,-5.281,0,0
203951,-0.183,-0.248,0.687,40.71,38.153,-20.393,0,0
204016,-0.516,-0.129,0.406,129.321,115.389,-52.473,0,0
204083,-0.684,-0.1,0.392,223.176,236.74,-117.634,0,0
204148,-0.968,0.289,0.296,178.122,250.13,-207.031,0,0
204214,-1.742,0.364,0.455,193.573,250.13,-250.137,0,0
204271,-1.781,0.401,0.0,250.13,184.069,-223.992,55,0
204341,-1.322,0.485,0.188,148.458,87.0,-173.786,0,0
204406,-1.296,0.601,0.192,19.87,53.458,-107.489,0,0
204472,-1.163,0.353,0.212,-20.704,38.733,-51.115,0,0
204537,-1.131,0.415,0.149,-70.679,25.854,6.655,0,0
204604,-1.227,0.201,0.179,-80.878,-19.228,60.29,0,0
204659,-1.462,0.064,0.066,-68.397,-80.16,128.13,17,0
204725,-1.542,0.139,-0.146,-68.015,-110.26,174.557,0,0
204790,-1.081,0.126,-0.083,-88.214,-111.565,198.565,0,0
204857,-0.779,0.292,-0.064,-84.282,-94.221,167.481,0,0
204925,-0.815,0.368,-0.034,-91.069,-79.351,115.84,0,0
204992,-0.866,0.327,0.094,-81.328,-61.565,85.275,0,0
205058,-0.876,0.285,0.119,-19.204,-33.799,37.237,0,0
205123,-0.802,0.107,0.121,19.195,22.786,-33.053,0,0
205194,-0.97,0.111,-0.019,89.275,83.969,-112.031,5,5
205258,-1.178,0.294,-0.07,48.344,114.038,-152.748,0,0
205324,-1.27,0.142,0.048,24.046,109.351,-191.939,0,0
205388,-1.218,-0.027,0.148,118.702,116.344,-182.183,0,0
205453,-1.083,0.285,0.027,116.595,91.008,-151.122,0,0
205520,-1.024,0.173,0.165,31.916,53.359,-88.023,0,0
205586,-1.001,0.178,0.211,36.901,26.977,-22.214,0,0
205650,-1.007,0.291,0.222,27.87,13.334,16.251,0,0
205705,-1.227,0.308,0.167,13.746,-5.037,34.092,16,0
205759,-1.383,0.202,0.08,-3.153,-33.74,78.718,17,0
205813,-1.454,0.183,-0.022,-37.496,-64.924,139.634,17,0
205878,-1.649,0.125,-0.11,-59.672,-93.786,180.321,0,0
205943,-1.22,0.134,-0.092,-64.115,-96.42,197.092,0,0
206008,-0.824,0.243,-0.093,-73.718,-82.023,178.496,0,0
206075,-0.645,0.293,-0.064,-98.466,-65.412,127.443,0,0
206141,-0.604,0.244,-0.018,-101.145,-41.191,70.809,0,0
206205,-0.792,0.209,0.057,-47.275,-6.043,14.387,0,0
206270,-0.913,0.26,0.071,16.425,48.229,-49.656,0,0
206336,-1.202,0.206,0.029,-17.578,87.634,-98.893,0,0
206400,-1.079,0.076,0.096,17.779,108.038,-112.145,0,0
206466,-1.258,0.11,0.114,57.855,104.298,-113.481,0,0
206573,-0.995,0.176,0.123,148.153,82.832,-111.16,186,0
206641,-0.856,0.371,0.04,80.504,63.0,-102.809,0,0
206705,-0.891,0.19,0.201,25.244,46.893,-80.924,0,0
206771,-0.953,0.17,0.23,51.893,31.588,-43.672,0,0
206835,-1.061,0.259,0.183,49.435,14.769,-9.053,0,0
206889,-1.219,0.294,0.121,27.611,2.345,39.577,16,0
206945,-1.371,0.298,0.034,-12.866,-18.791,68.038,17,0
207009,-1.585,0.152,-0.053,-81.901,-59.183,127.908,0,0
207075,-1.654,0.041,-0.092,-106.458,-103.076,193.702,0,0
207139,-1.014,0.129,-0.034,-67.832,-100.641,190.542,0,0
207208,-0.624,0.276,-0.05,-60.985,-79.015,150.435,0,0
207272,-0.609,0.29,-0.011,-77.595,-58.198,97.626,0,0
207338,-0.667,0.219,0.035,-67.969,-42.099,45.687,0,0
207403,-0.854,0.263,0.078,-10.255,-13.617,-16.355,0,0
207468,-1.054,0.277,0.067,7.46,28.145,-61.504,0,0
207533,-1.134,0.16,0.09,11.944,56.855,-85.565,0,0
207598,-1.092,0.15,0.076,58.786,84.519,-109.168,0,0
207663,-1.211,0.174,0.064,42.359,85.55,-122.359,5,5
207728,-1.151,0.115,0.148,78.641,83.542,-127.763,0,0
207796,-0.916,0.237,0.106,84.748,77.748,-121.504,0,0
207851,-0.923,0.241,0.144,47.115,60.229,-110.595,17,0
207916,-0.953,0.171,0.201,43.687,47.191,-87.252,0,0
207981,-0.969,0.222,0.204,57.855,29.244,-49.099,0,0
208046,-1.138,0.29,0.119,32.115,14.469,-8.474,0,0
208111,-1.489,0.167,0.005,-18.744,-17.591,51.168,0,0
208165,-1.376,0.129,-0.041,-62.069,-51.519,154.221,16,0
208221,-1.529,0.123,-0.106,-97.336,-79.382,195.466,19,0
208286,-1.119,0.119,-0.045,-97.137,-92.985,187.534,0,0
208354,-0.691,0.219,0.003,-57.237,-72.58,145.359,0,0
208419,-0.641,0.306,-0.029,-65.298,-50.969,99.351,0,0
208485,-0.708,0.221,0.018,-93.321,-28.229,63.382,0,0
208549,-0.952,0.284,0.023,-66.374,-10.98,4.829,0,0
208615,-1.174,0.22,0.031,-35.305,10.278,-41.557,0,0
208680,-1.235,0.039,0.027,43.42,33.45,-66.573,0,0
208745,-1.068,0.184,-0.038,58.137,67.023,-65.847,0,0
208811,-1.281,0.174,0.02,23.0,58.733,-93.817,0,0
208879,-0.954,0.039,0.16,115.908,63.687,-99.099,0,0
208944,-0.762,0.292,0.053,123.061,65.45,-102.527,0,0
209009,-0.831,0.318,0.109,33.985,58.145,-109.046,0,0
209063,-0.961,0.175,0.191,28.046,61.977,-97.519,16,0
209129,-1.004,0.221,0.203,24.626,48.863,-73.977,0,0
209195,-1.199,0.185,0.197,22.237,18.903,-40.023,0,0
209249,-1.408,0.237,0.104,32.718,-9.253,13.947,15,0
209314,-1.348,0.241,0.011,-30.464,-46.229,87.321,0,0
209370,-1.521,0.186,-0.105,-88.664,-83.824,140.595,16,0
209437,-1.335,0.181,-0.137,-112.26,-103.947,168.344,0,0
209503,-0.955,0.164,-0.041,-91.886,-107.832,184.481,0,0
209568,-0.742,0.247,-0.028,-63.092,-101.489,151.45,0,0
209634,-0.676,0.312,-0.021,-68.87,-83.458,94.847,0,0
209699,-0.732,0.247,0.046,-57.71,-40.634,40.809,0,0
209808,-1.03,0.205,0.06,-15.165,38.183,-46.962,0,0
209873,-0.979,0.199,0.056,26.443,87.824,-85.305,0,0
209939,-1.123,0.231,0.027,-3.981,106.053,-96.29,0,0
210004,-1.239,0.038,0.173,32.947,100.229,-114.076,0,0
210073,-0.973,0.085,0.172,112.412,107.901,-108.824,0,0
210138,-0.939,0.283,0.095,92.725,83.107,-106.023,0,0
210203,-0.941,0.198,0.206,38.16,59.847,-96.473,0,0
210269,-1.022,0.185,0.198,41.962,46.679,-63.786,0,0
210334,-1.056,0.257,0.196,5.622,20.347,-35.504,0,0
210388,-1.216,0.136,0.206,2.174,-9.388,-0.277,14,0
210444,-1.448,0.237,0.065,25.939,-30.214,39.725,15,0
210499,-1.325,0.225,-0.043,-21.057,-60.931,106.878,16,0
210553,-1.559,0.255,-0.166,-86.687,-82.076,151.824,18,0
210623,-1.279,0.107,-0.113,-107.641,-99.779,172.053,0,0
210689,-0.794,0.17,-0.048,-58.359,-85.725,171.305,0,0
210754,-0.618,0.331,-0.072,-64.962,-67.26,128.504,0,0
210820,-0.676,0.299,-0.008,-71.565,-44.878,69.496,0,0
210885,-0.771,0.247,0.023,-57.588,-15.382,20.075,0,0
210951,-1.035,0.261,0.042,-46.814,10.898,-34.069,0,0
211016,-1.195,0.131,0.062,-4.847,40.237,-63.809,0,0
211081,-1.035,0.086,0.107,61.588,65.924,-76.122,0,0
211150,-1.167,0.212,0.049,41.351,79.466,-90.183,0,0
211216,-1.141,0.11,0.158,64.611,71.015,-103.443,0,0
211281,-0.855,0.225,0.121,94.672,78.015,-111.031,0,0
211347,-0.861,0.298,0.111,34.038,64.198,-104.511,0,0
211412,-0.938,0.154,0.194,20.969,50.962,-82.092,0,0
211467,-0.936,0.163,0.237,32.55,29.092,-35.366,16,0
211532,-1.039,0.247,0.224,26.573,8.574,-7.64,0,0
211588,-1.375,0.293,0.154,15.394,-7.209,29.372,16,0
211653,-1.371,0.275,0.023,-29.358,-35.45,56.168,0,0
211722,-1.626,0.158,-0.139,-74.763,-74.534,109.504,0,0
211787,-1.4,0.159,-0.194,-70.542,-81.244,150.924,0,0
211854,-0.935,0.212,-0.176,-72.397,-80.618,170.969,0,0
211919,-0.685,0.3,-0.135,-110.298,-66.221,149.26,0,0
211985,-0.628,0.341,-0.055,-89.802,-40.397,108.702,0,0
212050,-0.787,0.492,-0.066,-83.076,-20.7,86.519,0,0
212116,-0.682,0.503,0.078,-61.267,8.846,39.29,0,0
212182,-0.722,0.445,0.144,-44.244,52.916,-28.275,0,0
212247,-0.884,0.405,0.235,-34.061,85.649,-84.214,0,0
212317,-0.805,0.168,0.362,-34.84,94.634,-81.26,0,0
212382,-1.234,0.235,0.271,-40.764,93.122,-96.153,0,0
212443,-1.21,0.184,0.152,-43.588,74.443,-77.214,0,104
212503,-1.003,0.204,0.151,-84.351,60.382,-50.153,0,106
212563,-0.902,0.186,0.142,-95.229,43.55,-31.115,0,110
212624,-0.895,0.157,0.147,-80.992,32.42,-20.404,0,115
212675,-0.829,0.213,0.127,-84.588,18.955,-4.833,16,120
212737,-0.955,0.181,0.15,-77.359,1.585,-6.441,0,127
212802,-0.974,0.239,0.115,-68.962,-15.601,8.16,0,0
212872,-0.98,0.393,0.059,-87.412,-15.758,24.041,0,0
212937,-1.239,0.573,-0.141,-119.534,-20.07,5.196,0,0
213046,-1.37,0.39,-0.252,-134.771,-14.811,73.985,0,0
213112,-1.092,0.3,-0.226,-141.886,-29.725,108.176,0,0
213178,-0.802,0.265,-0.135,-133.038,-36.511,118.122,0,0
213243,-0.767,0.348,-0.063,-93.992,-29.275,102.275,0,0
213310,-0.766,0.416,-0.061,-61.626,-20.978,76.779,0,0
213376,-0.905,0.427,-0.001,-63.214,-5.051,43.679,0,0
213449,-0.999,0.317,0.053,-36.069,37.015,-33.094,0,0
213514,-1.034,0.259,0.107,-36.987,61.672,-61.435,0,0
213574,-0.81,0.115,0.206,-46.58,70.542,-64.893,0,114
213634,-1.09,0.043,0.205,-51.244,67.588,-70.817,0,117
213694,-1.22,-0.017,0.184,-6.862,57.176,-77.145,0,118
213754,-1.034,0.159,0.144,-5.731,56.252,-66.458,0,120
213815,-0.89,0.2,0.129,-69.198,43.817,-55.924,0,123
213876,-0.81,0.106,0.205,-61.084,34.107,-41.626,0,127
213937,-0.767,0.176,0.197,-29.402,17.44,-27.473,0,132
214001,-0.945,0.231,0.146,-7.673,5.278,-6.995,0,139
214063,-1.014,0.279,0.09,-1.211,-1.591,24.765,0,149
214127,-1.151,0.371,0.069,-21.157,-4.837,48.366,0,188
214192,-1.422,0.398,-0.126,-74.733,-19.89,52.763,0,196
214256,-1.527,0.307,-0.24,-123.573,-38.176,97.458,0,0
214322,-1.249,0.144,-0.13,-136.359,-56.71,127.45,0,0
214381,-0.784,0.158,0.001,-81.076,-63.115,150.771,0,108
214441,-0.613,0.326,-0.022,-67.947,-52.58,133.886,0,111
214504,-0.644,0.337,-0.004,-75.886,-37.924,84.649,0,113
214565,-0.743,0.276,0.063,-47.183,-15.881,35.16,0,132
214624,-1.024,0.327,0.017,-12.948,9.615,-25.931,0,88
214682,-1.173,0.231,0.019,-4.366,35.702,-66.641,0,89
214742,-0.874,0.089,0.08,-0.154,62.733,-93.992,0,90
214800,-1.182,0.052,0.08,-10.618,78.763,-98.656,0,90
214858,-1.299,0.025,0.13,43.084,70.481,-103.527,0,89
214917,-1.066,0.186,0.12,83.443,77.183,-105.038,0,88
214976,-0.858,0.298,0.075,25.847,69.435,-96.588,0,89
215037,-0.844,0.167,0.156,-20.892,55.359,-74.061,0,89
215086,-0.868,0.145,0.227,18.66,46.267,-48.939,17,90
215144,-1.002,0.2,0.188,28.863,34.458,-32.847,0,91
215203,-0.985,0.325,0.19,1.827,26.986,-14.051,0,94
215262,-1.265,0.224,0.175,-26.934,4.533,18.051,0,96
215311,-1.261,0.12,0.091,-3.35,-37.229,62.771,16,101
215375,-1.307,0.258,-0.022,-12.422,-55.145,108.229,0,0
215437,-1.443,0.279,-0.138,-77.687,-78.679,126.42,0,128
