Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39332,-0.18,0.254,0.951,21.145,6.484,2.21,1,111
39387,-0.216,0.19,0.93,13.388,9.335,-1.986,0,109
39442,-0.279,0.191,0.807,44.435,8.101,-17.265,0,107
39496,-0.16,0.198,0.757,94.344,34.779,-7.946,1,105
39550,-0.232,0.208,0.483,143.038,84.855,-36.733,0,104
39606,-0.503,0.293,0.553,140.84,115.977,-71.733,0,102
39661,-0.695,0.433,0.706,149.489,118.962,-74.275,1,128
39720,-0.75,0.907,0.478,45.672,78.931,-95.244,0,135
39781,-0.85,0.365,0.751,47.366,85.603,-81.725,1,0
39841,-0.919,0.463,0.343,116.626,45.351,-88.267,0,0
39902,-0.91,0.403,0.314,144.275,36.863,-93.489,0,0
39961,-0.99,0.518,0.096,127.794,41.183,-82.649,0,0
40022,-1.018,0.526,-0.005,59.122,29.374,-78.397,0,0
40082,-1.024,0.481,-0.006,-20.069,29.844,-66.221,0,0
40142,-1.035,0.202,0.092,-59.275,8.458,-37.443,0,0
40203,-1.03,0.169,0.148,-21.038,11.007,-12.485,0,0
40265,-0.979,0.238,0.133,36.603,-0.179,8.478,0,0
40326,-0.961,0.312,0.078,31.58,-2.96,9.529,1,0
40386,-0.943,0.281,0.073,8.194,-11.978,3.2,0,0
40446,-0.969,0.147,0.106,-19.551,-34.987,-2.618,0,0
40506,-0.968,0.226,0.097,29.751,-14.523,10.361,0,0
40566,-0.939,0.282,0.053,22.818,-12.458,12.219,0,0
40627,-0.936,0.301,0.039,0.842,-6.262,11.777,1,0
40687,-0.938,0.233,0.045,-13.678,-6.833,4.712,0,0
40747,-0.94,0.234,0.041,-5.189,0.557,5.364,0,0
40807,-0.922,0.252,0.055,-19.173,3.84,-3.389,0,0
40864,-0.911,0.257,0.057,-28.183,5.276,-22.745,0,102
40920,-0.894,0.301,0.078,-43.748,29.168,-15.465,0,102
40975,-0.922,0.343,0.082,-58.069,33.748,6.225,2,103
41029,-0.96,0.277,0.087,-66.886,33.771,-28.834,0,104
41090,-1.013,0.229,0.091,-73.427,26.748,-30.489,0,198
41150,-1.042,0.252,0.091,-72.87,23.329,-3.038,1,198
41209,-1.014,0.204,0.09,-67.786,-0.341,4.067,0,193
41270,-1.014,0.149,0.068,-56.29,-19.015,7.024,0,194
41333,-1.016,0.166,0.032,-40.702,-25.039,30.237,0,198
41394,-1.006,0.196,0.009,-31.0,-23.946,37.473,0,197
41454,-0.977,0.138,0.001,-24.565,-41.445,43.321,0,198
41515,-0.964,0.192,-0.014,-21.855,-23.922,44.595,0,0
41575,-0.935,0.215,0.009,-21.038,-11.85,41.824,0,0
41629,-0.91,0.23,0.031,-13.942,-0.045,31.847,0,101
41684,-0.901,0.23,0.046,-21.084,7.98,20.58,0,101
41739,-0.88,0.193,0.077,-23.016,5.448,-9.573,0,102
41799,-0.896,0.193,0.12,-8.573,9.98,-28.475,0,0
41863,-0.92,0.213,0.102,6.784,15.619,-33.809,0,0
41923,-0.952,0.22,0.103,22.473,18.385,-44.031,0,200
41984,-0.955,0.227,0.093,35.924,13.893,-50.634,0,198
42044,-0.99,0.17,0.078,40.336,-8.366,-48.893,0,197
42104,-1.049,0.167,0.064,53.359,-18.107,-37.702,0,200
42165,-1.083,0.173,0.046,75.74,-22.266,-5.221,0,195
42225,-1.051,0.212,-0.001,99.107,-32.397,28.763,1,0
42329,-0.936,0.301,-0.013,78.931,-28.504,41.947,0,0
42389,-0.839,0.228,0.022,59.336,-47.829,21.481,5,5
42454,-0.832,0.249,0.051,49.366,-20.72,-39.113,0,0
42514,-0.888,0.259,0.064,48.183,-6.273,-32.794,0,0
42574,-0.951,0.268,0.067,52.298,0.056,-46.969,0,0
42635,-0.98,0.256,0.058,50.076,-0.036,-46.527,0,0
42695,-0.996,0.246,0.05,44.351,-0.188,-39.206,0,0
42756,-1.001,0.262,0.035,34.412,-1.172,-36.044,0,0
42816,-1.002,0.251,0.039,12.545,-3.51,-21.897,0,0
42876,-0.988,0.293,0.037,35.54,-1.908,14.891,1,0
42937,-0.966,0.28,0.046,13.97,-2.148,20.017,1,0
42998,-0.958,0.215,0.048,-11.237,-3.227,20.351,0,0
43062,-0.955,0.256,0.048,-20.013,-1.92,21.061,0,0
43122,-0.928,0.285,0.087,-28.756,-4.68,18.878,0,0
43183,-0.96,0.489,0.131,-101.382,-5.656,27.267,0,0
43244,-1.208,1.182,0.236,-188.221,-61.947,56.611,0,0
43299,-1.357,0.493,0.532,-250.137,-132.298,131.985,0,105
43355,-1.196,0.383,0.559,-165.42,-200.023,144.137,0,110
43410,-0.767,0.341,0.646,-146.397,-219.832,135.901,1,101
43465,-0.571,0.304,0.593,-123.992,-186.977,118.252,0,101
43524,-0.369,0.216,0.74,-105.595,-141.282,95.931,0,104
43584,-0.318,0.155,0.713,-97.618,-114.733,78.603,0,195
43645,-0.074,0.016,0.767,-54.191,-83.824,53.87,2,197
43706,-0.075,0.032,0.766,-32.29,-60.748,33.924,0,198
43766,0.009,-0.072,0.83,-23.115,-39.588,26.053,1,199
43828,0.093,-0.031,0.878,-11.966,-18.534,12.675,0,200
43888,0.149,-0.033,0.915,-2.819,-12.53,4.655,0,200
43949,0.183,-0.013,0.966,-9.325,-2.739,3.556,0,200
44010,0.162,0.014,0.969,-5.97,-2.809,2.979,0,200
44073,0.209,-0.049,0.995,4.715,1.195,1.872,1,201
44135,0.189,-0.043,0.994,-5.273,-3.959,-1.767,0,200
44195,0.162,0.003,0.997,-10.169,0.427,-2.1,0,200
44256,0.197,-0.08,0.999,4.75,-4.999,-0.923,0,199
44317,0.185,-0.041,0.967,-1.081,-0.557,-8.578,0,199
44378,0.197,-0.013,0.998,0.541,-3.67,-9.467,0,199
44438,0.194,-0.053,0.979,17.314,7.524,0.372,1,199
44498,0.186,-0.068,0.908,-12.772,-9.442,-29.663,0,198
44560,0.171,-0.207,0.833,52.122,32.786,-23.399,0,197
44623,0.206,-0.025,0.703,77.496,68.634,-56.053,1,195
44684,0.106,-0.021,0.569,171.794,121.496,-81.328,2,193
44739,-0.236,0.05,0.557,192.565,164.809,-133.321,0,100
44794,-0.754,0.564,0.236,213.45,178.733,-166.496,1,96
44852,-1.107,0.469,0.271,127.832,179.802,-188.634,0,135
44908,-1.343,0.774,0.152,116.74,158.023,-185.084,1,112
44968,-1.374,0.417,0.154,46.427,122.733,-165.466,0,0
45024,-1.407,0.252,0.321,144.748,84.687,-115.16,0,100
45085,-1.207,0.552,0.087,194.282,58.725,-67.427,1,0
45150,-1.14,0.628,0.015,44.0,13.553,-39.962,0,0
45210,-1.065,0.426,0.061,39.775,30.69,22.797,1,0
45272,-1.026,0.379,-0.014,2.044,1.843,13.817,0,0
45375,-0.929,0.31,-0.045,-58.015,0.781,25.496,0,0
45436,-1.007,0.286,-0.058,-48.458,-4.182,22.267,1,0
45498,-0.964,0.232,-0.061,-24.733,-10.723,26.084,1,0
45558,-0.992,0.23,-0.083,-9.895,-13.597,41.267,0,0
45620,-0.912,0.292,-0.093,-20.809,-3.485,42.695,0,0
45681,-0.889,0.244,-0.075,-40.611,-6.95,29.573,0,0
45746,-0.919,0.189,-0.052,-39.84,-4.244,-7.344,0,0
45806,-0.939,0.274,-0.022,-30.26,11.974,12.457,1,0
45868,-0.93,0.298,0.0,-33.885,16.258,1.767,1,0
45928,-0.91,0.201,0.034,-32.992,2.185,-23.658,0,0
45989,-0.94,0.263,0.047,-5.116,9.91,-8.272,1,0
46051,-0.976,0.239,0.051,-0.336,2.674,-16.825,0,0
46111,-1.002,0.246,0.042,7.108,1.051,-4.653,0,0
46173,-0.994,0.306,0.041,8.009,1.819,3.724,1,0
46233,-0.941,0.292,0.052,5.383,-0.577,-0.4,1,0
46298,-0.921,0.221,0.059,2.882,-6.478,-9.125,0,0
