Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39332,-0.136,0.303,0.951,27.271,8.705,4.572,2,111
39387,-0.35,0.027,0.93,-49.352,-13.412,-21.726,0,109
39442,-0.405,0.047,0.807,44.435,-26.098,-40.307,0,107
39496,-0.215,0.145,0.676,94.344,34.779,-30.59,0,105
39550,0.199,0.44,0.863,143.038,84.855,-36.733,7,104
39606,-0.406,0.322,0.603,140.84,115.977,-71.733,0,102
39661,-0.695,0.423,0.646,149.489,118.962,-74.275,0,128
39720,-0.75,0.907,0.648,45.672,78.931,-95.244,3,135
39781,-0.85,0.358,0.703,47.366,85.603,-81.725,1,0
39841,-0.919,0.527,0.504,116.626,45.351,-88.267,1,0
39902,-0.91,0.468,0.444,144.275,36.863,-93.489,2,0
39961,-0.99,0.419,0.096,127.794,41.183,-82.649,0,0
40022,-1.018,0.526,-0.005,59.122,29.374,-78.397,0,0
40082,-1.024,0.679,-0.006,-20.069,65.978,-66.221,4,0
40142,-1.035,0.105,0.092,-59.275,-2.469,-37.443,0,0
40203,-1.03,0.276,0.148,-21.038,25.287,15.514,3,0
40265,-0.979,0.116,0.133,36.603,-15.649,-10.287,0,0
40326,-0.961,0.347,0.078,31.58,-1.015,10.828,2,0
40386,-0.943,0.317,0.073,17.484,-6.749,5.965,1,0
40446,-0.969,0.227,0.106,6.174,-13.938,7.537,1,0
40506,-0.968,0.12,0.097,12.353,-35.501,-0.069,0,0
40566,-0.939,0.339,0.053,29.772,-4.93,16.441,2,0
40627,-0.936,0.113,0.039,-31.326,-31.614,-6.455,0,0
40687,-0.938,0.375,0.045,5.398,8.785,15.929,4,0
40747,-0.94,0.158,0.041,-16.565,-8.311,-0.78,0,0
40807,-0.922,0.329,0.055,3.268,18.7,6.631,2,0
40864,-0.911,0.264,0.057,-28.183,14.052,-16.704,0,102
40920,-0.894,0.237,0.078,-43.748,29.168,-31.879,0,102
40975,-0.922,0.186,0.082,-58.069,33.748,-52.157,0,103
41029,-0.96,0.058,0.087,-66.886,33.771,-85.537,0,104
41090,-1.013,0.014,0.091,-73.427,26.748,-73.406,5,59
41150,-1.042,0.136,0.091,-72.87,-2.373,-27.638,0,198
41209,-1.014,0.171,0.09,-67.786,-4.793,-1.134,0,193
41270,-1.014,0.244,0.068,-56.29,-2.603,28.107,1,194
41333,-1.016,0.077,0.032,-40.702,-36.646,30.237,0,198
41394,-1.006,0.163,0.009,-31.0,-30.246,37.473,0,197
41454,-0.977,0.127,0.001,-24.565,-36.906,43.321,0,198
41515,-0.964,0.322,-0.014,-21.855,-0.589,44.595,3,0
41575,-0.935,0.113,0.009,-21.038,-25.739,41.824,0,0
41629,-0.91,0.171,0.031,-27.361,-7.425,31.847,0,101
41684,-0.901,0.166,0.046,-21.084,0.499,20.58,0,101
41739,-0.88,0.368,0.077,5.157,29.772,29.912,4,102
41799,-0.896,0.407,0.12,26.445,46.189,29.011,5,0
41863,-0.92,0.271,0.102,19.139,27.39,-33.809,1,0
41923,-0.952,0.233,0.103,24.873,20.052,-44.031,0,200
41984,-0.955,0.276,0.093,35.924,21.299,-50.634,1,198
42044,-0.99,0.319,0.078,40.336,19.089,-48.893,2,197
42104,-1.049,0.091,0.064,53.359,-27.204,-37.702,0,200
42165,-1.083,0.369,0.046,75.74,16.824,59.374,5,195
42225,-1.051,0.042,-0.001,99.107,-32.397,28.763,0,0
42329,-0.936,0.227,-0.013,78.931,-28.504,41.947,0,0
42389,-0.839,0.122,0.022,59.336,-58.326,21.481,0,0
42454,-0.832,0.206,0.051,49.366,-21.673,-41.074,0,0
42514,-0.888,0.255,0.064,48.183,-4.952,-32.794,0,0
42574,-0.951,0.247,0.067,52.298,-0.403,-46.969,0,0
42635,-0.98,0.343,0.058,50.076,1.797,-46.527,2,0
42695,-0.996,0.392,0.05,44.351,2.761,-39.206,4,0
42756,-1.001,0.293,0.035,34.412,-0.116,-20.939,0,0
42816,-1.002,0.289,0.039,33.24,-1.709,-7.568,0,0
42876,-0.988,0.202,0.037,8.377,-5.746,-7.106,0,0
42937,-0.966,0.431,0.046,37.374,2.394,43.049,5,0
42998,-0.958,0.153,0.048,-18.858,-4.603,20.351,0,0
43062,-0.955,0.122,0.048,-75.389,-13.546,21.061,0,0
43122,-0.928,0.274,0.087,-28.756,-7.148,18.878,0,0
43183,-0.96,0.502,0.131,-101.382,22.513,27.267,3,0
43244,-1.208,1.182,0.187,-188.221,-61.947,56.611,0,0
43299,-1.357,0.494,0.535,-250.137,-132.298,131.985,0,105
