Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
46689,0.924,-0.412,-0.138,0.840,-1.450,-0.557,30.0,0.0
46772,0.924,-0.354,-0.180,-7.099,-1.031,-1.947,30.0,0.0
46855,0.925,-0.325,-0.190,4.931,-1.099,0.282,30.0,0.0
46938,0.922,-0.367,-0.172,1.137,-1.275,-0.588,30.0,0.0
47021,0.922,-0.343,-0.187,-0.496,-0.939,-1.679,31.0,0.0
47104,0.935,-0.346,-0.174,0.344,-0.450,-0.832,45.0,0.0
47187,0.913,-0.347,-0.173,-0.282,-0.534,-0.107,45.0,0.0
47275,0.922,-0.362,-0.190,3.504,-0.542,0.015,46.0,0.0
47357,0.919,-0.367,-0.177,0.435,-0.252,-0.641,46.0,0.0
47440,0.928,-0.340,-0.185,-0.595,0.771,-1.649,30.0,0.0
47523,0.924,-0.340,-0.204,8.229,2.840,-1.389,31.0,0.0
47606,0.909,-0.390,-0.189,6.351,10.206,-4.840,31.0,0.0
47689,0.895,-0.318,-0.171,7.237,14.710,-8.214,30.0,0.0
47773,0.927,-0.322,-0.172,15.023,15.947,-5.191,32.0,0.0
47856,0.893,-0.383,-0.095,18.588,24.137,-8.511,36.0,0.0
47940,1.018,-0.413,0.018,16.046,30.198,-18.214,36.0,0.0
48024,1.158,-0.305,0.153,26.641,27.267,-26.519,40.0,0.0
48111,0.902,-0.259,0.087,29.878,13.397,-30.565,51.0,0.0
48195,0.801,-0.279,0.039,42.977,2.366,-24.176,41.0,0.0
48287,0.845,-0.101,-0.064,83.290,15.855,1.076,0.0,0.0
48372,0.928,-0.154,-0.014,-2.550,36.885,-0.527,50.0,0.0
48456,1.031,-0.184,-0.020,63.557,63.160,-14.046,47.0,0.0
48541,0.882,-0.193,0.136,76.481,103.046,-56.366,50.0,0.0
48625,0.605,-0.048,0.237,110.809,122.756,-95.710,53.0,0.0
48710,0.753,0.225,0.874,90.145,202.237,-142.000,56.0,0.0
48795,-0.175,0.641,0.847,23.366,155.221,-130.886,58.0,0.0
48891,-0.009,0.943,1.079,126.366,111.504,-70.855,0.0,0.0
48976,-0.015,1.044,1.020,-43.290,0.450,-30.695,62.0,0.0
49070,0.072,0.471,0.773,-106.489,3.336,-3.603,0.0,0.0
49155,0.092,0.243,0.941,-43.550,2.237,7.099,58.0,0.0
49240,0.010,0.316,0.971,2.275,0.122,0.038,58.0,0.0
49324,0.021,0.426,0.921,-30.679,-0.832,-0.878,58.0,0.0
49409,0.064,0.335,0.957,-26.618,-1.733,0.160,59.0,0.0
49494,0.033,0.245,0.985,-24.885,-2.878,0.443,58.0,0.0
49579,0.020,0.257,0.948,-25.863,-2.351,2.038,58.0,0.0
49665,-0.013,0.258,0.979,-39.359,-11.153,3.061,17.0,0.0
49746,-0.008,0.055,1.031,-74.344,-10.198,-4.450,17.0,0.0
49829,-0.015,-0.214,1.137,-66.924,-16.366,-30.977,11.0,0.0
49923,0.033,-0.325,1.165,-20.160,-28.740,-61.847,0.0,0.0
50016,0.064,-0.222,1.077,6.282,-32.260,-110.519,0.0,0.0
50099,0.097,0.024,0.948,32.855,-30.786,-126.748,29.0,0.0
50192,0.167,0.163,0.820,54.702,-24.832,-121.969,0.0,0.0
50285,0.016,0.250,0.692,63.664,-18.244,-131.504,0.0,0.0
50375,0.126,0.559,0.574,69.366,-8.374,-92.115,0.0,141.0
50459,0.118,0.844,0.543,88.794,4.489,-63.695,61.0,134.0
50540,-0.032,0.643,0.662,-13.427,10.901,-58.641,64.0,129.0
50629,0.104,0.517,0.827,29.282,22.573,-61.748,0.0,124.0
50718,-0.174,0.661,0.869,22.038,23.305,-83.282,0.0,119.0
50806,-0.301,0.811,0.821,16.321,23.229,-80.695,0.0,114.0
50894,-0.469,0.511,0.879,33.534,12.649,-94.611,0.0,109.0
50982,-0.514,0.544,0.751,36.916,-19.374,-68.580,0.0,105.0
51069,-0.363,0.760,0.521,71.794,-21.466,-52.710,0.0,101.0
51161,-0.551,0.182,0.638,219.336,-47.168,-1.977,0.0,101.0
51254,-0.249,1.412,0.163,132.611,-92.588,6.626,0.0,0.0
51347,-0.460,0.801,0.497,-45.885,-28.611,7.198,0.0,0.0
51440,-0.344,1.302,0.414,28.786,-67.359,86.427,0.0,0.0
51533,0.002,0.802,0.622,-71.496,-100.328,90.527,0.0,0.0
51620,0.042,0.096,0.501,-43.168,-115.527,-10.809,0.0,94.0
51714,-0.222,0.448,0.692,75.122,-111.550,-112.191,0.0,0.0
51808,0.168,1.592,-0.331,-159.855,-152.916,-12.595,0.0,0.0
51891,0.175,1.340,-0.193,1.046,-162.076,-6.534,19.0,0.0
51977,0.997,0.436,0.659,-147.176,-9.420,15.687,14.0,0.0
52059,0.853,1.124,0.606,-123.740,-21.397,17.550,12.0,0.0
52142,0.503,0.490,0.695,-46.244,-13.237,-0.282,12.0,0.0
52225,-0.252,0.880,1.250,-20.855,39.137,-106.153,13.0,0.0
52307,-0.705,1.229,1.038,-116.389,111.908,-109.382,25.0,0.0
52380,-0.008,1.388,0.419,-137.656,75.824,-250.137,17.0,28.0
52464,0.743,0.530,0.924,-185.939,154.427,-250.137,26.0,0.0
52547,0.146,-1.175,1.013,-250.137,-55.160,-250.137,20.0,0.0
52631,-0.308,-0.216,0.244,-33.031,3.298,-250.137,26.0,0.0
52724,-0.027,0.265,0.065,-127.489,-32.603,-250.137,144.0,0.0
52809,1.003,-0.694,0.484,-114.099,41.542,-250.137,59.0,0.0
52895,0.667,0.952,0.122,146.290,-74.611,-250.137,72.0,0.0
52989,1.397,1.178,-0.322,-114.473,-122.779,-223.275,0.0,0.0
53083,0.032,1.171,-0.272,92.550,-58.649,-103.313,0.0,0.0
53168,0.956,0.469,-0.102,-63.985,-34.435,-80.588,64.0,0.0
53254,0.666,0.694,-0.120,37.527,10.069,-63.160,59.0,0.0
53347,0.655,0.899,-0.220,15.466,-4.885,-62.924,0.0,0.0
53440,0.471,0.811,-0.148,13.817,11.534,-45.496,0.0,0.0
53536,0.417,0.982,-0.139,57.389,8.435,-17.244,0.0,0.0
53629,0.533,0.940,-0.165,44.313,1.885,-4.389,0.0,0.0
53724,0.500,0.820,-0.192,19.573,-19.191,0.840,0.0,0.0
53817,0.469,0.848,-0.266,6.168,-10.908,-5.053,0.0,0.0
53910,0.532,0.825,-0.337,17.947,-15.725,-5.718,0.0,0.0
54003,0.529,0.899,-0.412,4.763,-2.176,5.679,0.0,0.0
54096,0.373,0.839,-0.326,2.618,-6.489,0.321,0.0,0.0
54191,0.419,0.892,-0.388,8.061,-3.595,-0.458,0.0,0.0
54284,0.446,0.819,-0.368,5.061,-8.565,11.740,0.0,0.0
54380,0.334,0.872,-0.465,-23.115,9.863,-16.359,0.0,0.0
54474,0.536,0.889,-0.353,-1.344,4.183,-7.244,0.0,0.0
54567,0.458,0.892,-0.253,-18.473,16.687,-9.954,0.0,0.0
54661,0.423,0.891,-0.243,-31.641,10.534,-8.687,0.0,0.0
54755,0.442,0.782,-0.118,-74.954,1.206,-24.237,0.0,0.0
54848,0.361,1.139,-0.255,-37.000,7.145,-16.985,0.0,0.0
54941,0.354,0.834,-0.006,23.092,19.405,-5.107,0.0,0.0
55035,0.513,1.115,-0.083,-66.641,17.786,-2.832,0.0,0.0
55129,0.367,0.913,0.075,-41.908,22.687,-5.160,0.0,0.0
55226,0.324,0.794,0.226,-86.374,34.634,-34.664,0.0,0.0
55319,0.239,0.839,0.314,-5.107,36.344,-55.687,0.0,0.0
55412,0.205,1.051,0.365,-60.298,32.137,-57.885,0.0,0.0
55506,0.044,1.039,0.479,-48.908,24.664,-43.809,0.0,0.0
55600,0.041,0.729,0.506,-79.840,16.107,-16.405,0.0,0.0
55694,-0.051,0.582,0.793,-41.626,5.321,-14.947,0.0,0.0
55788,-0.099,0.637,0.750,22.000,-10.000,13.992,0.0,0.0
55881,-0.025,0.789,0.594,52.191,-12.641,8.969,0.0,0.0
55975,0.090,0.856,0.524,23.389,-1.458,7.794,0.0,0.0
56070,0.019,0.856,0.548,5.099,0.359,-2.382,0.0,0.0
56167,0.002,0.847,0.549,4.931,1.244,1.466,0.0,0.0
56260,0.021,0.848,0.546,8.160,-0.122,2.206,0.0,0.0
56354,0.026,0.861,0.521,8.565,-0.397,2.893,0.0,0.0
56448,0.037,0.881,0.515,1.870,-1.290,-0.626,0.0,0.0
56542,0.034,0.855,0.524,-5.282,1.145,-1.641,0.0,0.0
56636,0.032,0.841,0.539,6.908,0.092,0.832,0.0,0.0
56729,0.014,0.856,0.521,13.359,-0.473,3.130,0.0,0.0
56823,0.083,0.891,0.504,11.611,-3.321,0.649,0.0,0.0
56916,0.061,0.888,0.491,8.595,-3.168,1.634,0.0,0.0
57014,0.062,0.905,0.469,1.344,0.901,0.252,0.0,0.0
57108,0.025,0.866,0.522,-8.031,4.275,2.099,0.0,0.0
57201,0.057,0.891,0.490,8.473,-2.275,-1.588,0.0,0.0
57295,0.042,0.898,0.471,0.038,-4.130,-2.282,0.0,0.0
57390,0.054,0.878,0.497,-2.756,1.092,0.611,0.0,0.0
57483,0.043,0.875,0.497,0.321,-0.382,-0.550,0.0,0.0
57582,0.041,0.882,0.486,-0.145,-0.634,-1.214,0.0,0.0
57675,0.043,0.873,0.498,-1.282,-0.221,-2.130,0.0,0.0
57768,0.043,0.877,0.503,1.855,0.000,-0.870,0.0,0.0
57861,0.040,0.874,0.498,0.779,-0.198,-0.855,0.0,0.0
57957,0.036,0.870,0.505,0.779,-0.489,-0.916,0.0,0.0
58049,0.043,0.880,0.506,-0.618,-0.649,-1.008,0.0,0.0
58142,0.046,0.873,0.498,2.008,-0.916,-0.771,0.0,0.0
58235,0.031,0.872,0.510,1.473,-0.786,-0.389,0.0,0.0
58328,0.034,0.883,0.502,1.397,-0.702,-1.076,0.0,0.0
58421,0.040,0.864,0.503,0.916,-0.496,-0.893,0.0,0.0
58513,0.038,0.872,0.505,0.015,-0.351,-0.802,0.0,0.0
58606,0.037,0.875,0.501,1.718,-0.687,-0.481,0.0,0.0
58699,0.039,0.885,0.500,0.802,-0.504,-0.992,0.0,0.0
58791,0.037,0.876,0.501,1.450,-0.840,-0.634,0.0,0.0
58888,0.037,0.873,0.506,1.282,-0.641,-0.450,0.0,0.0
