Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
105751,0.486,-0.831,0.243,-17.751,-4.205,9.56,44,162
105834,0.472,-0.85,0.229,7.436,-11.246,-5.082,44,158
105916,0.443,-0.801,0.275,13.957,1.202,-0.335,42,162
105998,0.452,-0.851,0.31,20.09,3.371,-1.456,43,163
106080,0.488,-0.862,0.288,4.924,5.476,-6.251,39,164
106162,0.458,-0.927,0.218,9.793,5.467,-13.592,44,165
106245,0.402,-0.936,0.245,85.618,37.786,-39.244,48,169
106341,0.551,-0.74,0.556,118.183,95.061,-57.214,0,0
106426,0.776,-0.301,0.988,130.191,106.924,-93.733,44,0
106519,0.649,0.079,1.106,114.916,51.542,1.799,0,0
106612,0.379,0.021,0.994,59.282,51.992,36.244,0,0
106705,0.098,0.106,0.658,37.55,35.427,45.145,0,0
106799,-0.261,-0.18,0.601,-77.702,19.983,91.908,0,0
106892,-0.068,-0.624,0.836,-84.16,39.55,109.641,186,0
106981,-0.171,-0.809,0.872,-50.29,43.305,75.954,117,0
107073,-0.365,-0.716,0.763,-38.206,28.931,52.748,174,0
107168,-0.402,-0.675,0.71,-31.641,14.71,48.229,170,0
107256,-0.347,-0.606,0.741,-24.264,8.616,36.947,118,0
107348,-0.427,-0.538,0.721,3.691,32.237,25.191,158,0
107436,-0.429,-0.535,0.717,-21.656,14.985,29.42,87,0
107523,-0.545,-0.496,0.71,4.349,13.503,44.328,82,0
107611,-0.513,-0.389,0.621,-27.298,9.586,53.366,114,0
107702,-0.516,-0.453,0.65,-4.622,16.856,73.328,146,0
107788,-0.622,-0.275,0.57,-18.62,23.817,85.802,61,0
107873,-0.721,-0.076,0.46,11.207,56.931,122.595,55,0
107961,-0.893,0.003,0.45,-94.038,44.626,127.305,50,0
108046,-0.924,-0.245,0.463,-110.282,4.632,131.321,36,0
108130,-0.768,-0.127,0.359,-72.634,-19.969,114.863,32,0
108214,-1.099,0.001,0.341,7.489,-55.374,107.267,33,0
108299,-1.379,0.398,-0.011,0.554,-103.702,185.824,37,0
108383,-0.401,-0.589,0.212,-97.366,-103.206,163.908,38,0
108467,0.079,2.0,-0.206,-90.038,-124.924,112.191,17,0
108538,0.114,0.798,1.288,62.611,-53.053,84.511,18,3
108625,0.001,1.796,-0.004,92.832,-4.337,37.435,5,5
108708,0.114,0.822,0.681,53.191,15.288,28.389,16,0
108791,-0.018,0.586,0.792,45.931,4.502,25.58,11,0
108874,0.017,0.725,0.688,49.565,2.626,27.191,13,0
108958,0.045,0.795,0.664,19.623,0.428,17.122,30,0
109051,0.12,1.019,0.327,91.878,-23.603,18.286,0,0
109145,0.228,1.36,0.38,206.496,85.588,123.542,0,0
109239,0.175,0.904,0.371,206.298,40.374,127.458,0,0
109323,0.762,0.725,-0.422,235.786,-3.959,121.092,30,0
109411,0.932,1.107,-0.307,140.542,46.008,90.153,0,44
109496,0.499,0.383,-0.125,5.053,48.641,63.992,0,49
109572,0.939,0.553,-0.68,80.618,54.878,127.359,37,51
109658,1.154,0.294,-0.492,20.178,105.305,88.855,0,55
109744,0.739,-0.135,-0.201,-21.0,71.336,122.672,0,60
109821,0.896,-0.263,-0.139,18.164,38.962,101.397,58,66
109900,0.768,-0.284,-0.211,22.877,10.482,85.679,59,74
109986,0.901,-0.509,-0.267,13.841,-32.908,41.55,66,0
110072,0.876,-0.315,-0.311,68.702,-43.168,25.855,0,75
110170,0.571,-0.416,0.019,66.992,-1.045,-25.408,0,0
110255,0.783,-0.578,0.246,60.168,26.748,-45.893,36,0
110348,0.725,-0.578,0.412,35.962,55.443,-68.328,0,0
110434,1.175,-0.274,0.344,3.646,83.092,-114.435,0,63
110520,0.954,0.025,0.242,21.968,77.863,-164.252,0,56
110605,0.707,0.299,0.309,-3.329,59.534,-172.901,0,50
110690,0.451,0.628,0.214,30.743,41.893,-139.427,0,45
110784,0.433,0.751,0.335,10.622,25.71,-102.168,0,0
110878,0.417,1.138,0.308,99.191,22.802,-101.687,0,0
110976,0.44,0.963,0.411,49.344,-2.819,-46.58,0,0
111069,0.294,0.916,0.406,-36.702,28.947,-42.639,0,0
111163,0.274,0.672,0.458,80.473,9.188,-30.723,0,0
111257,0.246,0.789,0.43,-38.153,-1.725,-43.481,0,0
111350,0.282,0.978,0.401,37.275,-0.435,-5.187,1,0
111444,0.248,0.953,0.363,8.742,-3.106,0.813,0,0
111527,0.233,0.961,0.265,-0.912,-2.314,2.36,0,16
111611,0.219,0.91,0.255,-1.182,0.706,-8.463,0,15
111705,0.231,0.872,0.343,13.067,8.923,-14.998,0,0
111808,0.196,0.919,0.349,4.315,6.135,-13.788,0,0
111900,0.154,0.932,0.287,2.124,1.956,-20.17,0,0
111993,0.151,0.998,0.242,24.851,3.51,-24.874,0,0
112086,0.07,1.105,0.244,-13.714,2.175,-25.009,0,0
112179,0.078,0.95,0.312,-7.241,2.31,0.247,0,0
112272,0.079,0.928,0.283,0.04,0.655,-13.415,0,0
112364,0.031,0.975,0.295,4.762,0.817,-2.113,0,0
112457,0.061,0.958,0.294,0.506,1.965,-0.028,0,0
112549,0.064,0.965,0.288,-2.46,0.143,-2.355,0,0
112643,0.063,0.966,0.27,-1.051,-0.24,-0.513,0,0
112738,0.067,0.968,0.325,0.029,-0.066,-1.137,0,0
112831,0.049,0.958,0.281,-2.287,0.565,-0.494,0,0
112923,0.06,0.961,0.27,1.996,-0.693,-0.636,0,0
113016,0.055,0.957,0.297,3.76,-0.681,-1.701,0,0
