Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
284427,0.994,-0.281,-0.091,8.256,-2.594,-3.766,47,0
284511,0.958,-0.266,-0.043,15.48,-5.163,-4.998,47,0
284596,0.977,-0.18,-0.101,2.558,-10.045,4.205,47,0
284680,0.996,-0.274,-0.14,3.164,-5.018,7.82,46,0
284765,0.965,-0.273,-0.133,9.016,-2.168,5.982,46,0
284849,0.942,-0.3,-0.12,4.9,-4.377,0.312,48,0
284934,0.962,-0.302,-0.129,-0.987,0.016,-1.987,46,0
285021,0.978,-0.287,-0.125,8.711,1.942,-2.954,48,0
285106,0.961,-0.242,-0.12,13.616,1.42,-0.692,47,0
285190,0.953,-0.253,-0.121,15.789,1.297,3.161,47,0
285275,0.91,-0.322,-0.098,20.146,2.22,2.437,46,0
285359,0.599,-0.353,-0.139,49.145,32.266,16.984,30,0
285452,0.597,-0.215,-0.186,51.71,40.305,8.793,0,0
285537,1.007,-0.354,-0.015,79.267,97.977,2.496,55,0
285631,1.114,-0.452,0.255,130.931,134.824,-28.366,0,0
285714,0.864,-0.112,0.432,98.756,161.122,-72.763,19,0
285810,0.537,-0.118,0.95,111.29,170.779,-92.29,0,0
285904,0.06,0.428,0.877,145.664,99.977,-91.389,0,0
285998,-0.152,0.822,1.098,166.26,25.115,-38.389,0,0
286092,0.384,0.914,0.235,-182.183,13.048,-20.863,0,0
286185,0.248,0.11,1.074,2.342,1.373,9.688,0,0
286279,0.207,0.637,0.741,30.412,-3.589,4.625,0,0
286372,0.25,0.533,0.831,-7.313,-0.064,0.528,0,0
286466,0.242,0.42,0.873,-6.317,-1.094,-0.388,0,0
286560,0.281,0.567,0.839,4.681,0.478,-0.593,0,0
286653,0.254,0.446,0.859,-0.88,-0.174,-0.26,0,0
286750,0.266,0.508,0.849,4.934,-0.498,-0.157,0,0
286843,0.273,0.517,0.844,2.192,-0.853,-0.465,0,0
286937,0.25,0.504,0.839,2.439,-0.537,-0.53,0,0
287031,0.254,0.498,0.846,1.68,-0.4,-0.407,0,0
287124,0.264,0.5,0.842,-0.512,-0.484,-0.455,0,0
287218,0.265,0.52,0.842,4.649,-1.043,-0.418,0,0
287311,0.246,0.492,0.829,-0.362,-1.033,-1.052,0,0
287405,0.268,0.527,0.84,2.696,0.165,-0.227,0,0
287499,0.267,0.527,0.851,3.683,0.001,-0.307,0,0
287595,0.257,0.511,0.845,1.318,-0.334,-0.56,0,0
287689,0.255,0.504,0.838,1.703,-1.087,-0.738,0,0
287782,0.257,0.523,0.834,3.149,-0.86,-0.117,0,0
287877,0.253,0.517,0.832,0.819,-0.841,-0.466,0,0
287970,0.243,0.495,0.84,-0.773,-0.881,-1.097,0,0
