Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
209465,-0.26,0.103,0.948,-0.374,-0.675,-20.482,151,0
209555,-0.279,0.065,0.957,24.399,10.662,-7.647,154,0
209646,-0.105,0.01,0.904,68.856,23.905,-10.675,157,0
209736,-0.27,-0.142,0.744,72.473,52.687,-31.313,161,0
209828,-0.757,-0.16,0.716,219.588,93.046,-32.473,168,0
209914,-0.974,0.738,0.337,249.924,59.252,-82.588,79,0
210000,-0.815,0.742,0.493,241.802,16.077,-63.389,84,0
210096,-0.667,1.112,-0.315,250.13,-58.481,13.548,175,0
210183,-0.189,1.353,-0.331,52.214,-55.809,20.87,0,104
210275,0.16,0.469,0.258,-17.489,-18.721,18.869,178,0
210361,0.186,0.321,0.259,60.092,39.015,40.893,179,98
210448,-1.721,2.0,-0.637,116.847,57.031,43.695,198,89
210527,-1.265,0.868,-0.419,-152.504,37.756,129.542,49,94
210606,-0.362,-0.129,-0.164,15.833,-42.504,31.0,43,101
210690,-0.061,-0.278,-0.166,20.2,-95.305,3.049,134,103
210768,-0.972,0.272,-0.089,60.794,-145.916,-90.267,44,97
210855,-0.753,2.0,-0.455,153.55,-90.84,51.504,143,97
210940,0.247,0.721,0.102,-27.45,-62.42,-27.321,136,103
211025,0.788,-0.1,0.539,33.076,-41.847,-43.519,147,105
211111,0.429,0.18,0.253,15.087,-2.547,-37.519,169,96
211196,-2.0,2.0,-1.518,-23.58,72.038,114.328,172,90
211276,-1.226,0.806,-0.304,-109.756,17.588,103.153,51,103
211360,-0.607,0.14,-0.183,-28.183,-22.493,-24.044,41,0
211445,-0.399,-0.169,-0.174,37.029,-57.336,-47.695,37,0
211532,-0.347,0.072,-0.066,94.947,-114.908,-172.298,47,0
211627,-2.0,1.41,-0.387,158.252,-115.855,-229.275,0,0
211716,-0.972,0.862,-0.121,39.252,-22.578,-101.641,130,0
211805,-0.688,0.421,0.002,-51.656,51.015,-64.916,115,0
211894,-0.341,0.155,0.11,-16.159,25.603,9.193,122,0
211983,-0.248,0.252,0.053,11.13,-5.119,49.679,119,0
212076,-2.0,1.411,-0.654,6.557,-43.786,135.794,0,0
212170,-1.616,0.599,-0.498,-35.076,-7.009,230.939,195,0
212255,-0.529,-0.031,-0.187,-17.345,-61.863,115.351,59,0
212337,0.184,-0.166,-0.208,68.038,-130.908,58.725,41,0
212422,-0.375,0.133,-0.24,118.183,-249.137,-76.168,44,0
212514,-1.803,2.0,-0.975,226.855,-248.542,-26.221,162,0
212608,-0.458,1.107,-0.303,-21.491,-57.672,27.344,5,5
212692,0.52,-0.079,0.249,56.908,-88.58,-15.457,43,0
212784,0.585,-0.0,0.2,61.137,-34.809,30.832,151,0
212875,-2.0,2.0,-0.504,182.427,-13.423,26.015,0,162
212964,-1.205,1.352,-0.585,-155.84,66.313,123.015,143,181
213052,-0.511,-0.358,-0.199,1.321,-42.374,-26.033,38,0
213136,-0.299,-0.274,-0.125,56.344,-94.901,-32.756,41,0
213221,-0.444,-0.147,0.059,59.45,-160.221,-107.137,44,0
213307,-1.591,2.0,-1.301,170.733,-124.542,100.786,59,0
213392,0.055,0.12,0.065,-68.298,-74.344,-11.013,50,0
213477,0.477,-0.036,0.335,119.626,-54.504,-35.092,51,0
213570,0.288,0.177,0.335,23.182,4.231,-41.076,191,0
213664,-2.0,1.84,-0.513,157.16,-29.279,-209.702,0,0
213760,-1.312,0.744,-0.75,-228.557,64.756,69.076,182,0
213846,-0.091,-0.456,0.066,-11.025,-12.507,19.678,51,0
213937,-0.327,-0.357,-0.07,-8.746,-80.092,34.641,160,0
214030,-2.0,2.0,-0.155,133.87,-214.817,-51.718,189,0
214116,-0.456,1.188,-0.13,142.863,-75.565,64.275,57,0
214201,0.37,0.258,0.051,-1.312,-63.832,-43.198,44,0
214292,0.416,-0.043,0.295,17.339,-14.725,-45.794,151,0
214385,-0.069,0.025,0.233,14.473,-16.151,-14.794,192,0
214478,-2.0,2.0,-1.099,111.634,16.756,136.527,0,0
214566,-0.686,0.387,0.073,-59.748,-34.756,70.115,143,97
214646,-0.256,-0.267,0.121,47.611,-92.901,-4.904,51,102
214731,-0.049,-0.562,-0.031,42.748,-164.008,-21.902,151,98
214816,-2.0,2.0,-0.839,250.13,-250.137,5.339,150,90
214901,0.104,1.222,-0.247,-150.626,-60.832,42.137,143,97
214980,0.418,-0.022,0.308,25.054,-118.229,-54.916,41,104
215060,0.415,-0.005,0.282,124.893,-73.046,-18.804,50,102
215140,0.167,0.358,0.234,-0.858,-1.184,-19.858,55,94
215230,-2.0,2.0,-0.623,6.547,-29.732,-27.799,182,88
215317,-0.818,0.654,0.015,11.286,-9.134,4.674,197,95
215409,-0.439,0.34,-0.027,27.996,-35.321,-115.565,193,180
215497,-0.308,-0.085,0.047,86.954,-73.969,-139.84,132,154
215589,-0.462,0.081,-0.061,122.275,-145.748,-106.893,0,169
215684,-2.0,0.633,0.463,250.13,-95.481,40.638,0,0
215778,-0.817,0.719,-0.046,-245.008,62.473,-27.16,0,0
215871,-0.047,-0.129,0.88,-14.748,68.115,-70.574,5,5
215956,0.065,0.511,1.134,-45.759,134.649,-47.544,47,0
216045,0.996,0.233,0.567,-250.137,64.618,-202.924,51,0
216136,-1.726,0.181,0.142,-61.183,-151.099,-241.191,155,0
216227,-1.756,-0.158,-0.918,250.13,-144.603,188.771,157,0
216320,-2.0,0.608,-0.317,-226.16,-35.45,47.489,151,0
216408,-1.968,-0.572,-0.077,-250.137,-13.509,-59.832,144,151
216495,-1.758,-0.98,0.193,-54.672,-7.834,67.71,142,149
216578,0.239,0.472,0.396,97.74,-26.387,185.924,59,147
216664,0.092,0.538,0.517,-72.962,-84.298,247.55,56,0
216752,-2.0,1.142,0.088,-153.328,-24.088,250.13,31,0
216837,-0.414,0.083,0.716,100.718,-54.435,232.366,37,0
216923,0.742,1.566,1.706,189.344,-43.412,201.626,69,0
217009,0.241,-0.086,0.28,215.29,-44.688,164.992,54,0
217103,0.66,1.091,-0.13,162.29,20.595,195.458,0,0
217188,0.758,0.71,0.541,60.198,19.252,117.328,51,0
217274,0.886,0.298,-0.168,50.13,1.958,48.832,58,0
217368,0.816,0.779,-0.651,100.435,66.084,29.672,0,0
217462,0.763,-0.038,0.042,-123.298,78.939,6.424,0,0
217560,1.526,0.154,-0.305,-19.313,-10.516,27.977,0,0
217651,1.457,0.952,-0.547,48.313,2.479,-3.702,0,154
217745,1.385,0.586,-0.442,-12.334,96.901,70.069,0,0
217839,0.596,0.191,0.188,51.786,106.069,65.191,0,0
217932,0.326,0.157,0.35,39.954,68.557,40.473,0,0
218027,0.471,0.04,0.439,-8.025,0.288,6.506,0,0
218121,0.729,-0.033,0.669,-39.29,7.733,-11.582,0,0
218215,1.039,-0.102,0.547,19.011,-11.608,-62.573,0,0
218305,0.937,0.521,0.303,28.195,-4.61,-53.969,131,0
218402,0.914,0.314,0.223,83.847,-0.756,-27.444,0,0
218497,0.887,0.467,0.133,-46.328,10.673,-53.275,0,0
218592,0.765,0.533,0.222,-27.504,10.907,-48.191,0,0
218686,0.617,0.417,0.301,43.771,-29.582,-57.771,0,0
218780,1.801,1.038,0.286,71.092,-13.412,-58.198,0,0
218874,0.886,0.82,0.187,-14.664,2.456,-13.703,0,0
218970,0.701,0.841,0.089,20.174,2.404,6.044,0,0
219064,0.653,0.814,0.073,-7.989,5.662,-30.26,0,0
219158,0.573,0.755,0.22,-2.27,7.156,-36.634,0,0
219260,0.509,0.854,0.196,6.34,6.578,-32.87,0,0
219354,0.485,0.869,0.22,6.079,3.476,-31.168,0,0
219447,0.45,0.914,0.152,27.217,8.551,-7.722,0,0
219540,0.449,0.971,0.088,5.007,-0.416,-48.11,0,0
219634,0.433,0.904,0.121,-24.489,12.321,-31.158,0,0
219727,0.358,0.892,0.164,-15.107,25.458,-32.489,0,0
219821,0.235,0.893,0.212,-18.864,36.794,-53.527,0,0
219914,0.064,1.114,0.205,-35.305,39.985,-40.74,0,0
220007,0.097,0.916,0.401,-32.153,18.244,-15.047,0,0
220103,0.096,0.924,0.403,21.909,6.604,-15.236,0,0
220196,-0.002,0.974,0.232,35.824,-0.029,-13.657,0,0
220290,0.109,1.008,0.201,27.299,0.154,3.943,0,0
220383,0.045,0.988,0.226,-19.279,0.979,-2.782,0,0
220477,0.037,0.961,0.256,-18.534,0.008,-1.824,0,0
220570,0.053,0.969,0.273,8.195,-2.954,0.382,0,0
220663,0.047,0.971,0.227,-0.166,-2.079,0.747,0,0
220756,0.079,0.967,0.309,5.918,2.478,3.692,0,0
220850,0.063,1.0,0.221,-9.63,-1.483,0.349,0,0
220943,0.041,0.977,0.232,-11.846,-2.93,-6.202,0,0
221039,0.099,0.962,0.355,-2.568,-0.492,-1.269,0,0
221133,0.06,0.961,0.347,-3.887,3.517,1.925,0,0
221227,0.084,0.968,0.352,-4.894,3.157,-2.008,0,0
221320,0.076,0.92,0.419,-23.061,5.828,-3.102,0,0
221413,0.049,0.918,0.425,11.465,5.543,4.363,0,0
221506,0.046,0.947,0.343,10.781,-1.704,2.349,0,0
221600,0.057,0.965,0.34,1.137,-0.097,0.65,0,0
221693,0.045,0.936,0.376,-4.024,-0.315,0.059,0,0
221787,0.034,0.944,0.357,-0.484,-0.582,0.283,0,0
221883,0.028,0.946,0.351,-0.433,-0.715,-0.16,0,0
221976,0.031,0.946,0.335,-0.109,-0.699,-0.112,0,0
222070,0.035,0.95,0.352,0.114,-0.745,0.207,0,0
222163,0.074,0.94,0.389,1.823,0.28,0.741,0,0
222257,0.04,0.95,0.349,0.242,-0.384,-0.022,0,0
222350,0.041,0.943,0.366,0.174,-0.528,0.303,0,0
222443,0.034,0.939,0.346,0.28,-0.438,-0.311,0,0
222537,0.026,0.946,0.348,0.012,-0.834,0.19,0,0
222630,0.044,0.946,0.364,0.1,-0.425,0.333,0,0
222724,0.037,0.943,0.358,0.386,-0.429,0.203,0,0
222820,0.031,0.945,0.357,-0.422,-0.581,-0.11,0,0
222914,0.04,0.941,0.359,0.084,-0.405,0.008,0,0
223007,0.046,0.944,0.367,0.458,-0.525,0.235,0,0
223100,0.021,0.935,0.349,0.064,-0.9,-0.104,0,0
223195,0.028,0.939,0.352,0.183,-0.886,0.014,0,0
223288,0.039,0.942,0.372,-0.038,-0.365,0.416,0,0
223381,0.048,0.943,0.372,1.15,-0.21,0.673,0,0
223475,0.066,0.941,0.394,-0.203,0.11,0.32,0,0
223568,0.052,0.952,0.376,0.675,-0.183,0.237,0,0
223666,0.039,0.944,0.359,0.106,-0.496,0.593,0,0
223759,0.024,0.951,0.341,0.243,-0.813,-0.196,0,0
223852,-0.005,0.943,0.329,-0.28,-1.23,-0.2,0,0
223946,0.038,0.944,0.372,-0.212,-0.537,-0.067,0,0
224039,0.044,0.946,0.366,1.524,-0.605,0.567,0,0
224134,0.036,0.938,0.365,0.334,-0.543,0.046,0,0
224227,0.018,0.947,0.334,-0.464,-1.064,0.166,0,0
224320,0.05,0.936,0.383,0.584,-0.164,0.737,0,0
224414,0.039,0.942,0.359,0.751,-0.596,-0.048,0,0
224507,0.061,0.936,0.393,1.444,-0.058,0.854,0,0
224605,0.042,0.936,0.37,-0.486,-0.423,-0.049,0,0
224698,0.037,0.946,0.362,1.066,-0.761,0.484,0,0
224792,0.046,0.948,0.367,-0.041,-0.305,0.002,0,0
224885,0.041,0.945,0.357,0.848,-0.735,0.249,0,0
224979,0.048,0.937,0.38,0.554,-0.518,0.556,0,0
225073,0.065,0.947,0.382,0.394,-0.161,0.497,0,0
225167,0.021,0.944,0.349,0.669,-0.994,0.172,0,0
225260,0.054,0.939,0.377,-0.265,-0.137,0.085,0,0
225354,0.047,0.944,0.367,0.743,-0.361,0.517,0,0
225451,0.052,0.95,0.375,0.729,-0.055,0.108,0,0
225545,0.024,0.944,0.35,0.862,-0.994,0.165,0,0
225638,0.055,0.938,0.393,0.2,-0.05,0.272,0,0
225732,0.046,0.941,0.364,1.532,-0.47,0.47,0,0
225825,0.037,0.941,0.351,1.173,-0.67,0.097,0,0
225920,0.052,0.946,0.379,0.319,-0.384,0.525,0,0
226013,0.018,0.945,0.332,0.086,-1.126,-0.203,0,0
226107,0.035,0.938,0.361,-0.666,-0.378,0.714,0,0
226200,0.039,0.946,0.354,1.087,-0.53,-0.236,0,0
226294,0.042,0.935,0.371,0.651,-0.481,0.432,0,0
226391,0.034,0.943,0.35,0.076,-0.59,0.352,0,0
226485,0.042,0.939,0.371,0.32,-0.389,0.488,0,0
226579,0.007,0.939,0.334,-0.049,-1.259,-0.187,0,0
226672,0.043,0.941,0.364,0.203,-0.386,0.184,0,0
226766,0.065,0.943,0.383,1.069,-0.128,0.118,0,0
226861,0.025,0.948,0.351,-0.015,-0.734,0.131,0,0
226954,0.056,0.95,0.379,0.475,0.035,0.232,0,0
227048,0.045,0.944,0.368,0.488,-0.319,0.192,0,0
227141,0.038,0.938,0.373,-0.788,-0.499,0.239,0,0
227238,0.056,0.942,0.382,0.568,-0.052,0.446,0,0
227333,0.038,0.938,0.37,-0.429,-0.381,-0.044,0,0
227427,0.041,0.942,0.37,0.514,-0.453,0.405,0,0
227520,0.073,0.939,0.401,1.195,0.263,0.536,0,0
227614,0.052,0.94,0.374,1.255,-0.282,0.831,0,0
227708,0.004,0.946,0.321,-2.197,-0.923,-0.259,0,0
227803,0.051,0.939,0.38,-1.582,0.162,0.616,0,0
227896,0.032,0.935,0.37,-1.959,-0.4,-0.001,0,0
227990,0.049,0.932,0.387,0.598,-0.3,0.439,0,0
228084,0.031,0.939,0.373,0.307,-0.519,0.088,0,0
228182,0.035,0.936,0.378,0.646,-0.537,0.341,0,0
228276,0.034,0.936,0.379,-0.05,-0.25,0.635,0,0
228370,0.015,0.946,0.343,-0.437,-0.846,-0.534,0,0
228464,0.067,0.939,0.415,1.893,0.104,0.669,0,0
228557,0.033,0.935,0.372,-0.026,-0.719,0.176,0,0
228652,0.084,0.946,0.422,1.974,0.47,0.691,0,0
228746,0.039,0.938,0.377,0.651,-0.453,0.196,0,0
228840,0.039,0.939,0.372,1.199,-0.453,0.101,0,0
228934,0.04,0.935,0.374,-0.082,-0.403,0.159,0,0
229028,0.075,0.938,0.41,1.287,0.155,0.526,0,0
229126,0.041,0.937,0.365,0.273,-0.471,-0.113,0,0
229220,0.043,0.944,0.37,-0.267,-0.179,0.122,0,0
229314,0.012,0.931,0.352,0.124,-0.98,-0.147,0,0
229407,0.065,0.938,0.404,0.711,0.11,0.153,0,0
229501,0.051,0.944,0.396,0.669,-0.114,0.598,0,0
229596,0.038,0.939,0.373,0.281,-0.527,-0.115,0,0
229690,0.014,0.941,0.349,-0.098,-0.993,0.162,0,0
229784,0.028,0.942,0.358,0.034,-0.79,0.031,0,0
229878,0.028,0.939,0.36,-0.099,-0.636,0.122,0,0
229976,0.051,0.939,0.387,1.318,-0.369,0.766,0,0
230070,0.022,0.935,0.367,0.024,-0.605,0.048,0,0
230164,0.04,0.936,0.38,0.952,-0.346,0.524,0,0
230258,0.012,0.937,0.35,-0.227,-0.714,-0.145,0,0
230352,0.033,0.939,0.374,-0.031,-0.396,0.3,0,0
230447,0.002,0.938,0.348,0.429,-1.212,-0.111,0,0
230541,0.015,0.932,0.359,0.023,-1.144,-0.114,0,0
230635,0.05,0.934,0.381,-0.223,-0.269,0.203,0,0
230729,0.042,0.944,0.377,0.874,-0.547,0.473,0,0
230823,0.041,0.942,0.383,0.618,-0.174,0.327,0,0
230921,0.008,0.948,0.351,-0.569,-1.038,-0.087,0,0
231015,0.03,0.941,0.366,0.359,-0.586,0.113,0,0
231109,0.024,0.932,0.361,0.409,-0.81,0.105,0,0
231208,0.041,0.939,0.386,0.248,-0.42,0.239,0,0
231302,0.053,0.941,0.394,0.112,0.115,0.359,0,0
231395,0.035,0.941,0.375,0.786,-0.58,0.599,0,0
231488,0.005,0.943,0.347,-0.193,-0.955,-0.368,0,0
231581,0.007,0.943,0.344,-0.035,-1.228,-0.268,0,0
231674,0.036,0.935,0.374,-0.005,-0.407,0.295,0,0
231771,0.043,0.936,0.393,0.353,-0.121,0.758,0,0
231864,0.018,0.942,0.355,-0.096,-0.59,0.043,0,0
231957,0.028,0.938,0.377,1.102,-0.797,0.097,0,0
232050,0.05,0.938,0.389,-0.456,-0.119,0.332,0,0
232143,0.01,0.943,0.336,0.346,-1.242,-0.149,0,0
232237,0.011,0.932,0.355,-0.264,-1.027,-0.207,0,0
232330,0.041,0.937,0.375,0.538,-0.316,0.316,0,0
232423,0.001,0.937,0.334,-0.107,-0.953,-0.385,0,0
232517,0.013,0.938,0.339,-0.198,-0.976,0.171,0,0
232610,0.045,0.941,0.374,0.584,-0.233,0.302,0,0
232707,0.035,0.933,0.376,0.881,-0.501,0.374,0,0
232800,0.05,0.942,0.389,-0.139,-0.144,0.435,0,0
232893,0.054,0.94,0.393,0.99,-0.148,0.585,0,0
232986,0.044,0.943,0.385,1.041,-0.152,0.26,0,0
233079,0.042,0.944,0.381,0.108,-0.185,0.406,0,0
233172,0.005,0.942,0.344,0.28,-0.948,-0.299,0,0
233267,0.013,0.935,0.357,-0.643,-0.65,0.242,0,0
233360,-0.002,0.936,0.334,-0.588,-1.197,-0.32,0,0
233453,-0.007,0.941,0.334,-0.418,-1.028,-0.288,5,5
233546,0.028,0.937,0.365,-0.935,-0.374,0.139,0,0
233643,0.04,0.935,0.379,0.865,-0.393,0.42,0,0
233736,0.002,0.934,0.347,-0.31,-1.033,-0.216,0,0
233830,0.082,0.937,0.411,0.913,0.262,0.858,0,0
233923,0.026,0.934,0.365,-0.029,-0.628,0.112,0,0
234016,0.03,0.937,0.379,-0.398,-0.356,0.275,0,0
234109,0.053,0.941,0.395,0.639,-0.105,0.277,0,0
234204,0.024,0.938,0.369,0.667,-0.706,-0.019,0,0
234297,0.054,0.938,0.399,-0.127,0.151,0.383,0,0
234390,0.024,0.94,0.359,0.702,-0.965,0.202,0,0
234486,0.034,0.932,0.379,0.587,-0.65,0.107,0,0
234579,0.034,0.944,0.36,0.534,-0.569,0.242,0,0
234674,0.009,0.94,0.344,-0.11,-0.991,-0.378,0,0
234767,0.026,0.94,0.355,0.151,-0.728,0.386,0,0
234860,-0.013,0.944,0.327,-0.421,-1.432,-0.388,5,5
234954,0.069,0.934,0.407,1.74,0.132,0.857,0,0
235047,0.021,0.933,0.352,-0.917,-0.717,0.013,0,0
235141,0.05,0.946,0.382,0.965,-0.126,0.443,0,0
235234,0.029,0.937,0.365,0.338,-0.802,0.031,0,0
235328,0.018,0.938,0.344,-0.525,-1.01,-0.011,0,0
235424,0.019,0.936,0.365,0.338,-0.733,-0.165,0,0
235517,0.036,0.938,0.38,-0.189,-0.381,0.398,0,0
235612,0.023,0.946,0.357,0.483,-0.586,0.126,0,0
235705,0.029,0.931,0.369,0.414,-0.653,0.337,0,0
235799,0.002,0.932,0.333,-1.439,-1.05,-0.393,0,0
235892,0.016,0.937,0.356,0.33,-1.041,0.137,0,0
235985,0.064,0.942,0.404,1.668,0.155,0.285,0,0
236080,0.044,0.936,0.381,0.022,-0.23,0.474,0,0
236173,0.018,0.945,0.349,-1.349,-1.273,-3.886,0,0
236267,0.038,0.936,0.38,0.729,0.649,2.932,0,0
236363,0.074,1.036,0.433,25.099,4.864,37.641,0,0
236457,0.036,1.483,0.368,-41.832,-13.781,95.763,0,0
236552,0.23,0.899,0.643,-109.725,-98.611,125.992,0,0
236642,0.505,0.602,0.723,-110.763,-159.298,115.473,0,150
236733,0.693,0.353,0.395,-90.702,-174.214,83.153,0,148
236824,0.758,0.323,0.077,-94.267,-166.588,66.809,0,147
236911,0.838,0.113,-0.147,-78.985,-140.641,40.084,136,147
237002,0.884,0.119,-0.307,-30.336,-114.191,15.153,0,147
237096,0.875,0.129,-0.432,-27.527,-83.565,5.62,0,147
237188,0.77,0.171,-0.528,-12.742,-54.137,0.178,0,147
237279,0.82,0.257,-0.606,-19.115,-33.344,3.794,0,147
237370,0.86,0.265,-0.619,-0.305,8.543,-1.769,0,147
237461,0.845,0.236,-0.569,0.455,5.792,-4.4,0,147
237551,0.854,0.221,-0.513,-4.145,2.365,-6.552,0,147
237642,0.862,0.251,-0.504,10.852,3.063,-4.697,0,146
237733,0.773,0.297,-0.584,44.214,6.525,3.301,0,146
237824,0.934,0.323,-0.667,67.626,29.153,30.015,0,147
237914,1.118,0.325,-0.653,104.87,79.695,75.511,126,151
238002,1.018,-0.093,-0.452,188.893,116.244,85.496,123,157
238091,0.943,-0.307,-0.2,159.939,141.168,53.015,120,0
238181,0.778,-0.287,-0.002,248.824,133.802,9.813,122,0
238275,0.903,-0.229,0.558,182.489,114.214,-0.106,0,0
238368,0.546,0.145,0.661,133.695,143.313,-40.115,0,0
238462,0.02,0.358,1.0,-40.672,111.237,-66.45,0,0
238557,0.007,-0.169,1.201,121.061,43.45,-60.595,0,0
238651,0.193,0.427,0.907,-1.519,43.588,-54.328,0,0
238748,0.218,-0.026,1.121,-28.618,32.832,-40.863,0,0
238842,0.25,0.313,1.095,11.938,5.976,-28.046,0,0
238936,0.183,0.492,0.959,53.023,-11.087,-71.954,0,0
239030,0.03,0.748,0.772,5.298,-23.015,-55.962,0,0
239124,-0.017,0.672,0.737,-55.099,26.748,-25.565,0,0
239218,-0.153,0.106,0.727,-146.603,35.504,44.122,0,0
239312,0.081,-0.037,0.936,-18.664,34.153,71.107,0,0
239407,0.1,0.117,0.936,36.092,3.855,56.656,0,0
239510,0.041,0.313,0.947,37.802,28.16,59.588,0,0
239606,0.062,0.333,1.224,-28.328,52.244,57.107,0,0
239699,-0.331,0.056,1.007,-59.74,30.137,35.587,0,0
239790,-0.483,-0.0,0.835,5.203,18.405,-12.122,0,146
239880,-0.504,-0.349,0.922,-17.244,35.534,-20.679,0,143
239961,-0.706,-0.034,0.655,70.725,69.405,-34.321,41,139
240055,-0.68,0.415,0.601,77.824,92.115,-79.397,0,0
240148,-0.424,0.493,0.504,62.641,93.542,-75.55,0,0
240233,-0.833,0.493,0.534,99.626,145.046,-55.13,57,0
240319,-0.967,0.291,0.585,31.957,163.038,-29.794,59,0
240407,-1.687,0.165,0.113,-54.328,151.183,-43.466,56,0
240492,-1.33,-0.267,0.169,147.924,80.725,-12.287,54,0
240577,-1.025,-0.04,-0.092,135.886,20.122,-17.833,58,0
240663,-0.879,-0.076,-0.17,15.77,21.695,-26.844,65,0
240749,-0.645,-0.198,-0.063,47.924,12.744,-2.399,71,0
240836,-0.993,-0.006,-0.108,128.763,-11.461,11.127,78,0
240924,-0.81,0.212,-0.054,137.107,10.033,43.313,101,0
241017,-0.324,0.278,0.01,107.855,32.366,33.885,0,0
241108,-0.932,0.362,-0.059,39.405,-3.044,28.832,103,0
241202,-1.764,-0.056,-0.177,81.16,-26.123,27.008,0,0
241295,-1.134,-0.068,-0.328,66.076,-10.507,57.183,0,0
241389,-0.451,-0.297,-0.151,147.496,-42.397,31.702,0,0
241482,-0.416,-0.072,-0.186,181.649,-87.511,30.267,0,0
241576,-1.905,0.625,-0.28,66.659,2.426,-49.351,0,0
