Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35976,-0.167,0.343,0.932,0.915,-0.009,0.072,101,0
36063,-0.174,0.375,0.924,4.192,0.038,1.866,101,0
36146,-0.162,0.265,0.95,2.503,-0.253,0.58,101,134
36229,-0.166,0.348,0.953,0.782,0.313,1.018,101,134
36312,-0.165,0.344,0.918,-2.585,-0.743,-1.013,101,134
36395,-0.175,0.336,0.923,5.131,-0.582,-0.008,101,133
36477,-0.164,0.351,0.945,9.106,-0.596,0.914,101,133
36563,-0.159,0.35,0.933,-4.472,-0.418,-0.653,101,133
36646,-0.166,0.363,0.912,4.926,0.282,0.608,101,132
36729,-0.177,0.353,0.94,6.346,1.912,-0.096,102,133
36809,-0.194,0.342,0.921,-3.767,3.793,-9.056,47,133
36890,-0.187,0.441,0.932,3.184,10.234,-4.942,51,133
36973,-0.197,0.391,0.929,0.337,9.907,-1.034,101,132
37057,-0.129,0.374,0.99,-34.061,17.761,5.197,101,133
37137,-0.294,0.171,1.073,-40.87,-10.186,-1.473,46,134
37224,-0.319,0.166,0.958,-24.247,-33.158,-6.249,99,0
37311,-0.228,0.146,0.971,33.737,-4.189,9.226,45,0
37395,-0.206,0.282,0.892,-11.804,-2.667,8.523,98,134
37475,-0.172,0.146,0.941,-30.115,-2.343,0.257,45,133
37562,-0.209,0.108,1.039,-26.947,-3.799,-3.677,99,0
37646,-0.213,0.075,1.035,-47.099,-8.195,-2.751,37,0
37730,-0.206,-0.001,0.99,-59.634,12.761,-1.885,37,0
37813,-0.187,-0.129,0.908,-116.084,51.191,9.723,38,0
37897,-0.215,-0.32,1.087,-10.365,40.985,-1.166,37,0
37981,-0.01,-0.031,0.826,117.763,-48.74,22.069,48,0
38077,0.181,0.269,1.099,112.107,-83.878,74.58,0,0
38170,-0.053,0.347,0.88,6.269,5.168,179.809,0,0
38254,-0.196,-0.393,1.196,119.809,-13.464,130.069,50,0
38347,0.178,0.607,0.684,-51.55,-18.726,115.122,0,0
38440,-0.897,-0.12,1.247,-25.169,16.786,-53.169,0,0
38534,0.666,-0.26,0.675,-97.679,-16.763,36.405,0,0
38627,-0.619,1.172,1.093,86.122,-39.267,55.962,0,0
