Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35976,-0.167,0.267,0.932,-0.786,-0.403,-0.738,101,0
36063,-0.174,0.18,0.924,-0.237,-0.872,-0.165,101,0
36146,-0.162,0.351,0.95,4.802,0.251,1.593,101,134
36229,-0.166,0.371,0.953,0.695,0.466,1.13,101,134
36312,-0.165,0.695,0.918,8.798,2.034,2.174,101,134
36395,-0.175,0.6,0.923,14.452,1.72,2.288,101,133
36477,-0.164,0.361,0.945,8.374,-0.592,0.924,101,133
36563,-0.159,0.394,0.933,-2.68,-0.021,-0.198,101,133
36646,-0.166,0.371,0.912,5.073,0.365,0.709,101,132
36729,-0.177,0.628,0.94,17.12,7.252,9.483,102,133
36809,-0.194,0.778,0.921,21.675,15.559,11.07,47,133
36890,-0.187,-0.016,0.932,-47.937,-12.378,-29.38,51,133
36973,-0.197,0.781,0.929,50.466,31.041,15.036,101,132
37057,-0.129,0.076,0.99,-34.061,-8.183,-6.606,101,133
37137,-0.294,0.171,1.073,-40.87,-11.913,-1.958,46,134
37224,-0.319,0.425,0.958,16.3,-9.006,2.665,99,0
37311,-0.228,0.146,0.971,0.207,-21.706,2.412,45,0
37395,-0.206,0.473,0.892,7.779,7.584,14.002,98,134
37475,-0.172,0.146,0.941,-30.115,14.13,14.041,45,133
37562,-0.209,0.108,1.039,-26.947,-7.749,-7.678,99,0
37646,-0.213,0.075,1.035,-47.099,-4.826,0.055,37,0
37730,-0.206,-0.001,0.99,-59.634,9.205,-9.68,37,0
37813,-0.187,-0.129,0.908,-116.084,51.191,16.491,38,0
37897,-0.215,-0.32,1.087,-11.155,40.985,-2.603,37,0
37981,0.567,-0.031,0.826,117.763,-48.74,102.808,48,0
38077,0.048,-0.031,1.099,112.107,-83.878,74.58,0,0
38170,-0.125,0.171,0.88,-16.738,2.551,179.809,0,0
38254,-0.196,-0.393,1.196,119.809,15.497,130.069,50,0
38347,0.181,0.607,0.706,-51.55,-18.218,115.122,0,0
38440,-0.897,-0.12,1.247,9.787,16.786,-31.585,0,0
38534,0.666,-0.26,0.551,-97.679,-31.044,36.405,0,0
38627,-0.619,1.172,1.093,86.122,-39.267,55.962,0,0
38720,0.446,-0.441,0.999,-118.794,53.832,-56.55,0,0
38802,-0.133,0.638,1.216,158.206,-27.282,43.901,16,0
38898,0.513,-0.056,0.794,-162.924,-65.45,-99.634,0,0
38991,-0.623,0.159,0.807,89.985,-114.152,-84.985,0,0
39085,0.291,0.685,0.809,-30.473,-44.756,-7.578,0,0
39178,0.535,0.001,0.887,100.476,27.282,-40.519,0,0
39271,-0.062,0.095,1.006,-76.588,-26.094,-28.915,0,0
39363,0.134,-0.031,0.802,-10.988,-5.949,-39.613,0,0
39456,0.118,0.468,0.978,-28.74,4.767,-55.069,0,0
39549,0.439,-0.015,0.926,7.343,-13.406,-46.779,0,0
39636,0.201,0.326,0.741,-63.191,21.573,-137.565,100,0
39720,-0.001,-0.063,1.017,-128.275,86.267,-85.023,17,167
39801,-0.205,-0.069,1.085,69.977,112.893,-52.977,140,39
39880,-0.155,0.068,1.012,63.473,93.802,-41.71,107,36
39960,-0.519,0.596,1.305,250.13,20.191,45.664,144,35
40041,-0.247,0.912,0.627,-28.298,-0.678,-0.57,147,37
40122,-0.356,0.355,0.719,-24.145,3.61,8.914,146,36
40203,-0.325,0.335,0.986,-21.098,-1.664,1.086,144,36
40282,-0.354,0.091,0.897,-9.697,-8.065,-6.102,110,37
40363,-0.312,0.369,0.799,9.514,-4.135,-6.8,145,36
40445,-0.307,0.542,0.824,4.244,-0.229,1.605,145,37
40526,-0.325,0.421,0.833,-8.351,-0.006,1.211,145,36
40607,-0.33,0.428,0.847,0.514,-0.041,0.645,144,37
40688,-0.313,0.557,0.849,6.214,0.527,0.245,145,36
40769,-0.325,0.118,0.832,-4.692,-4.966,-3.667,145,36
40849,-0.321,0.378,0.831,-1.918,-1.384,-0.434,145,36
40930,-0.324,0.327,0.836,-4.336,-1.956,-0.771,145,36
41011,-0.325,0.551,0.838,2.594,0.515,0.76,145,36
41092,-0.318,0.565,0.828,3.428,0.632,0.872,145,36
41176,-0.323,0.214,0.831,-5.554,-3.554,-1.663,145,36
41255,-0.332,0.527,0.839,2.352,0.274,0.591,145,36
41336,-0.315,0.507,0.835,-0.387,-0.19,0.087,145,36
41417,-0.322,0.474,0.829,-0.177,-0.276,0.367,145,36
41498,-0.321,0.482,0.838,-0.147,-0.466,0.418,145,36
41579,-0.316,0.505,0.833,0.155,0.114,0.604,145,36
41660,-0.327,0.458,0.838,0.196,-0.501,0.15,145,36
41741,-0.315,0.293,0.83,-1.612,-2.578,-1.191,146,36
41822,-0.321,0.418,0.833,-0.61,-1.126,-0.415,146,36
41906,-0.329,0.072,0.831,-3.731,-5.394,-3.439,44,11
41987,-0.321,0.686,0.833,1.485,2.31,1.938,146,36
42066,-0.317,0.31,0.833,-1.355,-2.283,-0.835,146,36
42147,-0.322,0.365,0.83,-1.485,-1.732,-0.638,146,36
42228,-0.319,0.153,0.836,-3.617,-4.09,-2.539,146,36
42309,-0.32,0.659,0.831,1.717,1.943,1.886,146,36
42390,-0.321,0.479,0.833,0.239,-0.41,0.473,146,36
42480,-0.317,0.312,0.833,-1.835,-2.381,-1.17,146,36
42560,-0.322,0.466,0.837,-0.724,-0.638,0.039,146,36
42643,-0.32,0.823,0.828,3.052,3.72,2.704,146,36
42723,-0.318,0.35,0.838,-0.911,-1.641,-0.651,146,36
42804,-0.317,0.603,0.836,1.55,1.142,1.56,146,36
42884,-0.318,0.214,0.835,-3.133,-3.023,-1.772,145,36
42963,-0.321,0.529,0.831,1.089,0.342,0.645,145,36
43044,-0.326,0.53,0.835,0.814,0.154,0.768,145,36
43124,-0.319,0.473,0.833,-0.074,-0.279,0.326,145,36
43204,-0.317,0.495,0.833,0.294,0.139,0.515,145,36
43285,-0.329,0.411,0.834,0.704,-0.803,-0.447,145,36
43368,-0.318,0.552,0.822,0.478,0.352,0.725,145,36
43448,-0.323,0.583,0.832,1.713,0.997,0.787,146,36
43529,-0.321,0.495,0.832,0.236,-0.275,0.314,145,36
43609,-0.312,0.46,0.839,-0.616,-0.438,-0.02,145,36
43688,-0.32,0.403,0.825,-0.746,-1.233,-0.448,145,36
43769,-0.318,0.648,0.823,2.068,1.541,1.537,145,36
43849,-0.324,0.371,0.835,-1.195,-1.538,-0.665,145,36
43930,-0.32,0.63,0.829,0.508,1.309,1.688,146,36
44010,-0.323,0.453,0.832,-0.134,-0.508,-0.192,146,36
44093,-0.317,0.5,0.831,0.172,0.108,0.643,146,36
44174,-0.324,0.507,0.833,0.307,0.085,0.495,146,36
44254,-0.329,0.617,0.832,0.929,1.376,1.235,146,36
44335,-0.311,0.578,0.839,1.264,0.873,1.046,145,36
44416,-0.319,0.348,0.828,-1.627,-1.759,-0.747,146,36
44495,-0.315,0.405,0.834,-1.367,-1.21,-0.259,146,36
44576,-0.318,0.839,0.833,4.025,3.703,2.947,145,36
44657,-0.314,0.409,0.829,-1.404,-1.206,0.021,146,36
44738,-0.327,0.494,0.831,0.02,0.142,0.366,146,36
44822,-0.324,0.386,0.837,-1.199,-1.422,-0.234,146,36
44902,-0.318,0.451,0.839,-0.234,-0.698,0.058,146,36
44983,-0.322,0.714,0.835,2.079,2.585,2.213,146,36
45064,-0.319,0.305,0.839,-1.354,-2.198,-1.096,146,36
45145,-0.32,0.434,0.828,-0.712,-0.661,0.044,146,36
45225,-0.318,0.49,0.834,-0.052,-0.18,0.307,146,36
45306,-0.32,0.758,0.828,2.839,2.676,2.317,146,36
45386,-0.322,0.342,0.836,-1.137,-1.623,-0.61,146,36
45467,-0.322,0.539,0.826,1.566,0.595,0.639,146,36
45551,-0.314,0.451,0.834,-0.743,-0.69,0.397,146,36
45632,-0.318,0.22,0.834,-2.736,-3.125,-1.909,146,36
45713,-0.323,0.265,0.832,-2.728,-2.876,-1.63,146,36
45793,-0.319,0.413,0.837,-0.805,-1.176,-0.245,146,36
45874,-0.321,0.454,0.831,-0.296,-0.639,0.075,146,36
45955,-0.323,0.319,0.832,-1.686,-1.881,-0.92,146,36
46035,-0.322,0.294,0.836,-1.609,-2.231,-1.394,146,36
46116,-0.323,0.408,0.834,-1.07,-0.966,-0.12,146,36
46197,-0.32,0.327,0.828,-1.395,-1.776,-0.892,146,36
46281,-0.322,0.513,0.831,1.156,0.087,0.32,146,36
46362,-0.318,0.494,0.828,0.255,-0.02,0.681,146,36
46442,-0.332,0.554,0.832,1.062,0.6,0.691,146,36
46523,-0.321,0.591,0.825,0.827,0.929,1.178,146,36
46604,-0.322,0.567,0.839,0.593,0.844,0.858,146,36
46685,-0.323,0.26,0.831,-1.997,-2.966,-1.407,146,36
46766,-0.319,0.589,0.832,1.19,0.823,1.214,146,36
46846,-0.322,0.482,0.837,0.353,-0.184,0.309,146,36
46927,-0.314,0.384,0.833,-1.629,-1.372,-0.451,146,36
47011,-0.322,0.262,0.833,-1.904,-2.549,-1.448,146,36
47092,-0.319,0.524,0.823,1.124,0.27,0.346,146,36
47173,-0.316,0.499,0.825,-0.459,-0.237,0.592,146,36
47254,-0.321,0.38,0.837,-0.385,-1.556,-0.616,146,36
47335,-0.33,0.334,0.821,-1.684,-2.058,-1.071,146,36
47416,-0.317,0.181,0.832,-3.031,-3.55,-1.871,146,36
47497,-0.315,0.153,0.837,-3.684,-3.826,-2.193,146,36
47578,-0.323,0.297,0.832,-2.613,-2.398,-1.098,146,36
47659,-0.32,0.342,0.836,-1.722,-1.935,-0.87,145,36
47742,-0.321,0.543,0.837,0.568,0.422,0.668,146,36
47823,-0.316,0.705,0.828,2.195,2.241,1.687,146,36
47904,-0.324,0.372,0.822,-1.973,-1.463,-0.577,146,36
47985,-0.319,0.314,0.83,-2.538,-1.987,-0.856,146,36
48066,-0.321,0.621,0.826,1.671,1.286,1.094,146,36
48147,-0.318,0.528,0.833,-0.093,0.308,0.508,146,36
48228,-0.319,0.499,0.833,0.468,-0.183,0.472,146,36
48309,-0.314,0.395,0.826,-1.091,-1.26,-0.392,146,36
48390,-0.321,0.396,0.838,-0.901,-1.054,-0.323,146,36
48475,-0.32,0.374,0.831,-1.21,-1.42,-0.617,146,36
48556,-0.323,0.294,0.835,-2.425,-2.21,-1.113,146,36
48636,-0.32,0.166,0.832,-4.261,-3.912,-2.214,146,36
48717,-0.321,0.445,0.833,-1.201,-0.608,-0.068,146,36
48798,-0.326,0.613,0.835,1.691,1.133,1.675,146,36
48879,-0.322,0.649,0.826,1.648,1.346,1.281,146,36
48961,-0.317,0.463,0.832,-0.236,-0.161,0.208,146,36
49042,-0.319,0.573,0.837,1.094,0.715,1.021,145,36
49123,-0.318,0.099,0.821,-3.315,-4.357,-2.612,44,11
49207,-0.322,0.687,0.825,1.759,1.934,1.884,146,36
49288,-0.322,0.295,0.825,-1.178,-2.273,-1.314,146,36
49370,-0.32,0.46,0.829,-0.062,-0.423,0.231,146,36
49451,-0.315,0.291,0.823,-1.45,-2.016,-1.117,146,36
49531,-0.323,0.648,0.829,2.398,1.41,1.662,146,36
49612,-0.315,0.454,0.823,-0.113,-0.583,0.271,146,36
49694,-0.331,0.618,0.842,1.601,1.542,1.075,146,36
49775,-0.325,0.71,0.837,1.918,2.121,2.073,146,36
49856,-0.315,0.46,0.833,-0.448,-0.503,0.188,146,36
49941,-0.324,0.282,0.831,-2.301,-2.598,-1.149,146,36
50022,-0.315,0.493,0.827,-0.549,-0.128,0.296,146,36
50103,-0.325,0.428,0.825,-0.651,-1.019,-0.194,147,36
50185,-0.322,0.652,0.832,1.563,1.733,1.613,146,36
50266,-0.315,0.418,0.823,-0.634,-1.043,-0.276,147,36
50347,-0.323,0.359,0.827,-0.539,-1.829,-0.742,146,36
50428,-0.313,0.424,0.833,-0.843,-0.935,-0.151,146,36
50509,-0.318,0.56,0.838,1.368,0.633,0.817,146,36
50590,-0.324,0.399,0.833,-1.624,-1.151,-0.296,146,36
50675,-0.317,0.382,0.833,-1.579,-1.458,-0.39,146,36
50756,-0.319,0.145,0.829,-3.864,-3.999,-2.52,146,36
50837,-0.323,0.532,0.841,0.146,0.429,0.934,146,36
50919,-0.323,0.661,0.823,1.681,1.642,1.677,146,36
51000,-0.322,0.347,0.821,-1.628,-1.712,-0.734,146,36
51082,-0.321,0.305,0.835,-1.601,-2.331,-1.237,146,36
51163,-0.33,0.487,0.84,0.769,-0.168,0.029,146,36
51244,-0.32,0.32,0.837,-2.321,-2.37,-0.89,146,36
51325,-0.32,0.622,0.831,2.185,1.451,1.453,146,36
51410,-0.321,0.414,0.828,-1.197,-1.289,-0.247,146,36
51491,-0.322,0.647,0.832,1.51,1.792,1.783,146,36
51572,-0.324,0.529,0.831,0.54,0.166,0.627,146,36
51654,-0.32,0.613,0.839,1.177,1.257,1.555,146,36
51735,-0.318,0.392,0.827,-0.948,-1.4,-0.452,146,36
51817,-0.323,0.463,0.835,-0.643,-0.584,0.163,146,36
51898,-0.322,0.741,0.836,3.038,2.526,2.147,146,36
51980,-0.314,0.289,0.83,-2.651,-2.342,-1.137,146,36
52061,-0.314,0.441,0.836,-1.059,-0.456,0.029,146,36
52146,-0.321,0.383,0.822,-0.543,-1.291,-0.398,146,36
52228,-0.319,0.457,0.832,-0.197,-0.582,-0.041,147,36
52308,-0.323,0.489,0.827,-0.154,-0.109,0.536,147,36
52390,-0.313,0.323,0.826,-0.78,-1.838,-0.884,146,36
52471,-0.325,0.477,0.83,-0.067,-0.203,0.181,146,36
52553,-0.316,0.445,0.831,-0.068,-0.651,0.082,146,36
52635,-0.32,0.435,0.826,-0.265,-0.914,-0.149,146,36
52716,-0.325,0.206,0.837,-2.277,-2.975,-1.87,146,36
