Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
275736,-0.337,0.052,0.943,23.710,6.244,-2.977,0.0,0.0
275829,-0.329,0.142,0.981,13.092,5.313,5.565,0.0,0.0
275923,-0.417,0.154,0.993,16.947,4.718,-9.198,0.0,0.0
276017,-0.379,0.087,0.857,47.733,6.977,-38.412,0.0,0.0
276111,-0.461,0.156,0.685,131.863,39.786,-79.618,0.0,0.0
276205,-0.603,0.533,0.530,134.832,53.221,-89.084,0.0,0.0
276298,-0.663,0.329,0.696,98.298,87.534,-74.252,0.0,0.0
276392,-0.817,0.486,0.576,103.824,89.344,-62.832,0.0,0.0
276485,-0.917,0.470,0.514,69.481,55.832,-53.947,0.0,0.0
276573,-0.968,0.401,0.396,29.351,41.664,-26.443,0.0,100.0
276660,-0.718,0.218,0.314,11.076,68.229,11.489,0.0,82.0
276747,-0.688,0.455,0.240,-10.962,119.573,10.031,0.0,80.0
276836,-1.532,0.290,0.051,-172.321,-1.794,-144.786,0.0,98.0
276930,-1.220,-0.131,-0.281,173.832,-66.130,135.664,0.0,0.0
277018,-0.726,0.415,-0.213,-12.130,-16.313,106.221,0.0,98.0
277106,-0.497,0.159,-0.010,-87.534,18.771,29.473,0.0,98.0
277204,-0.654,0.217,-0.028,-66.153,58.794,39.198,0.0,0.0
277299,-0.726,0.271,-0.077,-60.847,67.443,54.511,0.0,198.0
277392,-0.605,0.228,0.016,-80.649,53.687,89.176,0.0,192.0
277480,-0.555,0.481,0.190,-92.733,21.710,125.580,0.0,76.0
277563,-0.626,0.493,0.226,-59.534,-77.122,234.870,37.0,57.0
277638,-0.898,1.368,0.111,50.534,-166.779,250.130,33.0,48.0
277731,1.736,2.000,0.751,-54.588,-20.282,245.855,196.0,0.0
277824,0.415,-0.178,0.028,66.046,-45.985,190.458,0.0,0.0
277917,0.843,-0.531,0.308,-97.893,18.649,46.137,0.0,0.0
278013,0.553,-0.178,0.142,123.115,-19.145,-9.847,0.0,0.0
278107,0.933,0.526,-0.115,109.878,-57.725,-89.130,0.0,0.0
278199,0.464,0.567,-0.057,-23.756,1.168,-176.931,186.0,0.0
278283,-0.022,0.698,-0.145,160.992,-19.740,-233.031,193.0,44.0
278376,-1.114,1.339,-0.995,106.695,-36.328,-234.099,0.0,0.0
278470,-0.193,0.757,-0.465,4.809,-16.969,127.771,0.0,0.0
278563,0.206,0.771,-0.545,26.061,-1.214,47.206,200.0,0.0
278657,0.047,0.815,-0.544,29.863,2.947,-63.099,0.0,0.0
278752,-0.220,1.001,-0.568,2.137,1.557,-49.641,0.0,0.0
278845,-0.144,0.801,-0.471,8.565,-4.389,36.718,0.0,0.0
278938,-0.028,0.739,-0.570,41.611,-9.260,11.924,0.0,0.0
279031,-0.074,0.851,-0.708,17.473,-3.344,-16.511,0.0,0.0
279124,-0.132,0.841,-0.620,-15.916,3.336,-0.031,0.0,0.0
279218,-0.083,0.751,-0.579,14.153,-4.244,4.885,0.0,0.0
279311,-0.094,0.816,-0.688,3.260,-0.733,-3.809,0.0,0.0
279405,-0.102,0.783,-0.609,-4.069,0.611,0.832,0.0,0.0
279498,-0.089,0.785,-0.652,5.542,-1.557,-0.160,0.0,0.0
279591,-0.095,0.786,-0.640,-2.771,0.076,-0.939,0.0,0.0
279688,-0.100,0.791,-0.638,2.893,-0.817,-0.107,0.0,0.0
279781,-0.094,0.783,-0.647,0.542,-0.191,-0.282,0.0,0.0
279874,-0.099,0.785,-0.640,1.229,-0.427,-0.496,0.0,0.0
279967,-0.101,0.781,-0.635,1.260,-0.344,-0.053,0.0,0.0
280060,-0.101,0.786,-0.652,1.298,-0.534,-0.313,0.0,0.0
280154,-0.097,0.784,-0.645,0.321,-0.496,-0.351,0.0,0.0
280247,-0.102,0.780,-0.651,1.145,-0.527,-0.382,0.0,0.0
280340,-0.103,0.785,-0.651,0.771,-0.351,-0.183,0.0,0.0
280433,-0.097,0.777,-0.641,0.336,-0.374,-0.229,0.0,0.0
280529,-0.098,0.772,-0.642,1.221,-0.389,-0.275,0.0,0.0
280623,-0.100,0.780,-0.646,0.527,-0.359,-0.565,0.0,0.0
280716,-0.099,0.784,-0.651,0.153,-0.252,-0.053,0.0,0.0
280810,-0.096,0.771,-0.651,0.534,-0.420,-0.824,0.0,0.0
280903,-0.101,0.772,-0.647,0.687,-0.588,-0.496,0.0,0.0
280996,-0.100,0.778,-0.655,0.061,-0.260,-0.344,0.0,0.0
281090,-0.096,0.779,-0.649,0.374,-0.504,-0.298,0.0,0.0
281183,-0.099,0.772,-0.651,0.519,-0.450,-0.481,0.0,0.0
281276,-0.105,0.771,-0.652,0.000,-0.427,-0.443,0.0,0.0
281372,-0.097,0.773,-0.657,0.298,-0.267,-0.344,0.0,0.0
281466,-0.103,0.774,-0.653,0.229,-0.496,-0.595,0.0,0.0
281560,-0.099,0.771,-0.654,0.214,-0.221,-0.435,0.0,0.0
281653,-0.105,0.777,-0.656,0.290,-0.267,-0.496,0.0,0.0
281746,-0.101,0.771,-0.657,0.221,-0.328,-0.229,0.0,0.0
281839,-0.100,0.771,-0.661,0.359,-0.573,-0.450,0.0,0.0
281933,-0.095,0.777,-0.653,0.000,-0.298,-0.260,0.0,0.0
282027,-0.096,0.771,-0.654,0.847,-0.435,-0.687,0.0,0.0
282120,-0.094,0.774,-0.658,0.168,-0.267,0.328,0.0,0.0
282216,-0.106,0.764,-0.653,0.603,-0.466,-0.809,0.0,0.0
282310,-0.099,0.771,-0.659,0.672,-0.481,-0.092,0.0,0.0
282403,-0.101,0.773,-0.660,0.435,-0.389,-0.603,0.0,0.0
282497,-0.101,0.774,-0.664,0.618,-0.305,-0.298,0.0,0.0
282590,-0.099,0.767,-0.653,0.832,-0.496,-0.511,0.0,0.0
282684,-0.104,0.770,-0.657,0.527,-0.382,-0.107,0.0,0.0
282777,-0.094,0.768,-0.660,0.725,-0.504,-0.351,0.0,0.0
282870,-0.091,0.775,-0.670,0.229,-0.099,-0.130,0.0,0.0
282963,-0.104,0.767,-0.650,0.084,-0.252,-0.664,0.0,0.0
283061,-0.099,0.766,-0.657,0.573,-0.412,-0.214,0.0,0.0
283154,-0.100,0.771,-0.655,-0.099,-0.122,-0.649,0.0,0.0
283247,-0.098,0.766,-0.662,0.473,-0.359,-0.313,0.0,0.0
283341,-0.099,0.763,-0.666,-0.061,-0.328,-0.580,0.0,0.0
283435,-0.101,0.775,-0.652,0.092,-0.305,-0.450,0.0,0.0
283528,-0.094,0.761,-0.666,0.008,-0.389,-0.252,0.0,0.0
283622,-0.102,0.771,-0.668,0.130,-0.458,-0.435,0.0,0.0
283715,-0.099,0.766,-0.654,-0.206,-0.221,-0.321,0.0,0.0
283809,-0.098,0.770,-0.659,0.443,-0.519,-0.260,0.0,0.0
283906,-0.100,0.763,-0.659,0.069,-0.374,-0.733,0.0,0.0
284000,-0.097,0.766,-0.661,0.198,-0.519,-0.252,0.0,0.0
284093,-0.102,0.772,-0.671,0.099,-0.420,-0.511,0.0,0.0
284186,-0.099,0.766,-0.665,0.122,-0.496,-0.237,0.0,0.0
284280,-0.099,0.768,-0.671,0.038,-0.405,-0.321,0.0,0.0
284374,-0.100,0.768,-0.666,0.183,-0.382,-0.672,0.0,0.0
284468,-0.105,0.766,-0.672,0.008,-0.275,-0.260,0.0,0.0
284561,-0.094,0.764,-0.659,0.061,-0.366,-0.611,0.0,0.0
284655,-0.101,0.771,-0.662,0.069,-0.267,-0.229,0.0,0.0
284751,-0.109,0.764,-0.666,0.267,-0.145,-0.641,0.0,0.0
284846,-0.102,0.759,-0.667,0.435,-0.160,-0.313,0.0,0.0
284939,-0.105,0.760,-0.672,0.260,-0.260,-0.366,0.0,0.0
285033,-0.099,0.762,-0.664,0.267,-0.214,-0.267,0.0,0.0
285127,-0.100,0.769,-0.665,0.244,-0.336,-0.267,0.0,0.0
285220,-0.103,0.765,-0.673,0.420,-0.443,-0.695,0.0,0.0
285315,-0.094,0.770,-0.672,-0.244,-0.359,0.053,0.0,0.0
285409,-0.103,0.768,-0.668,0.328,-0.550,-0.450,0.0,0.0
285503,-0.103,0.762,-0.668,0.374,-0.435,-0.618,0.0,0.0
285597,-0.105,0.767,-0.667,-0.305,-0.282,-0.336,0.0,0.0
285688,-0.093,0.763,-0.668,0.252,-0.382,-0.359,0.0,0.0
285783,-0.103,0.760,-0.663,0.046,-0.351,-0.466,0.0,0.0
285877,-0.099,0.765,-0.673,-0.008,-0.336,-0.305,0.0,0.0
285971,-0.095,0.758,-0.664,0.092,-0.420,-0.519,0.0,0.0
286065,-0.099,0.762,-0.672,0.092,-0.405,-0.290,0.0,0.0
286159,-0.092,0.762,-0.666,-0.206,-0.221,-0.450,0.0,0.0
286253,-0.100,0.759,-0.672,0.183,-0.450,-0.282,0.0,0.0
286347,-0.105,0.760,-0.664,0.153,-0.130,-0.443,0.0,0.0
286441,-0.104,0.762,-0.659,0.115,-0.519,-0.374,0.0,0.0
286538,-0.106,0.764,-0.671,0.099,-0.298,-0.344,0.0,0.0
286632,-0.104,0.764,-0.668,0.672,-0.496,-0.519,0.0,0.0
286727,-0.102,0.764,-0.667,-0.611,-0.038,-0.687,0.0,0.0
286821,-0.101,0.768,-0.659,0.275,-0.382,-0.366,0.0,0.0
286915,-0.102,0.768,-0.672,-0.015,-0.298,-0.290,0.0,0.0
287009,-0.091,0.763,-0.665,0.107,-0.382,-0.656,0.0,0.0
287104,-0.097,0.758,-0.670,-0.076,-0.435,-0.084,0.0,0.0
287197,-0.103,0.767,-0.671,-0.198,-0.145,-0.679,0.0,0.0
287291,-0.099,0.762,-0.661,0.267,-0.137,-0.519,0.0,0.0
287389,-0.104,0.756,-0.673,0.733,-0.290,-0.145,0.0,0.0
287483,-0.106,0.760,-0.667,0.344,-0.382,-0.382,0.0,0.0
287578,-0.098,0.760,-0.666,0.336,-0.580,-0.435,0.0,0.0
287672,-0.099,0.768,-0.673,0.099,-0.275,-0.237,0.0,0.0
287766,-0.097,0.759,-0.666,0.443,-0.366,-0.672,0.0,0.0
287860,-0.100,0.761,-0.665,0.389,-0.313,-0.267,0.0,0.0
287954,-0.102,0.764,-0.672,0.565,-0.282,-0.382,0.0,0.0
288049,-0.101,0.755,-0.663,0.168,-0.511,-0.122,0.0,0.0
288143,-0.119,0.773,-0.663,3.176,2.298,6.603,0.0,0.0
288240,-0.059,0.819,-0.686,20.519,12.542,64.603,0.0,0.0
288334,0.059,0.807,-0.722,32.336,21.679,118.450,0.0,0.0
288430,0.251,0.819,-0.819,4.290,26.893,112.481,0.0,0.0
288516,0.312,0.627,-0.681,-58.565,21.282,99.718,0.0,57.0
288602,0.433,0.380,-0.411,-65.534,-9.924,71.237,0.0,67.0
288688,0.393,0.755,-0.679,-41.405,-22.496,68.969,190.0,60.0
288774,0.691,0.598,-0.533,-174.382,22.305,41.450,189.0,63.0
288868,0.499,0.954,-0.601,-102.962,63.038,40.725,0.0,0.0
288945,0.753,0.535,-0.193,-59.366,10.603,79.992,32.0,60.0
289033,0.820,0.576,-0.161,-44.412,34.023,51.267,29.0,0.0
289118,0.926,0.415,0.021,-61.710,27.435,-1.534,32.0,0.0
289202,0.843,0.493,0.025,-39.305,33.443,-48.740,25.0,0.0
289287,0.753,0.648,0.121,-7.313,34.924,-70.450,29.0,0.0
289370,0.562,0.714,0.256,-40.656,30.328,-74.878,29.0,57.0
289444,0.553,0.767,0.262,-24.710,16.466,-79.863,29.0,57.0
289520,0.502,1.145,0.262,-25.305,21.641,-84.420,31.0,57.0
289596,0.391,1.248,0.460,-82.702,2.069,-68.947,30.0,61.0
289675,0.504,0.772,0.542,-174.725,-12.069,-91.672,31.0,57.0
289759,0.227,0.667,0.515,-95.206,61.595,-93.550,30.0,0.0
289842,-0.185,0.872,0.813,-92.382,96.168,-80.183,30.0,0.0
289924,-0.015,0.676,0.643,25.931,92.626,-83.053,30.0,158.0
290004,-0.287,0.341,0.748,-35.542,83.412,-72.053,30.0,158.0
290086,-0.458,0.325,0.513,37.603,54.183,-64.145,31.0,161.0
290168,-0.448,0.618,0.590,26.397,41.053,-36.015,30.0,163.0
290248,-0.742,0.286,0.654,27.847,22.153,-55.664,29.0,136.0
290330,-0.897,0.512,0.486,0.443,31.145,-84.130,32.0,166.0
290415,-0.914,0.340,0.566,40.053,78.107,-77.954,38.0,157.0
290504,-0.951,0.216,0.493,8.557,153.092,-48.504,162.0,157.0
290595,-1.901,1.264,-0.822,-24.267,101.595,17.924,0.0,172.0
290689,-1.108,0.173,-0.127,-250.137,-4.267,2.328,0.0,182.0
290772,-0.695,-0.174,0.199,-140.573,-63.290,51.649,40.0,193.0
290856,-0.620,0.074,0.230,-82.931,-83.893,30.008,38.0,0.0
290941,-0.664,0.062,0.432,-36.954,-69.733,6.092,34.0,0.0
291025,-0.659,0.124,0.519,-13.656,-61.817,1.802,36.0,0.0
291109,-0.691,0.001,0.650,-3.275,-67.351,5.168,39.0,0.0
291197,-0.675,0.155,0.697,-16.748,-66.924,8.504,46.0,0.0
291281,-0.535,0.187,0.773,-30.924,-59.481,22.420,37.0,0.0
291365,-0.481,0.252,0.736,-29.725,-44.336,24.076,37.0,0.0
291450,-0.426,0.189,0.771,2.427,-30.137,19.649,37.0,0.0
291534,-0.360,0.289,0.791,-18.244,-14.977,9.015,43.0,0.0
291618,-0.364,0.383,0.776,23.977,-7.137,-9.748,36.0,0.0
