Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
38046,-0.222,0.147,0.961,4.873,1.814,-1.154,196,0
38138,-0.254,0.107,0.978,3.854,1.65,-2.182,197,0
38231,-0.204,0.184,0.952,-1.639,2.082,-2.092,197,0
38323,-0.239,0.201,0.949,8.16,2.649,0.392,197,0
38414,-0.223,0.075,0.96,27.432,7.48,2.226,197,183
38507,-0.104,-0.064,0.827,92.542,33.779,-27.875,197,0
38599,-0.353,0.175,0.5,193.145,93.458,-80.863,200,0
38694,-0.862,0.635,0.271,192.252,80.313,-121.542,0,0
38785,-0.95,0.663,0.205,71.008,63.305,-123.786,0,144
38873,-0.971,0.532,0.216,35.229,56.847,-96.511,1,138
38966,-1.017,0.351,0.21,29.677,43.351,-77.282,0,0
39059,-1.088,0.289,0.14,31.779,31.702,-56.817,0,0
39151,-1.065,0.266,0.098,32.509,13.595,-10.086,0,0
39240,-0.997,0.237,0.088,25.126,-2.461,23.486,0,133
39329,-0.939,0.261,0.061,0.943,-8.621,14.626,0,132
39418,-0.949,0.248,0.053,-6.306,-2.141,18.629,0,133
39511,-0.947,0.215,0.046,-25.274,-1.522,4.87,0,133
39600,-0.947,0.202,0.051,-11.34,1.656,4.397,0,135
39689,-0.967,0.22,0.06,-14.183,3.304,-9.045,0,135
39778,-0.971,0.208,0.062,-12.923,3.608,-8.378,0,134
39867,-0.958,0.21,0.063,0.047,-2.034,-7.624,0,134
39960,-0.965,0.206,0.04,-2.345,-2.993,-8.587,0,0
40052,-0.96,0.207,0.052,-0.927,-1.086,2.783,0,0
40145,-0.965,0.217,0.06,-3.213,-0.454,6.053,0,0
40239,-0.968,0.213,0.041,-4.146,-1.505,6.813,0,0
40331,-0.94,0.221,0.061,3.077,-0.768,2.341,0,0
40427,-0.956,0.211,0.062,-10.096,-0.716,-6.044,5,5
40520,-0.974,0.211,0.061,2.251,-0.702,-0.271,0,0
40612,-0.958,0.225,0.065,-4.779,-0.29,-1.101,0,0
40706,-0.958,0.192,0.071,-6.341,-1.509,-1.847,0,0
40799,-0.969,0.217,0.051,2.822,-2.634,2.465,0,0
40892,-0.958,0.211,0.076,-7.091,0.685,1.153,0,0
40984,-0.969,0.2,0.065,-2.119,-0.676,-0.466,0,0
41077,-0.949,0.253,0.08,0.679,0.699,-0.329,0,0
41170,-0.963,0.215,0.071,-6.789,-0.346,-2.784,0,0
41267,-0.969,0.265,0.043,0.201,-0.488,-0.764,0,0
41359,-0.963,0.23,0.083,-1.621,0.248,0.605,0,0
41452,-0.952,0.209,0.089,-0.116,0.779,2.244,0,0
41545,-0.947,0.215,0.073,-7.653,-0.1,0.971,0,0
41637,-0.952,0.233,0.067,-1.957,-0.139,-0.852,0,0
41731,-0.971,0.21,0.07,1.281,0.916,-0.783,0,0
41824,-0.944,0.21,0.082,1.076,0.434,-0.878,0,0
41917,-0.962,0.215,0.075,2.443,-0.918,-2.394,0,0
42010,-0.959,0.216,0.075,0.761,-1.106,-0.736,0,0
42102,-0.951,0.218,0.076,-0.223,-0.852,-1.909,0,0
42199,-0.973,0.219,0.058,1.651,-1.143,-0.383,0,0
42292,-0.957,0.22,0.07,-0.362,-0.229,0.086,0,0
42385,-0.959,0.219,0.062,0.855,0.178,-0.518,0,0
42478,-0.961,0.215,0.054,-1.697,0.126,-0.594,0,0
42571,-0.952,0.235,0.07,2.808,-0.11,0.02,0,0
42663,-0.958,0.208,0.07,-0.091,-0.42,0.156,0,0
42757,-0.953,0.217,0.06,1.237,-0.151,-0.775,0,0
42850,-0.958,0.217,0.067,-1.83,0.213,-1.242,0,0
42943,-0.967,0.206,0.062,1.194,0.026,-0.319,0,0
43039,-0.958,0.22,0.072,-1.132,1.039,2.15,0,0
43132,-0.961,0.218,0.069,-7.517,2.963,-3.841,0,0
43226,-0.966,0.214,0.076,2.294,-1.404,1.679,0,0
43319,-0.952,0.255,0.052,-1.232,-0.142,1.543,0,0
43412,-0.956,0.236,0.054,0.395,0.402,2.601,0,0
43504,-0.957,0.217,0.049,-7.429,2.116,-2.367,0,0
43597,-0.958,0.246,0.051,-4.743,4.966,-2.636,0,0
43692,-0.957,0.249,0.065,0.598,4.457,-0.441,0,0
43784,-0.976,0.215,0.046,-4.518,-1.671,-1.65,0,0
43878,-1.043,0.167,0.053,37.282,6.148,3.593,0,0
43974,0.261,0.769,0.201,73.382,82.382,-23.309,0,0
44067,-1.818,0.023,-0.339,-217.496,-33.954,-111.145,0,0
44161,-0.889,0.092,0.13,72.092,-28.885,131.771,0,0
44254,-0.759,0.574,-0.164,-96.695,-35.076,41.244,0,0
44347,-0.846,0.115,0.121,-58.626,-40.061,25.473,0,0
44440,-0.547,0.65,-0.043,-23.519,17.943,37.969,198,0
44533,-0.751,0.595,-0.079,-166.458,64.328,-20.8,191,0
44621,-1.781,0.268,-0.135,-250.137,25.595,22.021,182,121
44710,-1.281,-0.017,0.731,-138.656,74.634,43.481,1,129
44808,-0.008,0.526,0.95,-180.557,84.756,-46.924,0,0
44892,0.991,0.125,0.186,-217.008,-16.49,1.464,74,167
44976,-1.921,1.134,-0.548,14.089,-114.565,181.733,78,160
45062,-1.873,0.451,-0.157,-116.053,-55.809,250.13,57,0
45147,-1.215,0.795,0.667,4.971,-54.55,250.13,58,0
45232,-0.547,1.057,0.243,68.221,22.817,34.779,61,0
