Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
157481,0.248,0.587,0.905,95.268,5.414,76.777,60,0
157565,-0.258,0.087,0.994,4.35,-0.1,-32.663,43,0
157658,-0.704,-0.107,0.991,27.244,-16.496,-38.847,0,0
157751,-0.372,0.104,0.932,-53.153,-15.769,-48.977,0,0
157843,0.013,0.412,0.836,65.344,65.679,-78.229,0,0
157927,-0.567,0.15,0.57,217.137,64.824,-112.42,51,0
158020,-0.689,0.417,0.456,199.168,69.237,-115.13,0,0
158116,-0.737,0.502,0.2,65.313,77.084,-138.786,0,0
158209,-0.958,0.458,0.651,145.16,65.0,-120.679,0,0
158300,-1.096,0.313,0.22,227.794,39.656,-98.145,173,0
158392,-1.113,0.473,-0.073,191.595,-0.787,-45.061,177,0
158484,-0.977,0.463,0.079,41.969,22.796,-28.519,181,0
158576,-0.936,0.453,0.119,30.451,3.259,40.574,182,0
158667,-0.887,-0.043,0.125,-50.204,-33.308,30.649,181,0
158759,-0.85,0.376,0.115,3.974,26.131,27.359,179,0
158852,-0.927,0.335,0.147,-43.885,34.145,18.818,178,0
158946,-0.996,0.534,0.041,-51.122,59.219,42.781,176,0
159038,-1.043,0.012,-0.047,-47.201,-24.243,-7.855,175,0
159129,-0.821,0.354,-0.131,-33.947,13.957,24.974,173,0
159221,-0.913,0.462,-0.109,-39.855,40.357,14.716,172,0
159312,-0.938,0.112,-0.157,-64.597,-27.805,-27.452,171,0
159405,-0.904,0.577,-0.218,-44.122,50.237,9.33,171,0
159496,-1.005,0.091,-0.247,-103.13,48.908,-38.878,172,0
159589,-1.071,0.245,-0.229,-78.382,18.301,-14.752,0,0
159682,-0.992,0.253,-0.279,-54.924,-23.88,-6.461,0,0
159778,-0.852,0.196,-0.169,-68.229,-22.065,-0.013,0,0
159872,-0.878,0.261,-0.178,-36.305,-20.977,-13.971,0,0
159965,-0.947,0.716,-0.132,51.574,15.204,-25.534,0,0
160058,-0.887,0.467,0.009,-59.298,28.855,-6.776,0,0
160150,-1.125,0.136,0.057,-162.863,55.122,-79.506,174,0
160241,-0.932,0.013,0.162,-114.664,-11.308,27.29,152,0
160331,-0.898,0.287,0.02,-61.099,-2.611,43.924,144,0
160420,-0.772,0.204,-0.033,-67.863,11.071,11.632,137,0
160513,-0.797,0.303,-0.074,-68.031,24.092,22.226,129,0
160602,-0.752,0.213,-0.013,-29.94,25.802,-26.832,123,0
160691,-0.953,0.21,-0.04,-21.612,29.145,-57.397,116,0
160779,-1.258,0.337,-0.074,17.429,26.481,-51.092,109,0
160866,-1.216,0.082,-0.146,-24.267,-14.759,52.176,100,0
160953,-1.084,0.571,-0.078,-31.939,24.176,123.611,90,0
161040,-0.996,0.233,-0.145,-117.168,29.03,64.321,81,0
161133,-1.075,-0.041,-0.075,-63.008,-26.377,-34.084,0,0
161226,-1.193,0.345,-0.137,67.137,-52.351,-32.023,0,0
161315,-1.112,0.169,-0.115,105.733,-88.794,-74.527,73,0
161401,-0.874,0.501,0.08,93.45,-63.473,-130.855,75,0
161488,-0.784,0.355,0.199,-8.148,-11.339,-139.817,77,0
161574,-0.842,-0.017,0.689,-81.015,26.146,-95.802,78,0
161661,-0.902,-0.219,0.405,6.811,-1.047,26.866,76,0
161747,-0.791,-0.261,0.348,-1.775,-1.016,40.29,74,0
161833,-0.86,-0.327,0.251,-12.634,6.872,26.015,72,0
161920,-0.934,-0.384,0.271,0.025,13.305,20.921,70,0
162006,-0.909,-0.39,0.266,43.551,20.82,20.88,71,0
162095,-0.936,-0.314,0.135,41.153,14.212,-0.602,73,0
162181,-0.926,-0.283,0.109,61.45,23.342,48.455,76,0
162268,-0.984,-0.247,0.094,92.725,-12.856,38.527,82,0
162355,-0.861,-0.081,0.147,126.74,18.518,42.229,88,0
162442,-0.859,-0.076,0.129,113.229,0.276,26.198,97,0
162531,-1.118,0.134,0.004,123.824,-17.095,-19.561,118,0
162624,-1.097,0.277,-0.124,165.87,-15.396,9.628,0,0
162717,-1.047,0.684,-0.198,78.733,28.245,26.107,0,0
162813,-0.889,0.502,-0.048,63.221,13.199,38.393,0,0
162908,-0.942,0.248,-0.107,121.634,-38.265,-10.967,0,0
163000,-0.993,0.27,-0.075,64.519,-36.468,-30.832,0,184
163093,-0.962,0.563,-0.007,64.87,26.443,14.299,0,183
163185,-1.028,0.124,-0.022,61.969,-57.028,-27.611,0,183
163277,-1.183,0.566,0.017,73.061,-30.588,-25.137,0,183
163371,-0.696,0.263,0.069,84.412,-8.417,28.579,0,185
163464,-0.95,0.632,-0.014,125.582,37.976,50.123,0,188
163557,-0.766,0.304,0.14,42.341,14.264,15.133,0,192
163653,-0.843,0.191,0.083,-32.664,24.511,-24.532,199,196
163746,-0.917,0.132,0.09,-47.498,5.993,-21.469,197,200
163840,-1.024,0.168,-0.0,64.229,7.163,-5.598,194,0
163933,-0.839,0.267,-0.134,57.076,9.765,15.515,0,0
164026,-1.299,-0.156,-0.272,32.382,-49.906,29.565,5,5
