Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
165152,-1.1,0.64,-0.123,119.748,31.429,-96.397,0,0
165246,-1.067,0.571,-0.009,-53.641,51.947,-60.137,0,0
165340,-1.19,-0.021,0.189,-92.908,31.939,24.863,0,0
165434,-1.042,0.154,0.143,76.092,-32.084,153.0,0,0
165527,-1.419,0.301,-0.165,1.516,-39.832,202.13,0,0
165620,-0.99,0.111,-0.114,-16.733,-29.84,205.573,0,0
165714,-0.695,0.414,-0.062,-2.392,-42.458,109.817,0,0
165811,-0.699,0.264,-0.109,-3.763,-45.725,-27.931,187,0
165905,-0.861,0.325,-0.173,84.695,-47.809,-138.557,0,0
165998,-1.185,0.372,-0.187,155.771,-47.939,-239.046,0,0
166089,-1.248,0.7,-0.205,-32.805,-11.845,-204.176,152,0
166181,-0.902,-0.191,0.199,-23.557,28.13,-63.061,164,0
166274,-0.805,0.149,-0.024,171.473,6.412,23.878,164,0
166363,-0.864,0.501,-0.065,147.351,27.145,-12.605,0,116
166453,-0.964,0.492,0.063,52.836,33.733,39.635,0,120
166543,-1.299,0.49,0.071,32.227,27.069,55.504,0,130
166637,-1.526,0.261,0.001,-38.374,-18.423,181.947,0,146
166730,-1.264,0.487,-0.086,-50.321,-36.313,185.817,0,183
166824,-0.841,0.23,-0.04,-15.924,-35.824,136.985,0,199
166919,-0.645,0.43,-0.009,52.54,37.314,61.542,200,0
167011,-0.785,0.129,-0.024,-67.649,-42.496,-54.672,171,0
167105,-1.135,0.438,-0.122,86.519,-55.221,-154.366,195,0
167198,-0.946,0.49,-0.157,124.038,-59.784,-164.863,0,184
167291,-1.167,0.341,-0.168,39.573,-0.945,-125.626,199,179
167388,-0.843,0.334,-0.229,94.282,24.799,-52.763,0,175
167487,-0.898,0.302,-0.135,92.275,24.817,-30.023,0,175
167579,-0.92,0.489,-0.073,84.641,34.092,15.149,0,178
167671,-1.061,0.485,0.046,41.852,30.458,17.033,0,184
167760,-1.058,0.332,0.085,47.725,15.121,59.573,0,139
167851,-1.077,0.497,-0.068,1.249,8.023,106.481,0,150
167941,-1.253,0.268,-0.133,-104.435,-29.369,105.939,0,146
168032,-1.029,0.076,-0.06,-34.649,-38.041,138.588,0,158
168123,-0.898,0.299,-0.103,-25.061,-32.619,105.099,0,169
168217,-0.868,0.327,-0.071,-15.557,-6.558,34.936,194,177
168309,-0.967,0.369,-0.186,85.809,-38.206,-110.763,0,178
168400,-0.946,0.321,-0.214,132.618,-12.689,-161.718,0,174
168493,-1.215,0.126,-0.142,104.466,-26.882,-155.0,0,170
168584,-0.848,0.147,-0.071,114.565,-16.989,-75.435,0,158
168674,-1.012,0.471,-0.085,65.74,-4.956,-58.412,0,157
168765,-0.993,0.458,-0.009,96.476,28.043,-43.809,0,162
168856,-1.0,0.371,0.06,-1.596,22.107,36.491,0,171
168952,-1.127,0.169,-0.0,-36.26,-13.15,117.756,0,188
169046,-1.493,0.249,-0.109,-46.046,-27.997,203.702,0,0
169138,-1.042,-0.048,-0.06,-73.855,-47.496,179.321,0,0
169232,-0.702,-0.004,-0.023,-37.847,-41.397,109.679,0,0
169323,-0.647,0.31,-0.071,72.181,-10.045,13.913,170,0
169416,-1.148,0.073,-0.172,82.046,-57.356,-118.046,0,0
169509,-0.98,0.215,-0.067,109.122,-5.01,-167.641,0,0
169603,-1.095,0.166,-0.155,78.855,-21.026,-161.573,0,0
169696,-0.964,0.331,-0.088,159.267,14.014,-111.954,0,0
169792,-1.02,0.543,-0.127,89.336,29.275,-64.954,0,0
169885,-1.072,0.476,-0.017,-26.634,30.939,-44.595,0,0
169978,-1.263,0.311,0.022,-16.832,19.975,53.031,0,0
170072,-1.471,0.061,0.008,-23.328,-35.768,217.015,0,0
170165,-1.26,0.239,-0.104,-54.534,-41.099,242.718,195,0
170258,-0.676,0.072,-0.031,-49.099,-43.954,164.481,0,0
170349,-0.422,0.28,-0.061,5.055,-34.588,29.748,163,0
170442,-0.855,0.231,-0.131,48.634,-38.331,-98.626,189,0
170539,-1.179,0.347,-0.199,127.893,8.063,-200.763,0,0
170631,-1.277,0.344,-0.225,67.718,36.015,-176.908,175,0
170723,-1.046,0.373,-0.059,201.178,61.799,-120.0,183,0
170816,-0.928,0.339,-0.025,101.603,25.939,-83.679,0,0
170909,-0.947,0.306,0.044,70.931,20.893,-29.252,0,0
170998,-1.133,0.473,0.083,68.672,37.533,36.191,124,0
171091,-1.12,-0.042,0.066,-15.702,-47.582,124.366,191,0
171183,-1.718,0.274,-0.11,22.434,-54.359,223.412,173,0
171277,-1.18,0.001,-0.113,-28.929,-71.191,223.511,0,0
171367,-0.657,0.278,-0.019,-42.931,-47.527,133.412,196,95
171452,-0.859,0.074,0.021,-28.746,-35.496,-51.878,163,96
171537,-0.766,0.242,-0.04,90.893,-45.969,-114.794,160,95
171631,-1.287,0.35,-0.219,205.489,-54.443,-225.267,0,0
171719,-1.256,0.498,-0.248,151.863,-0.39,-189.344,120,0
171808,-1.021,0.279,-0.106,30.509,-15.284,-113.527,125,0
171898,-0.939,0.169,-0.141,142.779,-10.952,-28.801,129,0
171987,-0.767,0.415,-0.184,122.649,6.768,-7.477,130,0
172080,-0.938,0.465,-0.052,-101.912,44.145,-64.184,128,0
172169,-1.195,0.311,0.088,-43.687,41.305,11.096,123,0
172258,-1.297,-0.149,0.258,89.817,-6.041,124.084,116,0
172346,-1.038,0.482,-0.06,79.45,-1.9,180.939,108,199
172438,-1.21,0.286,-0.088,-112.603,-38.277,109.038,0,175
172526,-0.803,0.097,0.023,-57.931,-49.344,73.916,99,0
172618,-0.751,0.276,-0.038,65.771,-49.275,15.104,178,0
172711,-0.898,0.064,-0.118,90.863,-53.458,-48.511,0,0
172805,-0.95,0.227,-0.152,114.771,-35.359,-97.863,0,0
172902,-1.253,0.426,-0.193,112.939,3.322,-136.779,0,0
172995,-1.096,0.316,-0.089,88.702,8.351,-77.725,0,0
173088,-0.99,0.177,-0.045,74.397,-18.694,-39.924,0,0
173179,-0.718,0.373,-0.057,124.031,3.61,-41.145,0,158
173271,-0.92,0.394,0.002,60.092,17.754,-36.046,0,156
173362,-0.929,0.232,0.106,-29.969,23.359,-19.339,0,159
173454,-0.933,0.464,0.07,89.4,29.157,67.253,0,165
173546,-1.319,0.305,-0.005,-15.073,21.145,-29.728,0,175
173642,-1.343,0.093,0.046,-101.695,-14.759,165.092,0,191
173735,-1.227,0.106,-0.004,-53.779,-60.588,170.038,0,0
173830,-0.652,0.091,0.071,-23.613,-46.733,114.473,0,0
173923,-0.768,0.156,-0.031,-15.308,-33.542,-31.903,0,0
174016,-0.936,0.006,-0.005,58.435,-38.519,-89.931,0,0
174108,-1.316,0.123,-0.125,156.412,-36.397,-166.748,0,163
174201,-0.923,0.575,-0.132,103.115,30.732,-151.573,0,0
174296,-1.092,0.155,-0.015,-3.083,-1.637,-106.802,0,0
174389,-0.823,0.127,0.011,115.992,13.389,-37.406,0,0
174481,-0.821,0.431,-0.029,55.168,25.74,-7.128,0,115
174570,-0.934,0.394,0.067,-13.107,51.718,-6.524,0,117
174664,-1.127,0.238,0.084,-65.42,46.527,-4.556,0,0
174758,-1.395,0.201,0.115,-33.366,8.416,54.153,0,0
174852,-1.108,-0.159,0.023,-24.427,-39.252,135.275,5,56
174946,-1.211,0.293,-0.138,-25.153,-58.45,133.16,0,0
