Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
223201,-0.272,0.053,0.924,-7.234,3.926,-11.772,164,0
223292,-0.306,0.012,0.984,-11.649,-0.256,-24.973,165,0
223384,-0.266,0.061,0.985,-13.514,-8.627,-40.548,167,0
223476,-0.353,0.083,1.006,0.439,18.656,-37.084,169,0
223565,-0.227,-0.305,0.823,122.573,68.183,-70.916,129,0
223660,-0.727,-0.127,0.208,250.13,139.656,-109.466,0,0
223754,-1.205,0.104,-0.042,250.13,118.672,-150.855,0,0
223851,-1.243,0.333,0.005,225.802,31.84,-198.336,0,0
223944,-1.187,0.374,-0.037,124.069,48.611,-135.55,0,0
224038,-1.083,0.451,0.061,-30.412,44.481,-86.321,0,0
224133,-1.046,0.157,0.09,-79.06,42.496,-88.47,0,0
224227,-1.0,0.383,0.15,-39.824,19.194,29.855,0,0
224320,-1.144,0.301,-0.032,-63.954,-23.799,69.557,0,0
224414,-1.417,0.059,-0.14,-34.649,-53.282,175.847,0,0
224508,-1.216,0.217,-0.208,-20.824,-45.405,218.794,0,0
224603,-0.683,0.322,-0.114,-61.282,-9.807,152.542,0,0
224700,-0.586,0.238,0.013,-39.595,0.925,5.753,188,0
224794,-0.91,0.393,-0.031,86.721,21.206,-112.603,0,0
224888,-1.271,0.284,-0.076,79.733,7.435,-190.397,196,0
224983,-1.167,0.06,-0.168,132.069,-8.166,-150.595,5,5
225082,-1.101,0.363,-0.107,110.924,10.198,-106.45,191,0
225175,-0.858,0.164,-0.031,141.359,-1.979,-34.282,194,0
225268,-0.781,0.387,-0.075,147.244,14.725,-15.513,196,0
225361,-0.966,0.322,0.084,-36.078,37.985,-49.017,0,0
225455,-1.126,0.229,0.141,-4.545,31.55,28.672,0,0
225545,-1.218,0.42,0.094,14.205,23.374,52.626,0,0
225638,-1.509,0.15,0.043,-64.374,-42.527,160.046,0,0
225731,-1.572,-0.042,0.0,-47.145,-111.71,239.435,0,0
225824,-0.478,0.107,0.309,-19.588,-109.374,134.221,0,0
225915,0.004,0.395,0.34,61.319,-63.756,112.095,163,0
226006,-0.708,0.848,-0.026,0.003,-44.74,-45.672,157,0
226092,-0.773,0.699,-0.108,58.763,-43.344,-42.939,162,104
226182,-0.728,0.549,-0.156,100.107,-53.504,-105.366,153,0
226278,-0.629,0.293,0.23,154.275,-29.267,-174.878,0,0
226369,-0.994,0.436,-0.07,193.023,-3.532,-200.779,160,0
226460,-1.188,-0.005,-0.204,250.13,-34.038,-197.427,167,0
226553,-1.232,0.668,-0.299,170.122,-32.114,-90.611,0,0
226647,-1.077,0.554,0.033,-56.945,22.924,-72.939,0,0
226740,-0.963,0.517,0.052,-105.29,29.489,54.13,0,0
226830,-1.62,0.108,-0.043,-159.29,-13.566,212.977,145,0
226919,-1.501,-0.084,-0.1,-104.886,-83.809,250.13,132,0
227009,-0.792,0.238,0.004,-23.939,-88.519,208.977,189,98
227094,-0.566,0.228,-0.009,41.039,-61.916,50.824,149,100
227179,-0.656,0.305,-0.025,54.977,-35.565,-94.74,166,99
227272,-0.939,0.247,-0.065,118.954,-31.102,-214.718,0,0
227366,-1.332,0.29,-0.17,184.519,-6.104,-250.137,0,0
227460,-1.389,0.688,-0.377,-223.107,72.557,-220.649,0,0
227543,-0.812,-0.463,0.435,-37.634,38.344,-77.573,16,0
227630,-0.952,-0.043,0.006,250.13,31.847,5.611,102,0
227723,-0.871,0.562,-0.072,245.443,14.251,46.359,0,0
227819,-1.217,0.641,-0.079,-108.794,42.397,72.031,0,0
227912,-1.571,0.016,0.002,-203.366,-13.508,164.229,0,0
228005,-1.48,-0.213,0.0,-37.305,-133.099,201.237,0,0
228099,-0.755,0.037,0.058,75.015,-81.725,174.359,190,0
228191,-0.945,0.298,-0.06,-30.479,-33.962,38.542,176,0
228283,-0.746,0.112,0.074,-14.788,-37.107,-104.779,176,0
228376,-1.239,0.226,-0.075,159.527,-24.079,-187.954,0,0
228467,-1.219,0.35,-0.193,200.191,-8.748,-199.786,167,0
228562,-1.109,0.424,-0.139,36.328,5.075,-131.672,173,0
228655,-0.91,0.215,0.007,46.937,23.931,-55.183,180,0
228747,-0.857,0.38,-0.012,67.008,33.588,-39.038,188,0
228840,-0.912,0.365,0.128,-3.855,49.595,-25.048,187,0
228932,-1.153,0.387,0.093,-110.206,36.679,34.481,185,0
229023,-1.156,-0.089,0.183,-59.947,-38.71,87.962,164,0
229114,-1.149,0.153,0.023,93.969,-58.229,130.573,154,0
229208,-1.301,0.271,-0.129,48.511,-61.412,142.351,0,0
229302,-0.913,0.274,-0.072,-23.718,-49.069,114.573,200,0
229398,-0.712,0.211,-0.016,-10.962,-45.725,37.695,194,0
229491,-0.794,0.128,-0.042,66.534,-48.435,-70.305,0,0
229584,-1.168,0.343,-0.181,145.595,-40.344,-177.115,0,0
229675,-1.093,0.293,-0.142,140.267,-18.556,-209.069,0,144
229765,-1.115,0.251,-0.092,-34.053,-5.167,-140.42,0,139
229855,-0.859,0.073,0.138,53.588,31.359,-28.992,0,137
229945,-0.868,0.38,0.027,84.519,22.588,33.518,0,136
230034,-0.996,0.197,0.092,-38.009,29.847,36.924,5,41
230127,-1.172,0.214,0.136,-14.748,4.307,75.206,0,135
230217,-1.163,0.28,0.132,58.069,9.493,95.13,0,137
230309,-1.363,0.274,-0.016,-38.015,-37.954,134.069,0,177
230403,-1.103,0.135,0.018,-15.153,-63.985,114.718,0,0
230495,-0.791,0.213,0.009,13.198,-39.649,66.962,186,0
230588,-0.731,0.402,-0.062,50.81,-38.527,-40.962,182,0
230680,-1.082,0.21,-0.124,100.748,-29.763,-120.359,180,0
230774,-1.278,0.327,-0.164,123.733,-23.692,-154.985,0,0
230867,-0.97,0.257,-0.026,19.607,25.092,-98.634,0,0
230964,-0.885,0.246,0.075,64.918,41.403,76.236,0,0
231058,-0.812,0.334,0.022,100.878,16.427,26.685,0,0
231148,-0.952,0.385,0.088,31.521,29.634,-7.834,0,142
231238,-1.059,0.308,0.168,-39.977,20.634,2.858,0,146
231319,-1.118,0.083,0.329,50.656,11.7,44.798,16,154
231409,-1.138,0.234,0.085,60.168,-42.828,62.542,0,147
231500,-1.333,0.138,-0.107,-12.176,-67.229,120.878,0,155
231591,-1.098,0.1,-0.092,26.605,-60.084,138.282,0,165
231684,-0.731,0.234,-0.141,-18.108,-45.411,98.42,0,173
231779,-0.799,0.241,-0.13,42.743,-41.969,-9.026,0,175
231871,-1.117,0.44,-0.068,108.679,-67.748,-107.542,0,172
231963,-0.986,0.565,0.003,152.763,-58.321,-127.191,0,168
232055,-0.816,0.49,-0.001,92.473,-24.585,-68.931,0,165
232146,-0.944,0.398,0.051,65.076,-11.183,-63.298,0,165
232239,-0.962,0.54,0.041,50.763,7.057,9.15,0,165
232330,-0.631,0.248,0.159,27.74,6.789,-11.636,0,166
232422,-0.646,0.418,0.105,35.474,35.679,23.099,0,166
232517,-2.0,0.239,-0.24,13.642,-28.633,4.6,0,165
232610,-0.83,-0.02,0.005,178.511,-62.214,44.115,0,0
232697,-0.722,0.609,-0.132,108.641,-7.397,-32.328,0,66
232786,-0.826,0.466,-0.079,-85.359,-8.205,-125.153,0,119
232876,-0.991,-0.048,0.099,-39.412,21.466,-119.115,0,114
232970,-1.033,0.45,-0.019,-104.611,39.214,-31.282,0,197
233054,-0.915,-0.067,0.166,-152.0,-35.42,-17.336,18,0
233147,-1.026,-0.094,0.102,-86.835,-34.481,65.015,0,0
233241,-0.893,0.084,0.077,-40.229,-39.962,58.542,0,198
233338,-0.845,0.089,0.072,-66.595,1.963,26.847,0,200
233433,-0.879,0.226,0.081,-37.756,11.823,24.405,0,194
233526,-0.932,0.243,0.067,-13.015,15.176,28.774,0,0
233620,-1.222,0.182,0.02,-5.469,-2.378,-4.845,0,0
233714,-0.912,0.174,0.066,27.79,-6.651,52.863,0,0
233807,-0.766,0.322,-0.007,-45.053,26.679,45.489,0,0
233902,-0.651,0.232,0.031,-35.985,24.344,-4.285,0,0
233996,-0.798,0.337,-0.057,47.661,31.075,-63.412,0,0
234090,-2.0,0.43,-0.747,-117.275,-13.425,10.158,0,0
234187,2.0,-2.0,0.292,-38.496,-227.351,-212.466,0,0
234279,-2.0,2.0,0.972,182.855,-49.832,-208.107,173,0
234371,-0.39,1.773,0.507,-76.221,-32.969,-29.901,141,0
234461,0.175,0.677,0.158,-157.84,-70.901,172.305,126,0
234547,-0.689,0.224,0.191,-27.702,-61.252,250.13,69,0
234641,-1.516,1.787,0.312,83.229,-74.328,250.13,0,0
234735,-2.0,0.507,-0.103,-250.137,112.244,179.656,0,0
234829,-0.729,0.503,0.603,181.985,-8.633,113.504,0,0
234917,-0.022,1.29,0.737,17.872,-49.183,126.275,37,0
235005,-0.045,0.884,0.697,-32.328,46.893,90.664,80,0
235099,0.002,1.053,0.905,128.229,-17.687,125.061,0,0
235193,0.387,1.156,0.146,201.183,2.859,140.573,0,0
235287,0.542,0.991,0.168,54.786,21.0,168.542,0,0
235381,1.142,0.843,0.022,81.489,17.742,86.855,0,0
235475,0.439,0.553,0.004,-52.756,71.168,25.728,0,0
235570,0.934,0.162,0.106,-59.069,25.58,-69.321,0,0
235655,0.739,0.681,-0.139,-12.481,-23.884,-31.519,36,0
235752,0.682,0.756,-0.047,-17.77,16.786,-48.519,0,0
235846,0.712,0.898,-0.122,56.374,-28.683,-43.985,0,0
235940,0.8,1.206,-0.091,-45.901,85.672,-51.656,0,0
236035,0.316,0.672,0.103,-72.099,19.863,-80.175,5,5
236129,0.362,1.104,0.268,39.375,17.42,34.528,0,0
236223,0.48,0.937,0.578,62.418,39.877,53.328,0,0
236317,0.336,1.065,0.371,-32.557,12.776,35.635,0,0
236411,0.207,0.688,0.169,27.481,-13.485,35.565,0,0
236506,0.392,0.805,0.14,37.228,-5.095,28.649,0,0
236603,0.448,0.586,0.17,-29.985,-34.43,-12.982,0,0
236697,0.949,0.763,0.119,0.073,-39.482,-37.031,0,0
236797,0.141,1.002,-0.255,10.4,-2.856,-63.656,0,0
236891,0.371,1.027,0.043,36.263,-21.319,-30.176,0,0
236984,0.382,0.961,0.012,-15.715,-24.662,-18.089,0,0
237077,0.32,0.981,-0.021,-19.457,-17.812,-15.817,0,0
237170,0.339,0.958,0.031,-8.634,0.571,-20.327,0,0
237263,0.183,0.958,0.047,-15.313,5.022,-19.654,0,0
237357,0.253,0.982,0.046,-16.641,23.594,9.544,0,0
237453,0.243,1.016,0.069,13.375,12.952,3.58,0,0
237546,0.216,0.961,0.111,-15.183,8.245,-17.103,0,0
237639,0.202,1.022,0.09,-17.107,19.179,-18.985,0,0
237732,0.187,0.983,0.203,-24.985,0.227,-37.954,0,0
237826,0.128,0.976,0.314,-10.695,17.616,2.378,0,0
237919,0.125,0.97,0.247,-9.466,9.818,-13.777,0,0
238012,0.09,0.963,0.272,-7.911,8.401,-6.665,0,0
238105,0.087,0.931,0.354,2.364,5.856,3.075,0,0
238198,0.062,0.958,0.233,2.993,-3.138,-3.107,0,0
238291,0.091,0.992,0.261,14.134,0.991,-1.465,0,0
238388,0.095,0.968,0.261,-7.545,2.243,-7.496,0,0
238481,0.051,0.986,0.243,-6.812,0.808,-3.036,0,0
238574,0.067,0.988,0.292,-14.443,1.631,2.278,0,0
