Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
41750,-1.005,-0.321,-0.247,-10.061,0.119,29.313,0,0
41843,-1.075,-0.155,-0.352,10.049,0.394,58.947,0,0
41935,-1.032,-0.106,-0.332,-28.588,15.049,64.84,0,0
42028,-0.961,-0.17,-0.228,-22.449,-1.157,40.183,0,0
42121,-0.931,-0.116,-0.187,18.408,-4.132,10.748,0,0
42210,-0.966,-0.028,-0.199,13.089,2.559,-27.42,157,0
42303,-0.978,-0.019,-0.193,-6.833,0.138,-30.617,0,0
42398,-0.966,-0.044,-0.21,11.122,-17.321,-15.803,0,0
42490,-1.036,0.013,-0.188,28.813,-0.747,25.463,0,0
42584,-1.131,0.193,0.117,-49.55,45.331,47.168,0,0
42675,-1.208,0.216,0.178,-139.481,-87.924,78.832,171,0
42766,-1.214,0.649,0.337,-154.618,-160.519,114.29,168,0
42857,-0.956,0.375,0.233,-137.26,-173.969,103.313,167,0
42947,-0.742,0.073,0.525,-156.886,-152.87,56.893,167,0
43032,-0.516,0.151,0.559,-65.542,-122.542,17.342,58,0
43123,-0.23,0.107,0.628,-24.908,-69.015,5.637,168,0
43217,-0.147,0.134,0.818,-22.114,-52.8,-31.958,170,0
43301,-0.094,0.18,0.948,-11.986,-31.087,-17.605,43,0
43394,-0.102,0.099,1.015,14.493,-1.871,0.534,173,0
43485,-0.099,0.09,1.02,4.545,-9.804,-3.999,174,0
43576,-0.073,0.069,0.982,4.222,-6.034,0.148,175,0
43667,-0.035,0.069,0.996,-21.406,-24.31,-12.016,52,5
43759,-0.053,0.12,0.994,28.077,0.481,-1.725,175,0
43850,-0.068,0.051,0.941,-8.956,-7.386,-20.922,176,0
43935,-0.153,-0.029,0.855,68.573,24.42,-23.294,57,0
44030,-0.132,-0.0,0.9,112.847,41.313,-45.611,177,0
44122,-0.584,0.464,0.525,171.0,51.435,-62.267,181,0
44214,-0.454,0.35,0.72,54.511,62.908,-78.099,181,0
44306,-0.747,0.611,0.642,38.702,58.153,-84.344,179,0
44399,-0.687,0.794,0.574,107.641,30.618,-62.656,0,0
44489,-0.454,0.609,0.478,146.412,24.969,-47.603,0,148
44579,-0.815,1.07,0.029,-21.023,23.985,-43.592,0,147
44669,-1.043,0.456,0.339,-134.907,-37.189,62.298,0,150
44759,-0.918,1.016,0.266,107.084,71.695,184.336,178,154
44844,-0.051,-0.136,0.124,-106.328,92.053,158.405,37,163
44922,-0.513,0.755,-0.128,123.137,-65.751,56.511,37,113
45006,0.034,0.793,-0.181,9.517,-13.153,6.974,37,0
45084,-0.19,1.072,-0.247,92.086,3.015,12.689,42,107
45168,-0.021,0.915,-0.369,55.309,14.829,21.373,44,0
45252,-0.025,1.336,-0.438,36.298,-17.482,6.37,34,0
45336,-0.009,0.763,-0.392,32.832,-25.974,10.061,31,0
45419,-0.246,0.804,-0.339,-29.473,-36.55,-18.527,29,0
45512,0.097,0.944,-0.676,-65.382,-19.214,7.12,148,0
45593,-0.394,0.601,-0.169,-88.71,-31.435,28.305,151,37
45674,0.025,0.996,-0.372,-100.267,-68.565,35.817,157,21
45755,0.127,0.89,-0.06,-173.282,-65.496,100.153,164,20
45846,0.664,1.625,0.923,-204.176,-29.891,100.443,172,0
45939,0.299,2.0,1.584,-133.443,164.832,37.709,184,0
46032,-0.437,-1.277,1.356,-102.206,11.929,-41.241,0,0
46126,-0.071,0.468,0.304,44.264,5.635,-6.389,0,0
46219,0.004,-0.217,0.523,42.397,5.626,-29.565,0,0
46313,0.753,0.739,0.528,160.863,94.0,41.887,179,0
46405,-0.633,1.384,0.987,56.519,-18.179,54.496,173,0
46496,0.122,1.587,0.19,43.595,45.183,3.714,172,0
46578,0.124,0.745,0.254,32.229,7.84,22.863,166,30
46659,0.097,0.634,0.16,32.981,13.583,15.083,165,32
46741,0.13,0.952,0.597,-36.405,11.879,18.207,167,32
46833,0.081,1.085,0.397,-74.893,-8.665,39.366,181,0
46925,0.115,0.838,0.595,-60.534,6.968,29.909,183,0
47019,-0.175,0.67,0.985,19.902,22.221,-3.298,0,0
47114,0.092,0.678,0.802,32.034,12.519,12.908,178,0
47207,0.163,0.807,0.714,-21.794,-17.697,-3.296,0,0
47298,0.146,0.693,0.667,55.931,25.855,-2.68,177,0
47391,0.089,0.835,0.547,52.451,18.894,-4.117,191,0
47484,0.022,0.742,0.653,46.136,18.985,4.435,0,0
47576,0.103,0.37,0.712,-8.966,-13.111,-11.135,177,0
47669,-0.006,0.94,0.576,6.974,22.244,-6.148,0,0
47762,-0.063,0.83,0.574,3.04,5.96,-0.398,192,0
47855,-0.018,0.81,0.546,16.284,4.339,-3.903,194,0
47950,-0.055,0.916,0.568,21.983,5.097,-3.49,187,0
48044,-0.044,0.854,0.606,-2.585,-2.328,-0.854,188,0
48136,-0.032,0.79,0.609,-5.597,0.309,1.088,195,0
48229,-0.051,0.8,0.576,2.928,-2.503,4.663,0,0
48322,0.003,0.823,0.62,-0.73,-3.222,-1.489,0,0
48416,0.052,0.853,0.682,-4.775,6.128,-0.363,0,0
48509,-0.067,0.812,0.621,-0.364,4.021,2.078,0,0
48603,-0.021,0.809,0.637,1.243,4.72,3.871,0,0
48695,-0.025,0.814,0.624,-1.995,-1.012,-2.255,182,0
48787,-0.013,0.773,0.617,3.038,-3.769,-1.613,182,0
48872,0.008,0.833,0.656,2.258,1.426,0.059,182,29
48964,-0.037,0.822,0.693,-17.45,-9.05,-3.149,182,0
49058,-0.035,0.788,0.721,-47.023,-33.745,-1.178,0,0
49152,0.02,0.666,0.744,-26.55,-17.923,-3.34,0,0
49245,0.01,0.576,0.708,0.363,1.895,-20.919,0,0
49338,-0.073,0.716,0.835,20.725,23.557,-4.007,0,0
49421,-0.082,0.488,0.817,-20.103,-16.728,-31.888,21,0
49505,0.021,0.632,0.718,-25.618,-4.601,-17.763,21,0
49588,-0.024,0.759,0.726,-1.228,0.768,1.376,20,0
49674,0.008,0.696,0.752,4.788,-3.575,4.71,20,0
49758,-0.011,0.689,0.775,-6.026,13.459,-1.564,21,0
49841,-0.007,0.752,0.718,-2.969,-0.076,-0.463,20,0
49924,0.007,0.614,0.797,3.199,-2.568,-1.899,22,0
50007,-0.034,0.756,0.735,10.156,3.964,0.257,22,0
50091,-0.074,0.594,0.808,3.016,-1.676,-5.173,24,0
50173,-0.08,0.548,0.751,4.104,-13.621,-7.67,23,0
50267,-0.126,0.519,0.79,-2.965,-20.398,-7.92,0,0
50350,-0.171,0.634,0.786,18.843,-12.771,-4.28,23,0
50437,0.001,0.833,0.775,36.687,-42.344,9.573,23,0
50520,0.059,0.739,0.612,30.702,-48.908,-31.84,25,0
50604,0.013,0.347,0.646,94.137,-40.901,-93.307,8,5
50680,0.118,0.855,0.601,-9.47,-19.224,-35.977,27,88
50764,0.07,0.842,0.625,3.903,-12.716,-26.982,21,0
50849,0.05,0.953,0.482,37.969,-15.009,-1.006,35,0
50925,0.063,0.783,0.568,30.717,-13.26,-4.477,21,74
51001,0.026,0.87,0.641,-5.724,-4.153,-0.336,22,65
51078,0.059,0.634,0.644,10.567,-1.027,-27.046,22,67
51165,0.039,0.815,0.485,31.819,11.741,-43.939,23,0
51239,-0.1,0.829,0.441,32.649,2.557,-62.489,22,60
51315,-0.274,0.838,0.347,64.145,23.473,-62.069,24,58
51391,-0.596,0.986,0.441,-42.107,-17.381,-70.473,25,55
51468,-0.754,0.662,0.557,41.282,-42.912,-113.145,29,65
51545,-1.233,1.291,0.082,124.626,-17.512,-101.908,33,58
51620,-1.26,1.078,-0.088,-26.397,-11.697,-138.336,29,59
51707,-1.062,0.583,0.118,5.336,25.489,-138.496,0,74
51785,-1.024,0.616,-0.109,81.344,1.097,-128.542,39,70
51876,-0.906,0.329,-0.166,83.427,-7.937,-119.809,0,98
51964,-0.723,0.298,0.068,130.13,22.655,-77.603,0,103
52054,-0.911,0.296,-0.144,69.954,-25.847,-38.573,5,32
52144,-0.681,0.083,0.145,76.672,-12.567,-13.108,0,145
52234,-0.738,0.236,0.073,94.473,-1.657,-3.705,0,124
52322,-0.86,0.275,0.257,36.098,35.466,10.263,0,104
52412,-0.953,0.199,0.198,4.278,30.206,-3.612,0,127
52507,-1.126,0.229,0.047,43.496,-24.522,10.385,0,131
52595,-1.044,0.237,-0.064,73.954,-40.435,56.053,0,114
52687,-0.954,0.472,-0.204,-32.313,-10.941,66.305,0,144
52779,-0.815,0.205,-0.051,-9.651,-17.655,58.214,0,151
52869,-0.765,0.333,0.022,50.732,-3.8,29.092,0,158
52960,-0.886,0.286,-0.018,32.947,-17.513,-9.999,0,163
53051,-1.112,0.243,-0.16,-19.285,-37.231,-31.13,0,166
53142,-1.201,0.354,0.121,37.076,-1.41,-31.084,0,169
53233,-0.773,0.424,0.111,44.985,-33.548,-10.742,0,172
53320,-0.809,0.621,0.32,65.024,7.058,20.809,0,90
53408,-0.548,0.508,0.192,-5.781,10.374,46.565,0,110
53493,-0.679,0.368,0.276,-10.63,1.136,32.496,0,112
53579,-0.79,0.624,0.15,-4.83,27.885,10.592,0,69
53664,-1.029,0.507,0.075,-22.221,27.336,-36.638,0,72
53749,-1.043,0.537,0.053,-47.824,14.797,10.055,186,77
53834,-1.134,0.564,0.108,-24.634,10.232,41.42,176,74
53917,-0.727,0.306,0.03,37.176,-11.543,42.802,169,60
54000,-0.58,0.422,-0.09,-15.143,-14.219,12.289,164,58
54083,-0.941,0.723,-0.107,-48.672,40.923,-53.802,163,59
54171,-1.167,0.36,-0.059,-27.985,23.336,-62.298,0,57
54255,-0.79,0.618,0.273,-24.336,37.244,-61.13,0,42
54339,-0.87,0.339,0.356,-53.962,45.301,-43.855,0,47
54424,-0.915,0.364,0.011,-37.518,-10.102,-42.24,0,50
54509,-0.788,0.471,0.001,-92.382,27.855,-9.325,0,58
54595,-0.793,0.279,-0.108,-155.107,39.282,-14.633,0,80
54688,-1.031,0.338,-0.093,-142.977,41.023,-27.987,0,0
54781,-1.052,0.229,-0.139,-142.267,22.044,17.748,0,0
54871,-1.058,0.213,-0.228,-74.557,-8.652,43.214,0,119
54958,-0.967,0.333,-0.269,-55.702,-49.065,57.725,0,57
55044,-0.857,0.38,-0.247,-62.687,-0.959,41.885,0,65
55130,-0.902,0.464,-0.234,-78.573,40.931,45.229,0,72
55216,-0.912,0.444,-0.15,-97.641,62.458,66.214,0,68
55302,-0.909,0.504,0.05,-82.046,47.229,64.779,0,75
55388,-0.86,0.556,0.095,-31.847,34.985,53.328,0,83
