Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
41750,-1.005,-0.321,-0.247,-11.336,-0.203,29.313,0,0
41843,-1.075,-0.155,-0.352,33.301,6.392,58.947,0,0
41935,-1.032,-0.106,-0.332,-28.588,14.95,64.84,0,0
42028,-0.961,-0.17,-0.228,-21.567,-0.931,40.183,0,0
42121,-0.931,-0.116,-0.187,-13.018,-15.282,-57.394,0,0
42210,-0.966,-0.028,-0.199,9.725,1.033,-27.42,157,0
42303,-0.978,-0.019,-0.193,-0.994,4.595,-22.11,0,0
42398,-0.966,-0.044,-0.21,22.1,-10.501,-2.085,0,0
42490,-1.036,0.013,-0.188,59.344,17.334,41.756,0,0
42584,-1.131,0.193,-0.318,-49.55,-92.22,47.168,0,0
42675,-1.208,0.216,0.085,-139.481,-87.924,78.832,171,0
42766,-1.214,0.485,0.184,-154.618,-160.519,114.29,168,0
42857,-0.956,0.035,-0.139,-137.26,-173.969,103.313,167,0
42947,-0.742,0.073,0.525,-156.886,-152.87,56.893,167,0
43032,-0.504,0.151,0.559,-65.542,-122.542,20.258,58,0
43123,-0.241,0.107,0.628,-24.908,-69.015,4.206,168,0
43217,-0.147,0.134,0.818,2.878,17.439,-11.061,170,0
43301,-0.094,0.18,0.948,-17.32,-44.689,-23.298,42,0
43394,-0.102,0.099,1.015,6.981,-17.145,-10.298,173,0
43485,-0.099,0.09,1.02,8.022,-2.12,-0.201,174,0
43576,-0.073,0.069,0.982,-10.233,-24.946,-9.068,175,0
43667,-0.035,0.069,0.996,-9.904,-13.336,-5.794,175,0
43759,-0.053,0.12,0.994,-11.186,-20.53,-16.015,175,0
43850,-0.068,0.051,0.941,18.746,7.601,-5.335,176,0
43935,-0.153,-0.029,0.855,68.573,24.42,32.342,59,0
44030,-0.132,0.0,0.9,112.847,41.313,-45.611,177,0
44122,-0.432,0.628,0.525,171.0,51.435,-62.267,181,0
44214,-0.209,0.614,0.72,54.511,62.908,-78.099,181,0
44306,-0.693,0.667,0.642,38.702,58.153,-84.344,179,0
44399,-0.507,0.794,0.574,107.641,30.618,-62.656,0,0
44489,-0.487,0.573,0.478,146.412,24.969,-47.603,0,148
44579,-0.815,1.07,0.393,-21.023,23.985,10.218,0,147
44669,-1.043,0.694,0.339,-20.902,11.387,62.298,0,150
44759,-0.918,0.432,-0.109,107.084,-34.283,184.336,178,154
44844,-0.051,-0.136,0.163,-106.328,92.053,158.405,38,163
44922,-0.06,0.755,-0.128,123.137,3.882,56.511,43,113
45006,0.034,0.793,-0.181,140.358,49.632,78.561,45,0
45084,-0.19,1.072,-0.247,74.056,-1.604,5.358,41,107
45168,-0.021,0.915,-0.369,-20.377,-20.246,-8.659,31,0
45252,-0.025,1.336,-0.438,36.298,-10.982,10.368,35,0
45336,-0.009,0.387,-0.392,32.832,-58.399,-6.555,29,0
45419,-0.692,0.804,-0.339,-29.473,-36.55,-46.324,17,0
45512,0.097,0.944,-0.676,-65.382,-43.668,-27.271,148,0
45593,-0.277,0.686,-0.169,-88.71,-31.435,28.305,151,37
45674,0.025,0.996,-0.372,-100.267,-68.565,35.817,157,21
45755,0.127,0.89,0.032,-173.282,-65.496,100.153,164,20
45846,0.664,1.625,0.923,-204.176,-36.363,100.443,172,0
45939,0.299,2.0,1.584,-133.443,164.832,-30.362,184,0
46032,-0.383,-1.277,1.356,-102.206,13.297,-29.622,0,0
46126,-0.071,0.416,0.125,-5.116,-25.71,-38.498,0,0
46219,0.004,-0.217,0.523,42.397,-24.153,-29.565,0,0
46313,0.753,0.466,0.528,160.863,94.0,-0.672,179,0
46405,-0.638,1.384,0.987,56.519,-24.572,54.496,173,0
46496,0.122,1.587,-0.285,43.595,45.183,-48.701,172,0
46578,0.124,0.745,0.063,32.229,-10.752,22.863,166,30
46659,0.097,0.015,-0.235,-60.926,-18.885,-23.63,165,32
46741,0.13,0.952,0.597,-36.405,9.188,5.185,167,32
46833,0.081,1.085,0.397,-74.893,3.198,39.366,181,0
