Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
78618,0.885,-0.305,0.437,13.335,-2.59,1.984,53,177
78702,0.89,-0.35,0.433,-16.634,3.569,-7.083,54,176
78786,0.875,-0.116,0.353,-11.64,0.692,-2.587,54,177
78870,0.906,-0.196,0.369,16.779,-5.747,5.175,53,176
78954,0.927,-0.084,0.346,38.947,-11.897,12.766,52,177
79037,0.897,-0.25,0.393,-16.611,-1.715,-3.568,37,176
79121,0.872,-0.236,0.456,-12.825,-10.622,-3.742,54,176
79208,0.944,-0.082,0.269,11.031,-8.624,-1.545,58,176
79292,0.914,-0.226,0.276,-3.862,1.98,2.129,57,176
79376,1.015,-0.242,0.452,-16.825,1.951,1.722,55,176
79459,0.902,-0.123,0.381,29.206,-17.926,4.126,33,176
79543,1.134,-0.259,0.255,16.603,-2.752,-4.774,55,175
79627,0.888,-0.319,0.342,8.625,-0.64,-3.703,58,176
79711,0.99,-0.329,0.355,-4.719,-3.28,-2.218,37,175
79794,0.939,-0.232,0.335,-11.178,-3.113,-1.21,34,175
79881,0.975,-0.187,0.33,-12.599,-0.616,1.052,104,175
79968,0.943,-0.207,0.318,-1.444,-2.747,2.743,53,175
80052,0.965,-0.162,0.279,-18.399,4.161,-1.639,54,175
80137,0.921,-0.23,0.317,9.262,-4.617,0.436,57,175
80220,0.968,-0.223,0.308,-8.994,-0.587,2.365,33,175
80307,0.972,-0.229,0.313,6.488,0.54,-0.625,103,175
80394,0.911,-0.201,0.305,-5.793,2.18,-1.309,103,175
80482,0.787,-0.13,0.25,-18.023,-2.189,2.837,31,176
80568,0.872,-0.175,0.281,3.415,1.098,-0.865,103,175
80654,0.876,-0.258,0.342,10.364,-9.329,7.25,103,175
80739,1.023,-0.297,0.335,-15.71,-3.54,2.403,31,176
80825,1.03,-0.323,0.273,-20.817,9.833,0.687,102,176
80911,0.945,-0.318,0.347,12.935,0.199,8.528,102,176
80997,0.969,-0.361,0.352,0.763,1.091,-3.027,102,176
81080,0.899,-0.344,0.352,-2.601,-8.49,0.03,58,176
81166,0.928,-0.253,0.275,-20.649,-3.535,-7.619,102,176
81248,0.93,-0.19,0.167,10.804,-1.763,8.359,27,176
81331,0.948,-0.236,0.256,17.372,2.867,6.788,51,176
81417,0.916,-0.301,0.286,0.208,2.864,6.683,101,176
81506,0.993,-0.317,0.204,-9.46,3.86,-11.442,101,176
81592,0.924,-0.438,0.341,-13.931,10.272,-4.686,102,176
81674,0.96,-0.096,0.299,-9.747,4.842,-8.223,27,176
81760,0.987,-0.275,0.377,27.16,2.232,-7.698,103,175
81846,0.935,-0.364,0.419,10.432,1.869,0.6,104,176
81932,0.93,-0.203,0.324,-18.901,2.353,3.192,103,175
82018,0.865,-0.179,0.302,18.618,-19.568,0.545,103,175
82104,0.961,-0.248,0.3,36.695,-41.244,1.556,103,175
82190,0.869,-0.206,0.235,-9.184,-49.679,0.489,102,174
82279,0.933,-0.096,0.108,-12.317,-59.855,13.132,104,173
82360,0.931,-0.197,-0.057,-5.997,-62.405,13.348,16,173
82441,0.898,-0.283,-0.105,-22.356,-69.328,30.061,14,173
82522,0.951,-0.405,-0.205,-30.336,-65.374,33.023,10,173
82603,0.934,-0.399,-0.294,-21.214,-63.58,26.45,10,173
82682,0.93,-0.484,-0.4,-20.084,-52.305,10.6,8,173
82775,0.875,-0.429,-0.495,-7.682,-32.756,-1.151,0,173
82855,0.776,-0.377,-0.495,0.252,2.192,0.628,16,172
82938,0.797,-0.356,-0.51,-7.723,-15.953,-1.489,7,171
83019,0.767,-0.341,-0.517,-2.065,-7.966,5.819,7,171
83105,0.81,-0.368,-0.571,-7.408,-19.813,8.072,104,171
83186,0.764,-0.393,-0.56,3.79,-23.518,1.175,7,171
83266,0.773,-0.402,-0.583,-7.633,-13.158,2.713,6,171
83347,0.732,-0.368,-0.633,-8.353,-2.019,3.453,6,171
83427,0.894,-0.568,-0.718,40.282,30.725,-8.939,10,171
83508,0.729,-0.527,-0.545,42.206,64.389,-25.916,7,171
83589,0.753,-0.455,-0.35,3.852,78.42,-32.076,10,171
83678,0.92,-0.379,-0.208,19.008,57.275,-40.542,103,171
83766,1.048,-0.069,-0.289,80.466,50.656,-28.656,105,0
83854,1.067,-0.222,-0.119,49.573,54.756,-48.344,108,0
83942,0.883,-0.008,-0.053,-4.29,52.031,-49.87,110,0
84028,0.94,-0.285,0.18,-22.595,26.992,-40.985,112,166
84114,0.96,0.006,0.068,38.13,1.67,-32.771,114,165
84201,0.999,0.279,-0.007,14.69,7.238,-19.855,113,165
84287,0.988,0.056,0.053,-37.824,1.86,-8.297,113,164
84378,1.01,0.005,0.088,15.082,-3.385,11.941,0,164
84467,1.027,0.223,-0.024,1.314,3.028,7.554,111,166
84558,0.942,-0.09,0.089,-45.588,11.193,2.968,0,167
84644,0.92,-0.13,0.127,13.219,-2.895,29.855,110,168
84730,1.063,-0.028,0.071,2.557,-3.564,36.489,106,170
84817,0.849,0.038,-0.052,-48.29,8.184,7.241,105,171
84903,0.956,-0.032,0.107,-5.462,-1.531,41.084,104,172
84989,1.14,-0.137,0.128,16.083,-2.474,30.573,103,173
85075,1.006,-0.231,0.191,49.534,-2.484,15.29,101,174
85167,0.855,-0.191,0.04,-6.738,-6.077,36.282,100,0
85254,0.978,-0.502,0.139,8.929,-6.695,27.16,100,0
85342,1.006,-0.582,0.198,3.417,3.314,17.699,99,0
85429,0.947,-0.51,0.194,10.891,1.818,-2.692,99,0
85516,1.018,-0.375,0.197,3.393,4.442,-8.815,100,0
85604,1.087,-0.294,0.216,3.053,5.89,-4.689,100,0
85691,1.034,-0.274,0.157,9.074,4.425,-7.544,100,0
85779,0.986,-0.2,0.148,-16.209,0.835,-19.04,101,0
85867,0.986,-0.214,0.167,-12.099,0.837,-19.641,101,0
85954,0.962,-0.153,0.129,-30.855,3.891,-16.542,101,0
86045,0.891,0.103,-0.029,2.961,-3.551,6.502,102,0
86133,0.939,-0.3,0.126,-3.703,-0.55,-6.843,102,0
86221,0.985,-0.114,0.065,-40.16,3.809,-5.186,102,0
86308,0.913,-0.138,0.091,5.797,-0.557,-3.231,103,0
86395,1.079,-0.493,0.281,-47.038,6.775,-9.408,102,174
86481,0.96,-0.721,0.486,32.137,-0.038,3.616,102,173
86567,1.023,-0.481,0.303,-35.405,-0.215,-17.396,103,173
86654,1.084,0.29,-0.057,-76.557,10.45,-19.832,103,173
86744,1.039,0.28,-0.084,107.061,-6.018,18.992,104,172
86831,1.025,-0.808,0.513,56.588,1.82,1.051,103,172
86917,0.879,-0.412,0.264,-82.16,8.695,-18.282,104,172
87004,1.116,0.418,-0.077,-45.817,11.429,-2.646,105,172
87090,0.947,-0.129,0.111,115.954,-13.0,23.321,105,172
87177,0.947,-0.878,0.471,-44.374,0.016,-3.894,104,171
87263,1.012,0.38,-0.078,-45.626,0.627,-13.73,105,171
87350,1.037,-0.21,0.108,105.687,-8.489,18.466,105,171
87437,0.821,-0.955,0.471,8.845,1.462,-9.799,105,171
87527,1.12,0.161,0.064,-4.419,3.77,-0.878,106,172
87614,0.869,-0.248,0.323,3.914,0.196,-3.181,106,172
87702,1.178,0.277,-0.021,30.458,-8.509,22.863,107,0
87791,0.911,-0.623,0.399,34.023,-6.901,3.101,106,0
87879,0.916,-0.112,0.082,-129.672,8.478,-23.687,107,0
87968,1.132,0.808,-0.264,63.267,-5.056,28.366,109,0
88057,0.948,-0.596,0.349,83.534,-0.551,17.748,107,0
88145,0.879,-0.643,0.408,-64.412,8.23,-16.84,106,0
88233,1.008,0.092,0.083,-67.336,11.427,-5.843,107,0
88326,1.135,0.45,-0.05,-8.17,-8.14,6.895,107,0
88415,0.938,-0.505,0.304,66.16,-5.981,19.046,107,0
88503,0.922,-0.648,0.337,-46.595,1.416,-15.763,106,0
88600,0.975,-0.052,0.092,-76.13,3.083,-16.458,106,0
88687,1.013,-0.096,0.162,-21.847,-7.242,-3.493,106,0
88775,0.937,-0.296,0.137,12.065,-1.149,4.754,105,0
88861,0.971,-0.354,0.184,-15.733,3.484,-11.69,106,172
