Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
138920,0.831,-0.196,-0.537,33.901,30.391,29.107,10,160
139001,0.872,-0.091,-0.591,46.84,10.961,7.708,16,160
139083,0.856,-0.322,-0.471,1.794,7.933,-12.995,45,160
139165,0.855,-0.143,-0.53,4.345,28.866,-8.73,15,160
139246,0.844,-0.157,-0.562,17.001,30.374,-10.331,20,160
139327,0.823,-0.188,-0.57,11.595,60.275,-23.121,22,159
139411,0.679,-0.196,-0.49,21.389,105.313,-5.348,58,159
139497,0.806,-0.089,-0.296,10.012,171.275,-28.634,63,159
139584,0.898,-0.031,0.173,1.052,221.351,-35.901,120,160
139667,0.818,0.187,0.674,24.695,197.595,-26.634,55,162
139751,0.607,-0.03,0.898,22.878,151.42,-27.221,62,163
139836,0.358,0.166,0.885,54.504,128.969,-34.794,69,164
139923,0.235,0.187,1.034,78.237,73.489,-19.263,125,166
140015,0.328,0.369,1.045,83.153,48.198,-29.374,0,165
140107,0.16,0.355,0.992,37.13,41.29,-44.412,0,163
140199,0.189,0.562,0.871,33.313,30.137,-28.344,0,164
140284,0.076,0.414,1.0,25.481,31.229,-30.092,30,163
140377,-0.022,0.375,0.963,23.458,-3.454,-26.053,0,162
140474,-0.039,0.719,0.822,12.047,-2.352,-15.574,0,164
140567,-0.012,0.651,0.792,-4.338,-7.056,-21.26,0,0
140660,-0.013,0.767,0.755,-5.648,2.042,-3.48,0,0
140752,-0.031,0.775,0.762,24.399,10.746,2.015,0,0
140846,-0.053,0.523,0.842,4.335,8.344,-9.086,0,0
140939,-0.066,0.612,0.812,36.107,1.067,2.032,0,0
141031,-0.055,0.803,0.757,62.832,6.667,-1.078,0,0
141127,-0.086,0.875,0.751,22.162,-1.43,-31.137,0,0
141220,-0.194,0.657,0.662,80.588,-17.932,6.028,0,0
141313,-0.051,1.076,0.356,-17.474,6.976,-55.191,0,0
141406,-0.135,0.934,0.482,26.563,4.406,-4.836,0,0
