Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26155,-0.04,0.804,0.658,47.985,-5.853,3.516,0,0
26215,-0.034,0.81,0.615,12.879,0.079,3.383,0,0
26274,-0.047,0.775,0.673,-15.489,3.347,1.102,0,0
26335,-0.047,0.703,0.738,-19.667,3.301,1.076,0,0
26394,-0.042,0.674,0.76,0.151,-0.396,0.899,0,0
26455,-0.04,0.74,0.7,4.213,-0.558,1.014,0,0
26515,-0.034,0.727,0.71,-7.984,0.282,-0.199,0,0
26574,-0.036,0.702,0.73,-8.777,0.929,0.017,0,0
26638,-0.043,0.685,0.739,-3.927,0.555,0.577,0,0
26697,-0.045,0.696,0.726,-0.865,0.142,1.21,0,0
26758,-0.044,0.699,0.725,-1.074,0.398,0.875,0,0
26818,-0.047,0.695,0.73,-2.168,0.657,1.058,0,0
26877,-0.05,0.699,0.729,-1.259,0.188,1.08,0,0
26938,-0.043,0.69,0.729,-1.563,0.106,0.65,0,0
26997,-0.039,0.716,0.726,-1.405,0.229,0.969,0,0
27058,-0.047,0.695,0.727,-2.123,0.297,0.711,0,0
27118,-0.037,0.714,0.732,-0.749,0.088,1.079,0,0
27181,-0.041,0.707,0.732,-3.127,0.484,1.067,0,0
27241,-0.046,0.687,0.738,-1.468,0.172,0.946,0,0
27301,-0.049,0.71,0.729,-0.426,0.25,1.305,0,0
27361,-0.039,0.706,0.732,-1.129,0.18,1.157,0,0
27421,-0.045,0.692,0.741,-0.92,0.094,0.772,0,0
27482,-0.034,0.705,0.733,-0.737,0.326,0.943,0,0
27541,-0.043,0.704,0.729,-0.431,0.11,1.255,0,0
27601,-0.043,0.699,0.735,-0.939,0.048,1.063,0,0
27662,-0.039,0.703,0.737,-1.053,0.184,0.96,0,0
27722,-0.043,0.704,0.729,-0.424,0.201,0.934,0,0
27785,-0.043,0.702,0.73,-0.843,0.087,1.007,0,0
27845,-0.045,0.696,0.735,-1.612,0.263,0.932,0,0
27906,-0.039,0.704,0.734,-0.461,-0.111,1.125,0,0
27966,-0.034,0.708,0.731,-1.097,0.226,1.266,0,0
28026,-0.035,0.703,0.735,-0.928,0.163,0.991,0,0
28086,-0.041,0.697,0.732,-0.906,0.114,0.897,0,0
28146,-0.038,0.712,0.741,-0.939,0.207,1.078,0,0
28207,-0.042,0.696,0.732,-1.129,0.226,0.916,0,0
28267,-0.048,0.697,0.74,-0.693,0.47,1.009,0,0
28327,-0.048,0.694,0.728,-0.807,0.023,0.864,0,0
28391,-0.044,0.702,0.731,-1.071,0.116,1.124,0,0
28450,-0.036,0.704,0.731,-1.157,0.323,1.276,0,0
28511,-0.045,0.701,0.74,-0.762,0.12,0.888,0,0
28571,-0.039,0.701,0.731,-2.414,1.04,1.357,0,0
28632,-0.057,0.749,0.777,-5.961,2.827,0.518,5,5
28692,-0.109,0.891,0.699,-28.092,0.025,44.802,0,0
28752,-0.079,0.939,0.851,-47.718,-8.309,73.588,0,0
28813,0.03,0.696,1.058,-20.534,-46.305,99.878,0,0
28870,0.13,0.862,1.102,-82.634,-61.87,104.786,144,0
28928,0.18,0.424,1.276,-63.557,-97.008,93.351,0,88
