Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
196523,-0.111,-0.021,-0.238,-84.397,4.870,-13.779,93.0,0.0
196613,0.017,0.018,-0.144,-17.817,13.015,38.366,148.0,0.0
196706,-0.297,1.059,-1.277,-23.496,6.015,5.031,0.0,0.0
196797,0.011,0.671,-0.761,-5.237,-38.740,16.473,147.0,0.0
196890,0.341,0.051,-0.458,-22.176,-19.443,-29.290,0.0,0.0
196980,0.256,0.001,-0.406,20.099,27.198,-20.595,147.0,0.0
197064,-0.398,0.690,-1.587,29.015,38.832,-32.229,37.0,0.0
197152,-0.480,0.671,-1.282,12.046,28.031,-50.542,43.0,0.0
197237,-0.206,0.487,-0.686,-8.771,11.473,-61.809,49.0,0.0
197322,-0.087,0.493,-0.506,-51.504,45.366,-41.008,58.0,0.0
197408,-0.305,0.637,-0.731,-58.084,36.351,-11.244,62.0,0.0
197499,-0.585,0.758,-1.184,-58.420,14.710,-74.588,155.0,0.0
197592,-0.069,0.733,-0.807,2.809,-25.702,-55.794,173.0,0.0
197685,0.449,0.388,-0.574,-12.939,4.626,-67.878,181.0,0.0
197777,0.217,0.131,-0.526,-35.824,79.191,-61.191,177.0,0.0
197871,-0.606,0.836,-1.476,-11.260,63.405,-50.634,0.0,200.0
197957,-0.698,0.661,-1.401,-20.557,30.374,-34.832,189.0,31.0
198046,-0.319,0.449,-0.833,-10.084,6.817,-26.504,109.0,0.0
198138,-0.127,0.318,-0.360,-41.061,20.634,-19.863,177.0,0.0
198231,-0.330,0.475,-0.674,-20.374,9.527,-3.092,164.0,0.0
198323,-0.532,1.000,-1.351,-57.122,33.809,-30.664,173.0,0.0
198410,-0.229,0.536,-0.839,-14.168,4.321,-28.656,168.0,99.0
198502,0.283,0.159,-0.482,5.107,-1.550,-46.947,166.0,0.0
198587,0.413,0.030,-0.376,-33.382,71.511,-77.740,159.0,99.0
