Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
255808,-0.958,0.596,0.117,223.687,27.733,-82.221,162,0
255899,-0.733,0.616,0.009,201.359,-11.239,-73.45,167,0
255993,-0.703,0.822,0.002,131.458,-10.072,-56.298,0,0
256083,-0.741,0.757,0.066,46.682,15.939,-75.244,0,144
256177,-1.083,0.442,0.009,-16.011,17.931,-74.802,0,0
256266,-1.225,0.373,0.025,20.718,0.893,14.26,113,0
256358,-1.283,0.282,-0.071,-3.185,-10.346,115.832,184,0
256455,-0.914,0.305,-0.056,32.374,-5.375,136.389,0,0
256549,-0.835,0.293,-0.042,49.113,-0.977,75.366,0,0
256643,-0.917,0.312,-0.255,58.771,-15.437,32.496,0,0
256736,-0.581,0.461,-0.211,65.015,-68.771,-9.307,0,0
256830,-0.906,0.785,-0.111,79.099,-109.466,5.537,0,0
256919,-0.903,0.924,-0.126,95.534,-82.901,45.168,147,159
257010,-0.568,0.76,0.064,34.427,-32.31,75.101,0,162
257104,-0.188,0.592,0.011,9.344,-22.44,40.931,0,0
257190,-0.094,0.405,0.126,-42.282,2.313,52.115,165,97
257280,-0.575,0.922,-0.022,2.086,10.756,40.954,165,91
257366,-1.44,2.0,-0.566,67.855,27.473,115.351,164,89
257444,-0.366,1.324,0.059,-50.802,12.267,63.969,44,96
257524,-0.269,-0.101,-0.114,-28.102,-42.03,-21.626,43,99
257603,-0.667,0.119,-0.068,21.948,-109.42,-74.351,45,97
257683,-1.256,2.0,-0.477,164.26,-155.832,12.69,56,95
257768,-0.347,1.286,-0.373,-10.03,-66.137,67.969,140,100
257848,0.357,0.243,0.249,-37.298,-83.542,-49.756,45,105
257937,0.502,0.048,0.301,8.818,11.603,-8.406,140,103
258017,-0.284,1.791,-0.178,88.092,27.885,57.183,58,93
258097,-1.216,2.0,-0.907,-61.817,87.328,154.992,51,93
258176,-0.702,0.461,-0.215,-97.26,42.168,66.771,43,100
258255,-0.333,-0.135,-0.054,15.59,-17.854,20.245,38,105
258335,-0.342,-0.036,-0.021,-4.262,-89.069,12.69,39,102
258414,-1.332,1.945,-0.35,138.244,-194.328,-33.313,51,96
258494,-0.317,1.827,-0.554,-4.667,-134.489,25.982,44,97
258574,0.202,0.415,-0.252,-45.664,-143.069,-29.45,43,104
258663,0.552,-0.01,0.095,55.237,-92.832,11.316,130,106
258747,0.46,0.107,0.171,-34.635,-96.729,-14.673,135,100
258827,-1.025,2.0,-0.81,64.908,52.443,48.298,48,91
258906,-1.073,1.887,-0.553,-72.115,71.916,62.992,47,93
258985,-0.502,0.762,-0.021,11.074,18.564,12.86,44,99
259070,-0.415,0.069,-0.191,-21.822,-72.87,-41.237,134,104
259156,-0.461,-0.066,0.109,-36.955,-114.855,-38.031,51,0
259243,-1.212,2.0,-0.636,108.321,-199.573,32.802,50,0
259325,-0.06,0.986,-0.071,52.995,-129.947,55.511,54,101
259406,0.185,0.311,-0.055,52.298,-86.351,-15.184,54,106
259491,0.355,0.225,0.241,68.019,4.044,0.468,59,172
259577,0.309,1.458,-0.48,64.509,82.534,70.557,60,0
259657,-0.324,2.0,-1.063,-110.534,210.634,204.893,44,107
259739,-0.243,1.008,-0.415,-111.267,185.931,181.733,40,153
259825,-0.284,0.934,-0.385,-55.916,39.237,37.603,119,132
259913,0.022,0.632,-0.112,-44.107,-13.658,2.731,124,156
260004,0.4,1.533,-0.286,21.236,-138.679,17.479,122,158
260102,0.686,0.95,-0.213,-25.008,-71.817,-36.988,39,5
260190,0.447,0.439,0.167,-25.153,-41.837,-2.316,126,0
260279,0.319,0.127,-0.371,0.322,37.542,-34.232,37,5
260368,0.593,1.006,-0.578,120.466,28.595,9.62,132,0
