Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
257672,0.187,-0.136,0.967,-1.123,-0.052,-0.881,32,0
257756,0.241,-0.032,0.966,0.947,1.483,-0.392,34,0
257841,0.272,-0.018,0.985,2.009,1.577,0.619,35,0
257925,0.194,-0.064,0.989,-0.8,-0.384,-0.607,33,0
258009,0.285,0.005,0.975,-2.415,1.865,-0.756,35,0
258093,0.265,0.004,0.969,3.354,1.322,0.824,34,0
258178,0.222,-0.077,0.981,1.443,0.238,-0.597,33,0
258262,0.186,-0.099,0.97,-0.678,-0.915,-2.232,33,0
258350,0.276,0.012,0.984,2.146,2.056,-0.53,36,0
258434,0.214,-0.07,0.98,0.494,0.768,-1.425,34,0
258516,0.226,-0.043,0.982,3.217,2.902,-1.287,35,171
258600,0.119,-0.19,1.006,-29.322,-9.206,-7.221,32,0
258685,0.225,-0.095,1.058,-32.066,14.931,4.01,34,0
258769,0.116,-0.162,1.153,-42.977,18.924,-17.035,31,0
258854,0.13,-0.38,1.192,-45.42,-4.459,-14.817,37,0
258937,0.161,-0.417,1.198,37.519,-21.55,-60.069,46,163
259021,0.379,-0.063,0.994,77.847,-17.74,-66.504,51,154
259107,0.137,0.203,0.703,-126.458,63.855,-82.565,75,125
259189,0.093,-0.276,1.052,148.779,-43.305,-80.672,80,120
259279,0.15,0.303,0.872,-97.481,-21.626,-64.092,0,118
259375,0.266,0.458,0.943,37.382,-44.977,22.018,0,117
259456,0.123,-0.183,1.028,-28.044,-22.634,-23.863,58,118
259535,0.325,0.133,0.815,6.6,-18.817,11.485,58,119
259616,0.46,-0.333,0.979,-26.733,-27.107,9.029,59,120
259704,0.792,0.125,0.793,-7.847,-22.359,37.107,0,122
259790,0.346,-0.161,0.843,-5.833,-27.538,2.503,63,148
259883,0.46,-0.152,0.901,-2.273,-12.481,7.933,0,189
259973,0.42,-0.137,0.82,30.107,-36.214,5.63,0,149
260063,0.437,-0.064,0.886,-30.26,1.459,-4.311,0,148
260156,0.486,-0.11,0.757,-54.955,-11.604,-10.623,0,192
260246,0.677,0.329,0.707,25.275,14.145,6.111,0,150
260337,0.513,-0.398,0.977,44.206,-13.679,4.88,0,174
260421,0.123,-0.737,1.132,-114.695,13.267,-24.29,65,175
260505,0.512,0.445,0.542,-15.133,4.274,-11.162,62,161
260599,0.601,0.12,0.828,32.069,7.948,17.572,0,175
260692,0.59,-0.089,0.688,1.731,-2.67,12.282,0,193
260784,0.44,-0.354,1.005,55.941,-19.198,21.036,0,176
260876,0.459,-0.487,1.054,-34.427,5.691,-13.443,0,176
260968,0.565,-0.074,0.593,-88.435,17.267,-18.489,0,177
261058,0.695,0.175,0.748,55.725,-8.84,10.337,0,154
261142,0.46,-0.769,1.118,65.916,-22.802,-2.283,63,177
261227,0.674,-0.411,1.093,-141.649,12.053,-17.359,64,177
261311,0.645,0.397,0.554,-10.429,15.168,4.656,62,177
261405,0.695,0.272,0.857,104.656,-10.924,14.122,0,177
261497,0.459,-0.813,1.164,66.13,-22.115,15.387,0,177
261581,0.286,-0.828,1.12,-94.901,-0.604,-16.885,62,177
261666,0.488,0.17,0.594,-151.771,19.595,-30.947,62,177
261757,0.695,0.384,0.432,56.748,2.112,14.695,0,175
261841,0.533,-0.723,0.96,132.855,-27.206,12.507,60,176
261925,0.633,-0.992,1.118,-59.702,-3.013,2.738,59,177
262009,0.489,0.444,0.461,-127.542,22.405,-17.916,58,176
262096,0.699,0.486,0.422,83.275,-14.038,18.3,57,175
262180,0.31,-1.022,1.174,125.542,-32.893,15.214,56,175
262264,0.492,-0.88,1.009,-141.641,17.705,-23.588,56,176
262347,0.74,0.502,0.396,-44.962,-20.599,-18.916,55,175
262431,0.675,-0.556,0.801,154.504,-35.137,13.878,59,175
262515,0.396,-1.044,1.105,-93.382,2.529,-20.534,57,175
262599,0.695,0.207,0.495,-118.344,5.829,-24.305,58,175
262683,0.796,0.046,0.673,136.313,-22.901,15.076,57,173
262767,0.244,-1.021,1.106,-36.814,-24.45,1.114,57,174
262854,0.561,-0.231,0.788,-105.313,-13.664,-0.438,57,175
262938,0.931,-0.063,0.582,86.542,-20.168,13.075,57,175
263022,0.533,-1.371,1.203,67.397,-39.733,6.55,56,174
263106,0.545,-0.253,0.531,-201.55,6.101,-26.954,57,174
263189,0.948,0.599,0.161,65.458,-3.683,-1.866,58,173
263273,0.724,-1.133,0.944,205.366,-29.107,27.275,57,171
263357,0.538,-0.396,0.641,-194.336,19.458,-31.779,58,174
263441,0.967,0.575,0.248,57.466,-8.443,2.503,59,174
263528,0.701,-0.83,0.677,119.458,-30.496,15.702,58,173
263612,0.899,0.219,0.451,-93.427,9.733,4.144,59,172
263696,0.869,-0.074,0.527,159.718,-38.046,26.198,59,171
263780,0.586,-1.049,1.005,-66.366,-25.398,-30.473,58,170
263864,0.999,0.723,0.124,-59.771,9.719,-15.137,62,169
263954,0.77,-0.777,0.663,148.183,-39.71,3.758,0,144
264045,0.72,-0.528,0.559,-187.519,15.099,-56.183,0,167
264136,1.194,1.008,-0.034,60.702,-11.527,7.907,0,152
264219,0.736,-0.89,1.071,176.718,-34.718,18.398,52,166
264305,0.798,-0.454,0.507,-158.725,24.966,-32.718,54,162
264388,1.146,0.811,-0.002,43.534,-9.087,-13.519,54,155
264471,0.797,-0.579,0.872,111.962,-15.198,22.669,55,161
264555,0.833,-0.129,0.468,-135.015,14.588,-46.168,56,161
264636,1.068,0.812,0.068,28.824,2.775,24.244,60,132
264718,0.893,-0.458,0.742,85.061,-17.542,14.336,57,133
264800,0.778,-0.27,0.548,-96.802,-5.593,-18.733,57,133
264882,1.079,0.681,0.077,26.786,-9.511,13.718,57,133
264963,0.843,-0.431,0.743,115.74,-22.748,13.336,57,133
265048,0.87,-0.465,0.911,-54.802,-11.71,-16.71,57,135
265129,1.083,0.499,0.117,-31.412,-11.366,-16.525,59,132
265220,0.853,-0.492,0.447,86.206,-19.252,25.534,0,141
265310,0.823,-0.569,0.506,-144.466,14.771,-32.779,0,134
265392,1.264,1.102,-0.259,-70.634,13.687,-13.168,61,134
265475,0.8,-0.604,0.68,201.55,-27.603,25.046,62,132
265556,0.911,-0.16,0.296,-218.427,24.702,-36.771,61,132
265638,1.158,0.679,-0.03,133.137,-21.779,16.634,62,132
265723,0.639,-1.082,0.688,31.908,-16.771,-6.197,61,134
265807,1.076,0.569,-0.01,-135.382,11.71,-21.763,66,158
265889,1.052,0.225,0.228,164.046,-34.489,26.374,64,133
265972,0.729,-0.632,0.617,-114.786,-5.973,-31.29,67,133
266061,1.111,0.676,-0.101,203.705,-13.176,-18.947,0,131
266144,0.935,-0.28,0.312,143.74,-36.382,22.947,71,132
266227,0.912,-0.13,0.116,-159.985,9.565,-45.733,71,145
266317,1.179,0.523,-0.069,50.977,-17.641,-17.347,0,129
