Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35150,-0.343,0.198,0.904,4.08,0.644,0.848,0,0
35243,-0.448,0.174,0.926,0.358,0.732,0.19,0,0
35335,-0.319,0.19,0.915,-2.443,0.559,0.241,0,1
35427,-0.231,0.348,0.873,7.151,1.372,1.273,0,2
35520,-0.18,0.198,0.91,14.362,2.305,3.32,0,3
35612,-0.117,0.171,0.928,11.572,2.513,2.239,0,4
35704,-0.337,0.187,0.929,-1.718,1.352,-1.158,0,1
35796,-0.118,0.22,0.881,39.85,8.806,8.072,0,5
35892,-0.327,0.302,0.837,31.753,10.173,0.139,0,2
35984,-0.375,0.106,0.817,85.809,17.946,-14.921,0,1
36072,-0.639,0.195,0.714,74.344,28.336,-25.489,0,107
36164,-0.693,0.223,0.685,64.916,58.878,-60.778,0,0
36253,-0.643,0.589,0.587,65.305,63.542,-30.25,0,137
36346,-0.635,0.641,0.612,66.366,30.649,-35.931,0,0
36435,-0.689,0.539,0.348,103.573,35.221,-34.336,0,132
36529,-0.788,0.513,0.357,102.26,14.608,-49.0,0,0
36621,-0.95,0.864,0.058,72.084,21.748,-36.0,0,0
36717,-0.819,0.581,0.285,0.576,23.137,18.507,0,3
36810,-0.768,0.475,0.214,1.594,5.398,-1.919,0,0
36902,-0.809,0.558,0.197,27.04,16.029,-6.526,0,2
36996,-0.897,0.575,0.093,-16.21,9.159,-9.161,0,0
37089,-0.875,0.478,0.14,-1.893,-0.027,18.529,0,0
37181,-0.754,0.634,0.145,18.188,-0.83,37.328,0,0
37274,-0.73,0.651,0.17,-2.156,-2.545,51.229,0,1
37367,-0.698,0.68,0.096,-18.006,-7.254,37.298,0,0
37460,-0.672,0.64,0.208,-2.652,-3.046,21.325,0,2
37555,-0.665,0.709,0.106,-4.171,-0.791,9.773,182,0
37647,-0.626,0.699,0.137,4.813,1.707,1.83,181,0
37739,-0.535,0.652,0.248,-13.289,16.793,-25.13,182,1
37832,-0.18,0.483,0.447,-96.977,-0.093,-105.794,199,0
37925,-2.0,0.307,0.18,100.992,47.061,-250.137,0,0
38019,-0.422,-0.052,0.27,5.05,-6.327,23.114,0,2
38112,-0.956,0.228,0.046,-47.0,-25.279,5.224,0,0
38204,-1.0,0.2,0.072,-1.608,-16.0,28.038,0,0
38297,-0.924,0.254,0.194,6.593,-4.704,5.048,0,0
38393,-0.949,0.236,0.111,-13.666,-4.806,-4.262,0,0
38487,-0.904,0.195,-0.001,-47.868,-8.733,-28.625,0,0
38580,-0.912,0.151,0.424,5.27,3.496,-0.03,0,4
38673,-0.96,0.186,0.132,-40.883,-0.658,-14.095,0,0
38766,-0.88,0.183,0.376,-1.031,1.865,7.464,0,3
38858,-0.933,0.137,0.06,-22.279,-0.035,-8.743,0,0
38951,-0.946,0.231,0.214,-1.808,0.215,4.718,0,0
39045,-0.935,0.14,0.067,-5.058,-3.166,-8.06,0,0
39138,-0.925,0.193,0.435,15.225,6.635,15.591,0,5
39231,-0.935,0.531,0.436,3.223,6.816,24.342,0,6
39327,-0.944,0.245,0.279,5.754,-11.871,14.845,0,0
39420,-0.959,0.13,0.02,-40.091,-18.721,-20.03,5,5
39514,-0.933,0.174,0.441,0.666,7.712,7.362,0,5
39607,-0.921,0.164,0.167,-5.475,-0.931,-6.05,0,0
39700,-0.972,0.16,0.249,14.932,0.473,-4.712,0,0
39793,-0.879,0.179,0.157,1.384,-8.35,0.734,0,0
39886,-0.946,0.474,0.348,11.818,6.891,8.332,0,4
39980,-0.963,0.423,0.305,2.505,3.714,17.949,0,2
40073,-0.903,0.232,0.245,7.113,-0.431,4.969,0,0
40169,-0.936,0.192,0.188,7.43,-0.944,-5.244,0,0
40262,-0.926,0.201,0.467,14.071,6.233,2.885,0,6
40355,-0.957,0.179,0.133,-17.341,-2.603,1.68,0,0
40449,-0.938,0.407,0.3,10.417,-0.533,3.935,0,2
40542,-0.955,0.231,0.257,9.865,-1.374,-0.327,0,0
40635,-0.896,0.226,0.066,-27.609,-3.238,-23.854,0,0
40728,-0.929,0.177,0.402,19.097,7.038,-2.783,0,4
40821,-0.968,0.146,0.205,1.99,-0.036,-9.007,0,0
40914,-0.987,0.212,0.437,42.828,15.48,12.548,0,7
41008,-0.958,0.165,-0.017,-26.459,-9.086,-7.465,5,5
41104,-1.007,-0.019,0.429,27.748,5.728,-0.648,0,4
41206,-0.95,0.031,0.203,-34.145,1.835,-2.298,0,0
41299,-0.906,0.488,0.067,-9.518,5.113,-0.72,0,0
41392,-0.951,0.227,0.211,70.74,-3.464,11.344,0,0
41485,-0.984,0.052,0.291,-6.943,0.189,-6.916,0,0
