Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
218615,-0.372,0.279,0.903,0.125,3.174,-1.729,0,0
218707,-0.278,0.316,0.905,6.213,4.35,0.418,0,1
218801,-0.396,0.32,0.883,3.043,1.68,-1.745,0,0
218893,-0.314,0.313,0.863,20.274,0.654,-1.28,0,0
218986,-0.286,0.319,0.889,30.464,9.198,5.305,0,2
219079,-0.391,0.283,0.84,1.486,5.441,-9.692,0,0
219171,-0.413,0.309,0.749,43.389,18.962,-34.803,0,0
219265,-0.485,0.359,0.699,134.092,27.397,-41.351,0,1
219357,-0.62,0.397,0.555,163.542,34.557,-58.206,0,128
219447,-0.716,0.596,0.365,145.695,38.924,-76.282,0,151
219536,-0.932,0.614,0.226,88.137,20.305,-104.779,0,136
219629,-1.024,0.45,0.151,101.397,-18.313,-116.847,0,0
219723,-1.023,0.235,0.156,186.901,-68.015,-127.466,0,0
219816,-0.97,0.875,-0.138,-4.458,-9.074,-117.71,0,0
219908,-0.839,0.604,-0.044,104.504,-35.931,-19.789,162,1
219999,-1.092,-0.816,0.669,-0.595,-25.031,-47.817,164,2
220095,-1.018,0.512,-0.046,-150.282,-0.947,-36.405,0,0
220188,-0.793,0.528,-0.01,87.046,-3.977,-9.697,0,0
220281,-0.891,-0.238,0.397,106.611,2.542,17.886,0,1
220376,-1.094,-0.657,0.628,2.594,-19.664,-8.415,0,0
220467,-1.143,-0.33,0.352,-100.26,-10.657,-10.313,168,0
220559,-0.851,0.528,-0.02,-46.496,2.535,-21.348,166,0
220650,-0.898,-0.03,0.171,113.802,-9.887,9.283,168,0
220742,-1.013,-1.008,0.664,-53.725,4.7,-4.484,168,1
220833,-0.936,0.315,0.072,-148.55,20.893,-41.649,170,1
220929,-0.837,0.139,0.027,55.847,-5.5,-26.298,171,0
221019,-0.952,-0.507,0.385,110.504,-14.442,-15.178,139,0
221110,-1.004,-0.588,0.408,-60.3,1.442,-17.925,173,0
221202,-0.869,0.004,0.166,-63.221,13.4,-24.401,175,0
221292,-0.908,0.052,0.107,143.71,-7.645,-7.735,143,0
221382,-1.009,-0.76,0.55,77.496,8.058,1.814,141,1
221472,-0.917,-0.085,0.206,-88.55,5.786,-33.863,142,0
221563,-0.9,0.063,0.124,55.649,-17.171,-23.12,144,0
221657,-0.895,0.136,0.262,57.824,1.081,1.689,148,0
221750,-1.011,-0.613,0.541,-44.011,-0.301,-11.514,0,0
221840,-0.919,0.017,0.164,-124.237,3.871,-13.59,147,0
221933,-0.785,0.214,0.021,101.038,-10.119,27.294,183,1
222026,-0.904,-0.514,0.405,58.229,-9.419,0.637,0,0
222116,-0.915,-0.421,0.342,-89.58,14.128,-4.989,147,0
222208,-0.863,0.321,0.082,-31.972,2.667,-2.971,149,0
222301,-0.896,-0.302,0.34,77.542,-3.323,13.355,0,0
222391,-1.004,-1.183,0.674,51.851,7.796,8.612,141,1
222484,-0.915,-0.088,0.181,-95.351,8.171,-12.371,145,0
222575,-0.868,-0.098,0.165,72.16,-6.784,6.072,147,0
222665,-0.936,-0.72,0.491,53.053,-3.352,8.767,146,0
222755,-0.959,-0.451,0.434,-42.046,-2.221,5.923,147,0
222850,-0.905,-0.054,0.251,-20.358,-15.63,0.679,0,0
222943,-0.955,-0.417,0.397,-23.83,-9.583,2.56,0,0
223036,-0.893,-0.043,0.174,-98.809,18.687,-3.071,0,0
223130,-0.828,-0.08,0.245,121.939,-9.912,14.102,0,0
223222,-1.013,-0.789,0.56,-11.873,-9.484,-7.742,185,0
223320,-0.89,0.027,0.119,-151.282,8.481,-34.218,0,0
223413,-0.8,0.147,0.095,92.015,-1.704,17.126,0,0
223507,-0.935,-0.744,0.543,74.687,-8.433,18.08,0,0
223600,-1.023,-0.413,0.299,-98.351,5.377,-8.244,0,0
223690,-0.872,0.16,0.134,21.926,-1.006,-0.468,148,0
223784,-0.885,-0.278,0.421,53.565,1.368,16.542,0,2
223878,-0.959,-0.388,0.377,-26.237,8.585,7.208,0,1
223972,-0.87,0.058,0.253,-41.435,8.754,6.298,0,1
224062,-0.881,-0.162,0.255,78.099,-16.732,5.481,148,0
224156,-0.937,-0.654,0.5,11.617,-5.073,-1.166,147,0
224248,-0.895,-0.076,0.172,-45.687,-8.412,-15.35,180,0
224340,-0.798,0.064,0.363,53.756,-1.105,12.527,181,1
224434,-0.939,-0.671,0.531,30.489,-17.053,0.429,181,0
224526,-0.93,-0.279,0.246,-93.695,-3.667,-23.579,182,0
224619,-0.801,0.076,0.21,-0.985,-0.073,-1.696,182,0
224711,-0.872,-0.434,0.466,80.824,-15.725,11.445,182,0
224804,-0.985,-0.68,0.475,-69.275,11.88,-12.822,182,1
224897,-0.838,0.068,0.172,-49.458,7.015,-1.129,181,0
224993,-0.842,0.01,0.205,84.382,-16.788,43.29,54,5
225085,-0.985,-0.475,0.468,-5.208,3.096,16.896,180,0
225178,-0.828,0.182,0.169,-94.847,19.786,-16.655,179,0
225270,-0.88,-0.355,0.365,154.221,-21.695,22.214,179,0
225362,-1.03,-0.691,0.445,-190.336,23.344,-14.72,179,1
225456,-0.817,0.559,-0.035,21.467,14.623,11.673,178,1
225548,-0.859,-0.595,0.475,98.702,-4.642,19.655,178,1
225641,-0.992,-0.711,0.479,-105.634,10.64,-11.205,178,0
225736,-0.867,0.094,0.171,-5.13,6.222,-0.448,178,0
225828,-0.907,-0.302,0.305,-11.425,-1.341,-12.347,178,0
225920,-0.922,-0.341,0.322,-0.882,-1.9,-3.407,145,0
226010,-0.902,-0.079,0.171,15.049,4.823,0.669,145,0
226103,-0.917,-0.242,0.29,15.817,6.195,1.078,179,0
226195,-0.906,-0.301,0.349,1.357,0.605,-0.138,178,0
226287,-0.923,-0.283,0.347,1.058,1.393,2.515,178,0
226380,-0.91,-0.233,0.296,7.778,-3.668,2.411,178,0
226472,-0.914,-0.223,0.258,-3.405,-2.578,7.656,178,0
226567,-0.856,-0.078,0.231,33.771,0.9,10.14,146,0
226658,-0.909,-0.332,0.34,-26.298,0.104,-3.622,145,0
226750,-0.911,-0.073,0.271,13.43,5.005,-0.607,177,0
226842,-0.875,-0.415,0.426,40.878,-1.789,2.453,177,0
226933,-0.89,0.174,0.149,-10.912,4.839,5.327,146,0
227024,-0.911,-0.358,0.455,84.374,-17.062,10.299,146,0
227117,-0.991,-0.682,0.518,-107.824,-3.216,-17.186,177,0
227210,-0.819,0.587,-0.022,-10.664,4.912,4.39,179,0
227302,-0.885,-0.239,0.353,102.084,-3.42,23.279,178,1
227398,-0.957,-0.41,0.495,-2.311,-10.942,2.689,179,0
227491,-0.843,0.396,0.069,-132.611,16.756,-12.65,179,0
227584,-0.868,-0.087,0.245,137.954,-6.396,26.015,179,1
227677,-1.042,-0.861,0.674,33.678,5.852,24.059,178,1
227769,-0.952,0.109,0.193,-164.748,21.137,-13.957,178,1
227862,-0.78,0.443,0.037,59.351,-9.449,6.904,178,0
227955,-0.896,-0.799,0.625,85.145,-7.089,25.067,177,1
228046,-1.103,-0.393,0.377,-167.015,3.463,-27.473,144,0
228140,-0.9,0.584,0.082,-14.236,10.69,6.74,176,1
228236,-0.874,-0.131,0.25,75.901,-9.708,5.107,176,0
228329,-0.888,-0.532,0.506,3.747,-10.124,-1.747,176,0
228420,-0.989,-0.014,0.223,-126.427,4.971,-18.026,142,0
228511,-0.851,0.16,0.136,62.733,-4.127,-1.614,142,0
228604,-0.995,-0.778,0.501,-30.522,0.675,2.003,177,0
228697,-0.93,0.164,0.089,-49.908,10.974,4.288,175,1
228790,-0.855,-0.265,0.317,63.344,0.697,6.133,175,0
228883,-1.002,-0.344,0.376,75.931,-6.483,3.46,175,1
228979,-0.965,-0.102,0.375,-62.542,18.873,1.18,176,2
229072,-0.912,-0.184,0.3,33.779,1.099,1.97,176,0
229163,-0.906,-0.163,0.316,18.167,-2.493,4.599,143,0
229254,-0.912,-0.104,0.301,3.589,2.755,3.048,141,0
229345,-0.913,-0.147,0.312,-12.758,4.719,1.162,140,0
229436,-0.922,-0.134,0.268,-7.491,1.103,-0.645,140,0
229530,-0.913,-0.13,0.344,-1.098,7.174,11.174,0,1
229621,-0.935,-0.058,0.251,-11.634,0.645,-2.962,141,0
229718,-0.911,0.082,0.245,-19.826,12.176,47.649,139,0
229812,-0.821,0.246,0.246,-6.799,14.51,70.557,170,0
229904,-0.974,0.359,0.144,-32.214,23.87,83.886,167,0
229997,-1.047,0.541,0.175,-82.069,31.153,101.107,0,0
230090,-1.229,0.265,0.214,-191.771,10.562,102.206,0,0
230183,-0.998,-0.157,0.583,153.84,-110.038,110.481,0,0
230277,-1.028,0.814,-0.197,-250.137,17.527,23.008,0,3
230368,-0.584,0.698,0.154,168.389,-29.214,66.809,0,153
230459,-0.73,-0.472,0.905,-11.993,-42.748,30.634,0,156
230549,-0.724,0.329,0.533,-136.656,-1.217,4.756,0,148
230642,-0.431,1.356,0.13,-117.718,18.183,-7.927,0,149
230734,-0.312,0.614,0.566,155.71,-20.931,22.298,0,162
230828,-0.628,-0.211,0.994,29.748,-18.038,30.397,0,1
230921,-0.7,0.016,0.743,-76.985,6.319,-16.125,0,1
231012,-0.416,0.892,0.387,-67.321,24.397,-41.931,0,152
231105,-0.475,1.042,0.448,74.45,-7.76,-18.723,0,0
231198,-0.544,0.079,0.769,95.0,-29.095,-8.364,5,5
231291,-0.694,0.191,0.808,-7.997,-9.425,9.869,0,0
231386,-0.433,1.222,0.239,-44.443,2.27,13.33,0,0
231480,-0.379,1.108,0.345,38.13,0.96,19.602,0,163
231573,-0.645,-0.078,0.938,61.031,-13.161,11.4,0,0
231666,-0.703,-0.013,0.739,-137.634,20.702,-25.121,0,0
231760,-0.52,1.236,0.031,-42.527,-10.557,-33.586,5,5
231854,-0.546,0.412,0.614,123.282,-18.786,6.658,0,0
231947,-0.69,-0.01,0.927,26.947,-19.461,-14.325,0,0
232041,-0.512,0.639,0.524,-187.916,17.145,-37.71,0,0
232134,-0.357,1.317,0.338,41.679,2.745,10.999,0,1
232227,-0.622,-0.001,0.91,125.542,-18.969,34.285,0,1
232324,-0.55,0.241,0.755,-38.26,2.38,-23.914,0,0
232418,-0.471,1.162,0.39,-125.389,17.214,-2.976,0,0
232511,-0.512,0.466,0.719,159.053,-21.313,28.595,0,1
232597,-0.689,-0.345,1.011,-111.672,-0.696,-24.532,56,0
232690,-0.386,1.265,0.504,-2.738,18.589,18.062,0,1
232783,-0.556,0.337,0.666,196.191,-26.321,34.069,0,0
232878,-0.623,-0.088,0.917,-135.58,15.675,-18.298,0,0
232971,-0.367,1.572,0.163,-41.336,13.08,-0.977,0,0
233068,-0.534,0.087,0.792,187.733,-25.87,29.435,0,0
233161,-0.67,-0.308,0.98,-127.198,15.577,-14.5,0,0
233255,-0.322,1.606,0.061,-120.282,25.145,-3.661,0,0
233347,-0.465,0.904,0.469,161.336,-18.969,30.191,0,153
233440,-0.722,-0.21,1.013,-49.145,-14.991,-17.315,0,0
233534,-0.465,1.035,0.339,-107.733,18.709,-7.646,0,0
233627,-0.35,1.144,0.354,110.771,-9.94,17.694,0,0
233721,-0.533,0.377,0.641,56.519,-9.961,1.862,0,0
233815,-0.495,0.313,0.809,-34.046,1.943,3.458,0,0
233911,-0.427,0.961,0.384,-56.26,11.906,-4.355,0,0
234005,-0.525,0.566,0.637,61.16,-11.387,0.399,0,0
234098,-0.467,0.29,0.682,-27.351,-1.708,-11.903,0,0
234192,-0.498,0.358,0.548,-31.87,19.008,-13.862,0,0
234286,-0.504,0.413,0.47,33.77,38.565,5.529,0,1
234380,-0.604,0.252,0.385,-12.971,60.382,-32.374,0,0
234473,-0.809,0.369,0.339,102.901,77.313,-56.206,0,1
234566,-0.887,0.568,0.244,76.824,71.214,-79.595,0,0
234660,-1.024,0.556,0.305,85.443,56.901,-71.237,0,1
234757,-1.031,0.468,0.323,96.122,23.038,-62.176,0,2
234851,-1.084,0.49,0.072,27.485,17.282,-48.198,0,0
234945,-1.02,0.301,0.072,2.621,7.434,-20.929,0,0
235038,-0.968,0.318,0.06,-4.73,0.987,5.881,0,0
235131,-0.933,0.293,0.039,-3.304,-6.697,11.09,0,0
235226,-0.903,0.387,0.014,-0.151,4.673,35.627,0,1
235320,-0.836,0.397,-0.044,-35.435,2.511,17.544,0,0
235413,-0.858,0.469,-0.069,-129.573,32.557,1.786,0,0
235507,-1.289,0.382,-0.037,-107.687,2.385,12.795,0,0
235604,-1.341,0.446,-0.097,-32.221,-10.971,194.489,0,0
235697,-0.687,0.377,-0.024,17.966,-10.888,237.573,175,0
235788,-1.208,1.52,-0.285,37.649,26.496,95.573,161,0
235879,-0.104,0.859,-0.002,6.876,72.397,151.87,140,0
235964,-0.515,1.092,0.087,11.404,34.145,114.527,39,0
236049,-0.148,0.641,0.156,-32.939,-6.865,-40.301,147,108
236139,0.271,0.628,0.073,-8.183,-13.603,-3.12,135,0
236229,0.259,1.033,-0.014,-15.075,2.926,59.168,133,0
236314,-0.3,1.455,-0.113,-6.874,9.345,28.977,30,0
236401,-0.616,1.399,-0.061,45.725,2.15,-43.186,30,0
236485,0.519,0.086,0.277,-56.198,-3.349,-19.804,35,0
236570,-0.001,1.611,-0.181,-21.51,1.186,32.733,38,0
236655,-0.696,1.506,-0.09,82.115,9.263,-14.966,37,0
236739,0.406,-0.001,0.436,-39.992,0.511,-38.076,35,0
236824,0.075,1.4,-0.102,-68.908,13.129,29.832,37,0
236909,-0.764,1.585,-0.071,81.42,21.977,25.578,37,1
236993,0.31,0.033,0.48,-34.214,-15.645,-33.008,30,0
237078,0.018,1.247,-0.026,-50.092,-15.794,26.718,34,1
237165,-0.391,1.451,-0.072,38.611,4.884,3.441,36,0
237251,0.009,0.68,0.338,22.373,6.244,-15.424,137,111
237331,0.033,0.868,0.318,6.9,16.637,-3.721,34,110
237416,-0.084,1.239,0.007,-13.56,9.119,1.79,134,110
237496,-0.105,0.848,0.059,-4.598,-21.18,-4.246,32,110
237575,-0.129,1.213,0.014,-0.556,-2.122,5.754,32,109
237660,-0.083,0.937,0.158,-21.312,0.444,-0.966,35,0
237745,-0.185,0.96,0.199,4.449,-12.23,-9.01,35,0
237829,-0.039,1.149,0.1,-16.506,-13.608,18.732,36,0
237925,-0.04,0.932,0.178,-4.234,-4.48,23.863,33,0
238004,-0.015,1.088,0.11,0.98,-1.899,42.458,27,114
238087,0.195,1.32,0.094,3.712,18.901,101.779,30,0
238171,0.337,0.962,0.264,-1.97,44.229,132.115,23,0
238260,0.248,0.574,0.387,-18.647,7.729,31.573,125,0
238343,0.515,0.978,0.113,-31.336,20.092,51.145,18,0
238426,0.423,0.747,0.272,-35.969,24.031,17.721,17,1
238509,0.45,0.795,0.19,23.76,8.661,15.761,23,1
238598,0.405,0.719,0.211,-29.613,4.595,-26.966,123,0
238684,0.456,0.782,0.33,-11.465,2.943,-0.932,17,0
238767,0.449,0.877,0.314,-15.205,2.547,-2.319,18,0
238850,0.43,0.959,0.24,-15.3,7.626,4.914,18,0
238932,0.399,0.876,0.251,-9.089,2.217,-3.834,20,0
239015,0.458,0.924,0.245,-6.201,1.372,4.035,20,0
239105,0.43,0.844,0.31,6.196,-1.182,6.852,129,0
239187,0.442,0.891,0.266,7.324,-2.512,4.601,22,0
239271,0.44,0.798,0.297,-7.114,-0.774,-0.066,25,0
239354,0.431,0.801,0.348,13.37,-3.451,2.312,19,1
239440,0.44,0.873,0.273,-21.845,-5.013,-1.313,18,0
239523,0.444,0.917,0.245,-16.49,-0.931,-6.856,22,0
239612,0.479,0.889,0.25,-11.577,1.487,-0.487,122,0
239695,0.437,0.883,0.264,-2.505,-5.29,-3.296,20,0
239779,0.495,0.867,0.308,-13.428,1.792,2.232,25,0
239862,0.419,1.045,0.232,-0.51,-1.237,-3.023,20,0
239945,0.415,0.817,0.315,4.721,-0.652,-3.724,23,0
240029,0.427,0.759,0.337,4.215,-6.198,-7.861,23,0
240112,0.45,0.824,0.315,-1.793,-1.519,-4.924,23,0
240198,0.453,0.865,0.241,-14.548,-3.04,-16.961,22,0
240282,0.381,1.006,0.251,19.276,-2.843,-3.555,23,0
240365,0.32,0.707,0.354,26.904,2.015,-25.802,20,1
240448,0.274,0.793,0.285,-28.45,-16.84,-55.244,20,0
240532,0.21,0.921,0.152,7.627,-30.695,-83.45,24,0
240616,0.084,0.665,0.128,-25.115,-32.0,-135.176,26,0
240700,-0.129,0.715,0.203,55.511,-16.45,-159.992,32,0
240779,-0.39,0.897,0.157,45.649,-11.347,-168.863,39,109
240867,-0.669,1.004,0.117,18.323,0.459,-146.0,152,146
240960,-0.779,0.917,0.074,41.267,-6.065,-109.695,0,141
241050,-0.814,0.858,0.022,35.107,-4.255,-82.443,0,138
241144,-0.882,0.476,0.131,0.335,-4.242,-78.458,0,0
241238,-1.024,0.358,0.198,6.72,-24.615,-66.557,0,0
241328,-1.096,0.487,0.277,-33.221,-36.802,-34.115,0,132
241422,-1.103,0.391,0.402,-19.393,-88.886,-8.289,0,0
241515,-1.047,0.343,0.561,87.779,-159.153,16.497,0,1
241609,-0.942,0.49,0.267,-63.092,-95.634,15.71,0,0
241702,-0.733,0.569,0.329,14.6,-75.718,31.603,0,2
241800,-0.585,0.213,0.484,-28.832,-31.542,-13.978,0,0
241893,-0.601,0.27,0.648,-15.71,-20.145,6.564,0,0
241987,-0.564,0.168,0.797,-31.13,-14.744,0.867,0,0
242080,-0.534,0.358,0.745,-9.03,-10.411,-4.833,0,0
242174,-0.534,0.261,0.73,26.779,-16.593,4.833,0,0
242268,-0.527,0.242,0.742,-35.786,3.536,-21.645,0,0
242362,-0.519,0.477,0.763,-31.122,5.345,-12.361,0,0
242455,-0.582,0.147,0.928,4.664,-1.402,-0.288,0,1
242549,-0.518,0.196,0.874,-5.322,-9.52,-2.245,0,0
242646,-0.47,0.427,0.743,13.354,-1.775,2.977,0,1
242740,-0.385,0.443,0.806,1.976,4.85,-1.08,0,1
242833,-0.466,0.239,0.905,-20.007,-8.441,1.366,0,0
242927,-0.496,0.174,0.932,-39.42,-15.785,-4.289,0,0
243021,-0.367,0.218,0.84,6.963,-22.954,11.916,0,0
243115,-0.456,0.012,0.997,7.129,-16.893,6.217,0,0
243209,-0.361,0.317,0.871,-17.165,-2.366,14.422,0,0
243302,-0.446,0.357,0.862,-20.783,-19.42,-1.776,0,0
243396,-0.386,0.268,0.919,-16.684,-17.473,2.84,0,0
243493,-0.257,0.161,0.924,-4.754,-8.621,2.599,0,1
243587,-0.296,0.189,0.909,11.731,-13.385,8.994,0,0
243681,-0.212,0.187,0.93,-17.798,-9.161,6.791,0,0
243774,-0.231,0.477,0.826,-13.002,-9.743,9.301,0,0
243868,-0.326,0.266,0.904,-7.533,-16.603,6.275,0,0
243962,-0.281,0.209,1.002,-11.817,-13.817,3.145,0,0
244049,-0.173,0.176,1.011,10.57,-16.893,8.799,81,0
244143,-0.19,0.05,1.064,5.941,-22.115,6.919,0,0
244237,-0.151,0.21,0.937,-7.974,-19.702,7.31,0,0
244334,-0.072,0.27,0.869,-17.538,-6.183,15.8,0,0
244427,0.06,0.297,0.921,-13.994,-11.81,-3.195,0,0
244521,-0.029,0.144,0.983,27.037,-16.221,4.269,0,1
244616,-0.014,0.024,1.036,-17.913,-8.993,-5.221,0,0
244703,-0.073,0.025,1.098,-6.102,-18.611,0.804,80,0
244790,-0.014,0.171,1.007,-3.194,2.599,-0.744,83,1
244877,0.015,0.186,0.924,11.921,-20.298,-0.366,78,0
244964,0.064,0.166,1.007,33.42,-18.885,6.714,80,0
245051,0.019,0.194,0.939,-16.529,-15.129,-2.934,76,0
245141,0.104,0.307,0.938,-10.788,1.334,1.046,80,1
245228,0.069,0.373,0.952,2.743,-3.138,2.827,81,1
245315,0.11,0.188,0.973,-17.332,-14.497,-9.637,78,0
245402,0.077,0.247,0.868,-11.108,-16.693,-7.153,81,0
245489,0.164,0.124,0.93,16.654,-15.066,-3.467,80,0
245577,0.18,-0.036,1.021,-7.321,-15.902,-4.065,81,0
245664,0.213,0.036,1.1,-0.28,-16.207,6.501,78,0
245751,0.165,0.044,1.006,2.475,-9.319,0.662,77,0
245838,0.099,0.181,0.867,-7.576,-6.349,7.473,77,0
245928,0.201,0.179,1.006,-22.404,-9.29,-13.781,80,0
246016,0.245,-0.011,1.053,-16.201,-15.45,-5.626,77,0
246103,0.241,0.039,0.956,-7.185,-16.16,-0.269,79,0
246190,0.309,0.014,0.996,1.526,-5.77,-5.843,79,0
246277,0.322,-0.041,1.094,4.876,-20.817,-3.543,79,0
246371,0.343,0.086,0.936,4.761,-14.898,-3.373,0,0
246465,0.392,0.236,0.968,0.595,-10.914,-1.358,0,0
246552,0.292,0.235,0.805,-4.597,-17.351,-15.465,78,0
246639,0.368,-0.04,0.858,6.495,-16.171,8.246,76,0
246729,0.416,-0.309,0.996,13.202,-2.903,14.219,73,1
246816,0.405,0.186,0.947,-19.272,-9.513,-18.468,22,5
246903,0.467,0.061,0.951,36.733,-16.725,8.717,73,0
246990,0.365,0.22,0.902,-17.257,-3.93,4.666,75,0
247077,0.48,0.27,0.825,6.9,-6.025,0.476,74,0
247163,0.404,0.144,0.79,-15.894,-1.237,9.755,72,0
247250,0.384,0.331,0.817,-27.237,4.8,4.285,75,0
247337,0.49,0.346,0.811,8.98,-0.532,0.036,72,0
247432,0.462,0.118,0.93,-2.319,-11.08,3.292,0,0
247522,0.422,-0.068,0.909,-13.798,-9.619,-3.26,72,0
247609,0.424,-0.003,0.843,-4.064,-4.404,2.565,73,0
247696,0.476,0.068,0.88,-8.56,9.591,6.306,73,0
