Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36027,-0.269,0.193,0.963,4.037,1.314,-0.562,0,107
36082,-0.256,0.233,0.947,1.84,1.497,0.936,0,107
36136,-0.26,0.203,0.958,-0.812,0.631,-0.349,0,107
36192,-0.26,0.221,0.96,4.482,1.069,-0.284,0,107
36246,-0.264,0.229,0.943,-0.32,1.241,0.045,0,107
36300,-0.256,0.216,0.953,3.368,1.774,-0.082,0,107
36356,-0.257,0.215,0.948,2.699,1.363,-0.225,0,107
36410,-0.269,0.233,0.956,0.997,1.296,-0.341,0,107
36468,-0.27,0.228,0.938,7.073,2.506,0.388,0,107
36523,-0.255,0.201,0.957,7.667,5.157,0.02,0,107
36577,-0.21,0.152,0.965,25.66,8.878,-3.53,0,107
36632,-0.242,0.198,0.918,42.779,9.591,-6.581,0,106
36686,-0.264,0.213,0.919,67.687,20.058,-10.28,0,106
36742,-0.362,0.378,0.82,52.916,19.968,-15.48,0,105
36796,-0.259,0.269,0.717,73.015,34.779,-28.481,0,104
36851,-0.111,0.173,0.568,129.29,72.756,-49.901,0,116
36910,-0.343,0.204,0.408,203.634,122.305,-79.099,0,152
36970,-0.932,0.671,0.214,172.992,115.832,-94.015,0,148
37029,-0.907,0.728,0.275,60.649,93.908,-126.382,0,0
37090,-1.044,0.519,0.285,34.298,76.321,-139.107,0,0
37150,-1.104,0.333,0.222,44.626,69.58,-111.26,0,0
37211,-1.146,0.366,0.145,50.878,39.679,-83.519,0,0
37271,-1.058,0.311,0.116,56.687,38.674,-52.092,0,0
37331,-1.062,0.322,0.03,37.565,9.131,-34.283,0,0
37391,-0.98,0.324,0.125,0.023,2.378,5.045,0,0
37451,-0.992,0.187,0.105,12.497,2.48,22.15,0,0
37515,-0.992,0.276,0.021,-9.561,-4.616,13.663,0,0
37575,-0.903,0.231,0.033,-17.758,-6.348,13.947,0,0
37636,-0.937,0.18,0.058,-10.251,-3.985,10.469,0,0
37695,-0.934,0.227,0.037,-0.879,-1.806,6.081,0,0
37755,-0.948,0.239,0.036,-7.747,-0.264,1.998,0,0
37816,-0.981,0.213,0.04,-7.226,-0.67,3.703,0,0
37876,-0.945,0.217,0.063,6.493,-0.893,6.572,0,0
37937,-0.96,0.25,0.045,3.853,1.109,4.414,0,0
37996,-0.957,0.23,0.06,-2.849,1.22,1.117,0,0
38060,-0.946,0.225,0.059,5.562,1.519,3.151,0,0
38120,-0.977,0.234,0.057,4.379,0.592,1.844,0,0
38180,-0.948,0.218,0.063,3.849,1.747,0.47,0,0
38241,-0.965,0.257,0.048,8.749,-0.146,0.679,0,0
38300,-0.943,0.248,0.039,8.306,1.019,-0.741,0,0
38361,-0.96,0.257,0.039,6.066,1.951,0.24,0,0
38421,-0.96,0.234,0.057,2.899,-0.035,-0.284,0,0
38481,-0.961,0.255,0.044,7.513,1.125,1.903,0,0
38542,-0.964,0.267,0.05,2.709,0.269,2.769,0,0
38602,-0.962,0.275,0.056,2.462,0.042,7.515,0,0
38666,-1.018,0.278,0.064,6.662,-6.148,15.794,0,0
38726,-0.936,0.355,0.066,15.878,-8.031,32.595,0,0
38787,-0.922,0.369,0.045,11.121,-6.326,29.763,0,0
38847,-0.889,0.37,0.056,1.257,-0.498,38.184,0,0
38907,-0.878,0.337,0.077,-8.431,0.82,17.382,0,0
39010,-0.957,0.372,0.072,-7.483,0.713,1.824,0,0
39070,-0.933,0.385,0.104,-9.676,-2.248,12.068,0,0
39131,-0.92,0.446,0.105,1.548,-2.044,27.007,0,0
39191,-0.958,0.463,0.2,31.689,-11.298,45.939,0,0
39256,-0.923,0.611,0.192,53.718,-19.769,105.496,0,0
39316,-1.114,0.198,0.381,220.046,-36.435,213.053,0,0
39374,1.001,-0.004,-1.654,250.13,140.519,250.13,168,0
39432,-0.218,0.542,-0.141,-39.962,87.29,204.191,144,0
39492,-0.78,1.707,-1.555,-9.985,109.534,99.015,196,0
39554,-0.253,0.029,-0.396,1.313,72.702,25.481,0,0
