Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36027,-0.269,0.193,0.963,6.301,2.895,0.339,0,107
36082,-0.256,0.233,0.947,0.065,0.548,0.438,0,107
36136,-0.26,0.203,0.958,0.777,1.612,0.065,0,107
36192,-0.26,0.221,0.96,4.113,0.802,-0.395,0,107
36246,-0.264,0.229,0.943,-2.722,-0.345,-0.438,0,107
36300,-0.256,0.216,0.953,-0.124,-0.363,-0.762,0,107
36356,-0.257,0.215,0.948,3.356,1.784,-0.083,0,107
36410,-0.269,0.233,0.956,1.702,1.806,-0.123,0,107
36468,-0.27,0.228,0.938,5.115,1.599,-0.067,0,107
36523,-0.255,0.201,0.957,2.379,3.124,-0.813,0,107
36577,-0.26,0.152,0.965,15.671,5.054,-4.813,0,107
36632,-0.242,0.198,0.918,42.779,25.127,0.038,0,106
36686,-0.264,0.213,0.919,67.687,26.042,-6.63,0,106
36742,-0.362,0.378,0.82,52.916,44.536,7.32,0,105
36796,-0.259,0.269,0.717,73.015,34.779,-28.481,0,104
36851,-0.294,0.173,0.568,129.29,72.756,-49.901,0,116
36910,-0.343,0.204,0.408,203.634,122.305,-79.099,0,152
36970,-0.932,0.709,0.214,172.992,115.832,-94.015,0,148
37029,-0.907,0.728,0.275,60.649,93.908,-126.382,0,0
37090,-1.044,0.588,0.285,34.298,76.321,-139.107,0,0
37150,-1.104,0.333,0.222,44.626,69.58,-111.26,0,0
37211,-1.146,0.366,0.145,50.878,39.679,-83.519,0,0
37271,-1.058,0.311,0.116,56.687,54.846,-52.092,0,0
37331,-1.062,0.322,0.03,37.565,6.135,-39.899,0,0
37391,-0.98,0.324,0.125,-3.357,1.002,1.701,0,0
37451,-0.992,0.187,0.105,19.722,5.221,29.329,0,0
37515,-0.992,0.276,0.021,-2.471,-2.334,23.0,0,0
37575,-0.903,0.231,0.033,-14.437,-4.999,19.33,0,0
37636,-0.937,0.18,0.058,-13.657,-5.391,5.829,0,0
37695,-0.934,0.227,0.037,4.037,-0.167,10.325,0,0
37755,-0.948,0.239,0.036,-6.203,0.159,3.449,0,0
37816,-0.981,0.213,0.04,-11.3,-1.679,-0.473,0,0
37876,-0.945,0.217,0.063,3.824,-1.454,4.572,0,0
37937,-0.96,0.25,0.045,8.457,2.354,7.818,0,0
37996,-0.957,0.23,0.06,-2.268,1.386,1.586,0,0
38060,-0.946,0.225,0.059,8.151,2.437,4.576,0,0
38120,-0.977,0.234,0.057,1.011,-0.157,0.846,0,0
38180,-0.948,0.218,0.063,10.078,2.842,1.866,0,0
38241,-0.965,0.257,0.048,11.679,0.38,1.098,0,0
38300,-0.943,0.248,0.039,5.609,0.507,-1.057,0,0
38361,-0.96,0.257,0.039,1.226,1.228,-0.324,0,0
38421,-0.96,0.234,0.057,6.254,0.619,0.233,0,0
38481,-0.961,0.255,0.044,5.541,0.696,0.942,0,0
38542,-0.964,0.267,0.05,-0.797,-1.023,-1.557,0,0
38602,-0.962,0.275,0.056,5.848,1.343,12.928,0,0
38666,-1.018,0.278,0.064,6.724,-6.126,15.95,0,0
38726,-0.936,0.355,0.066,10.265,-10.849,32.595,0,0
38787,-0.922,0.369,0.045,8.541,-7.376,29.763,0,0
38847,-0.889,0.37,0.056,-10.998,-4.485,15.967,0,0
38907,-0.878,0.337,0.077,-13.395,-0.724,7.972,0,0
39010,-0.957,0.372,0.072,-3.123,1.927,10.799,0,0
39070,-0.933,0.385,0.104,-0.251,1.24,31.309,0,0
39131,-0.92,0.347,0.105,-20.937,-9.218,-20.333,0,0
39191,-0.958,0.421,0.2,1.749,-15.226,45.939,0,0
39256,-0.923,0.604,0.192,53.718,-20.555,105.496,0,0
39316,-1.114,0.198,0.381,220.046,-36.435,213.053,0,0
39374,1.001,-0.004,-1.654,250.13,140.519,250.13,168,0
39432,-0.186,0.567,-0.108,-39.962,87.29,204.191,144,0
39492,-0.78,1.707,-1.555,-33.232,109.534,99.015,196,0
39554,-0.194,0.029,-0.396,12.386,72.702,25.481,0,0
39611,0.186,0.439,-0.762,42.198,-6.342,32.901,160,0
39672,0.299,0.508,-0.732,-29.969,33.366,-22.589,0,0
39733,0.326,0.926,-0.94,-28.738,45.45,8.867,0,0
39796,0.357,1.131,-0.994,-5.306,50.481,-1.405,0,0
39857,0.27,0.902,-0.974,56.359,10.354,6.779,0,0
39917,0.318,0.338,-0.679,-24.347,-5.978,-19.619,0,0
39979,0.276,0.53,-0.742,-40.366,6.922,-14.851,0,0
40039,0.384,0.974,-0.951,-14.618,16.226,-2.484,0,0
40099,0.311,0.875,-0.953,10.011,-11.099,-4.43,0,0
40160,0.318,0.644,-0.865,17.767,9.279,3.634,0,0
40221,0.348,0.518,-0.843,18.978,1.784,-1.188,0,0
40282,0.341,0.498,-0.821,27.984,2.592,7.408,0,0
40342,0.278,0.4,-0.786,5.46,2.341,-1.643,0,0
40406,0.342,0.49,-0.796,9.629,3.184,-3.459,0,0
40466,0.28,0.403,-0.698,5.856,1.587,0.512,0,0
40527,0.362,0.735,-0.862,-2.221,12.636,2.853,0,0
40588,0.281,0.574,-0.865,5.69,-1.721,-0.943,0,0
40648,0.292,0.492,-0.78,-6.94,-5.8,-5.429,0,0
40709,0.354,0.553,-0.763,2.166,7.352,2.254,0,0
40770,0.343,0.554,-0.85,17.288,2.446,-2.531,0,0
40830,0.305,0.356,-0.676,1.443,4.398,-5.945,0,0
40891,0.304,0.589,-0.793,-8.152,4.494,-1.933,0,0
40955,0.281,0.55,-0.754,-1.162,-2.205,-6.599,0,0
41013,0.276,0.657,-0.778,-13.937,4.165,-4.231,154,0
41074,0.302,0.722,-0.816,3.735,8.096,5.285,0,0
41135,0.298,0.496,-0.697,3.35,-3.767,-2.171,0,0
41195,0.289,0.608,-0.784,-1.598,0.071,0.253,0,0
41256,0.301,0.576,-0.779,0.322,-1.42,-0.2,0,0
41317,0.303,0.591,-0.797,0.978,0.119,0.61,0,0
41377,0.293,0.575,-0.764,-7.153,2.38,0.043,0,0
41439,0.3,0.681,-0.771,3.777,-0.162,6.395,0,0
41498,0.312,0.602,-0.769,-13.615,0.199,1.413,184,0
41562,0.326,0.636,-0.758,-1.423,-0.908,5.308,183,0
41622,0.331,0.683,-0.737,10.157,5.279,8.905,0,0
41682,0.303,0.542,-0.712,5.515,0.137,2.643,182,0
41742,0.29,0.519,-0.737,6.768,-3.084,-1.117,182,0
41801,0.293,0.58,-0.769,-1.964,1.34,-3.157,182,0
41862,0.273,0.599,-0.79,9.637,0.382,1.117,183,0
