Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
57421,-1.482,0.075,-0.292,42.672,-56.13,-141.55,155,0
57511,-1.036,0.236,-0.145,64.084,-11.904,-85.183,162,0
57603,-0.794,0.26,-0.115,151.137,-7.924,-64.962,167,0
57694,-0.735,0.606,-0.089,109.313,18.573,-36.969,169,0
57784,-0.829,0.537,0.373,-7.603,53.672,34.761,168,0
57875,-1.049,0.222,0.405,-22.092,56.527,38.244,162,0
57964,-1.175,0.111,0.375,-14.138,21.893,68.847,154,0
58056,-1.018,0.024,0.317,11.936,2.935,76.473,145,0
58145,-1.185,-0.086,-0.035,47.496,-54.043,57.794,137,0
58232,-0.99,0.277,0.004,50.275,1.57,59.656,131,172
58321,-0.961,0.199,0.154,-35.176,13.827,18.673,127,0
58409,0.399,-1.016,0.732,14.133,-49.746,-193.756,125,0
58503,-2.0,1.571,-1.424,43.29,19.732,-66.313,0,0
58591,-0.98,-0.627,0.17,47.377,28.947,51.481,123,0
58684,-0.662,0.653,-0.031,98.847,33.954,27.068,0,0
58772,-0.994,-0.26,0.301,-81.725,28.069,21.051,112,0
58862,-0.939,-0.156,0.431,-6.058,-24.252,-15.935,106,0
58949,-0.944,-0.069,0.118,99.412,-22.32,-3.171,106,0
59042,-1.036,0.342,0.006,-9.98,-20.261,-57.238,0,0
59129,-0.99,0.161,0.498,51.284,25.485,69.771,101,0
59216,-1.088,-0.189,-0.207,-49.313,-37.836,63.817,97,0
59303,-0.767,-0.111,-0.036,2.043,-24.968,-18.224,96,0
59397,-0.951,0.162,-0.332,48.328,21.244,-2.995,0,0
59490,-1.112,0.238,-0.064,44.855,16.58,-27.516,0,0
59583,-0.993,0.162,-0.016,85.504,-56.745,-9.15,0,0
59678,-0.905,0.341,-0.204,71.504,-6.465,17.6,0,0
59771,-1.228,0.017,-0.069,41.29,-63.599,-14.184,0,0
59865,-0.878,0.063,0.455,29.042,-16.097,10.252,0,0
59958,-0.89,-0.056,-0.022,49.031,-53.701,-43.086,0,0
60051,-0.821,0.072,0.117,-16.328,-11.576,-41.603,0,0
60143,-0.828,0.327,0.112,-25.893,5.391,-33.609,0,0
60236,-0.986,0.208,0.177,38.084,14.275,-17.654,0,0
60329,-0.915,0.217,0.098,54.374,3.4,6.926,0,0
60423,-1.205,0.166,0.016,36.939,26.031,28.168,0,0
60519,-1.052,-0.071,0.18,-10.879,-6.893,-1.091,0,0
60612,-1.058,0.176,-0.083,22.456,15.555,14.239,0,0
60704,-0.866,-0.014,-0.005,57.924,-5.902,-1.712,0,0
60797,-0.754,0.141,-0.055,49.701,-2.682,1.702,0,0
60891,-0.926,0.106,0.131,46.908,5.72,5.5,0,0
60984,-1.248,0.397,0.211,28.955,3.168,18.985,195,0
61076,-1.098,-0.193,0.219,119.176,-33.642,26.046,0,0
61168,-0.733,0.315,-0.097,26.25,18.855,31.944,174,0
61259,-0.826,0.128,0.112,-7.875,-4.485,-40.246,159,0
61352,-0.969,0.512,0.415,8.987,17.456,-9.144,162,0
61444,-1.217,0.299,0.198,24.132,22.63,21.05,148,0
61533,-1.1,0.06,0.05,-47.24,19.489,69.84,139,0
61623,-0.946,-0.176,-0.019,66.046,-3.341,44.534,137,0
61713,-0.875,0.085,-0.298,-74.248,16.595,27.534,147,0
61802,-0.851,0.107,-0.021,87.706,31.757,3.156,134,0
