Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
233223,-0.314,0.521,0.813,-31.443,15.915,55.084,39,51
233309,-0.482,0.523,0.829,-15.398,26.598,33.763,0,49
233394,-0.274,0.436,0.763,-18.55,9.331,31.832,0,47
233470,-0.253,0.421,0.828,-15.624,14.958,12.983,44,46
233555,-0.276,0.457,0.906,-6.108,19.501,22.812,0,46
233640,-0.264,0.408,0.893,-5.593,4.956,8.035,0,43
233725,-0.304,0.435,0.986,-4.157,9.441,-3.894,0,44
233814,-0.246,0.465,0.843,-6.457,8.493,14.596,0,44
233889,-0.436,0.417,0.837,-8.925,3.846,5.869,43,44
233966,-0.437,0.419,0.811,2.066,0.847,20.056,42,44
234048,-0.44,0.275,0.77,-7.168,-9.802,-8.393,39,43
234123,-0.393,0.192,0.729,42.122,-11.682,-21.458,41,44
234207,-0.372,0.0,0.63,100.763,38.153,-57.794,0,42
234291,-0.422,0.244,0.381,196.374,68.038,-108.748,0,39
234379,-1.051,0.884,0.148,189.107,91.557,-130.527,0,102
234469,-0.967,0.985,0.146,19.588,75.687,-136.672,0,145
234561,-1.22,0.148,0.174,137.542,64.573,-76.855,0,143
234646,-0.91,0.602,-0.171,111.595,24.954,-22.237,0,62
234731,-1.002,0.463,-0.215,-42.466,21.858,6.739,0,57
234817,-0.998,0.177,-0.142,-31.061,12.279,20.663,0,61
234907,-0.835,0.373,-0.115,34.313,16.316,39.502,0,152
234992,-0.911,0.385,-0.141,-16.032,-8.951,-15.621,0,63
235083,-0.992,0.32,-0.12,4.039,-17.55,-16.15,0,158
235174,-0.957,0.467,-0.127,-1.286,-18.084,5.271,0,163
235266,-1.131,0.309,-0.06,-21.737,-22.542,4.404,0,168
235361,-1.039,0.317,-0.071,22.481,-23.137,32.115,0,175
235453,-0.87,0.311,-0.044,-34.84,-12.649,53.924,0,181
235546,-0.881,0.247,0.003,-51.763,-4.0,44.939,0,188
235632,-0.822,0.212,0.075,-32.687,13.988,26.694,0,75
235724,-0.754,0.236,0.069,-22.059,24.366,-36.252,0,195
235819,-0.855,0.358,0.164,17.211,35.672,-71.275,0,197
235912,-0.94,0.224,0.271,25.603,66.113,-77.038,0,198
235997,-1.013,0.406,0.08,-31.13,28.98,-57.229,0,61
236093,-1.002,0.211,0.092,-37.214,-1.943,-20.557,0,0
236186,-1.336,0.303,0.019,26.328,-9.789,3.028,0,0
236271,-0.936,0.367,0.022,11.652,-22.389,90.153,0,61
236356,-0.934,0.239,-0.13,-23.2,-22.115,107.878,0,50
236442,-0.896,0.227,-0.281,25.633,-21.145,87.817,0,71
236531,-0.704,0.314,-0.171,35.588,-14.924,49.214,0,134
236625,-0.747,0.49,-0.168,45.947,9.965,-25.412,0,0
236719,-0.974,0.356,-0.102,-33.964,14.468,-78.817,0,0
236812,-1.222,0.393,0.054,23.582,37.083,-75.397,0,0
236908,-1.123,0.156,-0.122,50.962,-18.273,-21.504,0,0
237000,-1.034,0.529,-0.13,88.908,-15.191,-38.618,187,0
237088,-0.84,0.572,0.079,2.626,10.878,20.241,96,0
237175,-0.966,0.484,0.012,-38.298,1.79,20.74,91,0
237254,-0.745,0.302,-0.072,-29.878,-15.665,42.176,86,60
237340,-0.719,0.549,0.082,-40.237,34.483,37.081,78,0
237426,-0.694,0.519,-0.161,-128.542,36.405,8.861,67,0
237503,-1.178,0.607,-0.633,-171.802,38.305,-31.046,56,47
237588,-1.098,0.244,-0.595,-187.496,47.685,32.441,0,51
237676,-0.94,0.439,-0.37,-45.565,51.481,77.206,0,61
237762,-0.855,0.465,-0.291,-64.947,44.336,69.962,0,69
237849,-0.793,0.459,-0.175,-70.603,28.283,39.252,0,79
237936,-0.86,0.548,-0.126,-70.153,66.755,67.836,0,87
238023,-0.885,0.49,-0.086,-45.885,30.439,-33.069,0,94
238111,-0.954,0.486,-0.057,-38.763,14.604,-52.908,0,99
238199,-0.921,0.399,-0.083,-14.98,-2.344,-50.046,0,104
238287,-0.937,0.362,-0.087,-27.491,-6.371,-24.542,0,109
238379,-0.92,0.277,-0.039,-13.193,-4.67,-5.481,0,115
238468,-0.74,0.551,0.012,45.672,2.431,31.718,0,122
238552,-0.775,0.699,0.039,-145.481,33.467,-4.521,0,33
238638,-0.924,0.451,0.099,-198.008,19.819,-34.546,0,57
238724,-1.208,0.34,0.194,-138.443,-15.691,-23.818,0,63
238811,-0.901,0.407,0.23,-95.092,-42.992,17.597,0,87
238898,-1.328,0.146,0.375,60.153,-160.603,8.959,0,90
238985,-0.062,1.839,-0.706,240.969,-95.939,109.733,0,94
239072,-1.296,-1.777,1.112,-194.779,-79.137,-5.991,0,79
239162,-0.55,1.084,-0.075,-182.74,-21.824,-9.208,0,80
239249,-0.334,0.763,0.443,37.053,-30.985,14.205,0,83
239336,-0.531,0.253,0.723,61.87,-32.901,14.401,0,85
239423,-0.74,-0.454,1.055,-7.164,-18.328,18.181,0,90
239510,-0.437,0.342,0.639,-77.122,1.475,-11.01,0,89
239597,-0.504,0.222,0.808,13.208,1.454,-11.179,0,92
239684,-0.527,0.158,0.882,37.213,1.587,-23.397,0,92
239772,-0.544,0.071,0.93,-29.93,1.191,-11.057,0,95
239859,-0.441,0.717,0.767,-16.303,0.98,45.213,0,96
239950,-0.317,0.572,0.805,-1.497,-19.916,26.416,0,99
240038,-0.472,0.227,0.881,28.168,-33.519,53.374,0,103
240128,-0.595,0.171,1.055,-43.55,-4.547,51.626,0,109
240216,-0.274,0.935,0.398,-93.794,35.144,27.456,0,113
240305,-0.167,1.017,0.515,27.412,10.385,33.534,0,117
240394,-0.346,0.467,0.792,60.534,-15.026,34.397,0,122
240483,-0.481,0.049,1.061,35.466,-35.42,7.758,0,126
240573,-0.466,0.205,0.929,-124.557,-18.787,-29.865,0,131
240663,0.047,1.431,0.362,-106.481,0.944,-10.204,0,137
240758,0.045,1.471,0.467,50.634,-16.847,4.874,166,0
240851,0.04,0.433,0.897,121.824,-31.069,43.756,0,0
240941,-0.169,-0.531,1.275,83.008,-36.359,35.421,150,153
241032,-0.104,0.097,1.024,-100.924,27.807,-8.204,0,159
241124,0.172,1.275,0.5,-62.321,34.89,16.166,0,163
241215,0.158,0.456,0.885,119.985,-21.87,34.435,0,170
241309,-0.036,-0.302,1.343,-8.111,-7.476,21.073,0,0
241403,0.243,0.622,0.822,-25.856,-4.472,39.0,0,0
241500,0.143,0.558,0.863,32.237,0.016,43.565,0,0
241594,-0.148,0.223,0.781,0.281,20.867,35.061,0,0
241681,-0.491,0.253,1.003,-169.718,50.053,-19.054,87,0
241771,0.025,1.483,0.359,-78.214,36.573,16.889,147,0
241873,0.066,0.861,0.872,91.069,-31.344,46.649,0,0
241956,0.254,0.733,1.034,27.939,-19.252,28.338,87,133
242045,-0.251,0.002,1.082,25.092,-26.076,31.639,0,133
242129,-0.008,0.199,0.692,-128.389,19.333,-18.518,87,135
242220,0.412,1.001,0.451,86.275,-12.687,19.137,0,138
242310,0.14,-0.281,1.183,91.504,-23.942,13.237,149,141
242400,-0.227,-0.442,1.308,-95.427,15.185,21.658,0,146
242490,0.001,0.853,0.686,-116.763,24.406,-12.207,0,151
242577,0.427,0.81,0.729,105.29,-21.328,58.74,0,80
242657,-0.308,-0.602,1.385,67.176,-23.687,46.176,86,78
242737,-0.159,0.808,0.638,-212.71,54.267,-20.52,87,73
242820,0.288,0.927,0.495,154.458,-3.834,62.214,141,72
242898,-0.498,-0.658,1.35,-52.763,-5.986,28.559,84,71
242985,0.003,1.405,0.354,-89.504,30.791,-11.856,0,69
243067,0.316,0.913,0.628,126.756,-14.324,42.87,86,68
243146,-0.076,-0.596,1.512,79.762,-33.817,38.395,84,74
243226,0.201,0.819,0.653,-130.664,20.451,-3.998,85,73
243312,0.19,-0.187,1.075,137.137,-30.45,2.567,0,71
243392,-0.172,-0.63,1.347,-101.763,2.749,-12.038,85,74
243478,0.34,1.098,0.551,-69.817,37.84,-15.374,0,75
243558,0.27,0.778,0.885,140.031,-18.542,55.786,85,77
243638,-0.008,-0.453,1.228,-130.443,15.806,0.327,84,78
243725,0.236,1.233,0.429,-38.527,-6.724,-13.454,0,80
243814,0.281,0.196,0.895,149.855,-24.55,63.504,0,81
243895,-0.049,-0.606,1.383,-35.382,0.508,38.992,83,84
243982,0.035,1.454,0.5,-106.298,19.624,20.884,0,87
244069,0.406,0.56,0.632,181.107,-22.624,85.153,0,91
244150,-0.356,-0.936,1.443,-48.213,-6.581,67.221,80,97
244238,0.134,1.26,0.43,-91.527,36.865,31.099,0,102
244326,0.503,0.498,0.754,203.481,-15.74,62.626,0,108
244415,-0.263,-0.954,1.565,28.634,-38.649,44.008,0,114
244507,-0.123,0.217,0.952,-192.237,37.176,34.913,0,123
244596,0.602,1.048,0.637,46.138,26.463,43.962,0,130
244686,0.357,-0.685,1.208,180.321,-39.115,74.084,0,134
244776,-0.212,-0.627,1.336,-111.534,23.42,21.242,0,142
244867,0.26,0.754,0.718,-109.435,41.504,-5.544,0,126
244957,0.369,0.25,0.814,107.168,-21.809,61.611,0,133
245047,0.115,-0.83,1.369,24.519,-28.504,57.985,0,138
245139,-0.1,0.009,0.805,-235.412,58.473,33.557,0,175
245228,0.394,1.276,0.444,95.695,20.142,77.962,0,131
245321,-0.017,-0.358,1.274,227.687,-21.489,115.214,0,134
245414,-0.464,-0.185,1.081,-168.733,39.267,33.771,0,0
245509,-0.009,1.237,0.449,-112.794,39.536,48.954,0,0
245602,0.21,0.167,0.948,137.466,-29.908,71.176,0,0
245696,-0.022,-0.5,1.399,30.183,3.284,50.924,0,0
245789,0.116,0.207,1.047,47.266,9.793,51.028,0,0
245883,0.018,-0.019,0.992,44.924,-14.695,57.229,0,0
245977,0.072,0.156,0.969,-11.023,11.717,46.344,0,0
246070,0.354,0.198,0.86,-3.772,-8.191,54.069,0,0
