Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
282464,0.344,-0.259,0.914,-3.92,2.567,2.787,71,86
282543,0.338,-0.228,0.909,-3.203,2.276,2.563,58,87
282621,0.349,-0.256,0.907,-4.309,1.94,2.708,71,86
282701,0.349,-0.236,0.914,-3.922,1.684,2.565,71,86
282780,0.341,-0.266,0.922,-4.031,-0.787,-0.383,71,86
282860,0.344,-0.299,0.929,-3.975,1.946,2.868,71,86
282939,0.331,-0.413,1.015,17.925,35.084,40.809,71,87
283019,0.211,-0.443,1.09,43.595,27.243,-7.634,72,86
283096,0.227,-0.309,1.003,155.847,-30.954,-62.435,76,81
283175,0.325,0.961,0.45,-74.397,117.321,9.431,80,79
283255,-0.051,-0.896,1.455,-57.137,0.529,-27.473,77,79
283333,0.628,0.842,0.518,180.176,-9.263,26.389,41,77
283413,0.002,-0.498,1.158,-194.115,48.069,-10.44,81,78
283493,0.285,0.007,0.959,147.779,-72.863,0.135,82,78
283573,-0.018,-0.331,0.925,-187.542,53.275,-3.818,80,79
283654,0.242,-0.023,0.908,130.435,-34.359,0.832,81,79
283737,-0.07,-0.503,1.157,-67.977,23.031,10.57,81,80
283816,0.386,0.574,0.665,107.863,-6.261,29.42,81,79
283896,-0.107,-0.801,1.3,-122.038,17.811,9.288,81,81
283977,0.483,0.746,0.579,79.366,-25.748,22.722,79,80
284057,0.013,-0.812,1.248,-71.42,17.145,8.698,80,81
284137,0.274,0.413,0.776,38.038,-8.201,13.518,78,81
284217,0.073,-0.456,1.115,24.882,5.908,11.885,78,82
284298,0.26,0.099,0.904,-76.344,20.784,0.511,78,81
284378,0.137,-0.173,1.105,83.588,-20.135,6.812,79,81
284461,0.171,-0.188,0.948,-125.145,33.464,6.668,78,82
284541,0.282,0.507,0.735,-132.305,-4.251,-8.409,80,83
284621,0.135,-0.861,1.191,74.908,3.101,26.992,77,84
