Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
282464,0.344,-0.259,0.914,-3.239,3.271,3.615,71,86
282543,0.338,-0.228,0.909,-6.373,-1.316,-1.775,58,87
282621,0.349,-0.256,0.907,-0.859,6.648,8.349,71,86
282701,0.349,-0.236,0.914,-4.424,0.707,1.448,71,86
282780,0.341,-0.266,0.922,-1.615,3.031,3.636,71,86
282860,0.344,-0.299,0.929,-10.416,-3.467,-0.898,71,86
282939,0.331,-0.413,1.015,77.428,35.084,40.809,71,87
283019,0.211,-0.443,1.09,43.595,7.197,-10.964,72,86
283096,0.227,-0.309,1.003,155.847,-30.954,-62.435,76,81
283175,0.325,0.961,0.45,-74.397,117.321,6.322,80,79
283255,-0.051,-0.896,1.455,-57.137,-3.853,-27.473,77,79
283333,0.628,0.842,0.518,180.176,-7.656,26.389,41,77
283413,0.002,-0.498,1.158,-194.115,48.069,-17.761,81,78
283493,0.285,0.007,0.959,147.779,-72.863,-10.212,82,78
283573,-0.018,-0.331,0.925,-187.542,53.275,-1.988,80,79
283654,0.242,-0.023,0.908,130.435,-34.359,-0.754,81,79
283737,-0.07,-0.503,1.157,-67.977,23.031,3.551,81,80
283816,0.386,0.402,0.665,107.863,-21.463,19.209,81,79
283896,-0.107,-0.801,1.3,-122.038,39.718,26.916,81,81
283977,0.483,0.746,0.579,79.366,-25.748,36.13,79,80
284057,0.013,-0.812,1.248,-71.42,11.053,2.891,80,81
284137,0.274,0.503,0.776,38.038,-2.031,18.549,78,81
284217,0.073,-0.456,1.115,30.047,7.158,12.716,78,82
284298,0.26,0.099,0.904,-76.344,19.937,0.076,78,81
284378,0.137,-0.173,1.105,83.588,-7.473,13.027,79,81
284461,0.171,-0.188,0.948,-125.145,11.727,-9.493,78,82
284541,0.282,0.628,0.735,-132.305,2.23,-2.377,80,83
284621,0.135,-0.861,1.191,74.908,-1.246,26.992,77,84
284701,0.327,0.712,0.583,-19.878,-12.531,5.383,77,83
284780,0.109,-0.885,1.186,43.664,24.743,24.902,46,83
284860,0.173,-0.305,0.988,169.771,-11.603,14.803,77,82
284941,0.318,0.804,0.596,-151.046,29.565,2.565,78,82
285021,0.071,-0.959,1.322,127.886,-4.86,10.324,78,82
285101,0.364,0.729,0.667,-128.344,-5.082,-17.906,78,81
285185,0.19,-0.233,0.989,124.015,-9.255,-1.078,77,81
285264,0.161,-0.627,1.197,-36.344,14.213,-8.175,78,81
285345,0.232,0.587,0.786,-11.076,-12.325,-3.34,78,81
285425,0.142,-0.181,1.014,33.817,6.7,11.993,79,80
285505,0.254,-0.014,1.014,-47.595,-11.301,-15.783,78,80
285586,0.226,0.188,0.918,123.824,-4.61,31.49,80,80
285666,0.224,-0.282,1.094,-75.176,8.806,-12.045,81,79
285745,0.242,0.263,0.965,67.29,7.701,22.7,44,79
285835,0.293,1.042,0.585,-35.87,-16.15,0.967,0,79
285915,0.152,-0.689,1.332,5.296,22.553,12.516,82,79
285992,0.302,1.154,0.517,-34.344,-8.913,11.38,44,79
286073,0.128,-0.837,1.301,-11.402,20.033,11.758,80,79
286153,0.314,0.471,0.856,-118.099,-7.495,-19.632,81,80
286234,0.205,-0.153,1.052,101.969,-2.904,13.922,80,80
286314,0.28,0.22,0.952,20.041,-2.406,-0.713,82,79
286395,0.223,0.53,0.81,28.757,5.032,8.729,82,79
286475,0.178,-0.211,1.083,0.804,8.9,1.352,81,79
286559,0.24,0.083,0.962,34.74,-8.021,-4.735,82,78
286639,0.177,0.188,0.838,-20.089,-6.728,-3.616,84,78
286720,0.223,-0.177,1.13,-85.695,11.878,-2.684,82,78
286800,0.233,0.333,0.869,46.878,-1.298,14.911,84,78
286880,0.257,0.43,0.642,-111.45,-26.357,-34.89,83,78
286961,0.083,-1.509,1.495,-45.26,15.886,-8.727,80,79
287041,0.183,0.433,0.612,205.863,-26.315,40.573,81,78
287122,0.249,-0.595,1.016,-250.137,12.537,-36.359,81,79
287202,0.281,-0.124,0.866,248.458,12.232,41.977,81,78
287286,0.28,-0.01,0.904,-180.244,1.923,-44.221,81,78
287367,0.237,-0.148,1.013,114.733,5.555,13.092,81,78
287447,0.218,0.059,0.934,-29.42,3.238,-29.4,83,77
287527,0.192,0.036,0.933,68.206,2.596,-5.083,85,76
287614,0.166,-0.242,0.997,-205.786,37.176,-46.771,0,76
287702,0.156,0.465,0.702,246.649,-22.954,29.13,0,75
287789,0.084,-0.587,1.201,-198.351,27.305,-26.133,0,76
287876,0.263,0.702,0.686,108.603,-30.072,27.145,0,75
287963,0.049,-0.713,1.281,1.046,-6.026,-1.378,0,76
288053,0.298,0.662,0.658,-110.992,24.847,-1.785,0,76
288140,0.057,-0.478,1.191,124.214,-26.139,3.973,0,75
288227,0.223,0.595,0.715,-175.771,32.641,-6.691,0,76
288315,0.149,-0.296,1.101,161.298,-21.061,13.34,0,75
288402,0.172,0.14,0.879,-168.145,27.893,-15.163,0,76
288489,0.236,-0.055,0.957,170.176,22.559,40.096,0,75
288576,0.419,1.009,0.581,-55.206,24.672,1.305,0,75
288663,0.167,-0.546,1.286,42.664,33.618,30.243,0,75
288750,0.37,0.874,0.636,-28.748,42.42,7.491,0,76
288845,0.009,-0.43,1.254,50.435,44.595,15.296,0,78
288931,0.042,0.32,0.778,106.634,39.473,-1.733,0,80
289018,-0.088,0.395,0.951,47.336,27.267,6.139,0,82
289105,0.038,0.888,0.551,-46.74,23.351,-25.992,0,106
289191,-0.318,-0.3,1.042,-25.969,66.557,-22.779,0,72
289277,-0.166,1.024,0.186,150.458,-9.793,-2.408,0,72
289363,-0.799,-0.765,1.293,-102.635,114.435,-48.84,5,21
289451,-0.891,1.034,0.444,232.0,-1.345,-29.878,0,93
289540,-1.502,-0.328,1.094,-162.023,138.321,-92.954,0,71
289627,-1.163,1.011,0.483,165.794,-19.712,-25.924,0,93
289713,-1.241,-0.511,1.036,-109.733,55.405,-80.786,0,70
289801,-0.749,1.065,0.246,105.145,-52.038,-10.551,0,102
289889,-1.076,-0.268,0.589,-68.282,25.168,-29.611,0,114
289977,-0.314,0.808,-0.004,137.58,-47.824,36.282,0,116
290064,-0.63,-0.226,0.384,-131.611,72.954,10.354,0,81
290154,-0.667,-0.03,0.201,250.13,-82.198,47.008,0,138
290243,-0.291,0.179,0.194,-121.634,60.779,-28.448,0,135
290339,-0.797,-0.104,0.673,153.053,30.244,-27.426,0,200
290433,-0.765,0.907,0.252,-14.208,23.42,-25.583,0,195
290524,-1.236,-0.065,0.583,136.565,-12.182,-9.492,0,162
290616,-0.532,1.854,-0.449,-106.198,37.748,-2.073,0,163
290707,-1.044,-0.314,0.49,74.771,-12.814,7.053,0,157
290796,-0.445,1.882,-0.711,-190.634,84.588,-27.84,0,137
290886,-1.023,-0.571,0.555,173.55,-41.008,-4.597,0,137
290977,-0.829,1.157,-0.389,-144.779,41.969,-31.13,0,137
291070,-0.982,-0.017,0.391,210.718,-55.412,26.748,0,137
291161,-0.997,0.66,-0.149,-250.137,56.504,-45.519,0,140
291251,-0.984,0.044,0.118,250.13,-63.099,18.067,0,140
291341,-1.055,0.409,0.057,-185.611,37.072,-46.275,0,142
291431,-0.84,0.206,0.057,215.756,-52.977,14.432,0,124
291521,-0.915,0.186,0.21,-190.878,25.328,-19.429,0,145
291612,-0.747,0.625,-0.057,175.145,-36.679,30.252,0,147
