Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
42147,-0.037,0.212,1.019,85.985,-15.519,2.588,0.0,104.0
42240,0.010,0.718,0.914,-16.527,-17.603,-3.389,0.0,0.0
42316,0.105,0.061,1.150,-246.443,-0.336,-38.939,17.0,106.0
42393,-0.122,-0.896,1.068,250.130,-37.847,5.817,18.0,106.0
42480,0.185,2.000,-0.792,-250.137,51.878,17.389,0.0,104.0
42557,0.197,-2.000,1.556,250.130,-62.122,20.718,17.0,106.0
42650,0.187,2.000,-0.726,-250.137,53.176,-54.672,0.0,0.0
42745,-0.179,-0.187,0.142,250.130,-38.397,93.366,0.0,0.0
42838,-0.030,-2.000,1.973,-98.969,-12.702,-61.817,0.0,0.0
42925,0.140,1.501,0.107,-250.137,44.656,-53.008,0.0,103.0
43018,0.094,1.681,-0.072,250.130,-18.038,84.023,0.0,0.0
43110,-0.016,-2.000,2.000,250.130,-62.847,-6.679,0.0,0.0
43198,-0.035,0.879,-0.636,-250.137,97.863,-48.511,0.0,104.0
43290,1.240,2.000,-0.679,250.130,-22.069,133.695,0.0,0.0
43383,-0.196,-2.000,2.000,250.130,-81.229,-15.366,0.0,0.0
43460,-0.034,-0.576,-0.023,-250.137,104.038,-131.053,18.0,104.0
43556,1.096,2.000,-0.808,250.130,-5.748,120.382,0.0,0.0
43650,0.100,-1.378,1.306,250.130,-22.779,43.328,0.0,0.0
43726,0.047,-1.271,1.658,-174.565,12.649,-63.985,20.0,103.0
43820,0.296,2.000,-0.026,-69.397,12.466,18.893,0.0,0.0
43913,0.290,-0.186,0.781,250.130,-47.366,62.374,0.0,0.0
43990,-0.219,-1.768,1.561,-196.626,6.267,-48.473,19.0,103.0
44083,0.489,2.000,-0.042,39.969,-0.450,19.901,0.0,0.0
44176,0.131,-1.041,1.275,250.130,-27.511,31.450,0.0,0.0
44263,-0.050,0.226,0.754,-250.137,7.527,-37.420,0.0,103.0
44359,0.520,2.000,-0.058,198.840,-31.183,56.863,0.0,0.0
44452,-0.003,-1.745,1.622,243.756,-44.885,25.374,0.0,0.0
44539,0.205,0.843,0.263,-250.137,27.115,-49.473,0.0,102.0
44633,0.538,0.646,0.301,250.130,-31.649,51.450,0.0,0.0
44721,0.040,-1.750,1.735,-165.771,-4.237,-21.344,0.0,111.0
44809,0.417,2.000,0.174,-125.450,10.771,-8.443,0.0,104.0
44896,0.403,-0.664,1.200,242.588,-20.412,41.298,0.0,104.0
44974,0.185,0.126,0.713,-250.137,17.756,-48.977,19.0,107.0
45065,0.469,0.811,0.418,250.130,-35.237,34.397,0.0,104.0
45152,0.180,-1.010,1.537,-98.542,-16.305,3.718,0.0,103.0
45240,0.301,1.121,0.782,-83.886,-65.687,21.924,0.0,106.0
45328,0.569,0.092,1.007,-2.802,-120.832,42.710,0.0,107.0
45421,0.668,-0.164,0.766,-111.710,-128.832,27.679,0.0,0.0
45509,0.784,-0.126,0.416,-60.573,-96.344,27.130,0.0,117.0
45602,0.871,-0.214,0.262,-17.496,-59.588,17.038,0.0,0.0
45696,0.912,-0.316,0.319,-19.359,-36.687,9.061,0.0,0.0
45789,0.936,-0.259,0.281,-9.947,-28.321,-4.450,0.0,0.0
45885,0.929,-0.238,0.276,-9.122,-28.550,-3.267,0.0,0.0
45978,0.951,-0.278,0.276,-16.000,-41.053,-8.153,0.0,0.0
46071,0.970,-0.260,0.162,-23.267,-47.489,-10.809,0.0,0.0
46164,0.990,-0.161,0.003,-21.481,-39.298,-10.122,0.0,0.0
46258,0.980,-0.157,-0.063,-26.069,-19.244,2.275,0.0,0.0
46351,0.988,-0.148,-0.075,-21.840,-4.168,7.076,0.0,0.0
46444,0.965,-0.180,-0.062,-7.672,-4.672,4.473,0.0,0.0
46537,0.989,-0.187,-0.069,-6.260,-4.573,-2.321,0.0,0.0
46630,0.976,-0.203,-0.068,-0.786,-5.031,-0.450,0.0,0.0
46727,0.943,-0.265,-0.045,10.069,-7.336,0.031,0.0,0.0
46820,0.880,-0.303,-0.119,10.359,6.038,5.015,0.0,0.0
46913,0.892,-0.325,-0.164,-6.565,60.618,21.344,0.0,0.0
47006,0.905,-0.208,-0.063,-1.763,132.252,14.260,0.0,0.0
47098,0.857,-0.382,0.217,89.351,139.695,-63.397,0.0,182.0
47192,0.746,-0.305,0.516,155.328,110.878,-116.481,0.0,190.0
47284,0.420,0.615,0.565,84.702,121.863,-99.527,0.0,183.0
47376,0.158,-0.963,1.418,-45.557,64.771,-131.435,0.0,163.0
47467,0.681,2.000,0.310,5.527,68.702,-34.542,0.0,163.0
47563,-0.418,-1.173,1.170,250.130,-47.023,-90.237,0.0,0.0
47656,0.205,0.909,0.350,-250.137,50.718,-60.779,0.0,0.0
47750,1.109,2.000,0.332,219.053,53.565,53.443,0.0,0.0
47844,-0.508,-2.000,1.993,250.130,-95.183,-122.450,0.0,0.0
47937,0.244,1.016,-0.002,-250.137,44.336,-52.527,0.0,0.0
48030,0.631,2.000,-0.090,236.679,62.412,94.748,0.0,0.0
48123,0.149,-1.082,1.408,241.847,-53.427,-49.687,0.0,0.0
48218,0.014,0.043,0.961,-250.137,-35.656,-140.595,0.0,0.0
48311,0.398,2.000,0.238,-143.298,72.130,67.389,0.0,0.0
48407,0.415,0.715,0.674,250.130,6.031,61.611,0.0,0.0
48501,-0.314,-1.144,1.055,-0.748,-72.794,-135.634,0.0,0.0
48592,0.419,1.136,0.347,-250.137,54.420,29.779,0.0,171.0
48687,0.486,1.187,0.311,250.130,32.695,107.504,0.0,0.0
