Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
228321,-0.034,0.69,0.746,0.006,0.336,-0.285,0,0
228414,-0.035,0.689,0.724,-1.167,0.181,-0.458,0,0
228507,-0.022,0.7,0.738,0.175,0.264,0.193,0,0
228600,-0.035,0.695,0.732,0.402,-0.261,-0.243,0,0
228694,-0.035,0.69,0.711,-1.191,0.37,-0.748,0,0
228787,-0.029,0.693,0.745,-0.555,0.474,0.373,0,0
228880,-0.028,0.696,0.735,-1.128,0.564,-0.34,0,0
228973,-0.033,0.689,0.743,0.05,0.367,-0.08,0,0
229069,-0.03,0.692,0.739,-0.793,0.495,-0.266,0,0
229163,-0.036,0.71,0.714,-0.239,0.2,0.053,0,0
229257,-0.036,0.692,0.732,0.871,0.204,-0.146,0,0
229350,-0.033,0.7,0.726,-1.695,0.232,-0.338,0,0
229443,-0.031,0.694,0.732,-0.962,0.285,0.063,0,0
229537,-0.023,0.713,0.74,0.044,0.285,-0.032,0,0
229630,-0.035,0.696,0.732,0.409,0.219,0.106,0,0
229725,-0.022,0.698,0.758,0.41,0.19,-0.055,0,0
229818,-0.025,0.699,0.741,0.779,0.324,-0.021,0,0
229915,-0.037,0.695,0.724,-0.6,0.139,-0.573,0,0
230008,-0.039,0.697,0.735,-0.348,0.166,-0.082,0,0
230103,-0.035,0.695,0.722,-1.607,0.44,-0.355,0,0
230196,-0.026,0.704,0.745,0.133,0.527,0.247,0,0
230290,-0.037,0.687,0.714,-0.11,-0.198,0.009,0,0
230383,-0.035,0.698,0.729,-0.718,0.351,0.023,0,0
230477,-0.032,0.703,0.724,-0.486,0.313,-0.273,0,0
230571,-0.036,0.697,0.731,0.28,-0.033,-0.136,0,0
230665,-0.035,0.693,0.738,-0.429,0.383,-0.145,0,0
230758,-0.029,0.691,0.725,-0.905,0.445,-0.013,0,0
230855,-0.029,0.694,0.753,-1.184,0.468,-0.206,0,0
230949,-0.026,0.698,0.731,-0.119,0.071,0.062,0,0
231043,-0.03,0.702,0.735,-0.198,0.421,-0.193,0,0
231137,-0.037,0.693,0.716,-0.082,0.067,-0.169,0,0
231231,-0.026,0.696,0.74,-0.042,0.371,-0.187,0,0
231324,-0.028,0.698,0.746,-0.139,0.416,-0.267,0,0
231418,-0.021,0.694,0.755,-0.105,0.424,-0.192,0,0
231513,-0.027,0.701,0.745,-0.286,0.435,-0.102,0,0
231606,-0.029,0.695,0.74,0.511,0.248,0.182,0,0
231703,-0.027,0.695,0.737,-0.313,0.277,-0.38,0,0
231797,-0.026,0.696,0.725,0.466,0.065,0.005,0,0
231890,-0.029,0.709,0.73,-0.093,0.222,-0.115,0,0
231985,-0.031,0.699,0.743,0.25,0.191,-0.009,0,0
232079,-0.027,0.695,0.731,-0.951,0.405,-0.189,0,0
232173,-0.041,0.695,0.725,-0.212,0.06,-0.035,0,0
232266,-0.02,0.692,0.758,0.496,0.453,0.037,0,0
232360,-0.037,0.689,0.724,-0.495,0.107,-0.384,0,0
232455,-0.031,0.695,0.733,-0.666,0.163,-0.256,0,0
232552,-0.029,0.691,0.746,0.156,0.254,-0.289,0,0
232645,-0.033,0.699,0.717,-0.658,0.192,-0.363,0,0
232739,-0.033,0.691,0.733,-0.456,0.308,-0.146,0,0
232834,-0.029,0.696,0.734,-1.035,0.446,-0.01,0,0
232928,-0.031,0.701,0.735,-0.95,0.325,-0.278,0,0
