Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
288477,-0.422,2.0,-0.004,-75.076,-14.642,33.374,44,85
288556,0.327,-1.895,1.549,176.594,29.584,22.798,43,99
288634,-0.502,1.948,0.081,129.069,-15.427,1.992,46,92
288713,0.18,-1.046,1.24,-204.595,9.291,2.493,58,98
288792,-0.475,0.504,0.728,250.13,-15.756,9.376,44,95
288871,-0.2,0.155,0.738,-250.137,4.632,-9.842,42,94
288949,0.118,-0.561,1.17,250.13,27.869,16.185,42,101
289031,-0.141,1.379,0.131,-250.137,50.374,49.603,42,96
289110,0.805,-2.0,1.742,168.267,1.478,-33.168,41,91
289188,-0.274,2.0,-0.145,-119.282,17.58,-22.042,44,91
289267,0.847,-2.0,1.165,-155.786,-2.883,27.513,40,101
289346,-1.406,2.0,-1.129,250.13,-37.42,61.183,46,92
289425,-0.151,-2.0,1.114,-250.137,-15.466,12.253,43,97
289505,-0.14,-1.093,1.2,250.13,1.95,-82.496,45,97
289584,-0.082,1.405,0.215,-250.137,68.863,58.435,43,102
289662,0.043,-1.767,1.33,250.13,18.716,-58.221,43,99
289744,-0.135,1.192,0.263,-250.137,45.29,26.053,43,100
289825,0.066,-1.169,1.285,250.13,-11.853,-28.634,41,119
289904,-0.053,2.0,0.265,-221.603,22.756,34.618,43,95
289984,0.421,-1.771,1.458,26.443,-14.909,-67.676,52,98
290063,-0.56,2.0,-0.543,71.244,4.042,38.244,45,95
290142,0.629,-2.0,1.332,-202.878,15.253,33.254,39,98
290222,-1.007,1.551,-0.167,250.13,-34.366,-29.68,45,93
290300,-0.285,-0.987,1.047,-250.137,-12.886,-33.397,42,98
290384,0.213,-0.336,1.599,250.13,33.912,64.109,42,120
290463,-0.008,0.966,0.399,-29.817,-22.668,-89.938,44,95
290543,0.218,0.512,1.197,78.832,17.91,-57.519,43,100
290622,-0.418,0.459,0.981,-93.718,-15.145,-74.382,45,95
290701,-0.231,0.783,0.816,-152.809,20.626,-30.01,42,91
290790,-0.003,-0.371,1.128,-250.137,27.954,53.437,0,103
290878,-0.12,-0.604,0.895,-147.244,27.221,28.069,0,108
290972,-0.457,-0.723,0.484,-115.542,-17.929,-11.044,0,0
291069,-0.397,-0.65,0.623,-44.786,-3.44,-3.649,0,0
