Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
146452,0.357,0.617,0.54,250.13,-43.443,-115.092,0,86
146506,0.113,1.068,-0.148,-250.137,10.576,59.122,0,64
146552,0.887,-0.868,1.431,59.313,43.101,-56.626,38,67
146608,-0.384,2.0,-0.721,124.947,-43.459,-70.061,0,87
146656,0.994,-0.754,0.856,-217.008,36.29,-41.466,31,62
146702,0.341,0.375,0.534,100.824,106.191,-250.137,38,74
146748,-0.482,2.0,-0.488,-250.137,107.321,-250.137,36,68
146794,-0.071,0.229,0.616,-250.137,90.275,-103.214,41,79
146850,0.45,-0.482,1.58,-247.595,37.649,-180.725,0,74
146906,-0.633,-0.34,0.958,207.382,72.267,-81.853,0,72
146961,-0.815,-0.531,0.907,250.13,-171.152,-144.496,0,68
147017,0.602,2.0,-0.898,98.832,151.794,-50.87,192,91
147073,-1.15,0.416,0.309,-250.137,170.099,-35.214,0,73
147131,-0.802,-2.0,1.559,250.13,-159.969,-96.756,0,76
147186,0.803,2.0,-0.812,250.13,117.702,74.557,194,73
147241,-1.274,1.016,0.757,-250.137,108.565,90.338,0,78
147297,-0.688,-1.644,1.395,250.13,-169.229,-107.504,0,70
147352,0.931,1.236,0.71,250.13,179.573,22.389,197,78
147408,-1.436,0.974,-0.021,-250.137,36.976,-90.366,0,72
147459,-0.017,-1.173,1.251,250.13,-110.511,-37.183,115,66
147514,-0.109,2.0,-0.628,60.145,213.351,24.094,198,72
147572,-1.28,-0.357,-0.307,-250.137,-20.526,-74.939,0,68
147622,-0.415,-1.27,1.342,250.13,-83.817,-36.374,112,69
147678,-0.467,1.583,-0.431,70.481,166.679,72.748,0,69
147734,-1.421,0.244,0.419,-250.137,-41.176,-61.252,0,73
147784,-0.357,-0.785,1.363,250.13,-24.962,-40.733,113,68
147835,-1.23,1.203,-0.36,-126.733,185.809,58.42,131,69
147880,-1.146,-0.414,0.69,-250.137,-75.237,-132.74,20,72
147931,-0.29,-1.249,1.155,250.13,-79.031,-61.481,112,70
147980,-0.864,1.9,-0.455,-178.916,177.954,66.198,22,69
148035,-0.94,-0.581,-0.059,-250.137,-105.963,-119.618,0,67
148090,-0.833,-1.927,1.126,250.13,-83.382,-85.511,0,66
148141,-0.486,1.969,-0.761,-62.153,155.634,97.084,115,68
148184,-0.76,-1.033,0.014,-250.137,-101.02,-105.725,18,39
148228,-0.914,-1.986,1.252,169.092,-76.237,-117.824,19,37
148273,-0.152,0.548,0.216,250.13,60.969,81.405,18,69
148317,-1.136,1.52,-0.096,-250.137,81.908,53.855,19,69
148362,-1.101,-1.788,0.966,-177.908,-29.878,-115.076,17,72
148410,-0.894,-1.081,0.442,250.13,-54.611,69.626,18,73
148455,-0.43,2.0,-0.674,54.252,88.603,90.0,20,69
148500,-0.707,0.093,0.313,-250.137,62.496,-35.847,16,70
148543,-1.045,-2.0,1.436,180.802,-65.015,-92.443,16,39
148588,-0.485,0.383,0.277,250.13,-2.779,49.695,19,70
148633,-0.927,1.741,-0.191,-250.137,76.878,60.443,21,67
148678,-1.083,-0.727,0.584,-250.137,23.456,-52.366,19,76
148723,-0.86,-1.173,0.968,212.496,-44.695,36.624,16,73
148771,-0.805,0.562,-0.232,208.336,54.611,79.107,17,65
148816,-0.768,0.668,0.503,-116.229,72.031,29.183,17,71
148861,-0.883,-0.55,0.747,-85.702,-31.679,-67.336,23,72
148917,-0.653,-0.496,0.765,241.443,-47.695,-86.939,0,66
149006,-1.413,0.082,0.264,-250.137,49.351,-27.832,19,65
149052,-1.53,-2.0,1.424,-98.229,-59.534,-34.924,34,70
149097,-1.112,-0.956,0.84,250.13,-153.42,0.218,24,63
149142,-1.007,0.308,-0.05,250.13,-217.824,2.612,30,59
149200,-0.222,2.0,-0.007,-21.84,-132.382,2.239,0,57
149245,-0.689,-0.217,0.156,-250.137,-36.251,27.511,35,58
149292,-0.173,-1.62,1.115,-250.137,-44.321,-63.939,39,62
149338,-0.504,-2.0,1.637,119.557,-131.397,-202.473,38,64
149384,-0.978,-0.714,0.579,250.13,-243.618,-200.664,45,59
149438,-0.757,0.115,-0.059,250.13,-250.137,-126.641,0,55
149493,0.894,1.844,-0.252,-48.328,-67.985,40.916,0,56
149540,-0.108,0.279,0.405,-250.137,85.122,88.023,58,61
149587,-0.401,-2.0,1.167,-244.985,-126.053,-40.038,53,66
149646,-0.086,-1.582,0.617,250.13,-247.603,-89.969,0,65
149695,1.657,1.143,-0.129,250.13,47.748,138.878,79,66
149743,0.248,0.858,0.394,-250.137,154.489,102.107,77,69
149791,0.393,-1.748,1.287,-250.137,-111.84,-154.847,59,76
149839,0.329,-2.0,1.073,250.13,-215.481,-159.519,71,71
149888,1.609,0.59,-0.49,250.13,34.824,84.046,67,69
149943,-0.108,1.812,-0.399,-218.153,170.565,57.908,0,70
149991,-1.051,-1.306,0.567,-250.137,-120.855,-42.305,60,76
150043,1.241,-2.0,0.717,250.13,-196.664,23.939,60,74
150091,1.35,0.007,-0.931,250.13,-46.412,52.756,71,74
150137,-0.394,2.0,-0.485,-204.954,-19.939,-28.642,31,73
150187,0.397,-1.929,0.238,-250.137,-81.412,119.397,76,75
150243,1.688,-2.0,0.591,250.13,-85.405,60.344,0,78
150289,-0.073,0.826,0.148,250.13,-71.565,-104.725,30,71
150338,0.744,0.637,0.908,-143.756,-86.122,146.962,32,124
150387,1.753,-2.0,0.861,-50.458,-51.969,95.214,31,126
150439,0.082,0.246,0.855,250.13,52.328,-138.611,36,122
150489,0.197,0.6,0.635,-126.405,8.901,81.87,31,126
150538,1.397,-1.674,1.063,-55.855,23.952,51.198,36,127
150587,-0.748,0.709,0.518,168.489,-4.644,-60.435,28,127
150637,0.796,0.768,0.607,-173.527,-24.725,121.298,38,127
150696,1.906,-1.985,0.807,89.557,-14.492,-144.326,0,127
