Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
365982,-0.782,2.0,-0.467,-114.366,-43.779,-113.006,42,0
366030,-0.767,-0.099,0.123,-250.137,44.198,-71.099,77,72
366075,-0.86,-2.0,1.427,42.786,-25.458,-68.145,17,69
366134,-0.95,-1.134,0.038,250.13,-96.618,-8.532,50,0
366180,-0.598,2.0,-1.796,250.13,-60.145,44.992,50,57
366234,-0.985,2.0,-1.943,-250.137,111.244,-72.962,52,0
366280,-1.38,-2.0,1.6,-250.137,-7.979,-71.855,26,69
366337,-0.789,-1.178,0.163,250.13,-72.763,47.038,72,0
366391,-0.694,2.0,-0.96,105.023,-55.921,62.557,47,0
366446,-0.876,0.784,-0.23,-250.137,60.672,55.223,60,0
366492,-0.743,-1.322,1.208,151.374,-31.504,-51.065,24,67
366550,-0.597,0.061,0.002,250.13,-43.779,55.0,50,0
366605,-0.895,1.614,-0.326,-198.389,47.603,37.244,58,0
366650,-0.897,-0.143,0.223,-250.137,54.397,-37.112,20,71
366696,-0.816,-1.133,1.185,-124.847,-187.439,-74.111,19,53
366745,-0.867,-0.992,0.909,250.13,-73.87,-55.22,80,64
366799,-0.75,-0.11,-0.023,250.13,-102.954,65.462,56,0
366855,-0.67,2.0,-1.058,-216.122,57.351,-35.626,57,0
366911,-0.877,-0.432,-0.428,-250.137,68.45,-53.435,0,67
366956,-0.598,-2.0,1.705,250.13,-64.794,-59.427,22,65
367014,-0.555,0.37,-0.737,250.13,-32.473,45.053,58,0
367070,-1.161,2.0,-1.213,-250.137,69.947,-43.52,55,0
367116,-0.784,-2.0,0.282,-250.137,-69.726,-102.985,22,63
367161,-0.863,-1.76,1.056,250.13,-85.794,-20.196,24,65
367216,0.118,0.685,-0.361,250.13,33.771,104.153,59,0
367265,-1.015,2.0,-0.615,-250.137,79.16,2.826,59,95
367314,-0.7,-1.492,0.673,-250.137,-35.763,-117.153,89,64
367363,-0.558,-1.196,1.13,250.13,-20.565,45.473,68,67
367416,-1.031,1.341,-0.059,157.947,-57.153,68.969,59,94
367463,-0.689,0.209,0.84,-201.153,-46.962,-29.818,57,64
367510,-0.862,-0.807,1.334,74.656,-78.435,-38.618,53,61
367559,-0.771,0.053,0.907,247.847,-99.282,13.433,61,91
367614,-0.668,0.099,0.87,250.13,-112.214,56.177,61,0
367663,0.257,2.0,-0.595,149.092,79.046,46.626,40,67
367711,-1.018,1.308,-1.116,-250.137,103.626,-21.327,54,78
367758,-0.785,-2.0,0.979,-250.137,-61.595,-120.443,62,56
367809,-0.108,-1.027,0.831,250.13,-60.008,36.756,71,58
367868,-0.189,1.802,-0.924,250.13,78.254,95.252,133,0
367918,-0.524,1.029,-0.051,-250.137,67.695,-44.2,59,80
367971,-1.109,-0.216,1.066,-250.137,82.84,50.092,171,61
368027,-0.641,-0.575,1.327,65.061,-0.193,155.863,0,64
368081,-0.332,0.712,0.95,175.756,52.085,106.137,166,71
368136,-0.589,0.774,0.885,78.137,23.999,61.336,177,73
368192,-0.713,0.724,0.839,-51.191,14.588,63.634,187,87
368248,-0.75,0.665,0.779,-73.481,-27.893,83.397,0,76
368309,-0.75,0.744,0.744,-86.412,-66.542,118.794,0,69
368365,-0.548,0.648,0.81,-84.511,-95.641,161.618,0,78
368421,-0.374,0.046,0.722,39.924,-79.886,215.939,0,80
368468,0.556,0.356,0.703,51.359,29.875,199.458,47,65
368516,0.544,0.077,0.689,53.962,-30.718,125.985,36,66
368605,0.191,0.855,0.622,52.221,35.55,250.13,33,72
368665,0.472,0.328,0.672,-49.702,60.168,214.137,0,42
368709,0.905,0.404,1.26,114.053,42.802,9.691,30,41
368754,-0.207,1.957,-0.288,84.924,63.979,114.198,35,67
368812,0.509,0.524,0.574,-57.924,35.924,217.023,0,67
368866,1.059,-0.675,0.925,-41.16,50.374,129.682,0,69
368911,-0.696,1.936,-0.404,174.824,-13.193,-29.702,30,60
368965,0.445,0.653,0.937,-42.733,41.008,116.099,0,60
369020,0.912,0.0,1.141,-27.504,68.695,42.905,0,64
369064,-0.635,1.553,-0.039,38.824,36.679,31.649,27,57
369119,0.405,0.113,0.679,-86.489,41.014,103.55,0,57
369173,0.766,0.543,1.215,75.443,-39.262,-98.695,0,57
369220,0.529,0.701,0.88,-53.076,-24.573,45.328,23,57
369274,0.917,-0.029,0.855,-45.847,36.427,32.092,0,57
369319,-0.212,1.496,0.247,-27.5,26.666,-23.97,21,65
369366,0.438,-0.35,0.773,-109.71,-13.975,52.221,23,93
369411,0.045,0.528,0.768,147.496,-40.458,-41.084,23,65
369467,0.561,0.629,0.647,-43.664,-67.481,41.206,0,100
369522,1.043,0.305,1.076,48.076,23.293,-3.03,0,59
369576,0.321,0.642,0.649,-61.969,33.649,17.821,0,59
369634,0.791,-0.278,0.967,71.655,65.815,22.8,0,101
369679,-0.2,1.323,0.185,34.275,-28.137,-30.687,25,20
369728,0.544,-0.084,0.775,-37.679,-40.412,-8.316,23,145
369783,0.327,1.281,-0.147,136.198,-91.733,-62.183,5,20
369828,0.505,0.643,0.812,-154.206,28.584,46.641,22,70
369872,0.947,-0.23,1.198,36.926,33.073,21.518,21,59
369927,0.48,1.186,0.757,81.832,33.572,-54.206,0,59
369971,0.567,-0.17,0.822,-75.702,-36.954,-5.332,22,53
370016,-0.028,0.978,0.935,121.626,-44.511,-94.313,33,52
370058,0.16,0.953,0.691,-125.298,-65.0,-144.32,22,18
370115,0.603,-0.451,1.001,-133.168,-48.817,-44.214,0,50
370159,0.204,0.126,0.873,-58.618,-30.771,-250.137,30,49
370206,-0.008,0.077,0.683,-147.412,-23.718,-250.137,35,82
370252,-0.077,-0.077,0.753,-82.466,-1.194,-250.137,42,76
370308,-0.591,-0.126,0.434,124.603,-0.436,-250.137,0,69
370364,-0.57,1.306,0.11,-114.057,78.565,-250.137,0,84
370415,-0.584,0.879,-0.061,-230.924,233.863,-232.702,113,78
370460,-1.1,-0.858,-0.201,-250.137,222.618,-168.908,16,72
370508,-1.173,-1.063,1.419,117.832,77.336,-147.473,16,68
370553,-1.193,-0.887,0.69,250.13,88.751,-67.641,17,73
370609,-1.247,-0.106,-0.973,250.13,-37.779,171.791,77,0
370665,-0.471,2.0,-1.311,-250.137,107.924,-84.55,79,0
370721,-1.446,-1.133,-1.285,-250.137,103.359,-64.718,23,0
370766,-0.766,-2.0,1.969,250.13,-73.328,14.728,18,75
370816,-0.661,-0.526,-0.746,250.13,-55.878,78.153,23,126
370872,-0.158,2.0,-1.209,43.242,26.113,49.382,82,0
370920,-0.886,-0.859,-0.523,-250.137,66.359,-68.137,20,81
370965,-0.858,-2.0,1.706,250.13,-46.473,-30.809,19,74
371028,-0.67,0.748,-0.968,250.13,-23.229,51.458,0,0
