Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
293762,-0.146,0.036,0.889,35.397,5.421,-5.227,34,102
293839,-0.233,0.0,0.948,24.822,21.54,-7.805,35,101
293923,-0.183,0.218,0.935,14.274,21.485,-24.354,34,0
294007,-0.288,0.028,0.84,78.809,21.577,-24.849,36,0
294092,-0.288,0.105,0.657,129.198,52.298,-52.786,43,0
294185,-0.462,0.194,0.612,241.374,106.198,-75.244,0,0
294279,-0.755,0.833,0.097,204.176,111.695,-104.183,0,0
294376,-1.004,0.116,0.497,111.656,-63.031,-147.473,0,0
294463,-0.145,2.0,-1.851,250.13,-80.84,-25.372,0,86
294553,-1.38,-2.0,0.232,-250.137,92.527,-147.702,0,141
294639,0.028,2.0,-1.84,250.13,-98.084,101.786,0,83
294730,-1.271,-2.0,1.291,-250.137,43.901,-40.885,0,138
294817,0.461,2.0,-1.303,200.84,-56.656,42.809,0,87
294901,-1.469,-2.0,1.643,-27.802,8.879,17.524,107,128
294991,0.16,2.0,-0.96,128.275,-55.962,46.954,0,124
295081,-1.636,-2.0,1.213,-19.664,30.338,29.847,0,138
295174,0.754,2.0,-0.885,76.794,-15.131,35.252,0,126
295264,-1.798,-2.0,1.533,-48.656,-2.816,-26.816,0,133
295354,0.708,2.0,-1.105,-28.527,45.237,-8.277,0,126
295444,-1.623,-2.0,1.568,57.686,8.512,-4.583,0,140
295533,0.579,2.0,-1.126,-33.55,78.733,-6.563,0,127
295619,-1.662,-2.0,1.838,250.13,-93.878,2.547,106,142
295709,-0.144,2.0,-1.346,-250.137,137.664,-52.305,0,130
295793,-1.058,-2.0,1.311,250.13,-101.107,46.336,105,134
295887,-0.696,2.0,-1.447,-250.137,139.359,-67.947,0,141
295977,-1.19,-1.385,0.185,250.13,-124.824,68.046,0,132
296069,-1.218,0.661,-1.186,-250.137,117.664,-106.389,0,143
296159,-0.568,0.517,-0.879,250.13,-114.802,130.763,0,132
296253,-1.134,-0.952,0.072,-250.137,76.473,-109.84,0,199
296343,-0.509,1.172,-0.618,250.13,-68.55,94.588,0,136
296437,-0.927,-0.057,-0.056,-250.137,94.244,-75.931,0,0
296531,-0.754,0.196,-0.075,250.13,-78.122,192.252,0,0
296629,-0.262,2.0,-1.187,-250.137,216.389,25.374,0,0
296723,-1.801,-2.0,1.084,-250.137,-40.42,81.382,0,0
296811,0.854,2.0,-2.0,250.13,186.588,227.779,190,106
296895,-1.236,-0.948,1.139,-250.137,162.626,250.13,135,88
296973,-0.284,1.078,0.48,159.611,-80.29,-28.293,39,89
297052,0.732,0.046,0.048,-250.137,119.229,161.031,27,96
297129,-1.66,0.944,0.154,250.13,35.817,3.68,28,97
297210,0.573,-1.424,1.35,-242.672,22.255,22.977,24,141
297291,0.969,2.0,-0.485,192.679,24.921,250.13,30,143
297375,0.677,-1.307,1.787,-106.153,68.397,-232.069,20,143
297456,1.087,1.819,0.125,-131.809,7.375,91.565,22,144
297537,-1.306,0.781,0.197,250.13,-44.29,-60.779,35,142
297616,0.421,-0.381,0.947,-111.389,-30.458,-48.756,20,100
297694,-0.3,1.407,0.15,-177.252,13.495,-219.565,24,96
297772,-0.548,-0.028,0.985,178.886,-59.313,-80.565,25,91
