Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
362397,-0.192,-0.091,0.98,-3.834,-4.25,-2.539,29,121
362477,-0.204,-0.076,0.973,-6.209,-4.302,-1.268,30,121
362557,-0.197,-0.098,0.967,21.343,25.022,6.267,46,121
362637,-0.202,-0.098,0.917,23.097,16.56,4.972,37,121
362717,-0.61,-0.16,0.803,44.008,31.672,-29.156,31,122
362797,-0.369,-0.091,0.519,218.756,75.87,-32.227,38,122
362890,-0.03,0.534,0.614,109.718,115.115,-81.687,0,195
362987,-0.846,0.36,0.483,219.656,108.099,-111.282,0,193
363078,-1.178,0.185,0.036,250.13,39.374,-148.328,0,160
363172,-0.965,0.956,-0.05,174.298,41.038,-136.252,0,0
363264,-1.126,0.571,-0.363,-250.137,116.702,-98.366,0,151
363358,-1.441,-1.615,0.273,250.13,-147.977,115.687,0,0
363448,0.183,2.0,-1.969,-250.137,189.763,-113.313,132,0
363541,-1.334,-2.0,1.505,250.13,-156.542,87.855,0,182
363634,-0.848,2.0,-2.0,-250.137,250.13,-88.053,0,183
363731,-0.005,0.682,-0.978,250.13,-206.794,154.977,0,0
363826,-1.651,-1.862,-0.089,-250.137,208.71,-84.13,0,194
363920,0.505,2.0,-1.053,247.924,-83.878,64.779,0,0
364013,-1.771,-1.904,0.914,250.13,-51.45,63.107,0,0
364106,-0.834,2.0,-2.0,-250.137,245.366,-166.908,0,182
364200,-1.053,-0.159,-0.605,250.13,-250.137,106.435,0,0
364295,-1.523,-1.302,-0.361,-250.137,152.122,-182.435,0,185
364389,0.875,2.0,-1.381,250.13,-96.053,83.115,0,0
364483,-1.505,-2.0,1.278,250.13,-137.588,64.382,0,0
364580,-0.981,0.554,-1.181,-250.137,181.511,-146.038,0,198
364675,0.298,2.0,-1.234,250.13,-133.527,155.886,0,0
364769,-1.653,-2.0,2.0,134.519,-104.267,68.351,0,0
364859,-0.891,2.0,-1.91,-250.137,199.863,-84.802,0,127
364959,0.461,2.0,-1.225,250.13,-111.168,183.29,0,0
365048,-1.485,-2.0,2.0,205.947,-95.603,49.45,0,127
365136,-0.808,1.257,-1.146,-250.137,156.214,-118.656,0,103
365230,0.75,2.0,-0.547,250.13,-63.534,119.603,0,0
365326,-0.952,-1.441,0.929,250.13,-114.137,87.626,0,0
365419,-1.571,-2.0,1.178,-250.137,49.947,-43.282,0,200
365512,-0.029,2.0,-0.509,-250.137,124.466,29.822,0,198
365602,-0.332,0.572,-0.015,250.13,-114.962,80.351,0,151
365688,-1.216,-2.0,1.579,-99.26,128.253,63.656,70,198
365782,-0.163,2.0,-0.242,-250.137,108.527,1.016,0,198
365867,-0.638,0.032,0.701,222.221,-79.435,60.176,67,200
365944,-0.877,-1.071,1.056,-169.107,60.046,-18.5,64,55
366041,-0.197,0.746,0.419,250.13,-69.153,36.618,0,0
366134,-1.361,-2.0,1.702,89.489,-36.824,-34.928,0,0
366221,-0.171,2.0,-0.206,-250.137,73.893,-9.438,0,98
366309,-0.778,-0.884,0.886,250.13,-102.641,40.916,0,103
366396,-0.195,1.672,-0.299,-250.137,95.305,-69.094,0,94
366483,-0.876,-0.897,0.658,107.336,41.374,56.557,0,97
366569,-0.083,1.265,-0.265,-133.053,149.008,47.206,0,70
366646,-1.205,-1.245,0.976,-26.901,65.42,36.183,50,67
366733,-1.246,-0.203,-0.293,250.13,-189.954,6.944,0,81
366822,-1.249,2.0,-1.238,-250.137,232.878,-82.069,0,82
366915,-1.198,-1.601,0.775,250.13,-82.282,40.023,0,0
367009,-1.116,1.861,-2.0,-250.137,250.13,-14.734,0,0
367102,-0.919,-0.498,-0.607,250.13,-88.985,157.397,0,0
367196,-1.267,-1.134,-0.247,-250.137,86.344,-59.137,0,0
367285,0.092,2.0,-1.926,-33.061,83.824,65.099,0,127
367378,-1.059,-2.0,1.182,250.13,-96.099,37.947,0,0
367471,-0.702,0.088,-0.175,-250.137,3.133,-79.916,0,0
367565,-0.362,0.974,0.316,250.13,-72.191,20.855,0,0
367660,-0.292,-0.695,1.045,-215.824,92.182,-125.16,0,163
367748,-0.798,2.0,-0.439,250.13,-82.435,29.719,0,113
367842,-1.152,-1.142,0.871,-250.137,-34.206,-52.84,0,0
367935,-0.519,0.473,0.142,250.13,-158.344,41.145,0,0
368028,-0.517,1.142,-0.31,-241.267,113.962,-109.038,0,0
368117,-1.167,-2.0,1.781,210.229,-72.573,-202.718,127,0
368204,0.302,2.0,-1.834,173.634,100.969,24.239,0,75
368289,-1.346,-2.0,1.829,-249.443,-22.562,-221.489,63,0
368378,-1.069,2.0,-1.986,-68.344,200.908,36.626,0,71
368464,-1.271,-2.0,2.0,250.13,-97.321,-74.183,65,0
368550,-0.227,2.0,-1.483,-250.137,146.786,27.664,0,70
368636,-1.541,-2.0,1.589,250.13,-186.099,-133.331,70,0
368726,-0.602,2.0,-1.154,-250.137,159.443,-103.29,0,119
368813,-0.451,-0.764,-0.48,250.13,-162.802,103.237,0,82
368906,-1.254,-2.0,0.845,-250.137,53.931,-178.573,0,198
368993,0.554,2.0,-0.589,185.137,-36.307,84.466,0,85
369087,-1.169,-2.0,2.0,175.282,-120.573,-78.656,0,168
369176,-0.434,2.0,-0.718,-250.137,84.473,-57.901,0,112
369264,-0.932,-0.835,0.422,250.13,-193.198,34.244,0,102
369357,-0.483,-0.339,0.276,-250.137,88.656,-108.321,0,0
369449,0.311,1.842,-0.062,250.13,-98.511,46.992,0,167
369542,-0.974,-2.0,2.0,-75.809,-75.847,-77.679,0,175
369634,0.377,2.0,-0.465,-173.26,67.588,-51.611,0,176
369726,-0.284,-1.652,1.31,220.427,-88.099,14.16,0,182
369818,0.076,0.922,0.083,-62.053,62.992,-22.072,0,178
369915,-1.044,-0.351,0.776,-151.153,114.099,-49.616,5,5
370008,-0.814,-0.242,0.871,184.122,79.863,31.718,0,179
370095,-0.33,0.765,0.765,75.733,120.053,7.031,0,94
370183,-0.898,-0.078,0.862,-28.611,83.26,-42.595,0,92
370269,-0.777,0.136,0.641,107.389,85.321,-28.729,0,77
370356,-0.909,0.105,0.589,57.443,67.328,-35.031,0,72
370442,-1.049,0.503,0.476,34.298,59.16,-36.802,0,76
370528,-1.013,0.022,0.342,154.588,29.511,-49.688,0,63
370624,-1.212,0.228,-0.103,142.443,-28.62,-41.394,0,0
370718,-0.849,0.503,0.207,63.108,23.445,29.702,0,0
370811,-0.98,0.49,0.004,19.135,27.904,13.649,0,0
370905,-0.93,0.179,-0.125,-36.656,3.107,-0.347,0,0
370999,-0.977,0.291,-0.161,3.633,-2.606,2.018,0,0
371092,-0.932,0.379,-0.041,37.814,0.738,19.176,0,0
371186,-0.886,0.316,-0.148,37.939,-4.675,0.839,0,0
371279,-0.888,0.541,-0.126,-9.428,-3.33,-11.598,0,0
371365,-0.843,0.599,0.085,-16.012,-12.306,-1.003,0,68
371454,-0.887,0.611,0.031,-14.341,-24.439,9.427,0,72
371542,-1.022,0.513,0.222,19.124,-27.412,43.835,0,78
371630,-0.969,0.656,0.167,17.122,8.946,24.855,0,90
371719,-0.894,-0.183,-0.422,-33.992,-55.081,-91.807,5,33
371808,-0.819,-0.024,0.135,17.409,6.07,-40.473,0,113
371897,-1.023,0.217,0.049,36.55,8.567,-59.321,0,114
371986,-0.93,0.003,-0.199,45.916,-22.675,-72.366,0,114
372075,-0.869,0.393,0.046,10.577,25.298,-77.901,0,114
372164,-0.925,0.192,-0.016,-28.534,27.214,-57.061,0,116
372257,-0.975,0.119,0.017,-22.663,-13.371,-24.637,0,120
372347,-0.955,0.318,0.068,-7.727,-2.338,23.809,0,126
372438,-1.199,0.285,-0.095,-23.211,-25.246,19.55,0,135
372529,-0.978,0.232,-0.152,-32.466,-20.644,87.962,0,147
372623,-1.106,0.375,-0.243,-98.176,-8.526,101.344,0,0
372713,-0.845,0.368,-0.041,-81.412,12.73,92.374,0,137
372804,-0.819,0.526,0.067,-75.756,36.711,42.603,0,146
372895,-0.912,0.466,-0.015,-108.26,28.336,30.699,0,145
372989,-1.044,0.219,0.007,-95.0,27.267,-16.18,0,0
373087,-0.991,0.296,0.097,29.525,31.42,-18.71,0,0
373178,-0.774,0.328,0.343,44.107,53.318,-37.435,0,163
373270,-0.983,0.162,0.016,38.794,3.955,-52.931,0,166
373363,-0.999,0.254,0.035,1.827,17.516,-59.221,0,180
373455,-0.875,0.167,-0.037,-19.916,-1.696,-38.969,0,167
373549,-0.859,0.21,-0.025,-2.708,-4.71,-62.367,0,172
373641,-0.979,0.304,0.097,-18.357,2.917,-8.562,0,177
373734,-1.007,0.462,0.26,17.482,14.379,57.048,0,186
373828,-1.082,0.205,-0.293,-13.346,-37.962,-67.013,0,196
373925,-1.115,0.319,0.018,23.001,-28.0,82.969,0,0
374020,-0.971,0.467,-0.245,-21.802,10.801,98.756,0,0
374114,-0.859,0.574,0.169,-100.16,78.261,81.29,0,0
374208,-0.768,0.332,-0.136,-79.298,34.015,39.527,0,0
374302,-0.829,0.493,0.148,-80.344,34.55,10.28,0,0
374396,-1.008,0.036,-0.218,-167.151,26.725,-47.649,0,0
374491,-1.23,0.361,0.113,82.687,9.237,-58.954,0,0
374585,-0.81,0.875,0.443,43.855,46.376,-35.427,0,0
374682,-1.119,0.237,0.344,54.992,-15.077,24.982,0,0
374776,-0.77,0.461,-0.049,-31.577,-6.231,-21.758,0,0
374871,-0.814,0.4,0.096,-58.863,30.656,-16.446,0,0
374965,-0.847,0.221,-0.06,-44.985,5.547,-34.586,0,0
375059,-0.964,0.303,0.017,-43.985,17.074,-3.718,0,0
375153,-1.044,-0.012,-0.321,-36.634,-21.415,-28.774,5,5
375247,-1.01,0.467,0.051,25.671,9.881,18.83,0,0
375342,-1.158,0.19,-0.409,-59.515,-23.225,44.366,0,0
375431,-0.905,0.412,-0.215,-83.771,27.527,72.061,0,116
375525,-0.791,0.209,-0.372,-111.298,36.015,38.687,0,122
375615,-0.923,0.458,0.022,-135.481,27.954,31.642,0,128
375705,-0.983,0.367,0.044,-49.229,10.319,44.153,0,136
